,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 21:55:00,Deer Park,AL,Circle,About 30 mins,Flashing circle/ fire colored/ torpedo,https://nuforc.org/webreports/reports/175/S175781.html
1,2023-05-14 20:40:00,Athens,AL,Circle,About 2 seconds,Huge yellow-white sphere 5 times the size of the moon,https://nuforc.org/webreports/reports/175/S175776.html
2,2023-05-13 21:30:00,Pike Road,AL,Circle,Hours,Tatyana Bakieva,https://nuforc.org/webreports/reports/175/S175760.html
3,2023-05-02 04:46:00,Falkville,AL,Light,About 10 minutes,Lights that traveled across the sky faster than anything else I've ever seen,https://nuforc.org/webreports/reports/175/S175560.html
4,2023-05-01 03:32:00,Grand Bay,AL,Sphere,Five to ten minutes,Was looking at stars in the Northern sky and saw a white sphere moving slowly towards the west and suddenly it was gone.,https://nuforc.org/webreports/reports/175/S175568.html
5,2023-04-14 05:07:00,Madison,AL,Diamond,2 minutes,Flashing blue red white light pattern of diamond. Hovering low. Very slow. No significant distance in 2 min observing. Vanished,https://nuforc.org/webreports/reports/175/S175337.html
6,2023-04-02 15:00:00,Carbon Hill,AL,Disk,Seen in photo after zoom,I was taking a photo of the outside and I decided to zoom in on the photo just being curious and thats when I spotted a disk.,https://nuforc.org/webreports/reports/175/S175276.html
7,2023-03-27 19:00:00,Huntsville,AL,Light,several minutes,Multiple lights around the southern sky moving randomly.,https://nuforc.org/webreports/reports/175/S175143.html
8,2023-03-17 23:30:00,BIRMINGHAM,AL,Other,3 hours,I observed a bright blue light hovering over downtown Birmingham AL. This light could be seen on the Southside of Birmingham as well.,https://nuforc.org/webreports/reports/175/S175129.html
9,2023-03-14 20:30:00,Huntsville,AL,Orb,10-15 MINUTES,"Light moving erratically, accelerating rapidly and stopping on a dime.",https://nuforc.org/webreports/reports/175/S175063.html
10,2023-03-14 03:00:00,Theodore,AL,Star,2 hours. 0300-daylight,"Two clusters of UAP?, The first cluster started with 3 UAP? and eventually up to 6 and then finally 2 remain. About 20 to my 12oclock",https://nuforc.org/webreports/reports/175/S175006.html
11,2023-03-09 19:37:00,Opelika,AL,Cigar,It was just there.we left,Bright hovering long object,https://nuforc.org/webreports/reports/174/S174960.html
12,2023-02-27 19:00:00,Florence,AL,Circle,1 minute,My wife and I were walking our dog and noticed a very large balloon like object floating rapidly across the sky.,https://nuforc.org/webreports/reports/174/S174736.html
13,2023-02-21 19:58:00,Clio,AL,Circle,5 minutes,I was literally standing in my front yard and they came very low to the ground I got very scared and began to run and they vanished,https://nuforc.org/webreports/reports/174/S174683.html
14,2023-02-15 03:12:00,Chunchula,AL,Light,5-10 mins,Like a scurrying mouse in the sky . Flash in and out,https://nuforc.org/webreports/reports/174/S174577.html
15,2023-02-13 22:15:00,Northport,AL,Cylinder,Roughly 30 minutes,We get a lot of planes and helicopters that go by but this one was different. It was too fast and too quiet,https://nuforc.org/webreports/reports/174/S174572.html
16,2023-02-12 18:35:00,Section,AL,Sphere,3-5 mins,12-20 lights looked like they were the middle of a saucer (disc),https://nuforc.org/webreports/reports/174/S174471.html
17,2023-02-12 18:35:00,Section,AL,Disk,3-5 minutes,Looked like a plane with a a trail behind it but its too dark and then it came closer and we saw about 15-20 lights in an even row,https://nuforc.org/webreports/reports/174/S174470.html
18,2023-02-09 03:45:00,Montgomery,AL,Sphere,About an hour,We saw at least 10 bright starlight looking objects that flew fast and in various directions. Multiple other pilots on guard saw them,https://nuforc.org/webreports/reports/174/S174365.html
19,2023-01-20 17:14:00,Montevallo,AL,Circle,1 min,Bright white light moving very slow,https://nuforc.org/webreports/reports/174/S174032.html
20,2023-01-18 13:15:00,Fort Payne,AL,Egg,,I'm capturing these objects on my security camera and they are leaving landing areas.,https://nuforc.org/webreports/reports/173/S173995.html
21,2023-01-18 00:42:00,Repton,AL,Unknown,Two lights about 1mile ap,There where two bright orbs that moved in sequence with each other they looked like they were about 1 mile apart and they turnt left,https://nuforc.org/webreports/reports/175/S175641.html
22,2023-01-07 18:00:00,Waverly,AL,Circle,1 hour,We were getting in the car and we saw one chasing the other,https://nuforc.org/webreports/reports/174/S174157.html
23,2023-01-04 21:51:00,Brook Highland,AL,Unknown,30 seconds,Took a video of a craft shining many colors without having any aircraft type identifying lights. Object flew towards Lake Purdy,https://nuforc.org/webreports/reports/173/S173823.html
24,2023-01-01 22:00:00,Woodville,AL,Unknown,5 seconds,Bright light in the middle of nowhere. Did not move like a lot flying aircraft in that it moved laterally & straight up & down in sec.,https://nuforc.org/webreports/reports/173/S173897.html
25,2022-12-31 19:02:00,Chelsea,AL,Circle,4 minutes,Hover then depart,https://nuforc.org/webreports/reports/173/S173658.html
