,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-02-11 22:30:00,Noatak,AK,Circle,10 minutes or longer,Object flying over my hometown. Red light turning on and off. Made a high pitch sound,https://nuforc.org/webreports/reports/174/S174400.html
1,2023-02-10 15:15:00,"Prudhoe Bay, Alaska",AK,Other,about 20 minutes,Flightradar24 track of USAF AFRDQ5827,https://nuforc.org/webreports/reports/174/S174890.html
2,2023-01-11 18:39:00,Pleasant Valley,AK,Disk,17 seconds,I was driving home when I looked up at a large bright disk like object and after a few moments it flew down and away.,https://nuforc.org/webreports/reports/173/S173930.html
3,2022-12-21 05:47:00,Palmer,AK,Unknown,3 sec,See above,https://nuforc.org/webreports/reports/173/S173525.html
4,2022-12-21 05:40:00,Anchorage,AK,Light,5 sec,Bright light with neon blue tail,https://nuforc.org/webreports/reports/173/S173524.html
5,2022-12-19 07:42:00,Anchorage,AK,Oval,Very brief,Two Light with Green Glow,https://nuforc.org/webreports/reports/173/S173855.html
6,2022-09-18 23:48:00,Fairbanks,AK,Circle,Approx 10-12 seconds?,Saw a satellite then saw a light pacing behind it.,https://nuforc.org/webreports/reports/171/S171866.html
7,2022-08-17 17:36:00,Anchorage,AK,Sphere,very brief,"Approximately 3 objects observed, along with passenger jet in Anchorage",https://nuforc.org/webreports/reports/173/S173854.html
8,2022-07-20 16:50:00,Anchorage,AK,Cylinder,Its save in my computer,"We was looking out our window taking picture of the clouds because of the colors. Then this huge ufo appeared, You can see a wormhole",https://nuforc.org/webreports/reports/173/S173021.html
9,2022-07-09 17:10:00,Palmer,AK,,Caught on camera,"I took the picture and saw it later when I saw a spec of light in the left corner. I was shooting a picture of an eagle, it is in the",https://nuforc.org/webreports/reports/170/S170411.html
10,2022-04-07 07:45:00,Mat-Su Valley Area,AK,Sphere,30 minutes or so,Falling Thing Over Mat-Su Valley Area,https://nuforc.org/webreports/reports/167/S167443.html
11,2022-03-28 04:49:00,Fairbanks,AK,Circle,5mins,"Circle lights,move fast.from center to northeast",https://nuforc.org/webreports/reports/167/S167336.html
12,2022-03-20 22:26:00,Kasilof,AK,Circle,Less then 5min,"Saw it out of my cabin window before bed. Was a bright circular shape hovering in the air. Got larger, then smaller, and disappeared.",https://nuforc.org/webreports/reports/167/S167180.html
13,2022-03-11 20:18:00,"Eagle River, Alaska",AK,Light,7 minutes 18 seconds +,"Bright light or lights that brightened, hovered, flashed, moved downward and disappeared, but were replaced by a new light.",https://nuforc.org/webreports/reports/167/S167093.html
14,2022-01-05 13:23:00,Anchorage,AK,Light,1:05 minute five,I was recording traffic with my android phone and later found the object when viewing recording.,https://nuforc.org/webreports/reports/165/S165943.html
15,2022-01-05 07:30:00,North Pole,AK,Oval,10 Seconds,Driving into work on Badger Road from my peripheral vison on the left in the sky,https://nuforc.org/webreports/reports/166/S166102.html
16,2022-01-02 18:23:00,Willow,AK,Circle,Most of the night,Bright ball of light,https://nuforc.org/webreports/reports/166/S166129.html
17,2021-11-20 01:00:00,Willow,AK,Unknown,,I told my son not to shoot it that it was bigger than us.,https://nuforc.org/webreports/reports/165/S165525.html
18,2021-10-29 09:25:00,Soldotna,AK,Circle,3 minutes,Shiny metallic craft in morning sunlight,https://nuforc.org/webreports/reports/165/S165099.html
19,2021-10-29 09:25:00,Soldotna,AK,Circle,3 minutes,Shiny metallic craft in morning sunlight.,https://nuforc.org/webreports/reports/165/S165094.html
20,2021-09-05 23:00:00,Fairbanks,AK,Sphere,2 minutes,Fairbanks PD sees UFO,https://nuforc.org/webreports/reports/164/S164584.html
21,2021-03-17 23:00:00,Chugiak,AK,Light,2 minutes,Blue lights in sky,https://nuforc.org/webreports/reports/162/S162420.html
22,2020-11-30 18:20:00,Lahaina,AK,Circle,5-10 seconds,Circular pattern of lights.,https://nuforc.org/webreports/reports/160/S160894.html
23,2020-11-10 03:00:00,Esther,AK,Cigar,5 minutes,Large craft with several circular lights surrounding it.,https://nuforc.org/webreports/reports/160/S160723.html
24,2020-10-30 02:45:00,Palmer,AK,Light,10 seconds,I have video,https://nuforc.org/webreports/reports/160/S160296.html
25,2020-10-10 14:00:00,bidenhospice,AK,Chevron,45,Why in the hell have you people just stopped updating the site?? Site is worthless,https://nuforc.org/webreports/reports/159/S159986.html
26,2020-10-03 18:00:00,Anchorage,AK,Circle,over a month already,bright orange UFO moving around all night. ((NUFORC Note: Possibly a planet?? PD)),https://nuforc.org/webreports/reports/159/S159733.html
27,2020-09-07 04:45:00,Anchorage,AK,Circle,20,"3 circular orange lights that were extremely bright, they didnt move they just hovered and one of the circles was close to the moon. I",https://nuforc.org/webreports/reports/159/S159229.html
28,2020-09-06 23:45:00,Ketchikan,AK,Light,1 hour,A bright light that seems to disappear when I zoomed in on the object.. Sometimes disappearing though this time it looked as if it almo,https://nuforc.org/webreports/reports/159/S159230.html
29,2020-08-22 01:00:00,Anchorage Ak,AK,Circle,1 minute,One craft seen much lower and moving slower than satellite. Changed direction through the clouds. Bright orange light in the distance t,https://nuforc.org/webreports/reports/158/S158859.html
30,2020-08-21 10:15:00,Anchorage,AK,Disk,10-12 minutes,Elmendorf Airbase launched 3 F-22 jets with afterburners which caught my attention. The jets were going up vertical and the first jet,https://nuforc.org/webreports/reports/158/S158808.html
31,2020-08-20 04:00:00,Anchorage,AK,Triangle,45 minonds,"Spinning pyramid with red, green, blue lights, turned yellow in orbit, then gone to stars",https://nuforc.org/webreports/reports/158/S158800.html
32,2020-08-17 00:30:00,Bethel,AK,Triangle,3-4 minutes,Black Triangle UFO in Alaska,https://nuforc.org/webreports/reports/158/S158710.html
33,2020-04-09 10:15:00,54.690 163.771,AK,Changing,8 minutes,REPORT FROM ((name deleted)) 5-29-20 DATE OF OCCURRENCE 4-9-20 SIGHTING FROM AIRCRAFT: PA-31 NAVAJO DESCRIPT,https://nuforc.org/webreports/reports/156/S156776.html
34,2020-03-30 21:30:00,Seward,AK,Light,Several hours,"Reports from witnesses in different locations confirm seeing 4 objects with flashing colored lights, hovering over resurrection bay",https://nuforc.org/webreports/reports/154/S154709.html
35,2020-03-30 01:18:00,Point Makenzie,AK,Light,30 minutes,"I don't know if I'm correct but, I just stare at it for a good couple seconds and it moves around.",https://nuforc.org/webreports/reports/154/S154647.html
36,2020-03-23 12:00:00,Juneau,AK,Changing,30 minutes,Yellow light craft That changes shapes over Juneau Airport area,https://nuforc.org/webreports/reports/154/S154459.html
37,2020-03-12 20:57:00,Eagle River,AK,Circle,4 minutes,Two bright flying objects flying above Eagle River,https://nuforc.org/webreports/reports/155/S155719.html
