,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/15/23 18:10,Athabasca,AB,Canada,Cigar,,Sitting outside saw something in the sky not a airplane took a video,5/19/23,
1,5/12/23 23:50,Cochrane,AB,Canada,Orb,15-20 seconds,4 pointed craft outlined as orbs. went over cul Dec sac.Four orbs intercommunicated,5/19/23,
2,4/30/23 17:01,Calgary,AB,Canada,Circle,3 seconds,Silver round object traveled very fast,5/19/23,
3,4/23/23 11:35,Calgary,AB,Canada,Triangle,10 seconds,"3 moving in sky, was small and was formed as a triangle. Within seconds all 3 separated from one another and zipped through sky.",5/19/23,
4,3/3/23 22:22,Fort McMurray,AB,Canada,Circle,1 minute and 25 seconds,5 orbs flying after 45 seconds there was only 1,4/9/23,
5,2/16/23 23:25,Rocky View County,AB,Canada,Light,5,"2 solid bright lights go straight up slowly, one at a time, then change direction and start blinking towards the south",3/6/23,
6,2/11/23 20:05,Lethbridge,AB,Canada,Light,5 minutes,"Solid white light moving very fast over Nobleford, Alberta",3/6/23,
7,2/11/23 11:35,Calgary,AB,Canada,Light,2 seconds,Fast moving light yellow red glow maybe 10 times speed of fighter jet really fast only visible 2 or 3 seconds,3/6/23,
8,2/10/23 21:55,Edmonton,AB,Canada,Oval,5 minutes,"Soundless, Round or oval thick object flew over top of my house so fast it was gone in less than 3 seconds.",3/6/23,
9,12/6/22 06:41,Sherwood Park,AB,Canada,Triangle,10 minutes,Three white lights in the shape of a triangle flying low and slow. Alternating lights of green and red. Blue light strip along side.,12/22/22,
10,11/7/22 20:35,Calgary,AB,Canada,Cone,Seconds,"Brightly lit cone in sky, shadow underneath. Round shapes on side.",12/22/22,Yes
11,11/3/22 23:18,Cochrane,AB,Canada,Rectangle,1min,Two sets of 4 lights about 10km-20km away moving very fast towards each other converged and faded into the distance.,12/22/22,
12,10/9/22 23:59,Edmonton,AB,Canada,Light,not sure,Please contact,12/22/22,
13,10/1/22 18:55,Edmonton,AB,Canada,Disk,about 5 minutes,"Luminous disc changing colour from creamy orange to amber, disappearing, reappearing reddish changing gradually to purple, winking out.",12/22/22,
14,9/27/22 23:00,Grande Prairie,AB,Canada,Rectangle,About 5 minutes,Horizontal rectangle looked like 2 stacked red horizontal lines in sky didnt move then just vanished,12/22/22,
15,9/27/22 21:40,Just west of Edmonton,AB,Canada,Circle,I watched it for 10 min.,It was a half ring of white and red lights. It was stationary and the lights were alternating in no particular order.,10/8/22,
16,9/22/22 01:30,Edmonton,AB,Canada,Fireball,Watched it for about a ho,It was a orange light when I got my camera and started recording . It got bigger and bigger meanwhile there were two little ones as wel,12/22/22,
17,8/22/22 21:42,Calgary,AB,Canada,Oval,10 minutes,Craft in northern sky caught my eye as it was stationary and glowing green with flashing lights.,9/9/22,Yes
18,6/18/22 21:10,Calgary,AB,Canada,Cylinder,about 5 min,me and my friend were taking a picture of the sunset we seen an cylinder shape object in the picture.,6/22/22,Yes
19,5/23/22 22:34,Lethbridge,AB,Canada,Light,"West, East, West, North","Large and bright, moved very fast from the east to the west, back to the east, then west, stopped for 2 seconds and then went north.",6/22/22,
20,5/14/22 22:35,EDMONTON,AB,Canada,Formation,3 minutes,Straight line formation distance apart equal about 3 lrg plane sizes long. Diamond bracelet next to moon stretched out,6/22/22,
21,5/14/22 00:27,BONNYVILLE,AB,Canada,Rectangle,SECONDS ONLY,FLASH OF LIGHT,6/22/22,Yes
22,4/29/22 21:45,Okotoks,AB,Canada,Cylinder,45 seconds,Huge cylinder silently crosses the sky.,5/31/22,Yes
23,3/25/22 07:04,Cardiff (Canada),AB,Canada,Cigar,,Large streak,4/22/22,Yes
24,2/22/22 04:54,Edmonton (Canada),AB,Canada,Cylinder,2min,"West Edmonton looking east. ((NUFORC Note: Possibly a cluster of Starlink satellites, we believe. PD))",3/4/22,
25,10/4/21 03:05,Okotoks,AB,Canada,Other,20-30 seconds,1 object with 4-5 lights across and 4-5 lights down in the shape of a capital T not a cross,10/8/22,
26,9/13/21 12:30,Edmonton,AB,Canada,Sphere,2 minutes,Huge sphere like 10 meters in diameter with six symmetrical cone like spikes.,9/9/22,Yes
27,8/12/21 22:00,Calgary,AB,Canada,Fireball,20,"Fireball developing west to east, orange.",9/7/21,
28,7/6/21 22:44,calgary,AB,Canada,Egg,within seconds,Possible objects in sky,6/22/22,Yes
29,5/28/21 23:13,Calgary (Canada),AB,Canada,Circle,1-2 minutes,over 30 bright round unidentified craft traveling fast.,7/31/21,
30,5/16/21 23:38,Red Deer (Canada),AB,Canada,,5 Minutes,Organized line of bright objects,5/20/21,
31,4/26/21 00:30,Calgary (Canada),AB,Canada,Circle,Minute,"Erratically fast moving white star like craft, dimmed down and vanished",5/20/21,
32,3/4/21 06:07,Calgary (Canada),AB,Canada,Cylinder,2-3 minutes,"Well-lighted cylindrical object in Calgary sky moving NW to SE. Odd shape, size, and angle (orientation).",3/31/21,
33,12/31/20 21:00,Edmonton,AB,Canada,Formation,3-5,Three Orange Lights Triangle,1/19/21,
34,12/20/20 15:30,Edmonton (Canada),AB,Canada,Oval,LESS THAN 1 SECOND,"VERY, VERY FAST OBJECT",1/19/21,
35,11/15/20 23:21,Calgary,AB,Canada,Circle,2-3 minites,Red and Orange Blue White flashing lights in clear night sky move in cricle motion,12/23/20,
36,11/2/20 17:20,Okotoks (Canada),AB,Canada,Formation,20 minutes,"Either 6 in formation of a hexagon, or one massive hexagon.",12/23/20,
37,10/11/20 18:15,Brooks (Canada),AB,Canada,Orb,2 minutes,Bright orb in clear sunny sky just before dusk in a clear sky. Bright light appears for 30 seconds disappeared then reappeared for 20 s,12/23/20,
38,9/20/20 17:00,Alberta (rural)(Canada),AB,Canada,Other,2 seconds,Id like to submit a video for your assessment.,3/2/21,
39,9/16/20 11:50,Calgary (Canada),AB,Canada,Other,1 hour+,Bow shaped object with bright flickering orange lights hovers over downtown Calgary,11/5/20,
40,9/8/20 02:00,Edmonton (Canada),AB,Canada,Triangle,10 seconds,"Grey Triangle appears out of the black sky, descends and moves east accelerating at a phenominal rate.",11/5/20,
41,9/2/20 21:45,Coronation (Canada),AB,Canada,Sphere,2 minutes,"Looked out window to the east to see if Mars was up yet. Sky clear, very few clouds, rising full moon. Faint spherical ""cloud&qu",9/4/20,
42,9/1/20 04:20,Edmonton,AB,Canada,Light,3 minutes,"I was riding my pedal bike to the 711 in st.albert,Alberta from near the casino when I was riding my bike from 711 there was a Super Br",9/4/20,
43,8/26/20 23:44,Edmonton (Canada),AB,Canada,Orb,5 seconds,Sitting on my front bench outside my house looking up listening to music. A glowing white orb at cloud level zips from the East to the,8/27/20,
44,8/26/20 02:30,Edmonton (Canada),AB,Canada,Changing,hours,cluster of bright colored lights,8/27/20,
45,8/22/20 14:00,Calgary,AB,Canada,Oval,15 seconds,Silvery white oval moving fast west of Calgary,8/27/20,
46,8/21/20 21:55,Lethbridge (Canada),AB,Canada,Unknown,1 minute,Green soundless object seen in Lethbridge night sky,8/27/20,
47,7/28/20 23:55,Lethbridge (Canada),AB,Canada,Light,7 seconds,"Very fast, and faint 3 lights traveling in a northbound heading",7/31/20,
48,7/21/20 12:30,Lethbridge (Canada),AB,Canada,Formation,30 seconds,6 dark triangle shapes in formation,7/23/20,
49,7/11/20 03:11,Aidrie (Canada),AB,Canada,Circle,20+ minutes,Flashed it remained A bright light hovered 20+ minutes very bright red and green lights,7/23/20,
50,6/2/20 11:00,Ponoka (Canada),AB,Canada,Light,6 hours,Almost every night since October there has been a bright light following me at night. Some nights it will meet up with a smaller lig,6/25/20,
51,4/30/20 22:00,Calgary (Canada),AB,Canada,Disk,<5 minutes,"At approximately 10:00pm, I spotted a large white light in the sky, it was very bright. I went outside to inspect it further and the li",6/25/20,
52,4/21/20 00:00,Airdrie (Canada),AB,Canada,Chevron,10 seconds,"Very large silent Chevron boomerang shape moving north approximately 1500 mph no noise. Instant fear, checked family and went into base",6/25/20,
53,4/19/20 04:30,Meeting Creek (Canada),AB,Canada,Light,5 minutes,12 lights travelling equidistant from one another. Possible large craft sighting. ((Starlink satellites?)),6/25/20,
54,4/18/20 21:50,Edmonton (Canada),AB,Canada,Light,4 minutes,"I saw 2 lights heading against one another, perhaps satellites. ((Starlink satellites))",5/1/20,
55,4/18/20 21:00,Calgary (Canada),AB,Canada,Formation,11 minutes,"18 consecutive lights, following a course, some swirling in a circular patterns. ((Starlink satellites?))",6/25/20,
56,4/18/20 00:05,Edmonton (Canada),AB,Canada,Triangle,5 seconds,"Triangular, no sound, no lights emitted, almost fully blended into the black night sky (no clouds to determine altitude )",5/1/20,
57,4/15/20 23:00,Calgary (Canada),AB,Canada,Oval,15 minutes,"Large, fixed object to the west.",6/25/20,
58,4/13/20 23:00,Brocket (Canada),AB,Canada,Circle,1 hour,"2 large oranges/white balls in sky. Red, blue, green lights swirling all around. It would stop and move up and down backwards .",6/25/20,
59,3/22/20 00:00,Kenora (Canada),AB,Canada,Light,10 minutes,UFO CAUGHT ON VIDEO (WINNIPEG KENORA AREA),5/21/20,
60,3/20/20 22:00,Calgary (Canada),AB,Canada,Triangle,2 minutes,"Triangle shape, no sound",5/15/20,
61,3/15/20 01:00,Calgary (Canada),AB,Canada,Formation,4 hours,"In Calgary's north east skys from midnight till About 5am anywhere between 3 and 6 craft can be seen, undulating, shaking Irracticly,",5/15/20,
62,2/26/20 21:15,Edmonton (Canada),AB,Canada,Other,4 minutes,"Boomerang shape, 12 red lights in back in groups of 4. Green and white in the front. Black body ship. Moving very slow and no noise .",4/9/20,
63,2/25/20 21:00,Edmonton (Canada),AB,Canada,Light,15 minutes,Bright light.,4/9/20,
64,2/25/20 06:10,Calgary,AB,Canada,Unknown,90 seconds,"16 consecutive lights equidistant from each other. ((""Spacelink"" satellites??))",4/9/20,
65,2/24/20 21:30,St. Albert (Canada),AB,Canada,Other,2 minutes,Heronian angle shape/ red lights/ slow and quiet/ black and large form,5/15/20,
66,2/23/20 00:11,Lacombe (Canada),AB,Canada,Triangle,3 minutes,My dad and his employee first seen this large triangle high up in altitude. It then dropped lower. That is when he called me outside to,11/5/20,
