,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-16 19:00:00,Tucson,AZ,Disk,15 min,Hovering UFO,https://nuforc.org/webreports/reports/175/S175823.html
1,2023-05-11 04:06:00,Cottonwood,AZ,Circle,Not sure,4:06 am above work noticed craft flying past no noise no blinking lights camera trying to focus in video,https://nuforc.org/webreports/reports/175/S175731.html
2,2023-05-06 20:20:00,Mesa,AZ,Rectangle,Ongoing,White rectangular with green blinking light to the upper left of it,https://nuforc.org/webreports/reports/175/S175687.html
3,2023-05-05 20:00:00,Payson,AZ,Circle,3-5 seconds,Saw an extremely bright light moving incredibly fast east to west parallel to the horizon.,https://nuforc.org/webreports/reports/175/S175681.html
4,2023-05-03 05:40:00,Grand Canyon south rim,AZ,Disk,3 minutes,Taking pictures of the sun rise,https://nuforc.org/webreports/reports/175/S175675.html
5,2023-04-29 20:06:00,El Mirage,AZ,Circle,10-15 minutes,We witnessed a large cluster of objects moving towards us and spreading out as they came closer with several flying around others,https://nuforc.org/webreports/reports/175/S175626.html
6,2023-04-29 01:00:00,PRESCOTT VALLEY,AZ,Light,at least one hour,"lights that move in arcs horizontally, 1 to 5 lights moving independently but stay near each other, group drifts W to E over hours",https://nuforc.org/webreports/reports/175/S175572.html
7,2023-04-27 15:34:00,Chino Valley,AZ,Sphere,approximately 3 minutes,"It was stationary in the skyline approximately somewhere above 30 thousand feet, bright, silver, and no identifying markers or lights.",https://nuforc.org/webreports/reports/175/S175549.html
8,2023-04-23 14:30:00,Lake Havasu City,AZ,Orb,10 to 15 min.,visability almost unlimited. high cerris clouds. some cumulus clouds present.clouds traveling south.,https://nuforc.org/webreports/reports/175/S175483.html
9,2023-04-21 19:08:00,Green Valley,AZ,Light,A few minutes.,I stepped outside to take a picture of the sky after sunset for a photographic group challenge.,https://nuforc.org/webreports/reports/175/S175771.html
10,2023-04-13 21:02:00,Quartzsite,AZ,Light,15 Minutes,Lights in formation floating upward slow then fast,https://nuforc.org/webreports/reports/175/S175305.html
11,2023-04-12 01:46:00,Prescott Valley,AZ,Unknown,1 minute,"hovering craft with blinking lights of different colors, no sound, then vanished",https://nuforc.org/webreports/reports/175/S175371.html
12,2023-04-09 04:31:00,Phoenix,AZ,Triangle,Around 10 seconds,Green triangular object darting across the sky before vanishing,https://nuforc.org/webreports/reports/175/S175275.html
13,2023-04-07 18:35:00,Scottsdale,AZ,Unknown,20 minutes,"It looked segmented, very flashy, as it randomly had the sun flashing off of it. 2 segments aligned vertically.",https://nuforc.org/webreports/reports/175/S175235.html
14,2023-04-01 21:01:00,Phoenix,AZ,Circle,one Hour,watched for hour-up to 25 objects-each object has 6 to 8 bright lights form circle-fast contentious Bright Flashing Multi color Haze,https://nuforc.org/webreports/reports/175/S175533.html
15,2023-03-28 20:55:00,Cave Creek,AZ,Changing,40 minutes,"Very big and bright white light that eventually dimmed, became much smaller, and turned red.",https://nuforc.org/webreports/reports/175/S175151.html
16,2023-03-26 23:25:00,Tucson,AZ,Orb,20+ minutes,Pulsating light stationary in the western sky,https://nuforc.org/webreports/reports/175/S175131.html
17,2023-03-26 21:10:00,Sedona,AZ,Other,12 seconds,Boomerang/ triangle silent no lights <= 300meters above,https://nuforc.org/webreports/reports/175/S175130.html
