,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-02 16:02:00,Ozone,AR,Unknown,15 seconds,Unrecognizable dark craft flies along southern edge of the Ozarks,https://nuforc.org/webreports/reports/175/S175761.html
1,2023-04-20 02:12:00,Centerton,AR,Orb,Lasts nearly an hour,"Orbs appearing, slowing down, then dimming from left to right.",https://nuforc.org/webreports/reports/175/S175410.html
2,2023-04-19 00:30:00,Texarkana,AR,Circle,Unknown,"The pilot of BYA584 at FL270 approximately 41 miles southwest of Texarkana, AR reported lights off to the north.",https://nuforc.org/webreports/reports/175/S175290.html
3,2023-04-10 20:15:00,Alma,AR,Light,35 minutes,Step outside and looked north,https://nuforc.org/webreports/reports/175/S175384.html
4,2023-04-09 20:00:00,Alma,AR,Flash,2 minutes,Step outside and looked east,https://nuforc.org/webreports/reports/175/S175401.html
5,2023-03-26 13:07:00,Ward,AR,Oval,30 minutes,A oval-like object with pinched sides surrounded by an effect similar to a heat shimmer that bent and colored the light around it.,https://nuforc.org/webreports/reports/175/S175126.html
6,2023-03-25 18:30:00,alma,AR,Disk,2 seconds,silver disc with cloaking ability,https://nuforc.org/webreports/reports/175/S175135.html
7,2023-02-28 20:06:00,Fort Smith,AR,Circle,about 1 mile,Two round objects hovering above each other. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174771.html
8,2023-02-14 15:55:00,Fort Smith,AR,Circle,Less than a minute,Seen a shiny object moving across the sky at 3:55pm on 2/14/23.,https://nuforc.org/webreports/reports/174/S174566.html
9,2023-02-13 19:23:00,Dover,AR,Unknown,1-2 minutes,Large string of bright lights in a chevron formation,https://nuforc.org/webreports/reports/174/S174584.html
10,2023-02-06 20:56:00,Greenbrier,AR,Light,3 Minutes,One craft passing two C-130s at speed never seen before.,https://nuforc.org/webreports/reports/174/S174341.html
11,2023-01-01 23:59:00,Forest City,AR,Oval,more than an hour,A shadow came across with lights hitting the ground and a spot light type light,https://nuforc.org/webreports/reports/174/S174719.html
12,2022-12-18 00:40:00,Eureka Springs,AR,Triangle,About 8 seconds,While looking at the stars a triangle of light flew over head at an incredible speed.,https://nuforc.org/webreports/reports/173/S173459.html
13,2022-12-18 00:40:00,Eureka Springs,AR,Other,Approx. 15-20 seconds,A V shape array of 4 lights each side going east to west,https://nuforc.org/webreports/reports/173/S173460.html
14,2022-10-22 20:00:00,Jonesboro,AR,Triangle,20 sec,Saw three lights in a triangle shape about 80 over a house not moving.,https://nuforc.org/webreports/reports/172/S172558.html
15,2022-10-21 06:00:00,Little Rock,AR,Star,at least 30 minutes,white star shaped dot moving back and forth,https://nuforc.org/webreports/reports/172/S172450.html
16,2022-10-13 23:20:00,Fayetteville,AR,Formation,8-10 seconds,Saw a formation of red/orange lights gliding across the sky unison shifting different formations into shape like patterns.,https://nuforc.org/webreports/reports/172/S172375.html
17,2022-10-12 18:50:00,Rogers,AR,Orb,15,Shining Metallic Solid Orb,https://nuforc.org/webreports/reports/172/S172653.html
18,2022-10-03 03:30:00,Benton,AR,Changing,1 hour,Round object in sky changing colors from red green white blue.,https://nuforc.org/webreports/reports/172/S172174.html
19,2022-10-01 23:45:00,Judsonia,AR,Light,Couple hours,Went outside to take picture of the moon like I do every night and seen this object coming towards me.,https://nuforc.org/webreports/reports/173/S173357.html
20,2022-09-30 19:22:00,Cave City,AR,Orb,Several seconds,A very bright moving object that disappeared once observed.,https://nuforc.org/webreports/reports/172/S172181.html
21,2022-09-18 21:18:00,Hot Springs Village,AR,Triangle,,Bright lights shoots down at times,https://nuforc.org/webreports/reports/171/S171869.html
22,2022-09-10 20:36:00,Oak Grove,AR,Light,3 Seconds,A bright yellow light formed above the tree line and shot straight up and disappeared.,https://nuforc.org/webreports/reports/171/S171683.html
23,2022-08-13 14:48:00,Hot Springs,AR,Changing,90 seconds,Reflective sphere that morphs to looking like a square moving accross a mountian ridge then dips into a valley blending into the trees,https://nuforc.org/webreports/reports/171/S171199.html
24,2022-08-09 05:40:00,Mountain Home,AR,Changing,15 minutes,Sparkling light stationary with various colors near the horizon before dawn.,https://nuforc.org/webreports/reports/171/S171030.html
25,2022-07-30 23:01:00,Bella Vista,AR,Cigar,2:00 Minutes,A disk that had lights on it hovered over the lake and disappeared in a blink of an eye.,https://nuforc.org/webreports/reports/170/S170914.html
26,2022-07-27 22:20:00,Conway,AR,Star,Shortly past sun rise,A bright small object that moves freely in the sky that seems to be attempting communication with Me,https://nuforc.org/webreports/reports/172/S172906.html
27,2022-07-19 22:20:00,Melbourne,AR,Light,About 7 minutes,Two orange lights slowly pulsing in the distance.,https://nuforc.org/webreports/reports/170/S170544.html
28,2022-07-12 02:00:00,Bigelow,AR,Disk,At least a half hour more,I saw a strange light hovering with red green lights flickering I took my camera and filmed it . It was moving up/down /diagonal,https://nuforc.org/webreports/reports/170/S170276.html
29,2022-07-06 22:47:00,Seary,AR,Cigar,About 7 to 10 minutes,Following a small plane in sky when I noticed object .,https://nuforc.org/webreports/reports/172/S172463.html
30,2022-06-19 01:28:00,Lonoke,AR,Changing,Longer than 5 minutes,Form of energy in the sky that created a continuous circle,https://nuforc.org/webreports/reports/168/S168816.html
31,2022-06-17 05:34:00,Brinkley,AR,Disk,Caught on camera,Caught on camera. ((NUFORC Note: Lens flare?? PD)),https://nuforc.org/webreports/reports/168/S168679.html
32,2022-06-02 21:04:00,Searcy,AR,Circle,At least 5 minutes,Circular spinning light with a glow all the way around,https://nuforc.org/webreports/reports/173/S173800.html
33,2022-06-02 08:05:00,Littlerock,AR,,,MADAR Node 56,https://nuforc.org/webreports/reports/168/S168715.html
34,2022-05-30 11:11:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/168/S168709.html
35,2022-05-10 22:30:00,Pangburn,AR,Orb,One to two Minutes,"The night sky was overcast and the Red ""star"" I saw was the only light in the sky. It stayed motionless and then flickered out.",https://nuforc.org/webreports/reports/167/S167868.html
36,2022-04-30 04:42:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167816.html
37,2022-04-24 19:30:00,Jonesboro,AR,Other,1 min,Just was filming a storm in front of a tornado.,https://nuforc.org/webreports/reports/171/S171033.html
38,2022-04-19 19:08:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167655.html
39,2022-04-18 18:01:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167656.html
40,2022-04-08 05:39:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167634.html
41,2022-03-30 05:42:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167523.html
42,2022-03-29 21:50:00,Fort Smith,AR,Unknown,15 minutes,"Fast moving objects, moving easy to west.",https://nuforc.org/webreports/reports/167/S167302.html
43,2022-03-25 04:16:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167534.html
44,2022-03-16 08:55:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167244.html
45,2022-03-15 04:37:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167245.html
46,2022-03-09 04:51:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167193.html
47,2022-03-08 07:52:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167194.html
48,2022-03-07 06:47:00,Star Valley,AR,,,MADAR Node 53,https://nuforc.org/webreports/reports/167/S167203.html
49,2022-02-28 15:22:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/167/S167162.html
50,2022-02-16 04:39:00,Jonesboro,AR,,,MADAR Node 143,https://nuforc.org/webreports/reports/166/S166875.html
51,2022-02-14 05:30:00,Camden,AR,Oval,Still there..over 10 mins,A strange light in the sky just stationary,https://nuforc.org/webreports/reports/166/S166659.html
52,2022-02-06 19:25:00,Pine Bluff,AR,Oval,30 seconds or so,UFO looks to hover before disappearing,https://nuforc.org/webreports/reports/166/S166591.html
