,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/17/23 11:54,Atlin,BC,Canada,Diamond,3 minutes,"Extreme bright light moving east from west just above height of land thousands of feet below air corridor.single track,no sound,stable",5/19/23,
1,5/9/23 00:30,Shawnigan Lake,BC,Canada,Triangle,Over an hour and a half,"3 triangular shaped orbs,each with 3 colored lights.Each orb pulsate or ovulated,all 3 were stationary for over an hour and a half.",5/19/23,
2,4/29/23 05:30,Coal harbour,BC,Canada,Circle,Over minute,Remote area,5/19/23,
3,4/8/23 22:15,Victoria,BC,Canada,Fireball,About 5 minutes,We spotted this above our house and it looked like something on fire flying in a horizontal line over the roofs of the houses,5/19/23,
4,2/24/23 23:35,Mill Bay,BC,Canada,Sphere,5 minutes,"Clear dark night. 2 round balls that looked like a disco ball low in sky. One approx. South West, the other East above Cowichan Bay",3/6/23,
5,2/10/23 13:24,Lake Country,BC,Canada,Chevron,10 minutes,Saw what I thought was a plane but it didn't have a trail it changed direction and was moving too fast,3/6/23,Yes
6,2/10/23 07:45,Kelowna,BC,Canada,Unknown,10 seconds,Looking in the sky saw an object over the airport flying over the mountain that was not a airplane or helicopter it looked on fire,3/6/23,
7,2/3/23 16:30,Westbank,BC,Canada,Changing,20 min,Large cloud shaped object moving directly across the sky in opposition to the wind and other clouds leaving a trail.,3/6/23,Yes
8,1/29/23 10:20,Sparwood,BC,Canada,Light,4 seconds,A green luminescent light flew across the valley over the town towards the coal mine....very straight line at a high speed,3/6/23,
9,12/27/22 16:53,Nanaimo,BC,Canada,Oval,1 minute,"Stationary , oval shape, metal bottom, bright light.",3/6/23,Yes
10,12/12/22 21:00,Prince George - Vancouver,BC,Canada,Light,10 secs x 4 times,A bright white light suddenly appeared in the western sky at night.,12/22/22,
11,11/8/22 19:00,Nanaimo,BC,Canada,Light,Not sure how long before,Clear sky looking at moon then to the right two bright lights.,12/22/22,
12,9/30/22 20:10,victoria,BC,Canada,Circle,approx. 10 min.,"long line of lights following each other, but not like pics from Space x photos these werte seperate white lights , no solid line !",10/8/22,
13,9/5/22 15:58,Mendenhall Glacier,BC,Canada,Cone,,We didnt notice these Orbs until we was looking at the pictures of our cruise to Alaska.,10/8/22,Yes
14,9/4/22 20:51,Creston area,BC,Canada,Disk,3-10 sec,"tried to capture a mountain fire, but it was dark so I put on the flash took 2 more, flash showed the 2 objects",10/8/22,Yes
15,8/20/22 21:00,New Westminster,BC,Canada,Circle,Approximately 5-6 minutes,"Our family of 6 saw this, 3 adults and 3 children, ages 3, 9, and 17.",10/8/22,
16,8/6/22 11:50,Chilliwack,BC,Canada,Other,2hrs,Singular no moving,9/9/22,Yes
17,7/27/22 22:00,Burnaby,BC,Canada,Circle,1 to 2 minutes,Round saucer disk flying erratic and a high speed.,9/9/22,
18,7/13/22 20:00,Abbotsford,BC,Canada,Disk,1 to 2 minutes,We saw a disk shaped object clearly leave Mt Baker and disappear straight up,9/9/22,
19,4/29/22 22:20,Terrace,BC,Canada,Cigar,About 5 minutes,"Large, silent, illuminated cigar-shaped object passed slowly a over our heads, west to east",5/31/22,Yes
20,3/9/22 22:00,Duncan Highway-Ladysmith Highway,BC,Canada,Other,15 min,"While driving home on highway, saw two large square crafts blinking red and green.",4/22/22,
21,3/8/22 20:00,Nanaimo (Canada),BC,Canada,Other,30 min,Saw a Square craft blinking green and red,4/22/22,
22,3/7/22 04:48,Victoria,BC,Canada,Oval,15 to 20 seconds,Spotted a blue object streaking across the sky from north to south.,4/22/22,
23,2/17/22 02:00,cortes island bccortez,BC,Canada,Unknown,4 sec,Procyon,12/22/22,
24,2/13/22 06:41,Surrey (Canada),BC,Canada,Circle,1 hour,Bright light noticed very close to my home,3/4/22,Yes
25,10/30/21 18:00,Surrey (Canada),BC,Canada,Circle,5 minutes,Objects over Surrey B.C Canada.,11/15/21,
26,8/29/21 22:00,Surrey (Canada),BC,Canada,Light,5 minutes,Satellite changed direction while I watched,9/7/21,
