,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-09 13:17:00,Boulder,CO,Triangle,2 Minutes,Larg,https://nuforc.org/webreports/reports/175/S175716.html
1,2023-05-05 21:30:00,Aurora,CO,Unknown,,Object over streaking low skyline intersecting flight path,https://nuforc.org/webreports/reports/175/S175689.html
2,2023-05-05 21:25:00,Arvada,CO,Orb,Less than one minute,Saw a bright flying object in the southern sky seemingly tapered at both ends flying east to west at a low altitude.,https://nuforc.org/webreports/reports/175/S175702.html
3,2023-05-05 21:23:00,Littleton,CO,Circle,2 seconds,A light flying low in the atmosphere going extremely fast from south to north. There was no trail.,https://nuforc.org/webreports/reports/175/S175678.html
4,2023-05-04 22:00:00,Loveland,CO,Triangle,2 hours,"Bright triangle in the sky rotating, maybe a pyramid. 6 dim, blinking red and green lights circling each other. Came out of no where.",https://nuforc.org/webreports/reports/175/S175629.html
5,2023-04-30 14:00:00,Alma,CO,Rectangle,About one minute,"Daytime, low flying object",https://nuforc.org/webreports/reports/175/S175603.html
6,2023-04-27 03:09:00,Crawford,CO,Sphere,Several minutes,Saw a flash then a spear moving to the Northeast from the southwest then exploding with hardly any trail and there's a red explosion,https://nuforc.org/webreports/reports/175/S175535.html
7,2023-04-27 02:50:00,Fruita,CO,Fireball,45 seconds,Seen flying in a northeastern direction. From the colorado national monument towards Mt Garfield about Mesa County Colorado.,https://nuforc.org/webreports/reports/175/S175524.html
8,2023-04-16 01:20:00,duncan,CO,Light,30 minutes or more,witnessed 6-7 lighted crafts,https://nuforc.org/webreports/reports/175/S175521.html
9,2023-04-13 00:30:00,Estimated around Grand Junction,CO,Formation,45 minutes to 1 hour,"What seemed to be crafts with bright lights rotating in circle formations descending to earth, then ascending later on.",https://nuforc.org/webreports/reports/175/S175475.html
10,2023-04-12 01:20:00,Boulder,CO,Unknown,4.5 hrs (until 5:40am),Saw bright white lights followed by a dimmer light that moved erratically and sometimes very quickly while staying aloft for 4+ hrs,https://nuforc.org/webreports/reports/175/S175340.html
11,2023-04-11 21:41:00,Denver,CO,Orb,2 hours,Bright orb changing shape and rotating 3 days in a row,https://nuforc.org/webreports/reports/175/S175377.html
12,2023-04-06 22:03:00,Steamboat,CO,Other,,Took a photo of the moon,https://nuforc.org/webreports/reports/175/S175480.html
13,2023-04-03 00:05:00,New York-Boulder,CO,Circle,2 hours,"A large floating object in a sphere shape, and full of light traveling next to my plane for 2 hours.",https://nuforc.org/webreports/reports/175/S175507.html
14,2023-04-02 22:00:00,Broomfield,CO,Circle,10 minutes,"Bright oval light stationary position roughly over city of Boulder, CO",https://nuforc.org/webreports/reports/175/S175200.html
15,2023-03-27 23:15:00,"Boarder of Colorado, Utah and Wyoming",CO,Light,20 minutes,"3 lights forming a triangle, converging, disappearing. Then reappearing forming a triangle, converging then disappearing again.",https://nuforc.org/webreports/reports/175/S175144.html
16,2023-03-07 21:30:00,Fort Collins,CO,Light,1 minute +,2 alternating red green square lights,https://nuforc.org/webreports/reports/174/S174927.html
17,2023-03-06 12:27:00,Lakewood / Golden,CO,Rectangle,5 minutes,"Black object, rectangular shape, approximately 500 feet above ground moving west slowly.",https://nuforc.org/webreports/reports/174/S174965.html
18,2023-03-01 19:45:00,Greeley,CO,Light,Over 1.5 hrs,Witnessed multiple lights,https://nuforc.org/webreports/reports/174/S174824.html
19,2023-02-26 17:13:00,Lone tree,CO,Oval,15-20 seconds,"Two very silver, shiny oval, looking spears one 45° above the other",https://nuforc.org/webreports/reports/174/S174721.html
20,2023-02-25 20:55:00,Thornton,CO,Triangle,10-15 seconds max,Triangle shaped with energy shield or microwaves,https://nuforc.org/webreports/reports/174/S174716.html
21,2023-02-25 19:33:00,Grand junction,CO,Formation,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,https://nuforc.org/webreports/reports/174/S174722.html
22,2023-02-24 00:02:00,Denver or Littleton,CO,Unknown,15 minutes,"Twice Ive seen a bright light, with various colors, hovering in the sky",https://nuforc.org/webreports/reports/174/S174703.html
23,2023-02-20 00:24:00,Divide,CO,Light,25 minutes,Light moving erratically in the sky.,https://nuforc.org/webreports/reports/174/S174484.html
24,2023-02-16 10:43:00,Lakewood,CO,Sphere,5-10 minutes,Dark grey/ grey/ white Sphere in the sky,https://nuforc.org/webreports/reports/174/S174617.html
