,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 22:59:00,Shelton,CT,Formation,3-5 minutes,Bright RED lights,https://nuforc.org/webreports/reports/175/S175767.html
1,2023-05-06 21:00:00,Wallingford,CT,Changing,30 minutes,There was a floating thing in the sky turning red green and blue moving away suier slowly where you cant even realize its moving.,https://nuforc.org/webreports/reports/175/S175695.html
2,2023-05-01 23:46:00,Bridgeport,CT,Orb,About 1 minute,I literally saw a plane or jet chasing it.,https://nuforc.org/webreports/reports/175/S175562.html
3,2023-04-10 21:15:00,Sterling,CT,Unknown,45 minutes,"Flickering object, changing colors",https://nuforc.org/webreports/reports/175/S175387.html
4,2023-04-06 18:31:00,Waterbury,CT,Other,Minute,"No sound. Hovered above neighbors house, then a straight line going ~300mph.looked like it was going slow but it moved fast.",https://nuforc.org/webreports/reports/175/S175304.html
5,2023-03-30 16:19:00,Meriden,CT,Chevron,2-3 mintues,I was driving dogs back home and,https://nuforc.org/webreports/reports/175/S175426.html
6,2023-03-11 19:35:00,East Hartford,CT,Sphere,2:05,I got off the bus and noticed 2 spherical red lights to my upper left,https://nuforc.org/webreports/reports/174/S174992.html
7,2023-03-09 18:30:00,Colchester,CT,Triangle,,Driving route 2 towards Norwich Ct,https://nuforc.org/webreports/reports/174/S174951.html
8,2023-03-08 23:32:00,Derby,CT,Unknown,32 seconds,I saw the flying object in the sky,https://nuforc.org/webreports/reports/174/S174940.html
9,2023-03-07 19:15:00,Oakdale,CT,Other,,UFOs crossed our path,https://nuforc.org/webreports/reports/174/S174929.html
10,2023-02-13 14:37:00,New Britain,CT,Unknown,2 - 3 minutes,Cube like craft seen underneath military Chinook helicopter,https://nuforc.org/webreports/reports/174/S174599.html
11,2023-02-11 17:24:00,Higganum,CT,Triangle,About 40 minutes,Was driving and could observe it for 20 minutes of my drive. It did not seem to move,https://nuforc.org/webreports/reports/174/S174437.html
12,2023-02-08 22:08:00,Torrington,CT,Rectangle,5 seconds,Strange object passing across the Moon,https://nuforc.org/webreports/reports/174/S174389.html
13,2023-02-03 10:30:00,West Suffield,CT,Triangle,10 seconds,Triangle shape descending straight down,https://nuforc.org/webreports/reports/174/S174646.html
14,2023-01-30 17:13:00,Collinsville,CT,Light,Unknown,Driving along River Road saw glowing orange object two tails hovering,https://nuforc.org/webreports/reports/174/S174275.html
15,2023-01-26 07:08:00,Naugatuck,CT,Circle,10 minutes,"Driving up through route 8, saw two aircraft just sort of hovering in the air.",https://nuforc.org/webreports/reports/174/S174146.html
16,2023-01-09 17:50:00,Milford,CT,Unknown,5 seconds,"18 btw. I was outside with friend. Saw white circle then turn into flames, then go down right to left. Then 5 min later same thing L-R",https://nuforc.org/webreports/reports/173/S173819.html
17,2023-01-07 17:48:00,West haven,CT,Circle,Maybe 4 minutes,Orange balls,https://nuforc.org/webreports/reports/173/S173782.html
18,2022-12-03 20:26:00,Sandy Hook,CT,Light,3 seconds,1,https://nuforc.org/webreports/reports/173/S173239.html
19,2022-11-25 20:30:00,Greenwich,CT,Sphere,15 minutes and contining,Was walking dog and saw four circling lights moving rapidly and then coalescinng,https://nuforc.org/webreports/reports/173/S173188.html
20,2022-11-22 21:38:00,Bridgeport,CT,Triangle,10-13 seconds,One flying unidentified object seen. There were blue and red lights flashing. The color changed from blue to red and red to blue quick.,https://nuforc.org/webreports/reports/173/S173153.html
21,2022-11-22 18:30:00,North Branford,CT,Triangle,,One with triangle light sequence one very bright,https://nuforc.org/webreports/reports/173/S173150.html
22,2022-11-22 17:21:00,Waterford,CT,Unknown,1 minute,The left one was bigger and white- the right was was smaller and red. It was NOT airplanes. ((NUFORC Note: Contrails. PD)),https://nuforc.org/webreports/reports/173/S173158.html
23,2022-11-08 19:39:00,Orange,CT,Fireball,8 seconds,My wife and I were sitting in a parking lot deciding what we wanted for dinner when I saw what I believe was a UFO,https://nuforc.org/webreports/reports/172/S172869.html
24,2022-11-07 17:20:00,Greenwich,CT,Chevron,15 seconds,it flew low to the ground and it was the driver of the car that pointed it out. it had red and green and white lights on it.,https://nuforc.org/webreports/reports/172/S172845.html
25,2022-11-02 18:41:00,lebanon,CT,Triangle,SEVERAL HOURS,triangle shaped white and red unit in sky hovering for hours. last night and tonight,https://nuforc.org/webreports/reports/172/S172757.html
26,2022-11-01 22:49:00,FRANKLIN,CT,Triangle,SEVERAL HOURS,"WHAT IS THE RED AND WHITE LIGHT HOVERING OVER FRANKLIN, CT ON 11/1/2022 9PM TO 11:35",https://nuforc.org/webreports/reports/172/S172745.html
27,2022-10-26 18:31:00,new britain,CT,Sphere,2-5 seconds,3-5 seconds white bright sphere at low altitude linear flight path moving a high rate of speed flashed to double its size and disappear,https://nuforc.org/webreports/reports/172/S172622.html
28,2022-10-12 15:11:00,Guilford,CT,Circle,30 minutes,"I was on our deck, I looked up and saw a sun which turned into a dumbbell.",https://nuforc.org/webreports/reports/172/S172834.html
29,2022-10-09 17:57:00,Newington,CT,Sphere,secs,"Operator for Node 106 in Newington, CT received a MADAR SMS (cell phone text alert), went outside with binocs, saw black sphere",https://nuforc.org/webreports/reports/172/S172669.html
30,2022-10-09 17:57:00,Newington,CT,,,MADAR Node 106,https://nuforc.org/webreports/reports/172/S172668.html
31,2022-10-09 17:56:00,Newington,CT,,,MADAR Node 106,https://nuforc.org/webreports/reports/172/S172368.html
32,2022-10-09 17:56:00,Newington,CT,Sphere,mins,Round black object observed with binoculars after MADAR alert.,https://nuforc.org/webreports/reports/172/S172369.html
33,2022-09-24 20:10:00,Vernon,CT,Unknown,3,Looked like a spotlight but mot attaches to anything.,https://nuforc.org/webreports/reports/172/S172003.html
34,2022-09-24 19:40:00,Cheshire,CT,Light,Less then 2mins,Bright light in sky.,https://nuforc.org/webreports/reports/172/S172009.html
35,2022-09-21 21:50:00,Waterbury,CT,Light,No more than 10 minutes,"Flashing red/white lights - whirring sound when lights were 'on'/visible - no sound when lights were ""off""/not visible",https://nuforc.org/webreports/reports/171/S171943.html
36,2022-09-14 21:40:00,Waterbury,CT,Oval,15 min,Very bright Oval looking light hovering very close. Too close to be a plane. Too far to be a Drone,https://nuforc.org/webreports/reports/174/S174509.html
37,2022-09-12 22:05:00,Thomaston,CT,Disk,2 seconds,We saw a large ship completely lit up moving at an impossible speed across the sky for 2 seconds,https://nuforc.org/webreports/reports/171/S171712.html
38,2022-09-11 17:58:00,Waterbury,CT,Orb,50 seconds,Very large orange orb .it went dark and at point its was only visible with the phone camera not the naked eye,https://nuforc.org/webreports/reports/171/S171973.html
39,2022-09-02 22:30:00,Norfolk,CT,Changing,8-10 hours,Constantly changing shape object,https://nuforc.org/webreports/reports/171/S171542.html
