,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-13 14:20:00,Rehoboth,DE,Disk,Approximately 10-12 secon,"An unusually fast, straight tracking object, at passenger flight altitude",https://nuforc.org/webreports/reports/175/S175468.html
1,2023-02-24 19:33:00,Wilmington,DE,Triangle,10 minutes,3 lights at each corner of triangle,https://nuforc.org/webreports/reports/175/S175027.html
2,2023-01-11 20:01:00,wilmington,DE,Fireball,,Me and everyone outside saw it from the street.,https://nuforc.org/webreports/reports/173/S173861.html
3,2022-12-28 22:25:00,Rehoboth Beach,DE,Light,continuous,smal group of bright lights moving independently at erratic direction and quite rapid speed.,https://nuforc.org/webreports/reports/173/S173629.html
4,2022-12-25 21:00:00,Dover,DE,Triangle,5-10 seconds,Triangle of lights moving above highway,https://nuforc.org/webreports/reports/173/S173578.html
5,2022-12-22 09:29:00,Newark,DE,Light,30 secomds,I saw a light that was not flashing moving then disappeared,https://nuforc.org/webreports/reports/173/S173518.html
6,2022-12-04 08:54:00,Wilmington,DE,Changing,3 min,I opened a portal in my kitchen,https://nuforc.org/webreports/reports/173/S173294.html
7,2022-10-21 22:30:00,Rehoboth Beach,DE,Light,lengthy and continual,After retiring to bed have straight up view of heavens. Always seem waiting for me and continuing as long as I keep looking.,https://nuforc.org/webreports/reports/172/S172422.html
8,2022-10-11 23:20:00,Viola,DE,Triangle,5 minutes,Hovering triangular aircraft seen again in our field,https://nuforc.org/webreports/reports/172/S172304.html
9,2022-10-08 21:00:00,Bear,DE,Orb,3 minutes,"There were bright orange, orb looking objects moving through the sky that looked very odd and out of the ordinary.",https://nuforc.org/webreports/reports/172/S172263.html
10,2022-09-24 19:50:00,Dover,DE,Triangle,1 minute,Saw craft with bright triangle light trail moving slowly,https://nuforc.org/webreports/reports/172/S172011.html
11,2022-09-19 19:20:00,Georgetown,DE,Formation,7 minutes,"I have a series of photos where a formation appears, changes, then disappears with just a few minutes",https://nuforc.org/webreports/reports/175/S175076.html
12,2022-09-13 20:43:00,Dover,DE,Light,4-5 minutes,Ball of light,https://nuforc.org/webreports/reports/171/S171762.html
13,2022-09-01 23:45:00,Hartly,DE,Other,About 3 seconds,A faded contrail type of craft moving quickly over a friend's house,https://nuforc.org/webreports/reports/172/S172041.html
14,2022-08-05 00:10:00,Viola,DE,Triangle,5 minutes?,Very large triangular aircraft with very little sound flew slowly over our field and reacted to my presence,https://nuforc.org/webreports/reports/172/S172306.html
15,2022-07-29 00:03:00,Dewey Beach,DE,Orb,30 seconds,"Two light green orbs moving close to eachother , high up, once far away they disappeared and a super bright light filled our eyes quick",https://nuforc.org/webreports/reports/170/S170781.html
16,2022-07-26 22:50:00,Greenwood,DE,Other,1 minute,HUGE unkn aircraft passed/glided directly overtop our vehicle. Moved slow /made NO sound until right overtop - unkn engine noise,https://nuforc.org/webreports/reports/170/S170711.html
17,2022-05-13 21:36:00,Middletown,DE,Triangle,5 min.,Bright orange V shape,https://nuforc.org/webreports/reports/168/S168350.html
18,2022-05-05 20:15:00,LEWES,DE,Light,Approx. 3-5 mins,Daughter noticed these lights and they were seemingly floating past. She took the attached photo with her cell,https://nuforc.org/webreports/reports/167/S167753.html
19,2022-04-02 08:12:00,Edgemoor,DE,Unknown,I watched it for about 5,"Not visible object moving fast in sky creating a super long, thick contrail.",https://nuforc.org/webreports/reports/167/S167354.html
20,2022-03-25 22:39:00,Dover,DE,Other,approximately 1 minute,It was about two telephone poles high up in the air,https://nuforc.org/webreports/reports/167/S167288.html
21,2022-02-28 19:05:00,Georgetown,DE,Oval,3 minutes,White orb like object seen hovering over a field that changed its lighting from all white to 3 large diamond shaped colored lights,https://nuforc.org/webreports/reports/166/S166939.html
22,2022-02-10 19:22:00,Dover,DE,Triangle,4 minutes,Moved very slowly just above the roof tops of some medical facilities across from the hospital.,https://nuforc.org/webreports/reports/166/S166647.html
23,2022-02-09 16:00:00,Claymont,DE,Disk,one-two minutes,Clear blue sky. It was following a jet that had just taken off from PHL airport.,https://nuforc.org/webreports/reports/166/S166980.html
