,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-13 13:50:00,Washington,DC,Cylinder,30 sec,"Elongated, silver, reflective object hovering over Capitol",https://nuforc.org/webreports/reports/175/S175362.html
1,2023-03-01 19:00:00,Washington,DC,Light,~30 min,2 slowly descending objects over Capitol Hill area,https://nuforc.org/webreports/reports/175/S175354.html
2,2023-02-28 18:50:00,Washington,DC,Light,Ongoing,A motorist stopped us to point out two lighted objects in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174755.html
3,2022-11-06 19:46:00,Washington dc,DC,Light,38 seconds,3 red lights forming a triangle and maneuvering in sync,https://nuforc.org/webreports/reports/173/S173540.html
4,2022-10-21 21:15:00,Washington DC,DC,Formation,10 seconds,I was walking home and took a picture of the monument. ((NUFORC Note: Lens flare caused by photographing bright lights. PD)),https://nuforc.org/webreports/reports/172/S172442.html
5,2022-10-21 20:51:00,Washington dc,DC,Formation,5 sec,I was walking home and took a few pic of the monument. ((NUFORC Note: Lens flares. PD)),https://nuforc.org/webreports/reports/172/S172439.html
6,2022-08-21 21:48:00,Washington DC,DC,Light,20 seconds,Fast moving light in sky over Washington DC,https://nuforc.org/webreports/reports/171/S171305.html
7,2022-02-07 18:39:00,"Washington, D.C.",DC,Unknown,Half a second,I saw something big and pitch black fly between my building and the building across the street that was completely silent.,https://nuforc.org/webreports/reports/166/S166617.html
8,2021-07-01 17:24:00,Washington,DC,Circle,2 minutes,Spherical UFO flies behind the US capitol building.,https://nuforc.org/webreports/reports/164/S164757.html
9,2021-06-13 13:36:00,Washington,DC,Other,10 minutes,Georgetown Bridge P Street and 23er Street NW,https://nuforc.org/webreports/reports/174/S174551.html
10,2021-05-27 00:00:00,"Washington, D.C.",DC,Light,4 seconds,Light dots moving in the sky,https://nuforc.org/webreports/reports/163/S163677.html
11,2021-05-27 06:50:00,Washington,DC,Light,10 seconds,Light charging from one dot to multiple dots of light crossing the sky,https://nuforc.org/webreports/reports/174/S174555.html
12,2021-04-14 23:29:00,"Washington, DC",DC,Triangle,1 hour,"Washington, DC, craft and sky events",https://nuforc.org/webreports/reports/162/S162992.html
13,2020-12-10 18:00:00,Washington,DC,Light,30 seconds,Bright light not blinking moves across sky making no sound.,https://nuforc.org/webreports/reports/161/S161166.html
14,2020-11-20 16:44:00,Washington,DC,Circle,10 minutes,In car driving into DC and saw two UFOs,https://nuforc.org/webreports/reports/168/S168398.html
15,2019-03-25 22:22:00,WashingtonWhite House,DC,Other,21:26 - 21:28 2 seconds,"Sideways 8, yellow, steady, UFO seen during TV News Show, during Adam Schiffs Comment at the Whitehouse.",https://nuforc.org/webreports/reports/145/S145303.html
16,2018-09-21 22:00:00,"Washington, D.C. (6 miles west of)",DC,Rectangle,2 minutes,((HOAX??)) I had the urge to buy Hersheys Kisses afterwards as I felt on a sugar low. ((anonymous report)),https://nuforc.org/webreports/reports/143/S143226.html
17,2018-06-16 21:58:00,Washington,DC,Light,,"Took a photo of the waxing moon June 16, 2018, and notice ufo in photo.",https://nuforc.org/webreports/reports/141/S141866.html
18,2018-05-14 00:00:00,"Washington, D.C.",DC,Disk,5 minutes,Odd this is the second time its Happened!,https://nuforc.org/webreports/reports/141/S141492.html
19,2017-12-21 06:24:00,Washington,DC,Unknown,1 minute,Buzzing Lighted Craft. ((anonymous report)),https://nuforc.org/webreports/reports/137/S137906.html
20,2017-05-12 14:30:00,"Washington, DC",DC,Orb,1 hour +,"Directly SE of DC, driving S on 395 I saw a BRIGHT yellow light ~3000' in the sky COMPLETELY still. ((anonymous report))",https://nuforc.org/webreports/reports/134/S134088.html
21,2016-10-02 11:00:00,"Washington, D.C.",DC,Other,4 minutes,I have never reported a sighting before so please forgive missing details. I was walking home Sunday morning around 1100hrs in northwes,https://nuforc.org/webreports/reports/130/S130418.html
22,2016-08-08 22:00:00,Washington,DC,Triangle,ongoing,There are 3 lights in the DC sky that are stationary and forming a triangle.,https://nuforc.org/webreports/reports/129/S129066.html
23,2016-04-12 01:30:00,"Washington, D.C.",DC,Circle,Few seconds,"Watching tv, I see a round object with a bright light coming from it. The object flew across the sky at about",https://nuforc.org/webreports/reports/126/S126821.html
24,2016-03-15 23:15:00,"Washington, D.C.",DC,Chevron,2 minutes,large boomerang floating across sky in wash.d.c.-observed with night vision goggles.,https://nuforc.org/webreports/reports/126/S126394.html
25,2016-03-13 05:40:00,"Washington, D.C. (above I-295 bridge)",DC,Flash,2 seconds,"I want to be clear on this event, I was on my way to N.H from Doswell Virginia, after staying the night in Kings dominion Best western.",https://nuforc.org/webreports/reports/126/S126361.html
26,2015-10-17 13:00:00,"Washington, D.C.",DC,Unknown,10 seconds,"'Unidentified Ground Object' Spotted in Northwest, Washington, DC",https://nuforc.org/webreports/reports/133/S133145.html
27,2015-02-09 20:20:00,"Washington, DC",DC,Changing,40 minutes,"A colorful object was seen from a far distance. It gave off red, then orange. then yellowish white light. have pictures.",https://nuforc.org/webreports/reports/117/S117249.html
28,2015-01-01 21:25:00,"Washington, D.C.",DC,Other,2 minutes,"2 glowing orange crafts, in the shape of hang-gliders, passed across the sky.",https://nuforc.org/webreports/reports/116/S116440.html
29,2014-12-23 02:20:00,Wilmington,DC,Circle,20 minutes +,"Sighting of a look alike 6 bright star like in circle with 1 bright starlike in middle in Wilmington, De 12/22/2014.",https://nuforc.org/webreports/reports/116/S116298.html
30,2014-12-08 01:00:00,"Washington, D.C.",DC,Flash,2 seconds,Saw a green orb shoot straight down. Too low for a shooting star. Brilliant emerald color.,https://nuforc.org/webreports/reports/122/S122780.html
31,2014-10-26 10:10:00,Rehoboth Beach,DC,Light,30 seconds,"4 orange lights flying east to west. ((NUFORC Note: Possible advertising lights, in a rotating display? PD))",https://nuforc.org/webreports/reports/114/S114753.html
32,2014-08-27 19:40:00,"Washington, DC",DC,Light,4 minutes,A light as if a star was observed around 7:30 PA while it was still bright and no other stars were visible. Initially I thought that th,https://nuforc.org/webreports/reports/112/S112984.html
33,2014-07-31 18:30:00,"Washington, D.C.",DC,Light,5 minutes,"Green, red light that hovered, moved, hovered and disappeared.",https://nuforc.org/webreports/reports/112/S112080.html
34,2014-06-20 21:00:00,"Washington, D.C.",DC,Formation,30 minutes,"Multiple light formation seen at 9pm Friday, June 20th, over the Potomac river in VA, from tallest hill in Washington, DC.",https://nuforc.org/webreports/reports/110/S110454.html
35,2014-02-22 10:30:00,"Washington, D.C.",DC,Formation,20 seconds,8 orbs of light flew directly over head in a formation before a synchronized deformation and dissapearance. Lone orb 5 min later.,https://nuforc.org/webreports/reports/107/S107425.html
36,2013-07-04 23:30:00,"Washington, D.C.",DC,Triangle,5 seconds,"Triangular shaped object flew across sky during Wash, DC 7/4/13 fireworks display.",https://nuforc.org/webreports/reports/102/S102325.html
37,2013-03-16 13:00:00,"Washington, D.C.",DC,Circle,seconds,Taking a picture and two objects moved quickly past in both pictures. It was so quick no one saw them but they are in the two pictures,https://nuforc.org/webreports/reports/096/S96665.html
143,2062-04-04 00:00:00,"Washington, D.C. (area)",DC,Sphere,total 30 to 40 minutes,"My brother. At a family gathering in the early 1960s when my brother, who served in a special part of the armed forces, revealed tha",https://nuforc.org/webreports/reports/032/S32758.html
144,2055-06-01 00:00:00,"Washington, D.C.",DC,Formation,,"Two fighter airplanes, assigned to inspect a white-dot cluster, suddenly disappear off radar, and then the cluster also disappears.",https://nuforc.org/webreports/reports/065/S65946.html
145,2053-07-13 21:00:00,"Washington, D.C.",DC,Orb,3-5 min.,"Four of us saw a ball of light come out of the sky, circle a plane then shoot off out of sight.",https://nuforc.org/webreports/reports/049/S49403.html
146,2052-07-17 00:00:00,"Washington, D.C.",DC,Unknown,long,http://www.washingtonpost.com/wp-dyn/articles/A31625-2002Jul19.html,https://nuforc.org/webreports/reports/024/S24009.html
