,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 22:17:00,jacksonville,FL,Diamond,2 minutes,"Bright fluorescent, orange, oddly shaped lit up like an active fire slowly dam down after probably two minutes.",https://nuforc.org/webreports/reports/175/S175757.html
1,2023-05-12 23:11:00,Oviedo,FL,Fireball,"2 min, 11 seconds","Floating ball of flames, orange like a rocket but round no clear direction of propulsion",https://nuforc.org/webreports/reports/175/S175783.html
2,2023-05-08 23:00:00,Cape Coral,FL,Unknown,Over an hour,Large shape changing triangular orb like light rays producing object,https://nuforc.org/webreports/reports/175/S175726.html
3,2023-05-07 22:00:00,Tampa,FL,Orb,2 seconds,I saw an orange orb fly across the sky at an incredible speed and then it went off and got obstructed by the building adjacent to me.,https://nuforc.org/webreports/reports/175/S175703.html
4,2023-05-05 00:00:00,Green Cove Springs,FL,Light,Approx 1hour,While sailing overnight to Florida we saw 2 objects in the sky over Florida moving randomly for approx an hour.,https://nuforc.org/webreports/reports/175/S175697.html
5,2023-04-30 20:30:00,Miami Beach,FL,Fireball,3 to 5 minutes,I was walking south on the beach from 69th and turned around to see the half moon shaped craft going faster than anything I ever saw,https://nuforc.org/webreports/reports/175/S175727.html
6,2023-04-30 20:30:00,Hypoluxo,FL,Other,one-two minutes,"Bowl-like large shape moving east, the bottom of ""bowl"" leading followed by a long, wide, ribbon-like plume.",https://nuforc.org/webreports/reports/175/S175566.html
7,2023-04-30 20:30:00,Sebring,FL,Circle,2min,8:30 pm seen a white trail of a moon like object that just appeared with red blinking lights n disappeared,https://nuforc.org/webreports/reports/175/S175574.html
8,2023-04-30 20:29:00,Pembroke Pines,FL,Fireball,2 minutes,Ball of heat with a rounded cone shape heading east with an orange trail.,https://nuforc.org/webreports/reports/175/S175567.html
9,2023-04-30 20:25:00,Hobe Sound,FL,Fireball,3mins,Fireball,https://nuforc.org/webreports/reports/175/S175582.html
10,2023-04-30 20:15:00,Chiefland,FL,Circle,:03 seconds,Large orange light source faded out in less 3 seconds,https://nuforc.org/webreports/reports/175/S175604.html
11,2023-04-30 19:40:00,Stuart,FL,Cylinder,7 mins,Object falling sky and than changing direction,https://nuforc.org/webreports/reports/175/S175575.html
12,2023-04-23 22:19:00,Sunny Isles Beach,FL,Light,1 min,2 dots spiraling and one closely following it then shot across the sky,https://nuforc.org/webreports/reports/175/S175481.html
13,2023-04-23 18:04:00,Gainesville,FL,Sphere,1 min 6s,"Recorded three small, grey, metallic, spherically shaped objects flying together half a mile away from my apartment",https://nuforc.org/webreports/reports/175/S175476.html
14,2023-04-21 00:24:00,Largo,FL,Chevron,5-10 seconds,South to North completely silent 4-5 white round lights.,https://nuforc.org/webreports/reports/175/S175434.html
15,2023-04-20 22:30:00,Jacksonville,FL,Other,constant contact,multiple beings eyes glow with blue light projected from eyes finger lights a orange color they fly and cloaking abilities also many or,https://nuforc.org/webreports/reports/175/S175630.html
16,2023-04-20 06:14:00,Margate,FL,Sphere,approx one minute,captured it on Iphone . Thought it was Jupiter . Slow movement but erratic,https://nuforc.org/webreports/reports/175/S175433.html
17,2023-04-19 19:30:00,Tarpon springs,FL,Circle,5-10 minutes,I was driving home from a roller blade with my dog when I saw what looked like a metal ball in the sky,https://nuforc.org/webreports/reports/175/S175786.html
18,2023-04-15 20:30:00,Avon park,FL,Fireball,30 to 45 seconds max,It appeared out of nowhere started moving slowly from West to east,https://nuforc.org/webreports/reports/175/S175323.html
19,2023-04-14 13:10:00,Pensacola,FL,Other,5 minutes,"5 white,gray triangle shaped.",https://nuforc.org/webreports/reports/175/S175322.html
20,2023-04-14 02:21:00,palm coast,FL,Fireball,,Two or more yellow orange lights descended on street,https://nuforc.org/webreports/reports/175/S175349.html
21,2023-04-09 21:50:00,Tampa,FL,Triangle,20 minutes plus,Appeared to be the brightest star in the night but it was fairly still light out,https://nuforc.org/webreports/reports/175/S175278.html
22,2023-04-08 09:30:00,Cayo Costa state park/ gulf of mexico,FL,Rectangle,One hour plus,watched one row of lights coming off gulf which we thought to be an airplane without strobes. It was extremely slow and stopped.,https://nuforc.org/webreports/reports/175/S175344.html
23,2023-03-26 21:05:00,Palm Beach,FL,Disk,25 minutes,"Bright, stationary, larger than star or planet,",https://nuforc.org/webreports/reports/175/S175142.html
24,2023-03-23 21:30:00,Cedar Key,FL,Orb,Approximately 2 hrs,Multiple lights ascending and decending,https://nuforc.org/webreports/reports/175/S175103.html
25,2023-03-22 23:50:00,Deland,FL,Unknown,2-3 minutes,Bright light,https://nuforc.org/webreports/reports/175/S175087.html
26,2023-03-21 21:10:00,Seminole,FL,Diamond,2 minutes,hovering object (1 light not 2 planets),https://nuforc.org/webreports/reports/175/S175075.html
27,2023-03-13 19:05:00,Key West,FL,Orb,7 minutes,200ft to the left of the Edward B Knight Pier,https://nuforc.org/webreports/reports/175/S175045.html
28,2023-03-11 20:55:00,Venice,FL,Cylinder,Approximately 3-4 minutes,Object moved slowly across sky. After about 3-4 minutes object faded away.,https://nuforc.org/webreports/reports/174/S174985.html
29,2023-03-11 15:04:00,Pensacola,FL,Sphere,30 seconds,Driving west on I-10 with a friend when we both saw a spherical object ~2ft in dia.,https://nuforc.org/webreports/reports/174/S174976.html
30,2023-03-11 07:04:00,Pensacola,FL,Sphere,30 seconds,Captured 2ft dia sphere on dashcam,https://nuforc.org/webreports/reports/174/S174975.html
31,2023-03-03 21:45:00,Jacksonville,FL,Flash,Approximately 10 minutes.,Blinking light of very slow duration in the upper atmosphere or geostationary orbit.,https://nuforc.org/webreports/reports/174/S174968.html
32,2023-03-01 20:21:00,Merritt Island,FL,Circle,Over 3 hours,Objects were seen initially around 5:30pm still there when I took the picture. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174809.html
33,2023-03-01 19:46:00,Parkland,FL,Star,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all. NUFORC Note: Jupiter and Venus",https://nuforc.org/webreports/reports/174/S174817.html
34,2023-03-01 19:17:00,New hope florida,FL,Circle,25 minutes,"I watched 2 lights that were different sizes, one being bigger then the other. NUFORC Note: Jupiter and Venus",https://nuforc.org/webreports/reports/174/S174825.html
35,2023-02-28 19:58:00,Zephyrhills,FL,Orb,1 Hour,"Feb 28th Zephyrhills, FL 33541 UAP Two Bright White Glowing UAP's Hover over Florida 24hrs After Rocket Launch.",https://nuforc.org/webreports/reports/175/S175254.html
36,2023-02-27 22:13:00,Clermont 4 corners,FL,Fireball,5 seconds,3 fireballs zipped across the sky like asteroids falling,https://nuforc.org/webreports/reports/174/S174754.html
37,2023-02-27 20:40:00,venice,FL,Light,passing by,craft with lights and a light preceeding it moving medium speed north to south low above 2-3000 ft.,https://nuforc.org/webreports/reports/175/S175065.html
38,2023-02-27 20:10:00,Boca Raton,FL,Light,1 minute,2 clouds (back one lit up),https://nuforc.org/webreports/reports/174/S174734.html
39,2023-02-27 20:02:00,Sarasota,FL,Light,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,https://nuforc.org/webreports/reports/174/S174735.html
40,2023-02-27 19:54:00,Nokomis,FL,Other,3-4 minutes,2 weird lit up flying objects,https://nuforc.org/webreports/reports/174/S174751.html
41,2023-02-27 19:50:00,Estero,FL,Light,1 minute,Incredible bright object- floating silently over at about 2000k feet.,https://nuforc.org/webreports/reports/174/S174737.html
42,2023-02-27 11:54:00,lutz,FL,Formation,5,Formation of 15-20 metallic star like objects heading north,https://nuforc.org/webreports/reports/174/S174729.html
43,2023-02-24 19:29:00,LOXAHATCHEE,FL,Fireball,20 seconds,Bright red ball appear above me. It was light red in the middle with a darker red outline and a very dark spot in the middle.,https://nuforc.org/webreports/reports/174/S174750.html
44,2023-02-24 00:31:00,Fort Myers,FL,Other,Less than a minute,"An ""L"" shaped craft with 5-7 white, circular rings on its undercarriage. Had no visible lights. Was illuminated by city lights.",https://nuforc.org/webreports/reports/174/S174707.html
45,2023-02-22 21:10:00,Sarasota,FL,Oval,,Ufo are real I wish I would of had my phone but I tell you Im sure my family is not the only one that seen this,https://nuforc.org/webreports/reports/175/S175427.html
46,2023-02-20 21:38:00,Largo Florida,FL,Triangle,,Large triangle figure with approximately 9 bright light beams no sound less then 15 seconds then gone no sound.,https://nuforc.org/webreports/reports/174/S174677.html
47,2023-02-19 19:25:00,Bonita Springs,FL,Formation,1 hour,Weird Lights,https://nuforc.org/webreports/reports/174/S174660.html
48,2023-02-19 07:20:00,Punta Gorda,FL,Unknown,2 minutes,Saw something that looked like a plane but wasnt,https://nuforc.org/webreports/reports/174/S174673.html
49,2023-02-18 21:30:00,Gainesville,FL,Chevron,10 seconds,Object coasted overhead in complete silence and nearly invisible.,https://nuforc.org/webreports/reports/174/S174650.html
50,2023-02-16 22:00:00,homestead,FL,Changing,All during the night.,"The white blobs look like therir zooming from my roof. I can't see them with my naked eye.They set off my motion Alarm, i can watch fro",https://nuforc.org/webreports/reports/174/S174620.html
51,2023-02-16 19:58:00,Naples,FL,Chevron,10 minutes and counting,2stationary objects over gulf hovering in sky,https://nuforc.org/webreports/reports/174/S174612.html
52,2023-02-15 21:24:00,Jacksonville,FL,Fireball,Approx. 1 minute,2 orange fireballs flying parallel to each other then progressively fading out.,https://nuforc.org/webreports/reports/174/S174600.html
53,2023-02-14 20:59:00,Valrico,FL,Light,10 minutes,I saw towards the E a light that resembled the space shuttle flames when we used to see when it went up.,https://nuforc.org/webreports/reports/174/S174574.html
54,2023-02-14 08:04:00,Miami,FL,Cigar,20 to 25 seconds,The sky was blue and clear and from a distance as I was driving onto campus from SW 107th Ave. & 18th Street I spotting this object,https://nuforc.org/webreports/reports/174/S174548.html
55,2023-02-13 12:38:00,Naples,FL,Disk,Seconds,Lasted a second towards Clam Pass. Disappeared toward the West,https://nuforc.org/webreports/reports/174/S174501.html
56,2023-02-13 10:00:00,The Villages,FL,Other,Grass burned in yard,There is a large circle of dead grass that showed up overnight in our back yard. We have no idea where it came from.,https://nuforc.org/webreports/reports/174/S174439.html
57,2023-02-13 07:19:00,Jacksonville,FL,Light,35-37seconds,"Definitely not a plane , maybe a satellite but it just wasn't moving like a satellite or any meteor I've ever seen.",https://nuforc.org/webreports/reports/174/S174515.html
58,2023-02-12 00:12:00,Lake Worth,FL,Fireball,5 seconds,Flash of red and orange in the sky,https://nuforc.org/webreports/reports/174/S174514.html
59,2023-02-11 22:00:00,Moore Haven,FL,Light,Unknown,Over 40 objects appeared. Spaced evenly and moving fast. Like it came from Polaris and across into Orion and disappeared. .,https://nuforc.org/webreports/reports/174/S174447.html
60,2023-02-11 09:28:00,Melbourne,FL,Star,2-3 seconds,They looked like they were small faint stars flying at top speeds in the night sky,https://nuforc.org/webreports/reports/174/S174434.html
61,2023-02-08 23:50:00,Ocala,FL,Unknown,15 to 20 minutes,"I was looking toward the northwest sky when I noticed two distinct, very bright lights maybe 25 miles away.",https://nuforc.org/webreports/reports/174/S174413.html
62,2023-02-07 18:56:00,Lutz,FL,Circle,1hour,I thought maybe it was a plane but planes don't stay still in the sky so I thought maybe was a star or Stars don't move after an hour,https://nuforc.org/webreports/reports/174/S174431.html
63,2023-02-06 20:35:00,Lakeland,FL,Light,20 seconds,"BRIGHT Red streaked tail, that slowly disapeared to a dot that faded under the Moon...",https://nuforc.org/webreports/reports/174/S174340.html
64,2023-02-06 20:35:00,Tampa,FL,Fireball,less than 60 seconds,I was sitting in my living room staring out the patio slide door when i noticed fireball object shooting straight towards the moon',https://nuforc.org/webreports/reports/174/S174339.html
65,2023-02-04 10:30:00,Saint Petersburg,FL,Sphere,3 to 5 seconds,"Very bright metallic sphere appeared out of nowhere, traveled for 3 to 5 seconds and just disappeared.",https://nuforc.org/webreports/reports/174/S174680.html
66,2023-02-03 19:40:00,Brooksville,FL,Cigar,2 minutes,A straight line of lights. The length of multiple full train cars. Still at first then took off fast and disappeared into thin air,https://nuforc.org/webreports/reports/174/S174311.html
67,2023-02-03 19:00:00,Bushnell,FL,Disk,,Was going to dollar general,https://nuforc.org/webreports/reports/174/S174293.html
68,2023-02-02 22:00:00,Vero Beach,FL,Light,2-5 minutes,Orange Flare/Pulsating Light. Vertical & Horizontal.,https://nuforc.org/webreports/reports/174/S174265.html
69,2023-02-02 21:00:00,Basinger,FL,Orb,20 mins,Seen 4 lights that were in a orb shape move across sky then disappeared,https://nuforc.org/webreports/reports/175/S175073.html
70,2023-02-02 04:48:00,Miami,FL,Teardrop,10 seconds,"Object exhibited awareness, was not a drone. Large, fast movement with stops and zig zagging motion.",https://nuforc.org/webreports/reports/174/S174256.html
71,2023-02-01 14:05:00,Marco Island,FL,Oval,5 seconds,Flying straight line south to north,https://nuforc.org/webreports/reports/174/S174250.html
72,2023-01-30 20:55:00,Orlando,FL,Triangle,1-2 seconds passing by,I rushed outside to check if it was a drone or an airplane but it was gone.,https://nuforc.org/webreports/reports/174/S174218.html
73,2023-01-29 21:05:00,Clearwater Beach,FL,Circle,,Strange lights appeared over the water.,https://nuforc.org/webreports/reports/174/S174196.html
74,2023-01-26 20:11:00,Lantana,FL,Circle,5 minutes,"Saw two orange balls of light moving fast the sky, one disappeared, and the other one continued to travel at high speed",https://nuforc.org/webreports/reports/174/S174149.html
75,2023-01-25 03:00:00,tampa,FL,Disk,seconds,A bright green and white down the center disk appeated out of nowhere going as fast as a shooting star,https://nuforc.org/webreports/reports/174/S174847.html
76,2023-01-24 21:00:00,Destin,FL,Light,Most of the night,It's a star but not!,https://nuforc.org/webreports/reports/174/S174104.html
77,2023-01-23 22:45:00,North Fort Myers,FL,Light,2 -3 minutes,How all of a sudden it turned around going the opposite direction,https://nuforc.org/webreports/reports/174/S174115.html
78,2023-01-23 19:20:00,Okeechobee,FL,Star,3 mins from first sight,See 1 to 3 every evening between 7-9 PM moving very fast and too high to be planes flying erratically,https://nuforc.org/webreports/reports/174/S174086.html
79,2023-01-22 21:25:00,,FL,Light,"Intermittently,30 minutes","Over 30 min, observed a starlike object, moving rapidly in the vertical, and horizontal, varying intensity, for 5-10 seconds each time.",https://nuforc.org/webreports/reports/174/S174080.html
80,2023-01-19 08:01:00,Fort Pierce,FL,Oval,1-2 minutes,Saw something bright way higher than a normal plane,https://nuforc.org/webreports/reports/174/S174053.html
81,2023-01-19 07:53:00,Inverness,FL,Other,Seconds,"When seen contrails from front porch, saw the object traveling from north-east to south west and took picture with iPhone 13, no noise",https://nuforc.org/webreports/reports/174/S174328.html
82,2023-01-15 18:00:00,Boynton Beach,FL,Cone,Eastbound about 3 minutes,Cone shaped object with cloud like contrail that did not dissipate rapidly in sky,https://nuforc.org/webreports/reports/173/S173945.html
83,2023-01-15 17:59:00,Miami Shores,FL,Light,2-5 minutes,One object turns to 3. Moving extremely fast and changing direction. Dispersing into nothing.,https://nuforc.org/webreports/reports/173/S173943.html
84,2023-01-15 11:57:00,Saint Petersburg,FL,Disk,Less than 1 minute,"Metallic disk appeared for 5 seconds and disappeared. Saw it again moments later, further west, and disappeared in the same manner.",https://nuforc.org/webreports/reports/173/S173951.html
85,2023-01-12 18:55:00,ORLANDO,FL,Light,10 mins,Balls of light in the sky flying in a row,https://nuforc.org/webreports/reports/173/S173884.html
86,2023-01-12 17:30:00,Orlando,FL,Unknown,unknown,An emerald green sphere in the sky noted in picture and when enhanced it appears to be a spacecraft.,https://nuforc.org/webreports/reports/173/S173963.html
87,2023-01-11 21:31:00,Big cypress national preserve,FL,Sphere,about 10 minutes,While driving down this very long route in the middle of nowhere florida I spotted these very bright flying objects,https://nuforc.org/webreports/reports/174/S174483.html
88,2023-01-11 20:30:00,Indian Lake Estates,FL,Formation,A second or two,Approx. 8:30 p.m. looking around sky for ufo's with night vision and barely caught a small fleet of approx. seven tic-tac shaped crafts,https://nuforc.org/webreports/reports/175/S175584.html
89,2023-01-11 19:55:00,Palm Bay,FL,Cigar,15 seconds,Bright green object flew over house,https://nuforc.org/webreports/reports/173/S173862.html
90,2023-01-11 19:22:00,Palm Bay,FL,Unknown,2-3 minutes,2 stationary lights in separate locations became mobile,https://nuforc.org/webreports/reports/173/S173860.html
91,2023-01-11 11:44:00,Delray Beach,FL,Chevron,90 seconds,I looked up and saw 2 black V shaped objects at a higher altitude moving very fast with no vapor trail sound or exhaust,https://nuforc.org/webreports/reports/173/S173842.html
92,2023-01-11 05:10:00,Tallahassee,FL,Other,30 second,It appeared to look similar to the starlink satellite picture but disappeared from sight and couldn't be tracked even in my vehicle.,https://nuforc.org/webreports/reports/173/S173844.html
93,2023-01-11 00:00:00,Polk City,FL,Other,2 minutes 4 minutes,Looked like a jelly fish shaped force field with 2 lights that separated from it and went in different directions and one lit up,https://nuforc.org/webreports/reports/173/S173830.html
94,2023-01-10 22:00:00,Eglin AFB,FL,Light,Hrs,Stationary flashing lights over Eglin AFB. I let friend at AFB know. Hopefully military but thought Id report.,https://nuforc.org/webreports/reports/175/S175628.html
95,2023-01-10 15:00:00,Sebring,FL,Other,2-3 seconds,Silver reflective circle high up in sky,https://nuforc.org/webreports/reports/173/S173840.html
96,2023-01-10 00:20:00,Sunrise,FL,Orb,15 minutes,Noticed one bright orange ball in sky then two more balls coming from that one and the two were moving.,https://nuforc.org/webreports/reports/173/S173829.html
97,2023-01-10 00:00:00,Ocala,FL,Fireball,White,Bright blue light appeared in sky nw of my location about 2 miles out got bright cought fire turned into two,https://nuforc.org/webreports/reports/173/S173827.html
