,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-10 01:33:00,Comer,GA,Orb,until i finally walk away,objects light up brighter than every star/planet for 10 seconds before disappearing completely.,https://nuforc.org/webreports/reports/175/S175732.html
1,2023-05-07 01:55:00,VALDOSTA,GA,Orb,ABOUT 10MIN,5 orbs moving vertically and horizontally and getting very bright than dim,https://nuforc.org/webreports/reports/175/S175690.html
2,2023-05-04 21:25:00,Hoschton,GA,Circle,5:00,Multi color circular lights grouped in a staggered pattern flying,https://nuforc.org/webreports/reports/175/S175633.html
3,2023-05-03 13:32:00,Warner Robins,GA,Sphere,5 minutes,Flashing sphere,https://nuforc.org/webreports/reports/175/S175600.html
4,2023-04-22 02:50:00,Franklin,GA,Circle,Video at least 6 minutes,Above my house hovering sending out orbs probes my nigh vision sneaks them out before hidden haze they use,https://nuforc.org/webreports/reports/175/S175447.html
5,2023-04-22 02:30:00,Franklin,GA,Circle,Night,A few craft one craft was about to use his hidden feature,https://nuforc.org/webreports/reports/175/S175446.html
6,2023-04-16 18:42:00,Tybee Island,GA,Cylinder,45 minutes,Object seen north of Tybee Island .,https://nuforc.org/webreports/reports/175/S175289.html
7,2023-04-14 17:18:00,temple,GA,Disk,4 seconds,"laying by pool at around 10-11 at night when i pointed to the sky and a green blue glowing object fell out of sky caught it self, left.",https://nuforc.org/webreports/reports/175/S175343.html
8,2023-03-28 17:00:00,Fortson,GA,Rectangle,Several minutes,12 round white lights in 3 rows of four. Evenly spaced. Like they were on a rack. When I saw them they stopped moving down the street,https://nuforc.org/webreports/reports/175/S175416.html
9,2023-03-23 22:32:00,Savannah,GA,Unknown,10 seconds,Unexpected something with out lights moving in the sky no noise,https://nuforc.org/webreports/reports/175/S175099.html
10,2023-03-18 20:53:00,Blakely,GA,Fireball,30 to 40 seconds,Two orange lights hovering on a dirt road then one disappeared while the other was floating towards the direction the other,https://nuforc.org/webreports/reports/175/S175049.html
11,2023-03-07 19:22:00,Statesboro,GA,Light,30-60 seconds,Bright orange light,https://nuforc.org/webreports/reports/174/S174921.html
