,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-06 21:32:00,Pearl Harbor,HI,Unknown,Seconds,"Watching fireworks, something hovers and Flys.",https://nuforc.org/webreports/reports/175/S175250.html
1,2023-04-01 19:30:00,Honolulu,HI,Unknown,2-3mins,While standing on the Waikiki walkway which extends onto water around after sundown we saw 5 blue orbs.,https://nuforc.org/webreports/reports/175/S175258.html
2,2023-01-23 20:13:00,Kailua,HI,Egg,,Unexpected red ( reflecting voggy atmosphere) object in photo,https://nuforc.org/webreports/reports/174/S174387.html
3,2023-01-11 19:10:00,HONOLULU,HI,Sphere,3 minutes,"A brilliant small circle of light, high in the sky, no sound, travelled from the South Shore near Honolulu to the Northeast Oahu",https://nuforc.org/webreports/reports/173/S173871.html
4,2023-01-01 18:05:00,Poi pu,HI,Circle,1 min,Saw UFO after taking photo of the sunset,https://nuforc.org/webreports/reports/173/S173694.html
5,2023-01-01 00:30:00,Waialua,HI,Formation,5 minutes,Numerous greenish twinkling stars in a swarm slowing drifting over ocean.,https://nuforc.org/webreports/reports/173/S173675.html
6,2022-10-09 04:00:00,HILO,HI,Formation,30 minutes,"Mothership, shield and orbiting streaky and white spheres",https://nuforc.org/webreports/reports/172/S172492.html
7,2022-09-16 23:30:00,Pearl city,HI,Cylinder,Thirty minutes,Moving across the sky above pearl city hawaii,https://nuforc.org/webreports/reports/171/S171884.html
8,2022-09-09 01:09:00,Pearl City,HI,Star,Several minutes and years,Saw the crafts moving across sky.,https://nuforc.org/webreports/reports/171/S171883.html
9,2022-08-05 21:30:00,Honolulu,HI,Circle,4 seconds,"Meteor sized dot, north to south at similar speed of a meteor.",https://nuforc.org/webreports/reports/170/S170964.html
10,2022-07-02 13:50:00,Honolulu,HI,Disk,1-2 minutes,Was a disk shape with a blue ring on the center with a metal gray looking color around the rest,https://nuforc.org/webreports/reports/170/S170211.html
11,2022-06-14 17:40:00,Puaena Point Beach Park,HI,Diamond,,We were on a beach in Hawaii taking photos and this image appeared on my camera for a split second and was gone,https://nuforc.org/webreports/reports/170/S170181.html
12,2022-05-26 21:32:00,Kailua,HI,Cylinder,30 seconds,"Driving on H1, passenger saw a light in the sky, pulled over and all three people got out and noticed a second light. 30 sec later gone",https://nuforc.org/webreports/reports/168/S168094.html
13,2022-04-21 20:35:00,Kihei,HI,Disk,10 tp 15 minutes,"A orange diamond shape caught my eye and I pulled over to film, I then noticed it changed to disk shape. Another on opposite side of hw",https://nuforc.org/webreports/reports/167/S167718.html
14,2022-03-30 20:14:00,Wahiawa,HI,,47 seconds,A stationary blinking light amongst the stars,https://nuforc.org/webreports/reports/167/S167365.html
15,2022-03-09 06:55:00,Honolulu,HI,Oval,Ongoing (at 7:05am),"Two bright oval objects, appear to be lined up, stationary, lights are ring-shaped.",https://nuforc.org/webreports/reports/167/S167056.html
16,2022-03-06 18:10:00,Honolulu,HI,Circle,Approximately 40 minutes,I saw a glimmer in the sky and looked up to see a white object stationary,https://nuforc.org/webreports/reports/167/S167111.html
17,2022-02-24 02:00:00,Honolulu,HI,Circle,About 5 seconds,Strange bright flashing lights behind Koko Head,https://nuforc.org/webreports/reports/166/S166863.html
18,2022-02-20 04:55:00,Kapolei,HI,Light,Steady position,A bright light that hovers in the sky,https://nuforc.org/webreports/reports/166/S166820.html
19,2022-02-17 21:32:00,Honolulu,HI,Circle,5 Seconds,"An illuminated disk shot across the sky faster than any aircraft is capable of. Seconds later, it shot back in the exact opposite way.",https://nuforc.org/webreports/reports/166/S166836.html
20,2022-02-17 05:47:00,Honolulu,HI,Light,5 days or more,It's a steady floating bright light that is hovering,https://nuforc.org/webreports/reports/166/S166841.html
21,2022-02-14 16:35:00,Kilauea,HI,Sphere,90 minutes,A bright white spherical object was hovering stationary but appeared to be vibrating. We witnessed at least 10 missiles that came close,https://nuforc.org/webreports/reports/166/S166709.html
22,2022-02-04 18:30:00,Honolulu,HI,Oval,10 minutes,UFO seen while I was in an outdoor yoga class staring up at the sky,https://nuforc.org/webreports/reports/166/S166987.html
23,2022-01-04 09:42:00,Waipahu,HI,Circle,20 minutes,Saw a bunch of what looked like stars moving fast,https://nuforc.org/webreports/reports/166/S166107.html
24,2021-12-31 23:45:00,Waikoloa,HI,Light,15-20 minutes,A small cluster of bright blue lights shot upward from the horizon,https://nuforc.org/webreports/reports/166/S166148.html
25,2021-10-06 19:00:00,Makawao,HI,Rectangle,10 minutes,4 huge rectangle lights on north side of haleakala. Just sat there for 10 min or more.. ((NUFORC Note: Date is flawed. PD)),https://nuforc.org/webreports/reports/164/S164850.html
26,2021-08-10 07:15:00,Honolulu,HI,Diamond,At work,So at work yesterday the sky was looking beautiful and I took out my phone and proceeded to take photos of the sky and when I clocked o,https://nuforc.org/webreports/reports/164/S164306.html
27,2021-06-27 21:20:00,Mililani,HI,Oval,2 minutes,White round object traveling fast making 90 degree turns,https://nuforc.org/webreports/reports/163/S163825.html
28,2021-05-09 20:30:00,Kailua,HI,Unknown,5 minutes,Zooming ball of light in the Hawaiian night sky defying all propulsion physics.,https://nuforc.org/webreports/reports/163/S163161.html
29,2021-04-16 10:08:00,Kaneohe,HI,Unknown,35 minutes,"An array of sparkley, multicolored lights in the far distance that did not move for 30 minutes from when I observed it.",https://nuforc.org/webreports/reports/162/S162729.html
30,2021-04-16 10:08:00,Kaneohe,HI,Unknown,35 minutes,"UFO on Oahu. ((NUFORC Note: Possibly the star, Sirius?? PD))",https://nuforc.org/webreports/reports/162/S162727.html
31,2021-03-02 21:40:00,Kapolei,HI,Light,3 seconds,Green glowing cigar shape descends in to ocean,https://nuforc.org/webreports/reports/162/S162284.html
32,2021-01-15 19:15:00,Kilauea,HI,Light,30 seconds,Large moving bright light over Kauai North Shore,https://nuforc.org/webreports/reports/161/S161638.html
33,2020-12-15 20:56:00,honolulu,HI,Flash,2 minutes,Stationary flashing lights - red then white then blue. Then it displayed a white light strobe effect then it zipped away really fast!,https://nuforc.org/webreports/reports/161/S161202.html
34,2020-11-02 19:15:00,Kihei,HI,Diamond,45 seconds,Red diamond-shaped light moving erratically across the sky for approximately 45 seconds,https://nuforc.org/webreports/reports/160/S160374.html
35,2020-11-02 18:00:00,Kanapali Beach/ Maui,HI,Unknown,45 seconds,"Stationary light in the sky vanishes after 45 seconds west of Kanapali beach, Maui off north edge of Lanai.",https://nuforc.org/webreports/reports/160/S160575.html
36,2020-10-24 23:00:00,Waikiki,HI,Triangle,10 minutes,https://www.facebook.com/523634054329414/posts/5188298421196264/?vh=e&d=n Shaped like a wide V or triangle w g F lashing lighits and b,https://nuforc.org/webreports/reports/160/S160178.html
37,2020-10-24 22:02:00,Kahuku,HI,Triangle,57 seconds,Unsual lights floating above.,https://nuforc.org/webreports/reports/160/S160256.html
38,2020-10-24 22:01:00,Kona,HI,Cigar,Minutes,Video of cigar shaped UFO ship in Kona,https://nuforc.org/webreports/reports/160/S160242.html
39,2020-10-24 22:01:00,Honolulu,HI,Formation,21 seconds,Shark formation floats across the pacific islands of Hawaii,https://nuforc.org/webreports/reports/160/S160247.html
40,2020-10-24 22:00:00,Honoluu,HI,Rectangle,2 minutes,floating scaffolding in T-shape spotted above ocean /Diamondhead lookout,https://nuforc.org/webreports/reports/160/S160176.html
41,2020-10-24 22:00:00,Kula,HI,Formation,20 seconds,A group of light in the shape of a gigantic ship floating by in space upper Kula.,https://nuforc.org/webreports/reports/160/S160192.html
42,2020-10-24 21:00:00,Mokuleia,HI,Other,1-2 minutes,Cluster of Stars Shaped Like Plane. ((Starlink satellites?)),https://nuforc.org/webreports/reports/160/S160177.html
43,2020-10-02 19:40:00,Mililani,HI,Disk,1 minute,Peace sign like saucer with red and green lights moving slowly in the sky,https://nuforc.org/webreports/reports/160/S160373.html
44,2020-08-31 19:30:00,Lahaina,HI,Light,9 seconds,Bright ball of light moving up high into space.,https://nuforc.org/webreports/reports/159/S159059.html
45,2020-08-19 04:30:00,Lihue,HI,Circle,5 minutes,"Circular white object with Halo and appears to have 3 dimensions,",https://nuforc.org/webreports/reports/158/S158763.html
46,2020-08-11 21:00:00,Kailua,HI,Circle,5 second,"Small, dull, opaque UFO Kailua",https://nuforc.org/webreports/reports/158/S158476.html
47,2020-07-31 22:53:00,Honolulu,HI,Chevron,5 minutes,V Shaped bright light object flying unusually in the sky without a beacon light,https://nuforc.org/webreports/reports/158/S158092.html
48,2020-07-27 17:53:00,Honolulu,HI,Rectangle,1 minute,Seen on photo taken at 15:53 rectangle shape with 2 white lights on either end. Middle of Honolulu and there are no eagles in this area,https://nuforc.org/webreports/reports/158/S158613.html
49,2020-07-03 19:37:00,Honolulu,HI,Circle,1 second,UFO spotted in photo after picture taken. No aircraft were spotted in the sky prior to he photo.,https://nuforc.org/webreports/reports/157/S157332.html
50,2020-06-27 16:25:00,Hawaii,HI,Unknown,1 minute,happen so fast,https://nuforc.org/webreports/reports/157/S157193.html
51,2020-06-22 22:31:00,Mililani (Oahu/Honolulu),HI,Orb,~1 minute,A singular orb of orangish light spotted for around a minute at 10 PM Hawaii.,https://nuforc.org/webreports/reports/157/S157131.html
52,2020-06-15 14:00:00,Island Kaui,HI,Fireball,15 min.,Fireball following our car,https://nuforc.org/webreports/reports/174/S174391.html
53,2020-06-08 21:45:00,Lahaina,HI,Disk,2 minutes,"Spinning disc , metallic,flexible force field type edges",https://nuforc.org/webreports/reports/157/S157023.html
54,2020-06-03 20:00:00,Honolulu,HI,Formation,1 minute,Series of Star like objects linked together. ((Starlink satellites?)),https://nuforc.org/webreports/reports/156/S156916.html
55,2020-05-28 19:20:00,Honolulu,HI,Circle,45 seconds,Aloha At 7:20pm local time a bright light appeared in the west facing sunset sky just below the moon. We thought it was Venus so we too,https://nuforc.org/webreports/reports/156/S156742.html
56,2020-05-27 16:00:00,Waikapu,HI,Circle,45 seconds,Green light circular ufo over the water in Kihei.,https://nuforc.org/webreports/reports/156/S156829.html
57,2020-05-22 00:00:00,Haleiwa,HI,Triangle,24 hours,Confirmed Traingle Shapes in Skys over North Shore Oahu .,https://nuforc.org/webreports/reports/156/S156642.html
58,2020-04-30 21:20:00,Honolulu,HI,Unknown,1 minute,I was shootimg darts in my carport and saw a military helicopter flyer way faster than usual. As it get closer to land i niticed a wh,https://nuforc.org/webreports/reports/156/S156062.html
59,2020-04-29 00:30:00,Ewa Beach,HI,Light,2 seconds,"White light, with orange trails on each side.",https://nuforc.org/webreports/reports/155/S155921.html
60,2020-04-19 21:45:00,Ocean View,HI,Light,1-2 minutes,One bright light circling from behind the cloud like a flashlight from above.,https://nuforc.org/webreports/reports/155/S155541.html
61,2020-04-13 22:00:00,Laie,HI,Disk,5 minutes,"Two bright red then orange golden dots/saucers in the sky, shining then dimming encircling each other until their lights went off.",https://nuforc.org/webreports/reports/155/S155105.html
62,2020-04-06 21:45:00,Holualoa,HI,Light,5 minutes,Saw yellow light getting brighter through window in the sky. Went outside and told family to come see. My girlfriend said she saw hints,https://nuforc.org/webreports/reports/154/S154854.html
63,2020-04-04 14:00:00,Kihei,HI,Sphere,15 seconds,White golf ball shaped object hurtling across a clear blue sky.,https://nuforc.org/webreports/reports/154/S154810.html
64,2020-03-14 05:30:00,Kihei,HI,Circle,1 minutes,"At around 530 in the morning, my fiance and I were sitting in bed talking about the night. A strange amber orange glow suddenly lit",https://nuforc.org/webreports/reports/154/S154171.html
65,2020-02-23 22:00:00,Honolulu,HI,Light,:03,"I saw an orange light on a vehicle over the residential area of Waikiki beach, Oahu, Hawaii.",https://nuforc.org/webreports/reports/153/S153570.html
66,2020-02-18 20:30:00,Kailua Kona,HI,Other,1 minute,"20-25 lights, at first mistaken for stars, headed in a straight line, southeast bound. ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153402.html
67,2020-02-17 20:30:00,Kailua-Kona,HI,Disk,80 seconds,Paper thin disk at least a few miles in length seen over Kona side ran inside to get my friend for an object this size not man made,https://nuforc.org/webreports/reports/153/S153389.html
68,2020-02-17 19:15:00,"Wailea, Maui",HI,Formation,1 minute,"String of Lights over Maui. ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153458.html
69,2020-02-16 10:30:00,Mokuleia,HI,Cross,2-3 minutes,I was at Camp Erdman and we were exploring the woods close to the beach. There was a small green cross on the woods when we got close i,https://nuforc.org/webreports/reports/156/S156440.html
70,2020-02-05 18:05:00,Honolulu,HI,Light,45 seconds,"I looked up at the sky and saw round white lights going over the mountain range in a straight line. ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153082.html
71,2020-02-05 06:10:00,Kailua,HI,Formation,5-6 minutes,"Moving across the sky south toward east a formation of 40+ things that looked like stars. ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153083.html
72,2020-02-05 06:10:00,Wailuku,HI,Light,2 minutes,"There were 80+ big bright shining lights, all moving fast in the same direction, right before disappearing. ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153100.html
73,2020-02-04 06:00:00,Waialua Molokai,HI,Formation,5 minutes,"Fast moving formation of what looked like 20 stars traveling west to East ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/153/S153046.html
74,2020-01-28 18:25:00,Honolulu,HI,Changing,38 seconds,Me and my friend were working on my van in my mom's driveway. helicopters have been flying low buzzing her house very low shaking windo,https://nuforc.org/webreports/reports/152/S152959.html
75,2020-01-23 21:28:00,Waimanalo,HI,Triangle,21:38,"I saw a bright light outside, so I ran out to look at it, my roommate joined me. It was a very bright light that was a ball of light li",https://nuforc.org/webreports/reports/152/S152886.html
76,2020-01-21 21:15:00,Pukalani,HI,Oval,2 minutes,Bright orange glowing oval shaped object moving in the sky,https://nuforc.org/webreports/reports/152/S152829.html
77,2020-01-07 06:25:00,Wahiawa,HI,Formation,1,"50 UFO's flying in a straight line seen over Oahu in the early morning hours of January 7th.((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/152/S152413.html
78,2020-01-07 06:20:00,Wahiawa,HI,Cigar,5 minutes,"Around 0620 a line of lights was seen moving across the sky moving from North to South of oahu.((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/152/S152356.html
79,2020-01-01 00:30:00,Honolulu - Waikiki,HI,Light,3 minute?,"Waikiki beach webcam U *S* O - Small seemingly submerged ""oval-shaped"" bright blue slow moving glow - Local hotels had no inf",https://nuforc.org/webreports/reports/152/S152512.html
80,2019-12-31 22:30:00,Captain Cook,HI,Other,>30 minutes,"40 + sparkling lights high up moving slowly east south ((""Starlink"" satellites??))",https://nuforc.org/webreports/reports/152/S152250.html
81,2019-12-31 11:55:00,Waianae,HI,Circle,14 minutes,"Once again same spot as last week. Blue flashing light that didn't move for about 14 minutes, then fell from the sky. My phone would no",https://nuforc.org/webreports/reports/152/S152195.html
82,2019-12-15 06:00:00,Honolulu,HI,Unknown,10 minutes,"40+ UFOs flying at a very high altitude from the east to the west over Oahu, Hawaii",https://nuforc.org/webreports/reports/151/S151656.html
83,2019-12-07 20:00:00,Waianae,HI,Flash,6 minutes,"Blue flashing light that didn't move for about 6 minutes, then fell from the sky like it was dropped.",https://nuforc.org/webreports/reports/151/S151384.html
84,2019-11-25 00:00:00,Haiku,HI,Light,4 days,Lights seen from the night sky 1st night-flickering & moving around the sky as if inspecting the clouds-movin up & down-sideways & ligh,https://nuforc.org/webreports/reports/151/S151166.html
85,2019-11-24 19:30:00,Kapolei (Honolulu),HI,Light,0:45,Two bright lights at altitude over Kapolei,https://nuforc.org/webreports/reports/151/S151129.html
86,2019-11-13 19:00:00,Haliewa,HI,Other,25 seconds,"Scary but exciting at same time. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",https://nuforc.org/webreports/reports/150/S150684.html
87,2019-11-12 19:30:00,Lahaina,HI,Unknown,1:11,We were looking at end of street; there was a line of lights moving across the sky. ((NUFORC Note: Space-X satellites?? PD)),https://nuforc.org/webreports/reports/150/S150674.html
88,2019-11-12 19:07:00,Kapaau,HI,Light,2 minutes,"25 or more white lights flying in straight single-file line. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",https://nuforc.org/webreports/reports/150/S150671.html
