,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,3/15/23 16:10,Meridian,ID,USA,Circle,20 seconds,I saw three white dots in the sky dance around each other before parting ways outside my window,4/9/23,Yes
1,3/1/23 19:38,Garden City,ID,USA,Circle,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,3/6/23,Yes
2,2/13/23 03:13,Meridian,ID,USA,Cylinder,Approximately 3 minutes,I saw a shimmering object stationary in the sky at a fairly low altitude. Way too large to be a drone. And the light was very brilliant,3/6/23,
3,2/12/23 20:50,Hagerman,ID,USA,Formation,About 20 seconds,Looked like a chain of lights in sky then each one went out in order from back to front reminded me of flares,3/6/23,
4,2/11/23 00:03,Troy,ID,USA,Other,25-30 minutes,"Red, green & white flashing lights too far away to determine shape",3/6/23,
5,2/8/23 21:03,Ashton,ID,USA,Other,1 hr and still happeing,"Strange white lights on main part, green laser pointer like lights scanning the ground.. now other planes have came in",3/6/23,
6,2/2/23 17:00,Middleton,ID,USA,Circle,2-3 min,Object in sky was white round like with black markings that resembled blocks or ladder,3/6/23,
7,12/9/22 17:28,Moscow,ID,USA,Light,Total - 3 minutes,I observed the light when walking and as I watched it it made very precise vertical and horizontal moves,12/22/22,
8,11/17/22 11:24,Hayden,ID,USA,Unknown,,"This sound woke me up, and I hurried outside and eventually took my boots off to quickly videotape this.",12/22/22,
9,11/12/22 21:40,Coeur d' Alene,ID,USA,Triangle,30 Seconds,Dark Triangle with Large Round White Circles at Corners,12/22/22,Yes
10,11/7/22 18:45,BOISE,ID,USA,Triangle,3 min,Dark triangle with white lights on the corners.,4/9/23,
11,11/7/22 18:45,BOISE,ID,USA,Triangle,3 min,My back yard,4/9/23,
12,10/20/22 04:30,Star,ID,USA,Triangle,1min,1 aircraft NE to SW. No sound. Approx 1k AGL.,12/22/22,
13,10/18/22 05:14,Hayden,ID,USA,Circle,Less than 5 minutes,"Saw three bright lights hovering over an open field. Thought they were aircraft at first, but didn't move. Eventually faded/disappeared",12/22/22,Yes
14,10/17/22 01:11,Boise,ID,USA,Light,Maybe 1 or 2 seconds,What seemed like only a couple hundred feet above my house a bright neon green light the size of a minivan appeared and quickly darted,12/22/22,
