,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/17/23 23:20,Sharpsville,IN,USA,Oval,1 hour,Oval like object over town no brightness,5/19/23,
1,5/15/23 22:41,SHARPSVILLE,IN,USA,Orb,1 hour,Bright moving orb,5/19/23,
2,5/12/23 22:41,Sharpsville,IN,USA,Orb,1 hour,Bright light moving in sky,5/19/23,
3,5/9/23 22:48,Sharpsville,IN,USA,Cylinder,1 hour,"Rainbow circle that rotates, getting really bright and zooming in and out",5/19/23,
4,5/6/23 17:51,Franklin,IN,USA,Changing,2mins,Its started like a ship looking then changed into a round craft,5/19/23,Yes
5,4/27/23 22:59,Losantville,IN,USA,Triangle,Lengthy,Large craft with multiple circular lights.,5/19/23,
6,4/25/23 05:15,Seymour,IN,USA,Unknown,Approximately 5 seconda,5 horizontal lights side by side on single object traveling west to east at moderate speed,5/19/23,
7,4/11/23 23:40,Muncie,IN,USA,Orb,20-30 minutes.,"I am being spaceship stalked, abducted, trafficked, kidnapped, madamed, pimped, raped, assaulted by alien terrorist criminal network.",5/19/23,
8,4/11/23 20:55,Elberfeld,IN,USA,Light,15 to 30 seconds,3 stars orions belt. Inside left of orions belt stars bright light very fast 4 times same star and stop.,5/19/23,
9,3/29/23 07:26,Boonville,IN,USA,Circle,1 hour,I saw a plane and something was sitting beside it then the object burst through air and disappeared,4/9/23,Yes
10,3/14/23 23:35,Madison,IN,USA,Disk,It was about 7 minutes.,"I saw a disk (unknown material) with lights, the top was spinning one direction and the bottom was spinning the opposite direction.",4/9/23,
11,3/8/23 21:00,Delphi,IN,USA,Formation,2 minutes,5 bright orange lights in a straight line. Disappeared and reappeared farther to the west.,4/9/23,Yes
12,2/25/23 20:05,Mt Summit,IN,USA,Light,5 seconds,Bright solid white light,4/9/23,
13,2/15/23 10:46,Indianapolis,IN,USA,Disk,20-30 Seconds,I walked out of the school and was watching a plane and noticed something smaller fly past it heading the opposite direction.,3/6/23,Yes
14,2/13/23 11:15,Martinsville,IN,USA,Other,about 5 - 6 hours,Look like small bits of plastic wrap heading in one direction & some float around some speed fast and all just disappear into thin air!,3/6/23,
15,1/31/23 19:15,Sulphur Springs,IN,USA,Circle,10 seconds,Fast spherical orange light,3/6/23,Yes
16,1/27/23 22:00,Mishawaka,IN,USA,Sphere,5 minutes,Saw at least 50 spheres flying in aircraft formation overhead. I was awe struck by how many balls of light flying from east to west.,3/6/23,
17,12/14/22 19:40,Greenwood,IN,USA,Triangle,3 minutes,"Three circular lights lined up in a triangular shape, then rotated clockwise",12/22/22,
18,12/1/22 06:20,CHARLESTOWN,IN,USA,Orb,2 to 3 minutes,Bright object was seen arriving and silently hovering over neighbor's home before moving behind our house and lighting up a window.,12/22/22,Yes
19,11/23/22 20:00,Fishers,IN,USA,Light,10 minutes,"LIne of round lights moving south to north in single file (white light with reddish tint) -- definitely ""flying""",12/22/22,
