,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/17/23 23:00,Tadepalligudem,Andhra Pradesh,India,Cube,5 minutes,"We are watching the night sky suddenly there is a object which is very tiny to naked eye ,i thought it is a aeroplane but it is not.",5/19/23,Yes
1,5/16/23 19:58,Varanasi,Uttar Pradesh,India,Triangle,2 Minutes,"Triangle shape object, black in colour with green colour lights at 3 corners and 1 in the centroid and changed its position slowly",5/19/23,Yes
2,5/15/23 21:45,IVER HEATH,Buckinghamshire,United Kingdom,Cone,1 Minute,"The craft with 2 white bright lights one red flashing light over head looking towards me, after 30 seconds it flew off towards Northolt",5/19/23,
3,5/13/23 23:29,Hart,MI,American Samoa,Rectangle,2 hours,"It started of as a unusually bright circle in the sky, not high enough to be a star but lint low enough to be human, we watched it and",5/19/23,
4,5/9/23 21:38,Tecate ?,Baja California,Mexico,Light,on-going,Dancing Lights,5/19/23,
5,5/7/23 14:55,Sheffield,,United Kingdom,Egg,30 seconds between clouds,3 egg shaped craft shot between 2 cloud formations travelling very fast one after the other white in colour no vapour trail.,5/19/23,
6,5/7/23 00:00,"Bentley, Doncaster.",Doncaster,United Kingdom,Cube,Approximately two hours,Seen from home back door in sky,5/19/23,Yes
7,5/4/23 21:15,Mellieha,Mellieha,Malta,Other,Estimated 1 min 20sec,No outline of the object it was like a long worm the sky was dark 15-20 lights emitting from what appeared to be its side,5/19/23,
8,5/2/23 03:30,Edinburgh,Edinburgh,United Kingdom,Disk,Minutes,No noise it was hovering over bus depot at least the size of 2 football pitches,5/19/23,
9,4/30/23 21:29,Homestead,,,Cigar,2 minutes,The object couldn't have been a meteor because of its long duration in the sky. The object was bright orange but didnt light up the sky,5/19/23,
10,4/30/23 18:30,Lara,Victoria,Australia,Changing,40 minutes,Moving object that changed speeds and shape,5/19/23,
11,4/30/23 05:52,Hobart,Tasmania,Australia,Changing,About an hour,Thought we saw a drone that appeared and descended and hovered in virtually in same spot for 45mins-1hn,5/19/23,Yes
12,4/27/23 21:30,Coeburn,,,Light,Unknown lights in sky,We can't explain what this unknown light was.,5/19/23,Yes
13,4/27/23 04:20,Bendigo,Victoria,Australia,Changing,Between 30 sec to 1 min,bright star light that was changing colour to red on and off very slowly then it went off on a very fast angle then many other objects,5/19/23,
14,4/27/23 00:23,,,,Circle,5.1 minutes,I'm jast locking and found this,5/19/23,Yes
15,4/24/23 21:30,Londonn,,United Kingdom,Triangle,Only 10 seconds,I saw a matt black long flat pyramid that seemed to hover in the sky. I ducked under the window and when I looked back up it moved away,5/19/23,
16,4/23/23 18:00,Exeter,Devon,United Kingdom,Disk,Only picked up on photos.,Photo sunset . 2 images one with ufo one without,5/19/23,Yes
17,4/23/23 03:08,Wigan,,United Kingdom,Orb,One minute,Looking through cctv footage,5/19/23,
18,4/23/23 02:00,Ramona,CA,United States Minor Outlying Islands,Unknown,5 minutes,Multiple extremely bright strobe lights that were being directed,5/19/23,
19,4/22/23 22:30,Riverton,UT,,Formation,5 mins,"3 large lights above the clouds, that did not move for 5 mins",5/19/23,
20,4/17/23 20:20,Cambridge,Cambridgeshire,United Kingdom,Circle,A few seconds,Beam (ball shape) of light,5/19/23,
21,4/17/23 02:23,Ashford,Kent,United Kingdom,Light,10 minutes,Light Dots dancing in the sky,5/19/23,
22,4/16/23 22:30,pryor,,,Triangle,2 minutes,"camo belly of triangle with light glow, clear night sky.",5/19/23,
23,4/13/23 15:00,Carlow,County Carlow,Ireland,Oval,,"A shiny round object flew from west. It flew below the clouds, than turned North.",5/19/23,
24,4/13/23 11:00,Austintown,,,Other,Reoccurring,It's more if a contact thing than a sighting,5/19/23,
25,4/12/23 01:26,El Paso,,,Flash,30 sec,Security cam alerted me .,5/19/23,
26,4/9/23 20:00,Bella-Bella,Limpopo,South Africa,Triangle,1sec,White dot chased by 6 craft at high speed.,5/19/23,
27,4/8/23 20:00,Holt,MI,,Light,At least 1 hr,"One craft, started very far in the distance then got closer, 3 lights that seemed to be spinning around like a lighthouse almost.",5/19/23,Yes
28,4/8/23 18:45,Ocean Shores,New South Wales,Australia,Triangle,20 secinds,Large triangle non flashing lights silent moving fast,4/9/23,
29,4/6/23 12:02,Rosario,Santa Fe Province,Argentina,Orb,,It was a red orb,5/19/23,
30,4/5/23 20:57,accra,Greater Accra Region,Ghana,Cone,1 hour every 4 hours,i met these extra terrestrial beings in my ownhome . they cme in through the door,5/19/23,
31,4/5/23 04:14,Prosperity,,,Light,15 minutes atleast,Multiple lights appearing and then disappearing,4/9/23,Yes
32,4/4/23 07:20,Tel Aviv,,Israel,Orb,5 minutes,A bright orb appeared and moved from side to side.,4/9/23,
33,4/4/23 07:20,Tel Aviv,,Israel,Orb,2 minutes,A white light appeared 5 km away from my apartment and it started moving at incredible speeds and then it blinked out.,4/9/23,
34,4/4/23 02:50,New Martinsville,,,Formation,about 30 min,"White light formation, Multiple formations of differing number.",4/9/23,
35,4/2/23 16:30,Fairforest,,,Cylinder,1 minute,"Two white cylindrical objects, no sound, no visible means of propulsion, and no wings.",5/19/23,Yes
36,4/1/23 21:00,New Hartford,,,Changing,1.5-2 hours,"We saw a large extremely bright object which was not too far above a hill/tree line west of our house. It moved strangely, and",5/19/23,Yes
37,4/1/23 04:20,Buckinghamshire,Buckinghamshire,United Kingdom,Circle,69 hours,shooting rainbow tractor beams,5/19/23,
38,4/1/23 03:15,Castle Dale,,,Light,5-10 minutes,Saw lights in the low horizon that appeared and disappeared.,4/9/23,
39,3/25/23 19:06,Mumbai,,India,Oval,40 seconds,An unknown object was observed in the sky.,4/9/23,
40,3/24/23 01:52,Asheboro,,,Triangle,Until disappear out sight,This is not the first sightings. Just discovered your site. I have more sightings and photos to back them up. In the last months,4/9/23,
41,3/16/23 22:30,Utrecht,Utrecht,Netherlands The,Unknown,3 minutes,2 flashing circles flying moving without sound,4/9/23,Yes
42,3/16/23 14:43,,,,Orb,,white orb US DOD video,4/9/23,
43,3/16/23 14:35,Hobart,Australian Capital Territory,Australia,Changing,100 minutes,I was walking my dog and I saw a UFO.,4/9/23,
44,3/14/23 20:31,,,,Changing,,"Please disregard my last report, it looks like it was a spacex launch",4/9/23,
45,3/14/23 07:10,Salerno,Campania,Italy,Changing,6-7 minutes,"4 things flew by in front of me, filmed.",4/9/23,
46,3/11/23 23:34,Manali,Himachal Pradesh,India,Changing,15 minutes,There was an object moving rapidly in the sky and changing shape.,4/9/23,Yes
47,3/10/23 12:00,,,,Orb,25 Minutes,Extremely bright light that would fade in and out at high velocity in apparent sporadic tracks over the Pacific Ocean,4/9/23,
48,3/9/23 07:10,Riverdale,MI,,Disk,1 minute 34 seconds,Strange disk hovering in a straight path.,4/9/23,
49,3/6/23 02:00,Cassino fr,,Italy,Rectangle,3 secondi circa,Luci rettangolari,4/9/23,
50,3/5/23 14:07,Glenhaven,,,Cube,Wolfgang Johnny,Like a clear beach ball with the cube in it,3/6/23,
51,3/4/23 21:44,Cancun,Quintana Roo,Mexico,Star,10 secs in total,"South south west of Orion, between Sirius and 1 hand of Orion",3/6/23,
52,3/4/23 10:15,,,Austria,Unknown,,Something black appeared and it was a kind of object with two long thread in back color,4/9/23,
53,3/3/23 11:12,Sydney,New South Wales,Australia,Cylinder,16 min,Space ship was flying over Anzac Bridge,3/6/23,
54,3/2/23 20:38,Barnstable,Devon,United Kingdom,Circle,,3 circles lit up in dark sky. NUFORC Note: Jupiter and Venus,3/6/23,Yes
55,3/1/23 19:40,Dunakeszi,Pest County,Hungary,Unknown,,Look the photos,3/6/23,Yes
56,3/1/23 19:36,Youngsville,,,Light,Still present,"Two objects, or one with two lights. NUFORC Note: Jupiter and Venus",3/6/23,
57,3/1/23 10:36,Kelo,Logone Occidental Region,Chad,Egg,10 minutes,Okay. I was minding my business when I saw about 10 eggs floating in the air and it was scary for me. They were also glowing green,3/6/23,
58,2/28/23 19:59,At sea on a cruise ship NW of Cuba enroute to Cozumel,,Cuba,Orb,1 to 3 minutes,Blue-white orb moving north to south,4/9/23,
59,2/28/23 19:00,Nadi,Western Division,Fiji Islands,Circle,Roughly 5 mins,2 ufo was spotted twice on 2 consecutive days.,3/6/23,Yes
60,2/27/23 19:54,Atlanta,GA,,Cylinder,4-5 min,UAP spotted over Atlanta from 37000 feet,4/9/23,Yes
61,2/27/23 19:54,San Miguel de Cozumel,Quintana Roo,Mexico,Sphere,2.5 minutes.,"Light approached Cozumel at ~ 15,000ft. No sound. Stopped and hovered above for ~ 5 seconds and then shot off and vanished within secon",3/6/23,Yes
62,2/27/23 19:29,Bas Terre,Saint Kitts,Saint Kitts And Nevis,Disk,2 minutes,Rising disc with a huge plume behind and then the light disappeared instantly,3/6/23,Yes
63,2/27/23 14:45,Orlando,,,Cylinder,Visible about 3 minutes,"Cylinder-shaped object with white trail fell NW of Denny's, stopped, then changed direction, trail and object disappeared after 3 mins.",3/6/23,Yes
64,2/27/23 07:30,Hitchin,Hertfordshire,United Kingdom,Orb,Viewed & recorded 20 mins,Orbish type shape with smaller Orb under,3/6/23,Yes
65,2/26/23 21:43,Newbury,,United Kingdom,Light,20-30 seconds,"Witnessed two lights, travelling from west to east, not in a straight line, changing formation",3/6/23,Yes
66,2/25/23 21:30,Faringdon,Oxfordshire,United Kingdom,Orb,5 minutes,5 glowing orange orbs in convy 2 at front 2 next to each other one of which was going up and down very fast,3/6/23,
67,2/23/23 18:30,Liverpool,,United Kingdom,Triangle,20 seconds,A very small circle solid object with a triangle of green lights around it,3/6/23,
68,2/21/23 14:10,Burnsville,,,Egg,Less than a second 300ele,Screaming object flies under hovering drone at unbelievable speed!,3/6/23,Yes
69,2/20/23 19:20,Oaxaca,Oaxaca,Mexico,Disk,Brief,Photo captured unseen potential UAP.,3/6/23,Yes
70,2/20/23 01:45,Beulah,Victoria,Australia,Light,20 seconds,Very bright light observed twice,3/6/23,
71,2/19/23 19:35,Liverpool,,United Kingdom,Diamond,15 minutes,Two objects in sky moving north one disappeared the carried on till out of sight. NUFORC Note: Jupiter and Venus,3/6/23,
72,2/19/23 19:30,Ipswixh,Suffolk,United Kingdom,Light,Ongoing,2 bright lights seen diagonally from one another over the horizon. NUFORC Note: Jupiter and Venus,3/6/23,Yes
73,2/16/23 16:39,Limassol,Limassol District,Cyprus,Light,4-5 mins,Unidentified objects,4/9/23,
74,2/15/23 16:16,Herve,Liège,Belgium,Triangle,5 seconds,A black triangular shaped object was observed while driving down the highway. It flew in a straight line.,4/9/23,Yes
75,2/13/23 23:31,West Dili,Dili municipality,East Timor,Chevron,8 seconds,Bright light birds flying away,3/6/23,
76,2/13/23 20:20,Banbridge,Banbridge,United Kingdom,Other,2 minutes,V shaped white lights in clear sky moving in unison.,3/6/23,
77,2/13/23 18:15,Portland,OR,,Sphere,Unknown,My friend was on the Casco bay bridge and saw the craft,3/6/23,Yes
78,2/13/23 01:00,"Okc, Wellston and Chandler",,,Changing,Multiple times,I don't have one instance to report. I have multiple. Up close encounters of craft and a human mimic(no emotion and moves robotically),5/19/23,
79,2/12/23 18:36,Fairchilds,,,Orb,3-7 minutes,"My roommate & I were outside, she asked me to come to her and pointed at the sky. 3 bright, round lights were in the sky.",3/6/23,Yes
80,2/12/23 05:00,,,,Light,20 minutes,"High altitude light moving left to right, second light peeled off from first.",3/6/23,
81,2/11/23 21:12,Melbourne,Victoria,Australia,Circle,aproximtaly 20 seconds,Bright Light Very high travelling fast west to east,3/6/23,
82,2/11/23 04:00,Manchester,,United Kingdom,Light,5minutes,White warm coloured light,3/6/23,
83,2/10/23 10:12,taueanga,Bay of Plenty Region,New Zealand,Cone,3 minutes,Saw it hover at my house for 3 minutes and it didn't seem to do anything,3/6/23,
84,2/8/23 15:00,Over the alps (may have been Italy),Provence-Alpes-Côte d,France,Teardrop,Around 20 seconds,Above object on airplane flying over alps when I seen a black craft flying low to the tops of the mountains with grey smoke of it,3/6/23,
85,2/8/23 10:09,melbourne,Victoria,Australia,Circle,"approx 10 minutes,","Not moving in a directly straight path. Took to long to be aircraft, very bright light. Watched movements 10 minutes.",3/6/23,
86,2/7/23 19:16,Danbury,Essex,United Kingdom,Cylinder,,I I saw an object in the sky I think it was an unidentified object,3/6/23,Yes
87,2/6/23 21:30,Perth,Western Australia,Australia,Light,30 seconds,Blue hovering light,3/6/23,
88,2/6/23 18:59,Gravesend,Kent,United Kingdom,Unknown,30 seconds,A fast object going back and forth then disappears out of the blue.,3/6/23,
89,2/5/23 21:20,Cumbria,Cumbria,United Kingdom,Cylinder,Few seconds,"Photographing the full moon , clear night , object flew past diagonally across the moon as I was taking some photos.",3/6/23,Yes
90,2/5/23 04:00,Nr Stornoway Latitude: 58.209435 Longitude: -6.384869,Outer Hebrides,United Kingdom,Diamond,20 mins,4 red lights taking diamond formation flashing alternately vertical to horizontal,4/9/23,
91,2/4/23 22:00,Vantaa,Uusimaa,Finland,Changing,10 minutes,I was having taking picture of full moon tonight and something that wasn't supposed to be there got in my picture,3/6/23,Yes
92,2/3/23 19:23,La Riera de Gaia,Tarragona Province,Spain,Unknown,3 mins,"Satellite like object from W horizon towards E veered S cont. to ~45° above S horizon, light went out briefly the streaked away",3/6/23,
93,2/3/23 19:20,"Village : Cheetakheda, Tehsil : Jeeran, District : Neemuch",Madhya Pradesh,India,Star,5 to 10 minutes,Saw multiple stars attached together like train,3/6/23,
94,2/2/23 19:12,Jaipur,Rajasthan,India,Rectangle,around 25 seconds,A lighted rectangular banner type shape in the sky,3/6/23,Yes
95,2/2/23 19:07,Bhopal,Madhya Pradesh,India,Rectangle,Between 20-25 Seconds,While Looking at Venus and Jupiter SW in night sky I saw UFO / Alien Space Ship entering from the southern Horizon traveling North.,3/6/23,Yes
96,2/2/23 18:36,Mérida,Yucatán,Mexico,Sphere,45 seconds,"Luminous sphere with photon cloud in front, emitting light from the center out of its wings as if it were a holographic light and flash",3/6/23,Yes
97,2/1/23 20:17,Melbourne,Victoria,Australia,Cigar,1 sec,"Was in my backyard started taking photos of funny looking clouds then as I looked over them I captured quite a few , samsung S22ultra",3/6/23,Yes
98,2/1/23 17:00,Warwick,Warwickshire,United Kingdom,Light,About 5 seconds,Saw a pulsating light go across the sky ducking and divong behind trees,3/6/23,
99,1/31/23 14:30,Layton,,,Circle,Around 30 seconds,Working outside with two dozen others looked up and saw this object over the moon,3/6/23,
100,1/31/23 08:20,Larnaca,Larnaca District,Cyprus,Other,1 minute,Something like drone,3/6/23,Yes
101,1/29/23 20:30,"West Bromwich, West Midlands",Warwickshire,United Kingdom,Triangle,3-8s,"Large triangular very low hovering aircrafts just above and slightly to right of my car, with multiple coloured lights underneath",3/6/23,
102,1/28/23 10:32,Warrington,Cheshire East,United Kingdom,Unknown,25 minutes,Bright shimmering red light hovering looks like it was coming towards us.,3/6/23,
103,1/28/23 07:06,Rye,,,Sphere,5 minutes,Reviewing pictures taken at sunrise revealed what looks like a balloon in the sky. A blowup of the pictures clearly shows a sphere.,3/6/23,Yes
104,1/24/23 18:30,Hartlepool,Hartlepool,United Kingdom,Circle,Few mins,3 bright crafts all circling each other then seperated into a triangle before going seperate ways,3/6/23,
105,1/24/23 14:00,Sussex Inlet,New South Wales,Australia,Other,50 seconds,"two ufo , one caught on camera ""three pictures"" seconds later other on video",3/6/23,Yes
106,1/22/23 23:17,Fowler California,,,Diamond,4 mins,I was driving and noticed a bright light in the sky in a diamond shape .,3/6/23,
107,1/22/23 17:40,layton utah,,,Cylinder,10 seconds,"Bright orange light zoomed right in front of me way up in the sky as I was driving, and then moved away backup into space at lightspeed",3/6/23,
108,1/22/23 15:16,Manila,Metro Manila,Philippines,Unknown,1:03 mins video,Accidentally taken video footage on Plane window,3/6/23,Yes
109,1/20/23 22:00,Cincinnati,,,Chevron,Five Minutes,"Sharp cutout in heavy cloud layer, stayed static and lines very defined before clouds immediately recondensed.",3/6/23,Yes
110,1/20/23 18:10,,,United Kingdom,Light,8 minutes,4 lights in a trapezoid shape turning to 3,3/6/23,
111,1/20/23 16:08,Asuncion,Central Department,Paraguay,Circle,0:29,We were at the pool looking at the clouds,3/6/23,Yes
112,1/20/23 16:05,Asuncion,Central Department,Paraguay,Oval,Fueron como 20 minutos,Three objects were seen appearing from the west side where the sun was and they were placed forming a triangle crossing to the west,3/6/23,Yes
113,1/20/23 07:25,,Essex,United Kingdom,Light,10 seconds,Bright light that disappeared,3/6/23,
114,1/19/23 20:06,Roodepoort,Gauteng,South Africa,Cigar,44.sec,I saw it and I called my friends to come see as the cigar made no noise passing above us,3/6/23,
115,1/19/23 17:15,,,,Orb,Approximately 5 minutes,Transparent orb with object in it's center sighted over the Pacific South of the Aleutian Islands.,3/6/23,
116,1/19/23 00:40,swanscombe,Kent,United Kingdom,Unknown,literally two seconds,It had a cylinder top and was round at the bottom,3/6/23,
117,1/19/23 00:40,Florida City,,,Circle,3 minutes at most,Round white/light yellow light moving fast.,3/6/23,
118,1/17/23 21:15,Ashington,Northumberland,United Kingdom,Star,3 seconds,Star sized object travelling fast and turning 180 and accelerating rapidly,3/6/23,
119,1/15/23 22:34,Wellington,,Barbados,Orb,30,"A right circular orb, flashing many different kinds of light going bright getting them I have the video",3/6/23,
120,1/15/23 20:24,Gurugram,Haryana,India,Circle,19 seconds,It was moving in circular motion,3/6/23,
121,1/15/23 19:13,Bogdanowo,Greater Poland Voivodeship,Poland,Circle,ab. 3 minutes,One object very far in close look 3 flashing,3/6/23,Yes
122,1/15/23 02:10,Dallas,,,Orb,2 seconds,"3 of us, 5 ft apart, whom are all strangers to each other, and SOBER, saw the same object in the sky above us simultaneously",3/6/23,
123,1/13/23 18:06,paonta sahib,Himachal Pradesh,India,Light,,i,3/6/23,Yes
124,1/13/23 11:49,Pacific ocean,,,Light,30 to 45 mins,2 lights moving rapidly back and forth,3/6/23,
125,1/13/23 01:36,Bengaluru,Karnataka,India,Star,Few minutes,It looks like a cluster of stars and is stationery,3/6/23,Yes
126,1/9/23 16:30,Yokohama,Kanagawa Prefecture,Japan,Formation,10,4-6 ufos flying slowly in a parallel formation,3/6/23,Yes
127,1/6/23 20:40,Gladstone,Queensland,Australia,Other,10 seconds,"Aircraft flying very low to ground, no sound emitted, size of a large plane but looked like a massive drone",3/6/23,
128,1/6/23 02:00,Harlech,Gwynedd,United Kingdom,Disk,I hour observed 2-3 am,Many many bright lights travelling East to West over Irish sea,3/6/23,
129,1/4/23 02:08,Tel aviv,,Israel,Light,4 hours,A craft appeared in my bedroom and a being emerged conversing with me.,3/6/23,
130,1/4/23 01:15,Brisbane,Queensland,Australia,Light,5sec,Ive seen a couple of these lately and theyre all a bit different from one another but this latest one was very bright and was contrll,3/6/23,
131,12/31/22 22:45,Navarette,Santiago Province,Dominican Republic,Triangle,10 seconds,"Black Triangular UFO with three lights, one on each corner",3/6/23,
132,12/31/22 20:19,Munich,Bavaria,Germany,Other,3 minutes (known),"While photographing my son on New Years Eve, this crescent shaped object appears in three separate photo, in the span of three minute.",3/6/23,Yes
133,12/29/22 01:28,Dublin,County Dublin,Ireland,Oval,2/3 seconds,Very bright round object flying very fast,3/6/23,
134,12/28/22 22:05,Sydney,New South Wales,Australia,Star,5 minutes,Saw 4 star like objects moving in 4 different directions angles,3/6/23,
135,12/27/22 18:23,Sallins,County Kildare,Ireland,Triangle,8 seconds,Triangular cluster of UFOs,3/6/23,
136,12/26/22 23:10,Barnsley,Barnsley,United Kingdom,Disk,Less than a minute,Flying spinning disc flew over our car,3/6/23,Yes
137,12/25/22 21:54,Swindon,United Kingdom,United Kingdom,Other,3.5 minute,"Big light (perhaps square) very unusual colour, VERY fast",3/6/23,
138,12/25/22 18:15,Stowmarket,Suffolk,United Kingdom,Triangle,10 seconds,Triangular multicoloured pulsating lights,3/6/23,Yes
