,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-07 21:15:00,Des moines,IA,Light,15 minutes,Very bright green light with yellow purple and red lights rotating in the middle,https://nuforc.org/webreports/reports/175/S175704.html
1,2023-04-08 19:30:00,Brighton/ Fairfield,IA,Teardrop,96 minutes,Black snake like objects in the sky,https://nuforc.org/webreports/reports/175/S175269.html
2,2023-04-08 19:30:00,Brighton/Fairfield,IA,Teardrop,96 minutes,Black snake like objects in the sky,https://nuforc.org/webreports/reports/175/S175242.html
3,2023-03-01 18:50:00,Maquoketa,IA,Unknown,30 mins?,Two bright lights in a direct line hovering. Very large and very bright no noise came from it. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174840.html
4,2023-02-27 20:22:00,Waukee,IA,Unknown,5 minutes,Something unknown spotted in the field,https://nuforc.org/webreports/reports/175/S175011.html
5,2023-02-03 18:35:00,Shenandoah,IA,Changing,Every night,These same lighted objects are above town every night and start out in the same positions it would seem,https://nuforc.org/webreports/reports/174/S174294.html
6,2023-01-17 19:31:00,"SHENANDOAH, IA",IA,Sphere,one week now,They're somewhat mushroom shape about the size of a VW bug with white lights and one red light toward the bottom,https://nuforc.org/webreports/reports/173/S173988.html
7,2022-12-30 18:56:00,Iowa City,IA,Unknown,1 minute,Hovering Lights above I-80 in Coralville,https://nuforc.org/webreports/reports/173/S173686.html
8,2022-12-17 18:40:00,Galva,IA,Disk,30 seconds,Light Blue line in sight 30 seconds moving northerly,https://nuforc.org/webreports/reports/173/S173453.html
9,2022-12-11 05:56:00,Shenandoah,IA,Changing,3-4 minutes,I first seen multiple lightsround in natureand thought to myself am I really seeing this?! So I grabbed my phone and took pictures!,https://nuforc.org/webreports/reports/173/S173381.html
10,2022-12-07 22:06:00,Vinton,IA,Light,5-8 minutes,My wife and I were sitting in the car. When I looked out my window to the South. there was a very bright and vivid red light and blue,https://nuforc.org/webreports/reports/174/S174151.html
11,2022-11-12 09:00:00,Sioux City,IA,Circle,30 mins,Honestly looked like a rainbow portal,https://nuforc.org/webreports/reports/172/S172965.html
12,2022-10-30 15:58:00,Center Point,IA,Other,Unknown,"3 digital pics of 2 conjoined dark cloud circles with illuminated crown of blue/white light in sky at 4 pm on Sun, 30 Oct 2022.",https://nuforc.org/webreports/reports/172/S172706.html
13,2022-10-30 06:00:00,Mason City,IA,Unknown,20 minutes,Saw this on my walk,https://nuforc.org/webreports/reports/172/S172705.html
14,2022-10-12 12:12:00,Sigourney,IA,Disk,Unknown,Found pick in phone 1 week later did not see craft when pic taken,https://nuforc.org/webreports/reports/172/S172524.html
15,2022-10-08 19:40:00,Des Moines,IA,Other,10 seconds,A large well defined object passed in-front of the brightly lit full moon; crossing across the right lower quadrant,https://nuforc.org/webreports/reports/172/S172269.html
16,2022-09-29 21:00:00,Iowa City,IA,Other,30 - 40 seconds,I barely visible dark boomerang glided across the sky noiselessly. No lights.,https://nuforc.org/webreports/reports/172/S172114.html
17,2022-09-28 15:11:00,,IA,Circle,at least one hour,"Large white balloon spotted hovering, moving.",https://nuforc.org/webreports/reports/174/S174286.html
18,2022-09-21 10:20:00,Osceola,IA,Unknown,About a hour.,The UFOs flew over my apartment and picked up a car and dropped it.,https://nuforc.org/webreports/reports/171/S171879.html
19,2022-08-25 23:10:00,Waverly,IA,Light,10 Seconds,Strangely moving light,https://nuforc.org/webreports/reports/171/S171469.html
20,2022-08-25 10:30:00,Royal,IA,Unknown,A second,"A HUGE flash of light in the sky. Looked bluish/electric, and then gone! It happened so fast. NOT lightning.",https://nuforc.org/webreports/reports/171/S171390.html
21,2022-07-24 21:30:00,Tama,IA,Light,One and a half hours,"Bright, light in night sky, moving minutely and then erratically for 1.5 hours, 10-in circumferenz, returning to zenith w 5 mini-lights",https://nuforc.org/webreports/reports/170/S170667.html
22,2022-07-17 21:25:00,Unknown,IA,Other,Captured in photo,Didn't realize what I captured until looking at photos,https://nuforc.org/webreports/reports/170/S170556.html
23,2022-07-13 04:13:00,Titonka,IA,Light,2-3 minutes,A very bright and constant light in the northern night sky silently moved east and then south before trees blocked view.,https://nuforc.org/webreports/reports/170/S170421.html
24,2022-06-30 21:30:00,Marshalltown,IA,Light,90 seconds,I saw a solid orange light traveling at what looked like airplane speed but disappeared rather quicker than an aircraft would.,https://nuforc.org/webreports/reports/170/S170178.html
25,2022-06-28 21:40:00,Urbandale,IA,Circle,I was at a stop light it.,See sighting details,https://nuforc.org/webreports/reports/170/S170128.html
26,2022-06-23 09:59:00,Iowa City,IA,Rectangle,10-15 seconds,Rectangular shaped distortion in the clouds that disturbed clouds when it disappeared,https://nuforc.org/webreports/reports/170/S170060.html
27,2022-06-20 16:02:00,Pleasantville,IA,Circle,Picture,Looking out the garage,https://nuforc.org/webreports/reports/168/S168771.html
28,2022-06-19 01:18:00,Water,IA,Light,Less then 30 seconds,I arrived seconds after sighting,https://nuforc.org/webreports/reports/168/S168760.html
29,2022-06-19 01:15:00,Albia,IA,Circle,7 minutes,"looked up at the sky around 1am, the object appeared very bright at first then slowly started to fade away.",https://nuforc.org/webreports/reports/168/S168786.html
