,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-29 23:20:00,Parkville,KS,Unknown,,Hovering drone-like objects with bright lights,https://nuforc.org/webreports/reports/175/S175589.html
1,2023-04-12 22:30:00,Spring hill,KS,Circle,5,Round ball of light lasted 5 mins,https://nuforc.org/webreports/reports/175/S175366.html
2,2023-04-12 02:48:00,Arcadia,KS,Star,20 minutes,"Objects would fade in and out, changing altitude, speed and direction.",https://nuforc.org/webreports/reports/175/S175381.html
3,2023-04-07 06:02:00,WICHITA,KS,Flash,2 seconds,High attitude large bright blue light flew across and above my car. Disappear in midair!,https://nuforc.org/webreports/reports/175/S175252.html
4,2023-03-01 19:58:00,Lenexa,KS,Circle,Over 10 mins,2 lights in a row hovering over I35 and 95th street. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174842.html
5,2023-03-01 19:57:00,Cherryvale,KS,Other,45 seconds on camera,There were two white lights in the sky that were too low to be a plane. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174837.html
6,2023-01-07 21:12:00,Wichita,KS,Triangle,One minute,"I went outside, looked north, saw one orange light start to move then another appearing to do the same, shortly after both fading.",https://nuforc.org/webreports/reports/174/S174064.html
7,2022-12-26 17:16:00,Lawrence,KS,Circle,10 minutes,For several days I and sometimes my children have seen a light that hovers in Douglas County off Farmers Turnpike (N 1800 Rd),https://nuforc.org/webreports/reports/173/S173764.html
8,2022-12-25 22:38:00,Maize,KS,Fireball,5 or so minutes. Under 10,Thought to have been an air plane until it came closer to my house. Slowed down. Descended to around 20/30 above tree line.,https://nuforc.org/webreports/reports/173/S173602.html
9,2022-12-16 23:00:00,Overland Park,KS,Circle,10 seconds,3 fast circular lights,https://nuforc.org/webreports/reports/173/S173439.html
10,2022-11-12 00:08:00,Lawrence,KS,Chevron,1 minute,"Flying west to east, very fast, close lights in shape of a wide V. then disappeared, then a few seconds later another set, loose wide V",https://nuforc.org/webreports/reports/172/S172950.html
11,2022-11-11 02:00:00,Lenexa,KS,Unknown,10 minutes,Video,https://nuforc.org/webreports/reports/172/S172971.html
12,2022-11-05 16:30:00,Lawrence,KS,Orb,5 min,saw a floating transparent white orb that for really bright then disappeared in broad daylight,https://nuforc.org/webreports/reports/172/S172903.html
13,2022-11-05 08:08:00,St George,KS,Cylinder,2 minutes,White tick-tack shaped object in the sky,https://nuforc.org/webreports/reports/173/S173017.html
14,2022-10-29 22:00:00,Topeka,KS,Triangle,15-20 min.,Triangle formation of white lights.,https://nuforc.org/webreports/reports/172/S172974.html
15,2022-10-25 01:47:00,Shawnee,KS,Circle,1m 52sec,Seen a bright perfectly circular pulsating object in the sky disappearing and reappearing,https://nuforc.org/webreports/reports/172/S172590.html
16,2022-10-21 22:00:00,Merriam,KS,Chevron,10 seconds,Object went from east to west,https://nuforc.org/webreports/reports/174/S174498.html
17,2022-10-17 15:00:00,Shawnee,KS,Cone,5 minutes,Object woth vapor trail descending for 5 mins woth 2 jets nearby. Wife & I have pics.,https://nuforc.org/webreports/reports/172/S172535.html
18,2022-08-29 19:50:00,Bucklin,KS,Disk,5 sec,I was taking a video of a lightning storm,https://nuforc.org/webreports/reports/175/S175770.html
19,2022-08-02 07:05:00,Fort Leavenworth,KS,Other,1-2 minutes,UAP no contrail or visible propulsion playing with commercial aircraft,https://nuforc.org/webreports/reports/170/S170844.html
20,2022-07-30 02:20:00,Eudora,KS,Light,5 seconds,I saw a star move then take off,https://nuforc.org/webreports/reports/170/S170759.html
21,2022-07-27 21:00:00,Bunker Hill,KS,Light,Current/ last 15 min,Driving west on hwy70 and have had a bright white rectangle hovering in same spot in sky for extended time. Clearly not a celestial bod,https://nuforc.org/webreports/reports/170/S170710.html
22,2022-07-23 21:30:00,Wichita,KS,Orb,6 seconds,Red/green/white from south to north of entire sky in 6 seconds.,https://nuforc.org/webreports/reports/170/S170649.html
23,2022-06-25 23:15:00,Kansas City,KS,Triangle,2 minutes,I saw blue lights that were in the shape of a triangle with a tail and some weird symbol on the front in formation.,https://nuforc.org/webreports/reports/170/S170066.html
24,2022-06-20 22:00:00,Cheney,KS,Circle,30 seconds,2 orange lights corkscrew and fly in opposite directions.,https://nuforc.org/webreports/reports/168/S168762.html
25,2022-06-19 01:15:00,Hutchinson,KS,Chevron,Unknown,Triangular flying object moving to the side.,https://nuforc.org/webreports/reports/168/S168740.html
26,2022-06-15 22:15:00,Bucklin,KS,Rectangle,3 seconds,A bright white looking door that was open,https://nuforc.org/webreports/reports/168/S168686.html
27,2022-06-14 22:08:00,Bucklin,KS,Cigar,3 seconds,A long gated white light which seem partial cloaked was very massive in size,https://nuforc.org/webreports/reports/168/S168687.html
28,2022-06-11 20:51:00,Olathe,KS,Light,12 seconds (recorded),Red in color light appears in clearing storm clouds and moves at high speed.,https://nuforc.org/webreports/reports/168/S168623.html
29,2022-06-10 22:35:00,Topeka,KS,,Abour 5 min max,Looking east..saw red dotsped south..stopped for about 2 sec..sped back..turned white and disappeared,https://nuforc.org/webreports/reports/168/S168595.html
30,2022-06-02 05:30:00,Wichita,KS,,,MADAR Node 123,https://nuforc.org/webreports/reports/168/S168710.html
31,2022-05-27 21:08:00,On highway US 54 heading east in Ford County,KS,Teardrop,Around 12 minutes,"This craft was on the ground, I believe by mistake, and I engaged with one of the occupants who was embarrassed but very friendly.",https://nuforc.org/webreports/reports/168/S168608.html
32,2022-05-16 00:00:00,Cheney,KS,Formation,10 mins,A large object with multiple lights floating,https://nuforc.org/webreports/reports/168/S168248.html
33,2022-05-01 20:38:00,Shawnee,KS,Diamond,4-5 minutes,"we seen it coming from the distance, it approached us hovered for a couple min, then flew away like straight up and away",https://nuforc.org/webreports/reports/167/S167692.html
34,2022-04-25 04:30:00,Moundridge,KS,Oval,4 seconds,"while outside at 430 am, at 38°12'9""N 97°31'7""W (38.202497, -97.518506), looking westward and up",https://nuforc.org/webreports/reports/167/S167591.html
35,2022-03-09 23:30:00,Haysville,KS,Teardrop,5 minutes lights showing,We saw the actual ufo after she spotted a light and caught it on video.,https://nuforc.org/webreports/reports/167/S167048.html
36,2022-02-24 11:12:00,Wichita,KS,Cigar,Human reptilian Jeffrey,I need someone to call me he won't leave me an my dog alone because I have proof,https://nuforc.org/webreports/reports/166/S166864.html
