,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 21:45:00,Louisville,KY,Orb,10 mins then returned,3 orbs flying in a triangle,https://nuforc.org/webreports/reports/175/S175759.html
1,2023-05-03 21:25:00,Alexandria,KY,Unknown,all night,A month ago there was one object hovering stationary object with lights that change colors. Now there are at least 17,https://nuforc.org/webreports/reports/175/S175634.html
2,2023-04-13 17:16:00,South Shore,KY,Oval,2 minutes,2nd sighting milky white oval moving slow and low,https://nuforc.org/webreports/reports/175/S175435.html
3,2023-03-15 15:30:00,South Shore,KY,Cylinder,5 - 7 minutes,Pill shaped craft being followed by plane,https://nuforc.org/webreports/reports/175/S175024.html
4,2023-03-08 18:00:00,Florence,KY,Triangle,Stationary,I was watching low cloud formation and caught it camera,https://nuforc.org/webreports/reports/174/S174949.html
5,2023-03-08 12:01:00,Vine Grove,KY,Other,,It's my home they're here they're picking my home up lifting it up moving it they're making the whole top of the Earth move between thi,https://nuforc.org/webreports/reports/174/S174926.html
6,2023-03-04 15:04:00,Murray,KY,Orb,6 minutes,A giant white orb bigger than a house.,https://nuforc.org/webreports/reports/174/S174869.html
7,2023-02-15 07:00:00,Crittenden,KY,Orb,10 minutes,Bright orb stationary at first then started to dissapear and reappear in different locations,https://nuforc.org/webreports/reports/174/S174581.html
8,2023-02-12 19:40:00,Ewing,KY,Formation,Roughly 10 seconds,Saw a line of 5 star like shapes in a line that drifted across the sky and vanished in a eclipse like fashion.,https://nuforc.org/webreports/reports/174/S174463.html
9,2023-01-29 18:45:00,Lexington,KY,Other,2-5 minutes,Big blue light stationery a few hundred yards wide very low just above the fog barrier.,https://nuforc.org/webreports/reports/174/S174327.html
10,2023-01-23 18:00:00,Burkesville,KY,Other,One minute,Saw two small satellites converge and exchange bolts of light.,https://nuforc.org/webreports/reports/174/S174306.html
11,2022-12-10 21:00:00,MOUNT OLIVET,KY,Oval,5 to 10 minutes,"The light came down and had to be around 30 to 50 ft above me, It was circular and fully lit but not like a flash light, Like the moon",https://nuforc.org/webreports/reports/173/S173769.html
12,2022-12-10 12:30:00,Utica,KY,Circle,5 to 8 minutes,Was high in the sky then came down lower real close very very bright light,https://nuforc.org/webreports/reports/173/S173346.html
13,2022-12-01 19:35:00,Versailles,KY,Fireball,3-4 seconds,"Was traveling east toward Versailles, Ky and witnessed a right fireball falling and traveling from the northwest to southeast .",https://nuforc.org/webreports/reports/173/S173273.html
14,2022-11-20 12:17:00,Fisherville,KY,Changing,Approximately 5 Minutes,"Bright, Changing Spot Changing Shape Near Airplane",https://nuforc.org/webreports/reports/173/S173105.html
15,2022-11-04 23:24:00,Murray,KY,Light,at least 30 minutes,"I saw a star that was moving significantly like a bug or a fish in the sky - irregularly, both in speed and direction.",https://nuforc.org/webreports/reports/172/S172769.html
16,2022-10-29 13:39:00,Florence,KY,Triangle,Maybe 2 minutes,"Two pyramid shaped objects appear to be made of highly polished metal, flying in tandem.",https://nuforc.org/webreports/reports/172/S172723.html
17,2022-10-27 21:30:00,Lexington,KY,Formation,5 minutes,My dog was barking to go outside and when I turned around there were a massive formation of hovering lights.,https://nuforc.org/webreports/reports/172/S172579.html
18,2022-10-27 02:08:00,Stanford,KY,Circle,2 minutes,Flashing round light leaves trail in sky,https://nuforc.org/webreports/reports/172/S172609.html
19,2022-10-25 03:05:00,Stanford,KY,Circle,10 min including 2 camera,Refer to video,https://nuforc.org/webreports/reports/172/S172641.html
20,2022-10-25 03:05:00,Stanford,KY,Circle,5 mins,Via security camera,https://nuforc.org/webreports/reports/172/S172643.html
21,2022-10-06 20:00:00,Louisville,KY,Other,"2 acts: 1s 3-4 min, 2 unk","2 ufos, 2 different locations, 2 different people groups saw, same shapes, different sizes, different days, few miles apart in Lou. Ky",https://nuforc.org/webreports/reports/172/S172942.html
