,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-27 21:50:00,Covington,LA,Circle,"Intensely, several minuts",Hundreds of flying objects hovering over my car through the sky,https://nuforc.org/webreports/reports/175/S175541.html
1,2023-04-20 12:12:00,Paulina,LA,Cigar,1 min,"I was at work on the mississippi river in paulina, la and i picked my head up and saw 2 crafts with no wings.",https://nuforc.org/webreports/reports/175/S175494.html
2,2023-04-19 23:00:00,Mandeville,LA,Changing,Multiple sightings 8-12m,Bright melted reappeared. Followed by 5 more,https://nuforc.org/webreports/reports/175/S175408.html
3,2023-04-18 21:30:00,Lawtell,LA,Light,Approx 2-3 mins,"2 extremely low ""flying"" lights no noise hovered then zoomed completely unnatural NOT aircraft lights (one light caught on camera)",https://nuforc.org/webreports/reports/175/S175461.html
4,2023-04-10 23:00:00,Vacherie,LA,Circle,ABOUT 1.30 min,USCG licensed captain on Miss River. Look up and saw object hovering over red tower light and it was so bright it reflected on water.,https://nuforc.org/webreports/reports/175/S175680.html
5,2023-02-27 22:37:00,,LA,Fireball,Continuous,Strange red light on side of moon. Blinked from time to time.,https://nuforc.org/webreports/reports/174/S174744.html
6,2023-02-26 20:49:00,Mandeville,LA,Other,Right now,We were getting out of the car at night and there was this singular tiny circle cloud shaped Grey thing that was flying extremely slow,https://nuforc.org/webreports/reports/174/S174723.html
7,2023-02-24 20:40:00,Shreveport,LA,Formation,,"Bright light in woods behind fence, something in corner of picture taken.",https://nuforc.org/webreports/reports/174/S174770.html
8,2023-02-19 13:30:00,Metairie,LA,Other,1 minute,Driving and saw a hovering object over residences,https://nuforc.org/webreports/reports/174/S174655.html
9,2023-02-11 16:00:00,Belcher,LA,Orb,Maybe 30 seconds,My husband and I were in the car and saw a blindingly bright orb or maybe oval hovering in the sky then it just disappeared.,https://nuforc.org/webreports/reports/174/S174502.html
10,2023-02-09 06:05:00,Montz,LA,Other,3 to 5 minutes,Headlights visible but not the craft.,https://nuforc.org/webreports/reports/174/S174405.html
11,2023-02-03 21:05:00,Leesville,LA,Sphere,About 4 seconds,Near leesville Louisiana,https://nuforc.org/webreports/reports/174/S174289.html
12,2023-02-03 14:00:00,Livingston,LA,Cylinder,5 seconds. Approximately,Tic-tac shaped object traveking South West.,https://nuforc.org/webreports/reports/174/S174448.html
13,2023-01-26 20:24:00,French Settlement,LA,Cigar,About 5 seconds.,A tic tak shaped craft. That was seen for about 5 seconds.,https://nuforc.org/webreports/reports/174/S174193.html
14,2023-01-23 18:00:00,Houma,LA,Other,10 seconds.,Video is in slo motion capture due to wanting to capture my dog running towards me. Youll see an object in the background flying fast!,https://nuforc.org/webreports/reports/174/S174095.html
15,2023-01-04 16:06:00,Duson,LA,Cylinder,Less than 5 minutes,No way it was another airplane or chopper,https://nuforc.org/webreports/reports/173/S173793.html
16,2022-12-03 22:00:00,West Monroe,LA,Egg,,theyve been here for a year now,https://nuforc.org/webreports/reports/173/S173238.html
17,2022-12-02 20:20:00,Shreveport,LA,Disk,5 mins of hovering,"I was coming over the over pass heading west , ass I look to the northwest ride over a tree line I see 3 light the middle the brightest",https://nuforc.org/webreports/reports/173/S173252.html
18,2022-11-11 20:04:00,Prairieville,LA,Other,5 seconds or so,Crafts in sky,https://nuforc.org/webreports/reports/173/S173244.html
19,2022-10-26 06:56:00,Lafayette,LA,Changing,2 seconds,"A large rectangular object glowing bright white breaking up in the Northeast sky at 25 degrees at 6:56am, in Lafayette, LA- ON 10/26/22",https://nuforc.org/webreports/reports/172/S172635.html
20,2022-10-20 19:22:00,Mandeville,LA,Rectangle,8 minutes,Formation of lights moving slowly,https://nuforc.org/webreports/reports/172/S172471.html
21,2022-10-14 00:08:00,Kenner,LA,Other,2 minutes,I have a video of it on my phone,https://nuforc.org/webreports/reports/172/S172708.html
22,2022-10-04 18:45:00,Lake Charles,LA,Cigar,About 3 minutes,"Brown, fast-moving object seen weaving through air.",https://nuforc.org/webreports/reports/172/S172490.html
23,2022-09-26 20:14:00,Benton,LA,Light,Just over a minute,Watched craft fly silently several thousand feet up. Ball of light stopped then continued,https://nuforc.org/webreports/reports/172/S172073.html
24,2022-09-15 15:00:00,Loranger,LA,Cigar,20 seconds,"Clear sunny day , Flying Southwest over Hammond Airport on Louisiana",https://nuforc.org/webreports/reports/173/S173135.html
25,2022-08-30 01:30:00,Haughton,LA,Light,1 minute,Glowing in the sky witness by several employees,https://nuforc.org/webreports/reports/171/S171487.html
26,2022-08-15 08:25:00,Church Point,LA,Cylinder,Ten minutes,I was going up a ladder to get a bird feeder and I saw a white long shape and I new it was not a air plane it was a Tic Tac UFO,https://nuforc.org/webreports/reports/171/S171120.html
27,2022-08-13 21:48:00,Mandeville,LA,Cylinder,15 minutes,Saw flying objects in the sky,https://nuforc.org/webreports/reports/172/S172103.html
28,2022-08-13 21:13:00,Lacombe,LA,Sphere,10 minutes,We watched the sunset at fountainbleu and then we payed in top of our truck looking at the stars and we both noticed these ufo,https://nuforc.org/webreports/reports/171/S171655.html
29,2022-08-12 02:07:00,Franklinton,LA,Light,Over 30 minutes,5 lights in my neighbors field that blinked and spun.,https://nuforc.org/webreports/reports/171/S171114.html
30,2022-08-11 14:00:00,Deridder,LA,Unknown,2 mins,Dark object/ thought it was a big black bird from a distant,https://nuforc.org/webreports/reports/174/S174308.html
31,2022-08-08 00:00:00,Grayson,LA,Changing,2 hours multiple objects,Multiple objects for the 4th night in a row. 12am to 2am,https://nuforc.org/webreports/reports/170/S170996.html
32,2022-08-07 12:00:00,Grayson,LA,,Over a 2 hour period,Multiple sightings for 2 hours straight for 3 consecutive nights.,https://nuforc.org/webreports/reports/170/S170944.html
33,2022-08-01 02:00:00,Opelousas,LA,Changing,3:02,At first like a pulsating star then began darting very fast left to right and pulsating the whole time from bright to dim.,https://nuforc.org/webreports/reports/172/S172225.html
34,2022-07-23 23:03:00,folsom,LA,Chevron,2-4 minutes,"Saw an object disappear and instantly reappear further away multiple times, got closer and saw that it was a delta with 3 lights.",https://nuforc.org/webreports/reports/170/S170821.html
35,2022-07-23 05:35:00,Slidell,LA,Orb,45 seconds to one minute,I saw 2 round white orbs flying fast towards the rising sunlight to which they disappeared in the light about a minute long watching t,https://nuforc.org/webreports/reports/170/S170716.html
36,2022-07-22 23:00:00,Many,LA,Cylinder,30 to 40 seconds,Seen a this figure in the sky not moving then slowly faded away.,https://nuforc.org/webreports/reports/170/S170606.html
37,2022-07-04 03:00:00,St. Gabriel,LA,Chevron,About 2 minutes,Delta shaped Craft with four lights that hovered in the sky for 30 seconds and immediately flew away.,https://nuforc.org/webreports/reports/170/S170386.html
38,2022-06-29 21:30:00,Duson,LA,Cigar,30. Seconds,2 crafts traveling together,https://nuforc.org/webreports/reports/171/S171641.html
39,2022-06-22 10:40:00,Covington,LA,Cigar,10 seconds,Lake Pontchartrain causeway,https://nuforc.org/webreports/reports/168/S168734.html
40,2022-06-04 15:00:00,Lafayette,LA,Star,30 minutes,Walking my dog looked up and saw what I thought was a balloon floating by but as I watched it I noticed it zoomed back and forth.,https://nuforc.org/webreports/reports/168/S168534.html
41,2022-05-15 23:07:00,Lake Charles,LA,Unknown,Pic from I- Phone,Unexplainable,https://nuforc.org/webreports/reports/168/S168108.html
42,2022-04-30 05:35:00,Lafayette,LA,Light,5:45am,Glowing big starts/ ufos,https://nuforc.org/webreports/reports/167/S167709.html
43,2022-04-21 20:32:00,Gretna,LA,Star,around 5 minutes total,Bright ball of light appeared twice. First time was under a minute. Second time for about 10 seconds.,https://nuforc.org/webreports/reports/167/S167585.html
44,2022-02-28 05:48:00,Shreveport,LA,Triangle,,I have seen a bright light in the south east sky early in the mornings .,https://nuforc.org/webreports/reports/166/S166916.html
45,2022-01-23 20:41:00,Ville Platte,LA,Triangle,About 10 minutes,I was just looking at the Stars and I saw a large triangle passing over head going NE and there wasn't any sound,https://nuforc.org/webreports/reports/166/S166365.html
46,2022-01-23 05:58:00,New Orleans,LA,Star,10 minutes and ongoing,A giant star with a red light which disappeared and reappeared,https://nuforc.org/webreports/reports/166/S166373.html
47,2021-12-25 17:30:00,Baton Rouge,LA,Cigar,2 minutes,Dont know what it is,https://nuforc.org/webreports/reports/166/S166230.html
48,2021-12-24 17:45:00,Slidell,LA,Oval,5-10 seconds,"Multiple bright ovals flying North & South near Slidell, LA",https://nuforc.org/webreports/reports/166/S166234.html
49,2021-12-22 19:30:00,Natchitoches,LA,Star,Approximately 50 seconds,Saw a star like object moving from south to north (left to right) and then it disappeared.,https://nuforc.org/webreports/reports/166/S166207.html
50,2021-11-22 18:30:00,Benton,LA,Light,,Craft moving and slightly wiggling left to right traveling in one direction,https://nuforc.org/webreports/reports/165/S165535.html
51,2021-10-20 16:15:00,Mandeville,LA,Rectangle,Just a few seconds,5 seconds total?,https://nuforc.org/webreports/reports/166/S166219.html
52,2021-10-12 19:00:00,Labadieville,LA,Oval,2 minutes,Saw oval or round object. 4 extended pods. Previously saw same object in late 1960's. Had orange lights under the pedestal legs.,https://nuforc.org/webreports/reports/164/S164962.html
53,2021-10-10 23:00:00,Ringgold,LA,Triangle,,"Triangle shape with a light on each corner, one spotlight on me, hovering with no sound bigger than a car slow moving.",https://nuforc.org/webreports/reports/175/S175470.html
54,2021-10-07 19:30:00,Slidell,LA,Light,>5 seconds,"I was looking up, in the direction of Sagittarius and suddenly, a stationary star started moving. It traveled SE and disappeared in ju",https://nuforc.org/webreports/reports/164/S164858.html
55,2021-09-21 00:00:00,Natchitoches,LA,Triangle,Every night,Every night I have these that stay above not house. Some hover and some actually fly around with red and green and blue lights flashing,https://nuforc.org/webreports/reports/164/S164775.html
56,2021-09-01 19:50:00,Madison,LA,,5 minutes,Watching a lightning storm during Hurricane Ida. A light being just appeared in the storm and appeared to be playing/dancing in storm,https://nuforc.org/webreports/reports/166/S166831.html
57,2021-08-12 22:05:00,Metairie,LA,Sphere,4 seconds,"Spherical Light UFO traveling low, fast, and making quick turns.",https://nuforc.org/webreports/reports/164/S164320.html
58,2021-08-01 19:45:00,St. Martinville,LA,Rectangle,2 minutes,"Bright white/silver rectangular object, no visible wings, moving E/NE in south central Louisiana.",https://nuforc.org/webreports/reports/164/S164209.html
59,2021-07-07 01:00:00,Natchitoches,LA,Circle,4 hours,Ufo sightings and Mufon is also investigating.,https://nuforc.org/webreports/reports/164/S164068.html
60,2021-07-02 21:40:00,Shell Beach,LA,Sphere,1 min.,Came up out of the water approximately 1000 yards in front of my boat and with two apparent burst appeared to go subsonic up and into t,https://nuforc.org/webreports/reports/166/S166403.html
61,2021-06-25 21:30:00,Benton,LA,Triangle,2 minutes,Triangular shaped craft silently skating/ flying over house and neighborhood,https://nuforc.org/webreports/reports/163/S163837.html
62,2021-06-02 21:23:00,Ruston,LA,Disk,1 hour,"It was A clear night on June 2, 2021 approximately 9:23 PM I have a video of a spaceship in the sky and it beckons a round circular lig",https://nuforc.org/webreports/reports/163/S163531.html
63,2021-05-22 22:35:00,Shreveport,LA,Orb,45sec-1 min,"Spinning white Star-like orbs over Northwest Shreveport, LA",https://nuforc.org/webreports/reports/163/S163442.html
64,2021-05-22 22:08:00,Bossier,LA,Circle,Ten or so minutes,UFO over Barksdale,https://nuforc.org/webreports/reports/163/S163460.html
65,2021-04-05 12:05:00,Geismar,LA,Unknown,Image + 17 second video.,"It's a bit blurry, but if you zoom in, it looks like an oddly shaped metor, but I swear that it had no movement.",https://nuforc.org/webreports/reports/168/S168218.html
66,2021-04-04 21:30:00,Eunice,LA,Cigar,6 seconds,It was seen coming out north north west heading south southwest and then turned and headed East southeast.  The craft was bright blu,https://nuforc.org/webreports/reports/162/S162603.html
67,2021-04-03 05:58:00,Lake Charles,LA,Light,It was an alien more so,Floating red light,https://nuforc.org/webreports/reports/172/S172431.html
68,2021-03-27 22:00:00,cynthiana,LA,Circle,30 minutes,"my best friend and i were sitting on the porch i was facing the roof toward the road, we were behind the house, and she was facing the",https://nuforc.org/webreports/reports/162/S162496.html
