,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-12 21:04:00,Bucksport,ME,Triangle,30 seconds,Some soft engine noise slow moving @75 feet up from the bay headed east northeast inland.,https://nuforc.org/webreports/reports/175/S175743.html
1,2023-04-11 21:34:00,Temple,ME,Sphere,Ongoing,A large blue light bobbing in the western sky with occasional random flashes of red.,https://nuforc.org/webreports/reports/175/S175383.html
2,2023-04-07 02:45:00,Skowhegan,ME,Triangle,About 1 min (1/2 min vid),"Built a high Tesla electromagnet device to attract ""glowing orb"" UFOs and succeeded",https://nuforc.org/webreports/reports/175/S175241.html
3,2023-03-12 23:12:00,Barnard,ME,Light,3 minutes,dont know what the hell it is,https://nuforc.org/webreports/reports/174/S174989.html
4,2023-03-08 22:45:00,TURNER,ME,Light,30 minutes,Saw craft with multicolor flashing/strobing lights s,https://nuforc.org/webreports/reports/174/S174943.html
5,2023-02-09 17:57:00,Portland,ME,Changing,1.22,I'm sorry white light all of a sudden appear so I got out my camera because I also had a siding last month that mufon is investigating,https://nuforc.org/webreports/reports/174/S174390.html
6,2023-02-07 13:30:00,Augusta,ME,Orb,30-45 seconds,Two glowing orb-like objects came down from very thin clouds,https://nuforc.org/webreports/reports/174/S174346.html
7,2022-12-27 23:20:00,Biddeford,ME,Circle,2 minutes,Circular light formation over highway,https://nuforc.org/webreports/reports/173/S173642.html
8,2022-12-21 04:11:00,Franklin,ME,Light,2 hours,Hovering bright light with satellite lights expelling from it,https://nuforc.org/webreports/reports/173/S173509.html
9,2022-11-09 17:20:00,Gorham,ME,Star,10 seconds,A bright gold light (looked like a star but much brighter) moved across the sky unnaturally and then went out,https://nuforc.org/webreports/reports/172/S172907.html
10,2022-11-02 17:28:00,South Portland,ME,Other,41 minute,Two portal looking objects opened in sky 3 craft traveled between them,https://nuforc.org/webreports/reports/172/S172913.html
11,2022-11-02 17:15:00,South Portland,ME,Other,3 minutes,Two portals? Craft flying between them,https://nuforc.org/webreports/reports/172/S172786.html
12,2022-10-12 17:50:00,Wells,ME,Disk,Two minutes,UFO hovering above the trees behind our condo.,https://nuforc.org/webreports/reports/173/S173139.html
13,2022-10-02 13:13:00,Windham,ME,Circle,45 seconds,Orbs moving through smoke trail from another aircraft,https://nuforc.org/webreports/reports/172/S172217.html
14,2022-09-27 22:00:00,Otisfield,ME,Sphere,3 seconds,"Saw a very bright light cross the sky completely from east to west at very high speed, keeping its luminosity the same the entire time",https://nuforc.org/webreports/reports/172/S172094.html
