,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,10/4/22 22:12,Brandon,MB,Canada,Light,10 minutes,Through the trees in the grass field beside the highway,10/8/22,Yes
1,5/9/21 05:00,St. Labre (Canada),MB,Canada,Rectangle,,Rectangular craft with thin black strip in the center. Drifting in a northeasterly direction.,12/19/21,
2,4/3/21 05:30,Winnipeg (Canada),MB,Canada,Sphere,1 minute,Pulsating sphere interaction with a moving object,4/23/21,
3,3/12/21 19:55,Oakbank (Canada),MB,Canada,Triangle,~10 seconds,I saw three lights in a triangle formation that were rotating while maintaining shape.,3/31/21,
4,10/10/20 08:55,Winnipeg (Canada),MB,Canada,Cigar,10,Big long vertical luminous beam of white light,12/23/20,
5,9/18/20 05:30,Winnipeg (Canada),MB,Canada,Other,5+ minutes,Many white dots following in a row.,11/5/20,
6,9/16/20 01:00,La Broquerie (Canada),MB,Canada,Sphere,30,"Pinkish red sphere shaped light in the sky. Doing sharp U turns, rapidly speeding up then slowing down.",11/5/20,
7,9/12/20 22:00,Winnipeg,MB,Canada,Sphere,50 minutes,"Three lights, stayed in one spot for half an hour, flashed. And disappeared.",11/5/20,
8,9/4/20 03:18,Beausejour (Canada),MB,Canada,Formation,5 seconds,3 white dots flying East ward in Eastern sky.,9/4/20,
9,8/26/20 23:00,Winnipegosis (Canada),MB,Canada,Light,3 hours,Strange lights flying across the sky,8/27/20,
10,4/24/20 04:05,Selkirk,MB,Canada,Orb,About 15 sec,Two objects that appeared to be satellites but changing speed and direction.,6/25/20,
11,4/20/20 22:15,Ponton (Canada),MB,Canada,Light,15 minutes,"Line of over 30 flying aircraft lights seen travelling, equal distance and speed, west to east, single file. ((Starlink satellites))",5/1/20,
12,3/22/20 00:00,Kenora (Canada),MB,Canada,Light,10 minutes,I saw in my peripheral vision a massive white light bouncing around in the sky. ((NUFORC Note: Venus?? PD)),5/21/20,
13,2/18/20 02:45,Winnipeg (Canada),MB,Canada,Unknown,10 minutes,Strange light.,2/25/20,
14,1/7/20 19:00,Fairford,MB,Canada,Disk,1 minutes,A flashing disk with different colors heading north of fairford.,2/7/20,
15,12/23/19 10:00,Petersfield (Canada),MB,Canada,Light,25 seconds,I was driving down highway 8 from gimli manitoba to winnipeg in the morning as I noticed what at first I thought was some type of black,1/31/20,
16,12/17/19 22:26,Steinbach (Canada),MB,Canada,Light,10-15 seconds,One round ball of light falling towards earth.,12/19/19,
17,10/26/19 06:30,Winnipeg,MB,Canada,Formation,15 seconds,I saw 3 whiteish objects flying just above the clouds In a triangle formation heading due south at a very good pace. The one object in,12/1/19,
18,8/20/19 02:45,Winnipeg (Canada),MB,Canada,Disk,1 min,Craft recorded. ((NUFORC Note: Anonymous report. PD)),12/22/19,
19,5/27/19 00:20,Niverville,MB,Canada,Diamond,5 minutes,Three lights appeared from behind the clouds to the west at approximately 15-20 degrees up. ((NUFORC Note: Satellites? PD)),6/7/19,
20,4/25/19 04:00,Winnipeg (Canada),MB,Canada,Light,1.00,"Looking out my bedroom window I noticed a craft travelling north to south approximately a mile high,no sound .The odd thing was that it",5/9/19,
21,10/18/18 21:18,Winnipeg (Canada),MB,Canada,Triangle,2 minutes,One triangular shaped object moving fairly quickly NNW over Winnipeg,10/25/18,
22,5/10/18 23:30,Winnipeg (Canada),MB,Canada,Light,8 seconds,2 parallel white lights travel south while being pursued by police helicopter,5/15/18,
23,4/16/18 19:50,Ginew (Canada),MB,Canada,Cigar,30 seconds,Reddish-orange UFO over rural southern Manitoba.,4/19/18,
24,11/5/17 19:38,Highway 60 (Canada),MB,Canada,Circle,1 second,It looked like light gray we just drove by it at approximately 100 km an hour. It was suspended not moving approx. 10 to 20' alt..,11/9/17,
25,10/20/17 23:30,Dominion City (North of)(Canada),MB,Canada,Teardrop,5 seconds,Having a cigarette at window looking out to sky when bright greenish luminous fire-ball looking teardrop appeared falling to earth.,11/3/17,
26,10/8/17 21:47,Winnipeg (Canada),MB,Canada,Circle,.30,UFO I saw flew in a very irregular flight pattern making a very fast half circle turn. ((anonymous report)),10/19/17,
27,9/29/17 20:00,Winkler (Canada),MB,Canada,Oval,4 minutes,"Approximately 8 orange orbs were traveling from Winkler towards Roland. They were traveling in pairs, and not going very fast.",10/5/17,
28,8/7/17 21:30,Niverville (Canada),MB,Canada,Light,2-3 minutes,Single white light wit no sound observed moving W to E which seemed to grow in brightness the farther away it moved from observer.,8/24/17,
29,4/21/17 22:00,Thompson (Canada),MB,Canada,Light,2 minutes,"Orange lights spotted near Thompson, MB.",4/28/17,
