,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 21:53:00,BOWIE,MD,Light,25-30 Minutes,"Circular, strobing spotlights in the clouds accompanied by periodic lightening.",https://nuforc.org/webreports/reports/175/S175758.html
1,2023-05-04 21:15:00,Easton,MD,Other,5 to 8 seconds,String of lights move simultaneously across sky,https://nuforc.org/webreports/reports/175/S175673.html
2,2023-04-20 20:43:00,Baltimore,MD,Light,Constant,Hovering bright lights unusual,https://nuforc.org/webreports/reports/175/S175423.html
3,2023-04-15 21:08:00,Baltimore,MD,Orb,30 minutes,"my daughter and I looked up and saw ""four orbs"" moving in circular motion then come back to the middle, then spread back out",https://nuforc.org/webreports/reports/175/S175309.html
4,2023-04-02 00:05:00,Baltimore,MD,Orb,2 minutes,Driving home from work and saw light orbs floating all around,https://nuforc.org/webreports/reports/175/S175188.html
5,2023-03-30 04:23:00,Sykesville,MD,Flash,10 minutes,Flashing orb with irregular pattern rapidly blinks then flies away,https://nuforc.org/webreports/reports/175/S175166.html
6,2023-03-19 20:24:00,Perryville,MD,Triangle,About 1 min,Flat bottom black triangle shape flying low to the ground with a low wooshing sound.,https://nuforc.org/webreports/reports/175/S175061.html
7,2023-03-19 01:05:00,Frederick,MD,Light,a split second,bright green light,https://nuforc.org/webreports/reports/175/S175062.html
8,2023-03-01 19:35:00,Berlin,MD,Oval,10 minutes,I watched in the dark as it slowly moved overhead. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174807.html
9,2023-02-28 19:16:00,Baltimore,MD,Changing,At least 30 minutes or mo,2 big lights close together looks round then changed. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174756.html
10,2023-02-27 00:15:00,Rosedale,MD,Disk,5 minutes,Bright Hovering Disc. The disc was vibrating and at one point there appeared to be beams of light passing to the ground.,https://nuforc.org/webreports/reports/174/S174726.html
11,2023-02-22 20:15:00,Silver Spring,MD,Disk,5 seconds,Disk in Sky with Bright Turqoise Colored Ring Light,https://nuforc.org/webreports/reports/174/S174693.html
12,2023-02-18 19:27:00,Hagerstown,MD,Other,It is still there 5min,"A horseshoe shaped line of bright twinkling dots of lights 200 yards in a vertical plane, elevation not more than 5000 feet up",https://nuforc.org/webreports/reports/174/S174641.html
13,2023-02-18 17:00:00,Frederick,MD,Oval,20 Seconds,"Object was 1,000 feet behind a medium sized plane, caught up and then was flew beneath it. Flew away South-East at incredible speed.",https://nuforc.org/webreports/reports/174/S174698.html
14,2023-02-18 07:25:00,Baltimore,MD,Cylinder,Several minutes,Bottle Shape White object flying through sky,https://nuforc.org/webreports/reports/174/S174633.html
15,2023-02-09 20:30:00,Reisterstown,MD,Chevron,2-3 minutes,Slow moving gun metal gray carbon fiber stealth bomber shaped front with white lites 3 on each side of front Vshape. 100 -150 feet fr,https://nuforc.org/webreports/reports/174/S174376.html
16,2023-01-28 20:01:00,Glen Burnie,MD,Circle,15 seconds,2 pale orange circles moving next to eachother but not in sync,https://nuforc.org/webreports/reports/174/S174233.html
17,2023-01-28 18:00:00,Dundalk,MD,Changing,25 minutes,I believe it was something from another planet,https://nuforc.org/webreports/reports/174/S174166.html
18,2023-01-21 00:02:00,Essex,MD,Other,1 frame Doorbell CAM,This is a single frame of a doorbell camera.showing a stange light and contrail and I was awoken by loud noise.,https://nuforc.org/webreports/reports/174/S174070.html
19,2023-01-15 21:00:00,Middle River,MD,Light,1 hour plus,Lots of Bright lights moving as quick as a flick of a finger to other side of the sky,https://nuforc.org/webreports/reports/173/S173958.html
20,2023-01-15 17:09:00,Kingsville,MD,Cigar,Unclear. We were driving,"6 bright lights suddenly appeared, had a tail of light and suddenly disappeared",https://nuforc.org/webreports/reports/174/S174020.html
21,2023-01-06 17:50:00,Prince Frederick,MD,Light,"2 times, 5 seconds each","A circle of light appeared above the cloud cover, moved in an erratic zigzag pattern and then disappeared.",https://nuforc.org/webreports/reports/173/S173768.html
22,2023-01-05 19:45:00,Crofton/ Gambrills,MD,Sphere,> 2 hrs.,"It was a sphere shaped object with jagged edges the remained in place, but changed colors.",https://nuforc.org/webreports/reports/173/S173770.html
23,2023-01-02 19:09:00,Near Hagerstown,MD,Triangle,Approx 6 PM -11 PM,"Latest was bottom view almost directly overhead, 3 lights equidistant apart side lite up, short jerky moves at times, seen East to West",https://nuforc.org/webreports/reports/173/S173703.html
24,2023-01-01 00:30:00,Hyattsville,MD,Triangle,2 min,Triangle formation,https://nuforc.org/webreports/reports/173/S173668.html
25,2022-12-23 23:00:00,Rockville,MD,Light,45 mins,"See video I filmed. Multiple flashing, strobing lights all over the sky in the distance (a mile away?)",https://nuforc.org/webreports/reports/173/S173991.html
26,2022-12-18 06:00:00,Bowie,MD,Circle,20 to 30 seconds,Hovering ball of light.,https://nuforc.org/webreports/reports/173/S173464.html
27,2022-12-13 21:55:00,Baltimore,MD,Light,10 seconds,Turquoise light shooting fast in the sky then disappears,https://nuforc.org/webreports/reports/173/S173402.html
28,2022-12-05 10:38:00,Edgewood,MD,Circle,3 seconds,Out walking my dog and saw the daylight moon. I have been taking moon pics for many years. I did not see this through the viewfinder,https://nuforc.org/webreports/reports/173/S173628.html
29,2022-11-27 21:00:00,Elkton,MD,Unknown,Few seconds,Me and my husband seen UFO while standing on back deck looking at the stars.,https://nuforc.org/webreports/reports/173/S173205.html
30,2022-11-20 18:20:00,Gaithersburg,MD,Light,About 1 to minutes,It was a string if vertical light and above that a shorter string of horizontal lights moving in perfect formation,https://nuforc.org/webreports/reports/173/S173098.html
31,2022-11-19 21:56:00,Cockeysville,MD,Chevron,30-45 seconds,We spotted a chevron-like craft seemingly very low to the ground with 2 faint circular lights on both wings with no visible light bulb.,https://nuforc.org/webreports/reports/173/S173914.html
32,2022-11-19 18:07:00,Brandywine,MD,Circle,1 minute,Slow moving light with blue aura about 2/3rds through the video,https://nuforc.org/webreports/reports/173/S173118.html
33,2022-11-12 08:01:00,baltiomre,MD,Cigar,22 seconds,i was getting out of my car looked up and saw a stationary weird thing,https://nuforc.org/webreports/reports/173/S173231.html
34,2022-11-07 17:23:00,Rockville,MD,Other,about a minute,"Saw this weird flying saucer looking thing, took some photos. It seemed to disappear after I filmed and photographed it for 30 seconds",https://nuforc.org/webreports/reports/172/S172871.html
35,2022-11-02 19:00:00,North east,MD,Fireball,About 5 seconds,Streak of light,https://nuforc.org/webreports/reports/172/S172755.html
36,2022-10-30 21:15:00,Baltimore,MD,Sphere,5 min,Around 9:30 or so I was sitting on my bed when out the corner of my eye I spotted a bright orange light moving slowly across the sky,https://nuforc.org/webreports/reports/172/S172701.html
37,2022-10-30 02:30:00,Annapolis,MD,Orb,2 mins,Large light aprox 100 ft diameter solid light a flash light but no glare in eyes,https://nuforc.org/webreports/reports/172/S172718.html
38,2022-10-27 21:04:00,Baltimore,MD,Chevron,20 minutes,"Shapes flying in rows of threes and sixes. In a V shape three per side. Speed of helicopter, no flashing lights no sound",https://nuforc.org/webreports/reports/172/S172578.html
39,2022-10-16 00:55:00,Bowie,MD,Circle,30 seconds,"Light from flying object caused doorbell to issue ""Person Detected"" alert",https://nuforc.org/webreports/reports/172/S172336.html
40,2022-10-06 16:12:00,Baltimore,MD,Unknown,5-10 minutes,"20+ small black objects in sky above, moving in figure 8 motion cohesively",https://nuforc.org/webreports/reports/172/S172201.html
41,2022-10-05 23:10:00,Baltimore,MD,Chevron,30sec,Chevron or triangle shape craft with bright orange light...awkward movements and disappeared,https://nuforc.org/webreports/reports/172/S172197.html
42,2022-09-24 19:40:00,Silver Spring,MD,Cone,30 seconds,"Looked like a comet, pretty bright",https://nuforc.org/webreports/reports/172/S172015.html
43,2022-09-24 19:40:00,Ellicott city,MD,Triangle,20 seconds,Bright triangle light,https://nuforc.org/webreports/reports/172/S172020.html
44,2022-09-24 19:39:00,Charlotte Hall,MD,Cylinder,1 minute,Silent bright white cylinder with 3 contrails - 1 center 2 @ 45 degrees for 1 min - turned fluorescent green - then vanished w/no trace,https://nuforc.org/webreports/reports/171/S171989.html
45,2022-09-24 19:38:00,Columbia,MD,Light,3mins,Asteroid/meteor/missile in the sky with BWI airline traffic.,https://nuforc.org/webreports/reports/172/S172018.html
46,2022-09-24 19:36:00,Friendship,MD,Light,2-3 mins,"Bright semicircle of light with three light beams off back as it headed SW to NE general direction, very high in air.~45 degrees.",https://nuforc.org/webreports/reports/172/S172005.html
47,2022-09-19 21:50:00,Ocean City,MD,Formation,Approximately 10-15 mins,Red lights in the sky,https://nuforc.org/webreports/reports/171/S171902.html
48,2022-09-18 12:13:00,andrews afb,MD,Circle,about ten seconds,not sure how many witnesses round very bright about as bright as the sun,https://nuforc.org/webreports/reports/173/S173258.html
49,2022-09-01 19:31:00,Baltimore,MD,Changing,2 minutes,Extremely low flying dark flat object followed by white ball sighting,https://nuforc.org/webreports/reports/171/S171517.html
50,2022-08-29 20:55:00,Sykesville,MD,Oval,2:48,Oval craft stationary above treeline off to NW,https://nuforc.org/webreports/reports/171/S171470.html
51,2022-08-26 02:07:00,Frostburg,MD,Cylinder,Still occurring,Two objects one stationary the other moving toward and away from the first giving off a goldfish glow,https://nuforc.org/webreports/reports/171/S171401.html
52,2022-08-24 21:30:00,Elkton,MD,Light,About 1 minute,"An object that looked similar to a star, in the NW sky, was ""shooting"" gold/white ""things"" upward (straight up) at regular intervals",https://nuforc.org/webreports/reports/171/S171386.html
53,2022-08-14 22:40:00,Baltimore,MD,Circle,20 seconds,"Ball of Light, back & forth, went out of site w a bright blue/purple color, couldn't take my eyes off it.",https://nuforc.org/webreports/reports/171/S171121.html
54,2022-08-12 22:30:00,Centreville,MD,Circle,5 + minutes,Pulsating and moving light that changed colors,https://nuforc.org/webreports/reports/171/S171205.html
55,2022-08-08 17:35:00,Linthicum,MD,Sphere,1 picture,"While taking picture of a rainbow for my wife who is disabled, I took the picture and after cleaning out photos from my phone",https://nuforc.org/webreports/reports/173/S173832.html
56,2022-08-05 00:00:00,Mechanicsville,MD,Triangle,2 sightings 20s each,"Driving when I saw triangle craft, bright lights, weird maneuvers",https://nuforc.org/webreports/reports/170/S170919.html
57,2022-08-01 20:30:00,Preston,MD,Changing,5-10 seconds,Saw 4 bright orbs materialize in formation then disappear. Witnessed a military helicopter chasing them.,https://nuforc.org/webreports/reports/170/S170850.html
58,2022-07-24 20:13:00,Salisbury,MD,Cigar,,Stepped out to smoke saw craft caught my eye then noticed over 20 of them.,https://nuforc.org/webreports/reports/170/S170632.html
59,2022-07-23 21:10:00,Salisbury,MD,Circle,Approximately 5 minutes,Bright orange ball of light moving slow in the sky,https://nuforc.org/webreports/reports/170/S170866.html
60,2022-06-30 05:39:00,,MD,Other,1-2 minutes,Large Dark object sitting high up in the sky,https://nuforc.org/webreports/reports/170/S170637.html
61,2022-06-12 02:11:00,Frederick,MD,Cigar,5 seconds,The whole incident lasted about 2-3 seconds; please see the attached video,https://nuforc.org/webreports/reports/168/S168622.html
62,2022-06-10 02:30:00,Assateauge State Park,MD,Light,5 minutes,"Saw 2 stationary very unusually bright lights , above one another turn lights off like a dimmer switch. Center of milky way visually",https://nuforc.org/webreports/reports/168/S168577.html
63,2022-06-04 06:50:00,Hanover,MD,,,MADAR Node 77,https://nuforc.org/webreports/reports/168/S168713.html
64,2022-06-04 00:00:00,Odenton,MD,Sphere,1 minute,A bright white sphere moving about 100 ft above tree line above woods,https://nuforc.org/webreports/reports/168/S168516.html
65,2022-06-01 20:36:00,Towson,MD,,,MADAR Node 31,https://nuforc.org/webreports/reports/168/S168720.html
66,2022-05-30 10:30:00,Baltimore,MD,Other,,Suspicious person,https://nuforc.org/webreports/reports/167/S167891.html
