,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-21 20:43:00,Lakeville,MA,Unknown,60 seconds,"Observed object cuise down above tree line, then fly away at fast rate of speed",https://nuforc.org/webreports/reports/175/S175485.html
1,2023-04-10 21:18:00,North Andover,MA,Circle,5 seconds,"Bright white light above tree line, moving quickly in a diagonal/downwards motion",https://nuforc.org/webreports/reports/175/S175395.html
2,2023-04-08 05:39:00,Southampton,MA,Light,3-5 minutes,Light was stationary and blinked at regular intervals. Not as high as a star. Met with second light.,https://nuforc.org/webreports/reports/175/S175244.html
3,2023-04-03 12:04:00,Gloucester,MA,Disk,2 minutes,Saucer shaped craft heading wedt,https://nuforc.org/webreports/reports/175/S175501.html
4,2023-04-02 12:20:00,Hampden,MA,Changing,3 minutes,This object flew South against a Westerly wind.,https://nuforc.org/webreports/reports/175/S175189.html
5,2023-03-20 21:00:00,Amesbury,MA,Diamond,10 minutes,"Large as a pine tree top,Blue and red tube shaped colored lights running from top point and bottom point to circumference center.",https://nuforc.org/webreports/reports/175/S175095.html
6,2023-03-18 21:33:00,Lowell,MA,Light,3 Minutes,Very Bright Erratic Lights Appeared to Spread out and Jump Forward and Backwards,https://nuforc.org/webreports/reports/175/S175057.html
7,2023-03-18 21:30:00,Revere,MA,Chevron,1 or more hours,At least 2 or 3 low flying silent crafts one was bluish and white the other was greenish and the last one was black with red lights,https://nuforc.org/webreports/reports/175/S175056.html
8,2023-03-17 06:59:00,Revere,MA,Sphere,approximately 2 mins,within about 2mins max time I have 8 jpg from my S20 Samsung,https://nuforc.org/webreports/reports/175/S175174.html
9,2023-03-16 19:35:00,Lynn,MA,Orb,3 minutes,I noticed a light in the sky,https://nuforc.org/webreports/reports/175/S175035.html
10,2023-03-08 17:32:00,Marshfield,MA,Sphere,5min,Sphere dead on then 180 degree turned into ship,https://nuforc.org/webreports/reports/174/S174932.html
11,2023-02-27 20:00:00,Bokeelia,MA,Changing,3-5 minutes,"We observed a bright light, low on the horizon, moving towards us that we noticed as it got closer to be a backlit grayish white object",https://nuforc.org/webreports/reports/174/S174839.html
12,2023-02-15 19:40:00,Carver,MA,Changing,1 minute,Translucent lines,https://nuforc.org/webreports/reports/174/S174590.html
13,2023-02-13 19:30:00,Fall River,MA,Light,10 minutes,Bright light appearing in reappearing in erratic movements,https://nuforc.org/webreports/reports/174/S174544.html
14,2023-02-12 20:35:00,Franklin,MA,Circle,3 minutes,Silent low flying small saucer shaped craft,https://nuforc.org/webreports/reports/174/S174510.html
15,2023-02-10 04:53:00,Littleton,MA,Star,4 minutes,Every 30 seconds a star-like object appeared and moved down a couple of degrees and disappeared. This was repeated 5 or so times.,https://nuforc.org/webreports/reports/174/S174371.html
