,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-15 22:30:00,Lawton,MI,Triangle,3 minutes,"Triangle shape with 3 bright lights at each corner,moved slow, disappeared when it got above us.",https://nuforc.org/webreports/reports/175/S175808.html
1,2023-05-15 16:35:00,Fenton,MI,Disk,15 seconds,Shiny metal flying object hovering low,https://nuforc.org/webreports/reports/175/S175794.html
2,2023-05-11 00:10:00,Mecosta,MI,Changing,5+ min.,Woke up by dog acting nervous and wanted to go outside,https://nuforc.org/webreports/reports/175/S175729.html
3,2023-05-09 21:20:00,Livonia,MI,Oval,10 minutes,Craft with Red lights-traveling two together separated evenly heading north/northwest--about 1 dozen or more,https://nuforc.org/webreports/reports/175/S175728.html
4,2023-05-04 21:00:00,Ann Arbor,MI,Unknown,Questionable,"5 pics, 1 vid of currently unidentified object in the western dusk sky.",https://nuforc.org/webreports/reports/175/S175674.html
5,2023-04-30 15:30:00,West Bloomfield,MI,Orb,3 minutes,Black orb/round object flying straight line from west,https://nuforc.org/webreports/reports/175/S175557.html
6,2023-04-27 09:30:00,Lansing,MI,Changing,40 minutes,"Ok,going to bank,blue sky,no clouds,big x from jet planes in sky,took alot of photos,then decided to zoom in on x,saw UFO'S,so I record",https://nuforc.org/webreports/reports/175/S175543.html
7,2023-04-26 10:50:00,New Boston,MI,Cross,1 minute,Small white bird shaped object barely visible.,https://nuforc.org/webreports/reports/175/S175511.html
8,2023-04-14 22:00:00,Interlochen,MI,Triangle,Around 30 seconds,5 small triangle or V shaped aircrafts making a short passing over just barely above the treetops,https://nuforc.org/webreports/reports/175/S175339.html
9,2023-04-13 21:28:00,Hersey,MI,Cube,60 seconds to 90 seconds.,when I saw the square object I stepped onto my porch. there was silence. When I returned after grabbing my phone the speed escalated,https://nuforc.org/webreports/reports/175/S175348.html
10,2023-04-10 23:00:00,Howell,MI,Triangle,5-8 seconds,"Silent, came out of the west and then made almost a complete circle disappearing to the northwest over the houses.",https://nuforc.org/webreports/reports/175/S175391.html
11,2023-04-09 23:00:00,Roseville,MI,Circle,45 minutes,Glowing orb with occasional sparks flying at any side of the orb,https://nuforc.org/webreports/reports/175/S175392.html
12,2023-03-23 22:28:00,Bancroft,MI,Light,3 seconds,Bright light falling downwards,https://nuforc.org/webreports/reports/175/S175107.html
13,2023-03-23 10:14:00,Woodland,MI,Triangle,1-2 minuites,Dark triangle shaped object hovering in yard about 100ft from ground,https://nuforc.org/webreports/reports/175/S175098.html
14,2023-03-19 18:56:00,Albion,MI,Other,5 minutes +,H shapped craft moving slow almost stationary,https://nuforc.org/webreports/reports/175/S175066.html
15,2023-03-07 13:45:00,Farmington Hills,MI,Changing,5 seconds,"saw a bright silver metallic object in sky moving shape and then saw a disk shaped turned into side way, and disappeared.",https://nuforc.org/webreports/reports/174/S174914.html
16,2023-03-05 21:33:00,Shelby Township,MI,Light,3-5 seconds,Falling bright light,https://nuforc.org/webreports/reports/174/S174895.html
17,2023-03-05 20:40:00,Highland,MI,Triangle,3-5 seconds,Triangle shape of lights very dim,https://nuforc.org/webreports/reports/174/S174892.html
18,2023-03-03 06:20:00,Saint Johns,MI,Orb,10 seconds,Orange orb bright in cloudy sky disappeared into clouds,https://nuforc.org/webreports/reports/174/S174861.html
19,2023-03-01 20:32:00,Chesterfield,MI,Oval,More than 20 minutes,"2 horizontal lights (not blinking), stationary. NUFORC Note: Jupiter and Venus",https://nuforc.org/webreports/reports/174/S174813.html
20,2023-03-01 20:00:00,Coldwater,MI,Light,Ongoing,Hovering lights spotted in Coldwater and in Lansing. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174811.html
21,2023-03-01 20:00:00,Kalamazoo,MI,Unknown,Over an hour and still th,2 lights. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174814.html
22,2023-03-01 19:55:00,Coldwater,MI,Other,Still ongoing,2 really vibrant glowing orb like objects that seem to be connected. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174806.html
23,2023-03-01 19:53:00,Holland,MI,Disk,All evening in dark sky,Hanging in the sky moving extremely slow hovering in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174805.html
24,2023-03-01 19:51:00,,MI,Triangle,Constant. Still there.,Fixed lights next to each other. 2nd night seen. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174804.html
25,2023-03-01 19:35:00,Shelby township,MI,Light,Still ongoing for 20min,Seeing two balls of light in the distance. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174801.html
26,2023-02-26 19:15:00,Rockwood,MI,Light,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174739.html
27,2023-02-22 20:50:00,Macomb,MI,Light,40 seconds,Sky lit up bright blue,https://nuforc.org/webreports/reports/174/S174694.html
28,2023-02-22 18:10:00,Roseville,MI,Triangle,1 minute,"Spinning, Pyramid shaped, nearly invisible object pulsed blue light across entire block.",https://nuforc.org/webreports/reports/174/S174700.html
29,2023-02-21 08:50:00,Three oaks,MI,Oval,Seen it for about 4 min,Small car size oval coming from trees and into the city,https://nuforc.org/webreports/reports/174/S174687.html
30,2023-02-19 20:58:00,Waterford,MI,Orb,Approx 15 seconds,"Bright white light orbs with green edges, very bright and rocketing very fast towards the ground west of PTK airport",https://nuforc.org/webreports/reports/174/S174667.html
31,2023-02-19 20:50:00,Fowlerville,MI,Other,1 second,"Bluish semicircle, flying fast, making absolutely no sound",https://nuforc.org/webreports/reports/174/S174665.html
32,2023-02-14 03:30:00,leroy,MI,Orb,20 minutes,to orange white orange at times red orbs that seem to be in a dog fight and what looks like to be shooting at each other,https://nuforc.org/webreports/reports/174/S174552.html
33,2023-02-13 19:51:00,Farmington Hills and Mikado,MI,Circle,About 30 minutes,"Two separate locations at the same time, three family members see strange, orangish-yellow balls of light",https://nuforc.org/webreports/reports/174/S174587.html
34,2023-02-13 00:00:00,South Lyon,MI,Light,3 min,"3 bright lights flying in formation around each other. then, vanished into the sky",https://nuforc.org/webreports/reports/033/S33328.html
35,2023-02-12 19:38:00,canton,MI,Unknown,3 to 4 min,line of 26 lights in a row,https://nuforc.org/webreports/reports/174/S174476.html
36,2023-02-11 22:00:00,Jackson,MI,Circle,Hour or longer.,I was standing on my back deck when I saw this object. Really curious on what it might be.,https://nuforc.org/webreports/reports/174/S174499.html
37,2023-02-04 21:09:00,Wyoming,MI,Unknown,2 minutes,Blinking light with no sound,https://nuforc.org/webreports/reports/174/S174325.html
38,2023-01-20 20:00:00,Flint,MI,Unknown,10 minutes,Two extremely bright lights hovering over a popular record store,https://nuforc.org/webreports/reports/174/S174198.html
39,2023-01-09 19:21:00,Linden,MI,Formation,60 seconds,Many orbs flying east sooooo fast,https://nuforc.org/webreports/reports/173/S173825.html
40,2022-12-04 11:24:00,Detroit,MI,Rectangle,,Huge invisible object flew our home. Had a shadow on ground,https://nuforc.org/webreports/reports/173/S173300.html
41,2022-12-02 20:00:00,Brighton,MI,Unknown,First spotted 5 minutes,There were 4 lights like circles in the sky shaped similarly to a square going in a circle and then coming together and expanding,https://nuforc.org/webreports/reports/173/S173261.html
42,2022-12-02 19:35:00,Brighton,MI,Unknown,,Lights in the sky above the clouds doing patterned flying,https://nuforc.org/webreports/reports/173/S173262.html
43,2022-12-01 19:33:00,Edwardsburg,MI,Fireball,10-15 seconds max,"Light blue fireball, long, white, trailing tail. Before striking the earth quick turns to the east at low level.",https://nuforc.org/webreports/reports/173/S173271.html
44,2022-11-29 18:55:00,Harper Woods,MI,Diamond,,Oddly shaped object that flew at a angle,https://nuforc.org/webreports/reports/173/S173229.html
45,2022-11-23 21:20:00,Cadillac,MI,Orb,2-3 minutes,Witnessed two orbs crossing above two lakes high in air.,https://nuforc.org/webreports/reports/173/S173808.html
46,2022-11-20 17:25:00,Flint,MI,Fireball,45 mins,"Fell from the sky, entered our atmosphere..floated around, shot back Into space",https://nuforc.org/webreports/reports/173/S173143.html
47,2022-11-16 19:40:00,Waterford,MI,Orb,"4 seconds, approx.",Clear/ white sphere appeared suddenly,https://nuforc.org/webreports/reports/173/S173038.html
48,2022-11-11 21:15:00,Fenton,MI,Circle,30 min,"3 separate clusters of 25-30 each, very bright objects 5 min apart with 3 separate singular crafts following about 5 min apart.",https://nuforc.org/webreports/reports/172/S172941.html
49,2022-11-11 06:35:00,Twin Lake,MI,Circle,,On my friends way to work she saw a flashing circular light near the moon that changed its position in less than a second,https://nuforc.org/webreports/reports/173/S173557.html
50,2022-11-08 22:59:00,Kentwood,MI,Unknown,1 year,Aliens are entering our world through many portals in front of my home and around the world,https://nuforc.org/webreports/reports/172/S172865.html
51,2022-11-07 20:20:00,Ann arbor,MI,Triangle,30 seconds,Craft was moving slowly south flying low and had a bright lights,https://nuforc.org/webreports/reports/172/S172881.html
52,2022-10-27 02:00:00,Oxford,MI,Circle,1 hr,((HOAX)) UFO+Airplane+Bodies hanging off UFO. ((NUFORC Note: One of several hoaxed reports from same source. PD)),https://nuforc.org/webreports/reports/172/S172582.html
53,2022-10-25 02:00:00,Oxford,MI,Unknown,Minutes,((NUFORC Note: HOAX?? PD)) Very light white ufos showing out of no where& Blue Alien,https://nuforc.org/webreports/reports/172/S172560.html
54,2022-10-22 19:39:00,Westland,MI,Circle,About a monite,I captured it on my ring cam it could be a drone but it looked odd shaped not saying it's an ufo but I couldn't make out what it was,https://nuforc.org/webreports/reports/172/S172548.html
55,2022-10-20 21:55:00,,MI,Changing,Approximately 2-3 seconds,Never have seen anything move so quickly.,https://nuforc.org/webreports/reports/172/S172468.html
56,2022-10-20 04:30:00,Oxford,MI,Circle,5 min,A round object spinning & moving very fast,https://nuforc.org/webreports/reports/172/S172398.html
57,2022-10-15 23:20:00,Hastings,MI,Disk,40 Seconds,A flying saucer with headlights flying low to the ground.,https://nuforc.org/webreports/reports/172/S172345.html
58,2022-10-04 13:35:00,Schoolcraft,MI,Oval,About ten seconds,"Saw a small tic tack shaped object fly over very fast in a straight line, not sure of altitude",https://nuforc.org/webreports/reports/172/S172220.html
59,2022-10-03 22:00:00,Honor,MI,Orb,1-2 minutes,"Large Orb like Circle of light, no sound, no tails, High above tall trees moving east and over Little Platte Lake in straight line fast",https://nuforc.org/webreports/reports/172/S172495.html
60,2022-10-01 19:20:00,Lapeer,MI,Changing,7-8 minutes. I terminated,"Shape changing Yellowish light orb in atmosphere, in daylight changed shape and traveling west.",https://nuforc.org/webreports/reports/172/S172140.html
61,2022-09-23 04:44:00,Milan,MI,Unknown,27 seconds,I have a video,https://nuforc.org/webreports/reports/172/S172051.html
62,2022-09-21 19:42:00,Lapeer,MI,Rectangle,A few seconds,Picture captured of something in sky,https://nuforc.org/webreports/reports/171/S171924.html
63,2022-09-20 20:09:00,Westland,MI,Light,,Seen a light hovering thought it was a plane but it went backward then shot forward,https://nuforc.org/webreports/reports/172/S172135.html
64,2022-09-17 20:18:00,Troy,MI,Circle,1 minute,Round bright object hovering at dusk,https://nuforc.org/webreports/reports/171/S171857.html
65,2022-09-15 04:50:00,Milan,MI,Triangle,10 seconds,Flew right over the road,https://nuforc.org/webreports/reports/172/S172049.html
66,2022-09-01 22:00:00,Bridgman,MI,Light,1hr,"2-7 lights that hovered, changed directions many times, multiplied, unfathomably fast",https://nuforc.org/webreports/reports/172/S172623.html
67,2022-08-31 23:15:00,Ypsilanti,MI,Diamond,From 11:00 it still going,"The bright object seeing at 110 SW from my location, pictures and video exist and available on request",https://nuforc.org/webreports/reports/171/S171512.html
68,2022-08-27 09:14:00,Kalamazoo,MI,Sphere,a second,Photograph of a silver shape in the sky,https://nuforc.org/webreports/reports/171/S171546.html
69,2022-08-23 00:25:00,Detroit,MI,Light,Its still there,"Started as a possible bright star, but the sky is cloudy so it made me suspicious. Then I saw a bright light with 2 90deg angle lights",https://nuforc.org/webreports/reports/171/S171334.html
70,2022-08-22 21:55:00,,MI,Disk,Approximately 1 minute,A band of evenly spaced lights around a disk craft floated silently over to lake michigan but disappeared without a trace in an instant,https://nuforc.org/webreports/reports/171/S171395.html
71,2022-08-19 21:51:00,Rapid City,MI,,1 minute,An object in the shape of a straight line about an inch from our viewing area moving slowly across the sky,https://nuforc.org/webreports/reports/171/S171245.html
