,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-16 20:45:00,Lumberton,MS,Light,2 - 3 hours,Brighter than stars light that would move left and right while dropping behind treeline after few hours,https://nuforc.org/webreports/reports/175/S175303.html
1,2023-03-15 21:30:00,Poplarville,MS,Triangle,,Driving south on hwy 43 almost drove under it the thing was only about 30 ft above the tree tops,https://nuforc.org/webreports/reports/175/S175280.html
2,2023-03-10 20:30:00,Columbus,MS,Formation,5-6 seconds,Large dimly lit V shape line of dots moving swiftly across the sky,https://nuforc.org/webreports/reports/174/S174966.html
3,2023-03-01 19:00:00,Jackson,MS,Unknown,1 hour,2 star-like objects close together not moving but there was too much cloud cover to see other stars. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174812.html
4,2023-02-06 19:15:00,Robinsonville,MS,Fireball,Maybe 20 seconds,Green with red tail falling fully vertical,https://nuforc.org/webreports/reports/174/S174511.html
5,2023-02-04 08:45:00,Biloxi,MS,Cylinder,Approx 3 min,Traveled from east to west high above the Gulf - about as high as an airplane approaching,https://nuforc.org/webreports/reports/174/S174303.html
6,2023-01-17 16:35:00,Madison,MS,Triangle,I saw above me on highway,"A dark, triangular shaped item moved across the sky - not a drone but I would describe as similar look.",https://nuforc.org/webreports/reports/173/S173979.html
7,2023-01-15 18:30:00,Iuka,MS,Unknown,1 min 30 at most,A star pulled my attention to the sky. It quickly became the brightest in the sky. It split info two light moving in opposite direct,https://nuforc.org/webreports/reports/173/S173950.html
8,2022-12-17 19:45:00,Tupelo,MS,Light,15 minutes,3 chasing and dancing non blinking white lights,https://nuforc.org/webreports/reports/173/S173455.html
9,2022-10-20 13:25:00,Booneville,MS,Cigar,15 mins,"Brightest silver cigar shape, covered & moved slowly, no blinking lights.",https://nuforc.org/webreports/reports/172/S172477.html
10,2022-10-14 19:41:00,Brandon,MS,Star,5 min,A separated line of star like images crossing like satellites one after the other with one turning north,https://nuforc.org/webreports/reports/172/S172323.html
11,2022-10-01 03:05:00,Columbus,MS,Light,~15 seconds to a minute,BRIGHT light panned like a spotlight in both windows in my bedroom - no sound - no cars - no people. 2nd time this has happened,https://nuforc.org/webreports/reports/172/S172122.html
12,2022-09-29 07:45:00,Leland,MS,Cylinder,5 minutes,"saw 1 very brite ufo: appeared to be red laser beams being shot at it from below it, ufo disappeared. 2nd bigger brighter ufo came.",https://nuforc.org/webreports/reports/172/S172087.html
13,2022-09-09 18:58:00,Laurel,MS,Oval,20,Onject as bright as the sun.,https://nuforc.org/webreports/reports/171/S171678.html
14,2022-09-05 04:41:00,Burnsville,MS,Other,Thirteen seconds,I was just flying my drone over the waterway in Burnsville and noticed nothing unusual until later on when going through videos.,https://nuforc.org/webreports/reports/173/S173276.html
15,2022-08-14 01:00:00,Corinth,MS,Light,over an hour,Lights were showing up to our N and slowly fading as they moved toward the SE,https://nuforc.org/webreports/reports/171/S171152.html
16,2022-08-13 01:00:00,Between Corinth and Burnsville,MS,Light,aprx 10 s,Saw the light pulsate 5 times while moving toward the SE.,https://nuforc.org/webreports/reports/171/S171157.html
17,2022-08-12 05:30:00,Abbeville,MS,,1 minute,I don't believe what I saw was a craft.,https://nuforc.org/webreports/reports/171/S171062.html
18,2022-08-04 03:34:00,Tylertown,MS,Circle,30 min.,A big round craft with bright lights no sound.,https://nuforc.org/webreports/reports/171/S171081.html
19,2022-07-09 04:30:00,Grenada,MS,Circle,20 minutes,Saw a small round circular object move straight up then go across the sky at very fast pace but unlike a plane or shooting star,https://nuforc.org/webreports/reports/170/S170341.html
20,2022-06-24 21:14:00,Morrison,MS,Circle,Probably 1-2 minutes,"Expanding stationary light in flight path, got bigger then waned and vanished",https://nuforc.org/webreports/reports/170/S170114.html
21,2022-06-17 20:46:00,Diberville,MS,Disk,1 minute,Bright light caught my eye and I noticed it was a disc shaped ship.,https://nuforc.org/webreports/reports/168/S168692.html
22,2022-05-12 22:16:00,Gulfport,MS,Circle,Just about 10 seconds,"saw 2 very huge Florissant ((sic. Fluorescent)) green circles that seemed attached that were vertical,moving south to north in the sky",https://nuforc.org/webreports/reports/167/S167869.html
23,2022-04-30 12:30:00,Biloxi,MS,Triangle,15-20 seconds,"Shiny metallic triangle that approached Military helicopter, with blue light on bottom and accelerated at incredible speed",https://nuforc.org/webreports/reports/168/S168444.html
24,2022-04-19 23:56:00,Lumberton,MS,Triangle,All the time,"IN DANGER Actual footage of UFO's and Alien on security system some paranormal, orbs, radio frequency and voices camera footage of all",https://nuforc.org/webreports/reports/167/S167482.html
25,2022-04-11 00:01:00,Saucier,MS,Cross,20 minutes,cross shaped object heading south Northwest. while being chased by three solid black helicopters,https://nuforc.org/webreports/reports/167/S167459.html
26,2022-04-01 16:51:00,Lumberton,MS,Changing,ALL the time,I am seeing UFO and recently caught an alien on my porch.,https://nuforc.org/webreports/reports/167/S167481.html
27,2022-03-26 22:38:00,Laurel,MS,Formation,2 +/- minutes,Random balls of amber colored glowing light that seemed to softly float followed by more glowing balls of light that disappeared sudden,https://nuforc.org/webreports/reports/167/S167300.html
28,2022-01-10 03:02:00,Booneville,MS,Changing,About 10-15 minutes,I have several videos of STRANGE things in the skys,https://nuforc.org/webreports/reports/166/S166024.html
29,2021-12-23 18:30:00,Meridian,MS,Triangle,About 1-2 minutes.,Triangular shape with lights underneath flew over the highway as my family and I drove under it. We were on I-20 outside of Meridian.,https://nuforc.org/webreports/reports/166/S166118.html
30,2021-12-02 20:30:00,Oxford,MS,Other,,"Boomerang, no lights, silent",https://nuforc.org/webreports/reports/165/S165627.html
31,2021-10-31 01:00:00,Gulfport,MS,Triangle,4 seconds,Standing in the front yard at my mothers after hearing a noise that drew me outside.,https://nuforc.org/webreports/reports/168/S168182.html
32,2021-10-05 18:11:00,Plantersville,MS,Cigar,1 minute,The way it was shaped and moving.,https://nuforc.org/webreports/reports/167/S167115.html
33,2021-05-23 21:30:00,Gautier,MS,Oval,1 minute,"Spacecraft over Gautier, Mississippi",https://nuforc.org/webreports/reports/163/S163462.html
34,2021-05-06 21:38:00,Amory,MS,Formation,7 minutes,10 lights in a row with the same space between them moving at a high speed. Took pictures with cell phone.,https://nuforc.org/webreports/reports/163/S163031.html
35,2021-05-03 19:30:00,Brandon,MS,Sphere,5 minutes,Bright mini sized moon appeared near dusk in the northern sky for about 5 minutes and then zoomed out of sight,https://nuforc.org/webreports/reports/163/S163006.html
36,2021-04-13 23:00:00,Collins,MS,Light,10 minutess,"UFOs flashing lights and flying over remote forest area in Collins, MS for the 2nd time",https://nuforc.org/webreports/reports/162/S162699.html
37,2021-04-06 21:40:00,Aberdeen,MS,Formation,5 minutes,"8-10 lights in what seemed to be in a perfectly spaced formation, as they disappeared across the sky.",https://nuforc.org/webreports/reports/163/S163034.html
38,2021-03-03 03:24:00,Collins,MS,Light,20 minutes,"UFOs flashing lights and flying over remote forest area in Collins, MS",https://nuforc.org/webreports/reports/162/S162700.html
39,2021-02-19 13:20:00,Picayune,MS,Disk,20 second,2 sliver or titanium white crafts wiz by in the sky over the super 8 motel. Came to a dead stop and then shot of at unbelievable speeds,https://nuforc.org/webreports/reports/162/S162136.html
40,2021-02-16 18:00:00,Purvis,MS,Circle,5-10 seconds,A huge hovering circular object just above the tree lines,https://nuforc.org/webreports/reports/162/S162239.html
41,2021-01-30 04:36:00,Biloxi,MS,Other,20 seconds,Odd objects flying at the same pace in no particular formation,https://nuforc.org/webreports/reports/161/S161851.html
42,2021-01-18 23:00:00,Magee,MS,Changing,10 minutes,Orange Glowing Half Oval Shaped UFO,https://nuforc.org/webreports/reports/161/S161677.html
43,2021-01-02 14:04:00,Gulfport,MS,Sphere,Less than one minute,"Adult woman observed sphere moving west, just below clouds.",https://nuforc.org/webreports/reports/161/S161420.html
44,2021-01-01 18:00:00,Gallaman,MS,Circle,1 second,Me and my wife were driving down U.S.51 Highway at approximately 6 p.m. headed south bound toward Hazelhurst Mississipi when we saw a b,https://nuforc.org/webreports/reports/161/S161748.html
45,2021-01-01 04:38:00,Near Philadelphia,MS,Orb,Approx. 1 hr,"My friend and I were en route to Philadelphia, Miss. I think the road is 116(?). I noticed 2 suns. Then hundreds and hundreds of pink o",https://nuforc.org/webreports/reports/161/S161517.html
46,2020-12-26 09:30:00,DIberville,MS,Cylinder,5 minutes,Saw metallic cylinder shaped object that didnt move at about 8000 feet in the sky,https://nuforc.org/webreports/reports/161/S161405.html
47,2020-12-21 03:00:00,Gulfport,MS,Other,1-2 mins,I went outside. I always look around. And above the tree line behind my house.there was a rather large ball of light. Starting from the,https://nuforc.org/webreports/reports/161/S161287.html
48,2020-12-20 00:00:00,Starkville,MS,Fireball,15-20 min,Total of 3 orange spheres with what appeared to be rings of fire within,https://nuforc.org/webreports/reports/161/S161265.html
49,2020-12-06 16:45:00,Indianola,MS,Cigar,10 min,It was about 445pm I was driving in the country and about 1 half mile away was 2 1500 foot tall radio towers and I noticed a small pink,https://nuforc.org/webreports/reports/161/S161377.html
50,2020-11-13 07:26:00,Pearl,MS,Light,5,"Green sphere seen in Pearl, Ms",https://nuforc.org/webreports/reports/160/S160595.html
51,2020-11-07 11:30:00,Southaven,MS,Diamond,1-2 minutes,Southaven MS triangular UFO,https://nuforc.org/webreports/reports/160/S160444.html
52,2020-10-20 06:45:00,Gulfport,MS,Cylinder,3 minutes,"White Tic-Tac object spotted over Gulfport, MS",https://nuforc.org/webreports/reports/160/S160155.html
53,2020-09-26 21:30:00,Biloxi,MS,Fireball,4,Fiery pulsating orb,https://nuforc.org/webreports/reports/159/S159578.html
54,2020-09-15 23:00:00,Hattiesburg,MS,Disk,10 minutes,Saw colorful lightening illuminate a ufo behind the clouds while my wife saw it glowing behind the clouds with the same color.,https://nuforc.org/webreports/reports/159/S159524.html
55,2020-08-28 10:19:00,Ocean Springs,MS,Rectangle,11 seconds,rectangular/ diamond shaped UFO over south pointe,https://nuforc.org/webreports/reports/159/S159097.html
56,2020-08-02 21:45:00,Houston,MS,Sphere,1.5 hours,Rapid moving craft moved into stationary position seemed to fire something downward then something shot upward towards it.,https://nuforc.org/webreports/reports/158/S158230.html
57,2020-07-21 22:00:00,Vancleave,MS,Light,30 minutes,Fast bright moving round light,https://nuforc.org/webreports/reports/157/S157818.html
58,2020-07-03 21:00:00,Quitman,MS,Flash,15 minutes,There was a flashing light that was stationary and really high up.it then went really fast and came to a sudden stop.it stayed in one p,https://nuforc.org/webreports/reports/157/S157294.html
59,2020-05-25 23:30:00,Carriere,MS,Other,5 seconds,Line of horizontal lights flying through the sky at a high rate of speed,https://nuforc.org/webreports/reports/156/S156665.html
60,2020-05-13 23:00:00,Golden,MS,Orb,20 minutes,"Multiple small, white and blue orbs gather in a large tree nearby after i flashing my light toward where i seen the first orb.",https://nuforc.org/webreports/reports/155/S155654.html
61,2020-05-07 21:50:00,Greenville,MS,Fireball,1-2 minutes,I witnessed 3 floating objects displaying flash a red the orange hue I fists believed to be aircraft of military maybe due to the hori,https://nuforc.org/webreports/reports/156/S156355.html
62,2020-05-07 03:44:00,Biloxi,MS,,,May 7th 2020. 344 am as i opened my front door the moon glaired in my face to the West. A flat round flying device with green lite zipp,https://nuforc.org/webreports/reports/156/S156323.html
63,2020-05-04 21:08:00,Greenville,MS,Sphere,Hour plus,100+ round lights traveling NE one after the other. ((Starlink satellites?)),https://nuforc.org/webreports/reports/156/S156240.html
64,2020-05-03 21:00:00,Jackson,MS,Orb,5-10 MINUTES,A Fleet Of Silent White Glowing Orbs Traveling In An Even Straight Line For 5-10 Minutes. ((Starlink satellites?)),https://nuforc.org/webreports/reports/156/S156288.html
65,2020-04-05 10:30:00,Oxford,MS,Disk,1 minute,round object appeared - vanished within less than a minute,https://nuforc.org/webreports/reports/154/S154801.html
66,2020-03-21 22:13:00,Lleida,MS,Light,~45 minutes,Bright light that changed intensity and moved slowly.,https://nuforc.org/webreports/reports/156/S156860.html
67,2020-02-16 22:30:00,Starkville,MS,Light,2 seconds,"Bright dot shot to the middle of the sky, stopped for 2 seconds and Shit away in a completely different direction",https://nuforc.org/webreports/reports/153/S153369.html
68,2020-02-14 13:19:00,Forest,MS,Sphere,2 seconds,50 to 80 Light spheres in the sky.,https://nuforc.org/webreports/reports/153/S153279.html
69,2020-02-14 13:17:00,Forest,MS,Other,2,Plenty grey balls ⚽️ in the sky,https://nuforc.org/webreports/reports/153/S153274.html
70,2020-01-27 17:45:00,Oxford,MS,Disk,Unknown,"3 blue lit UFOs seen at dusk near local Walmart in Oxford, MS",https://nuforc.org/webreports/reports/152/S152913.html
71,2020-01-07 19:00:00,Booneville,MS,Light,30 minutes,"There was a light in the sky to the West brighter than the stars. It was moving very oddly. At times, it would do circles, and the ligh",https://nuforc.org/webreports/reports/152/S152426.html
72,2020-01-07 05:50:00,Vicksburg,MS,Oval,3 minutes,"Multiple lights around the ring of the craft and about the size of the entire hospital campus in Warren county, descended near the Hwy",https://nuforc.org/webreports/reports/152/S152434.html
73,2019-12-30 23:00:00,Dumas,MS,Light,30 minutes,Two people saw a bright star moving in all directions in a small area.,https://nuforc.org/webreports/reports/152/S152125.html
74,2019-12-30 06:00:00,Hamilton,MS,Formation,20 seconds,While leaving work I was walking to my vehicle. I was looking up into the dark morning sky about 6:00am and l noticed 3 bright lights,https://nuforc.org/webreports/reports/151/S151908.html
75,2019-12-18 21:00:00,Waynesboro,MS,Fireball,10 minutes,Exploding hovering fire ball (have video and pictures),https://nuforc.org/webreports/reports/151/S151729.html
76,2019-12-12 05:44:00,Natchez,MS,Diamond,9,Just seen 9 objects flying in a straight line one to the side in the front one to the side in the back kinda wired Perfectly spaced apa,https://nuforc.org/webreports/reports/151/S151520.html
77,2019-11-16 23:30:00,Jackson,MS,Chevron,10 seconds,Chevron,https://nuforc.org/webreports/reports/150/S150816.html
78,2019-11-15 22:00:00,Waynesboro,MS,Fireball,20 seconds,I was driving down the road when I seen a flash of orange light the size of a star. It was directly over some tall pine trees. It was s,https://nuforc.org/webreports/reports/150/S150881.html
79,2019-11-11 17:30:00,Columbus,MS,Other,17 seconds,I saw 2 giant glowing green balls connected by one long white light flying extremely low. ((anonymous report)),https://nuforc.org/webreports/reports/150/S150641.html
