,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,4/8/23 22:52,Excelsior springs,MO,USA,Star,7-8 seconds,Thought it was a shooting star then Inotice it remained at the same elevation as it moved towards me at a very high speed as it,5/19/23,
1,4/8/23 21:25,Ballwin,MO,USA,Fireball,3-5 seconds,"Continuous fireball almost like a Roman candle, resembled a comet but definitely wasnt a shooting star.",5/19/23,Yes
2,4/7/23 08:40,St louis,MO,USA,Unknown,5 minutes,Saw 3 objects in aky lined up very bringth then dimmed and moved eventually,5/19/23,
3,4/7/23 08:40,St. Louis,MO,USA,Unknown,5 minutes,Saw 3 objects in aky lined up very bringth then dimmed and moved eventually,4/9/23,
4,4/2/23 14:30,Warsaw,MO,USA,Formation,5 seconds,"After seeing a helicopter & A10, a formation of about ten winged, but vertical, objects glided silently through the air over my cove",5/19/23,Yes
5,3/28/23 23:45,Boonville,MO,USA,Triangle,10 minutes,Triangle of lights that get bright and fade out and form other patterns,4/9/23,Yes
6,3/10/23 19:40,Scott city,MO,USA,Circle,2 minutes,"Circle of lights, we saw it as we were driving down the interstate. Could be more witnesses, but not sure, also that is the reason for",4/9/23,
7,3/8/23 19:45,Warsaw,MO,USA,Triangle,1 minute,"I saw a triangle of lights hovering quietly about 250 feet above Hwy 65 in Warsaw, Mo, with a sequenced series of flashes.",4/9/23,
8,3/5/23 02:35,Blue springs,MO,USA,Light,Three seconds.,Seen several lights flying together in the night sky.,3/6/23,
9,2/28/23 19:27,Kansas City,MO,USA,Delta,Last 40 min,They seem to be hovering like they are waiting on something. NUFORC Note: Jupiter and Venus,3/6/23,
10,2/28/23 19:10,Kirksville,MO,USA,Light,We left after 2 min so ?,Two bright lights in the dark sky not moving. Hovering close together. Faint green and red lights intermittently.,3/6/23,
11,2/26/23 04:10,Troy,MO,USA,Orb,8 seconds,2 white orbs of light connected with a beam,4/9/23,
12,2/18/23 01:39,St. Louis,MO,USA,Orb,1 second - 4 seconds,Bright white flash circular/ball like figure appears and disappears.,3/6/23,
13,2/12/23 19:40,Sedalia,MO,USA,Light,,Red glow,3/6/23,Yes
14,2/10/23 17:33,Grain Valley,MO,USA,Orb,Two or three minutes,I saw the sun reflecting off something in the sky so I pulled out my phone to record it.,4/9/23,Yes
15,2/3/23 17:00,Farmington,MO,USA,Sphere,Ongoing as I typr,Noticed a bright white object in the eastern sky. It was above the moon yet has seemingly drifted slowly to the right,3/6/23,Yes
16,1/20/23 18:30,Collins,MO,USA,Rectangle,Lights object no noise sk,Closest I've ever seen unbelievable,3/6/23,Yes
17,1/13/23 20:15,Bridgeton,MO,USA,Circle,About four to five minute,"Two pair. Shorter space between two, more space between next pair.",3/6/23,Yes
18,1/12/23 19:30,CHESTERFIELD,MO,USA,Unknown,a couple seconds,A massive black object with no lights flying ultra low over our home.,3/6/23,
19,1/9/23 04:05,Joplin,MO,USA,Light,15+ minutes,White light moving left and right slowly cycling bright to dim,3/6/23,
20,11/23/22 22:15,Between Centerview and alone Jack,MO,USA,Light,About 30 mins,"Saw lights flashing through the sky over the highway in all directions. Formed circle and rotated, kept getting large then small",12/22/22,
21,11/19/22 02:40,St Louis,MO,USA,Triangle,1 minute,Triangle Shaped Reflective Cloak,12/22/22,
22,11/7/22 22:20,Everton,MO,USA,Light,Approximately 30 minutes,"As I was driving to Springfield from Everton. Heading down FF highway, I saw Two big lit up objects",12/22/22,Yes
23,11/7/22 19:00,Warrensburg,MO,USA,Diamond,2 encounters 10 - 15 mins,a black diamond shape with 4 lights at each corner being followed by a military jet. The diamond object made no noise unlike the jet.,12/22/22,
