,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-01 05:00:00,Browning,MT,Circle,5 minutes,Above Browning montana,https://nuforc.org/webreports/reports/175/S175571.html
1,2023-02-09 16:31:00,Somers,MT,Other,Unknown,Noticed stationary structure on mountainside of national forest land with no tracks or visible way of having gotten to location,https://nuforc.org/webreports/reports/174/S174378.html
2,2022-12-31 21:28:00,Missoula,MT,Light,1-2 minutes,Two lights moving in symmetry.,https://nuforc.org/webreports/reports/173/S173972.html
3,2022-12-18 20:20:00,Stevensville,MT,Triangle,1 minute,Blue triangle of lights,https://nuforc.org/webreports/reports/173/S173476.html
4,2022-11-24 20:34:00,Huntley,MT,Cylinder,20 minutes,Aspirin shaped craft,https://nuforc.org/webreports/reports/173/S173191.html
5,2022-11-20 17:25:00,Whitehall,MT,Cylinder,I have video 15 min,I saw it coming out from hunting and took a video,https://nuforc.org/webreports/reports/173/S173952.html
6,2022-11-19 15:51:00,bellgrade,MT,Disk,about 2 minutes,UFO/ UAP over Bozeman Montana. Ship was at least 100 yards width and 20 yards hight hovering for two min and disappearing in a flash,https://nuforc.org/webreports/reports/173/S173100.html
7,2022-10-15 13:44:00,Missoula,MT,Other,9 mins approximately,Silver metal boomerang shaped object that moved across the sky and changed shape.,https://nuforc.org/webreports/reports/172/S172828.html
8,2022-10-12 00:45:00,Bozeman,MT,Orb,6 minutes,Object appeared was moving then disappeared,https://nuforc.org/webreports/reports/172/S172303.html
9,2022-10-11 23:01:00,Livingston,MT,Changing,more than 1 hour,observed light over hayfield near house and videoed. fell asleep. gone by 4 am.,https://nuforc.org/webreports/reports/172/S172302.html
10,2022-10-08 23:30:00,Great Falls,MT,Changing,Several hrs.,Bright stars and started dancing and moves sporadically with colored lights.,https://nuforc.org/webreports/reports/172/S172264.html
11,2022-09-02 19:21:00,"20 miles west of billings, mt",MT,Sphere,1 min. Approx,Metalic sphere moving at approximately 3000ft elevation,https://nuforc.org/webreports/reports/171/S171555.html
12,2022-09-01 09:14:00,,MT,Disk,Duration of a minute or t,We were driving thru Montana on the way to Washington. My dad pointed out that a hot air balloon was in the sky so I took pics,https://nuforc.org/webreports/reports/171/S171549.html
13,2022-08-31 22:59:00,Great falls,MT,Diamond,About 4 or 5 minutes,"It was kind of hard to see, but it was bright yellow and flashed red",https://nuforc.org/webreports/reports/171/S171513.html
14,2022-08-30 22:07:00,Missoula,MT,Star,15-30 minutes,"This was above the concert Chicago, others may have seen - hundreds were there",https://nuforc.org/webreports/reports/171/S171499.html
15,2022-08-30 22:00:00,Stevensville,MT,Triangle,Brief,Daughter took an underexposed pictures and captured the object.,https://nuforc.org/webreports/reports/171/S171495.html
16,2022-08-19 21:16:00,Townsend,MT,Rectangle,40 seconds,A single bright rectangular light descending from the sky,https://nuforc.org/webreports/reports/171/S171274.html
17,2022-08-16 22:21:00,Helena,MT,Changing,last 4 days,For the last week we have seen approx 10 crafts some flying 3 in a line all different separate crafts they will fly over then hover,https://nuforc.org/webreports/reports/171/S171178.html
18,2022-08-15 20:15:00,Polson,MT,Circle,2 minutes,A very bright circular ball following a military jet.,https://nuforc.org/webreports/reports/171/S171214.html
19,2022-08-15 20:10:00,Helena,MT,Other,5 minutes,2 u shaped fire objects in sky,https://nuforc.org/webreports/reports/171/S171818.html
20,2022-08-08 13:17:00,Great Falls,MT,Circle,1 minute,Two floating objects were observed for about 1 minute. Flying in alignment and tandem. Faded off to the west.,https://nuforc.org/webreports/reports/171/S171160.html
21,2022-07-13 21:22:00,Huntley,MT,,30 seconds,Hovering Light,https://nuforc.org/webreports/reports/170/S170406.html
22,2022-07-03 22:40:00,livingston,MT,Sphere,ten minutes,fashing zippy 90 degree movements.,https://nuforc.org/webreports/reports/170/S170577.html
23,2022-06-19 00:15:00,"Monarch, MT",MT,Light,Around 10 minutes,Silent item falling from sky leaving huge cone like trail that took up sky.,https://nuforc.org/webreports/reports/168/S168778.html
24,2022-06-10 05:56:00,Helena,MT,,,MADAR Node 128,https://nuforc.org/webreports/reports/168/S168699.html
25,2022-05-23 04:37:00,Helena,MT,,,MADAR Node 128,https://nuforc.org/webreports/reports/168/S168414.html
26,2022-05-15 22:49:00,Bozeman,MT,Unknown,26 seconds,In driveway after seeing lunar eclipse saw these lights and then they disappeared mere seconds afterwards.,https://nuforc.org/webreports/reports/168/S168366.html
27,2022-05-13 21:27:00,Troy,MT,Circle,8 seconds maybe,"I began filming the lake, when 2 objects came into view and I heard a whoosh. One went left and the other went right.",https://nuforc.org/webreports/reports/168/S168377.html
28,2022-04-17 06:22:00,Helena,MT,,,MADAR Node 128,https://nuforc.org/webreports/reports/167/S167657.html
29,2022-04-02 22:45:00,Babb,MT,Light,2-3 minutes,"3 lights coverage into a triangle, spin and disappear",https://nuforc.org/webreports/reports/167/S167362.html
30,2022-03-09 06:10:00,Boulder Valley,MT,Oval,180 seconds,"Very unusual light appeared above mountain ridge, stabilized then continued slowly up and out of camera view",https://nuforc.org/webreports/reports/167/S167711.html
31,2022-02-09 15:05:00,Helena,MT,,,MADAR Node 128,https://nuforc.org/webreports/reports/166/S166731.html
32,2022-02-05 19:14:00,Missoula,MT,Cigar,6 seconds 10 tops,It was super fast looked small but surrounded by a blue like flame around it. Was going so fast and just blinked out.,https://nuforc.org/webreports/reports/166/S166598.html
