,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/12/23 21:15,Lincoln,NE,USA,Light,5-7minutes,Following severe weather storms I was looking at the clouds and saw approx. 6 or 7 different lights in the sky behaving strangely.,5/19/23,
1,5/4/23 20:12,Panama,NE,USA,Other,~45min,Bright stationary object prior to dusk that was a hollow ring through telescope.,5/19/23,Yes
2,5/2/23 01:59,Grand Island,NE,USA,Chevron,15 - 30 seconds,"Seemed to be cloaked-no lights, no sound, simply movement in sky, it glided by heading SE.",5/19/23,
3,4/25/23 12:00,Omaha,NE,USA,Cylinder,1 minute,I saw a black pill like object moving across the sky from the south going north while looking to the west.,5/19/23,
4,2/13/23 02:45,Hastings,NE,USA,Other,Observed for approx. 1 ho,Very large half circle over lapping the moon. Object was brighter than the moon. White with a thin bright green outline.,3/6/23,Yes
5,2/11/23 04:00,Lincoln,NE,USA,Sphere,Half hour at a time,"Up to 3 lights in the sky, every morning at 4am, 3 locations, 200 miles apart. Fade in, fade out. Sometimes overlaying each other.",3/6/23,Yes
6,1/31/23 19:49,Gothenburg,NE,USA,Fireball,3 seconds,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears",3/6/23,
7,11/12/22 23:36,Springfield,NE,USA,Circle,5-10 minutes,Saw solid white lights with blinking light's hovering,12/22/22,
8,10/21/22 23:30,Norfolk,NE,USA,Sphere,1.5 hours,"Bright light hovering south and west of Norfolk, Nebraska. It then withdrew, but maintained roughly the same position in the sky.",5/19/23,Yes
9,10/4/22 20:30,Northplatte,NE,USA,Other,30 seconds,"Caught my eye just above me, picture wouldn't pick it up so I took a video still blurry but it was very loud and seemed fast",10/8/22,
10,9/20/22 23:06,Lincoln,NE,USA,Changing,From 11pm to 5am,"Watched 20 or more bright star like objects shapeshift, zig zag while looked at was night fishing. Saw them all night and many since",12/22/22,Yes
