,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-02 00:23:00,Las Vegas,NV,Unknown,45 second view/discussion,Seen And Spoken To,https://nuforc.org/webreports/reports/175/S175691.html
1,2023-04-09 01:25:00,Las Vegas,NV,Triangle,10 minutes,We saw a triangular object flying through the air,https://nuforc.org/webreports/reports/175/S175273.html
2,2023-03-01 19:00:00,North Las Vegas,NV,Triangle,At least 10 minutes,2 lights with one dark triangular object hovering. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174833.html
3,2023-02-20 03:51:00,Las Vegas,NV,Light,11 seconds,Two lights moving in sync across camera very low,https://nuforc.org/webreports/reports/174/S174695.html
4,2023-02-11 14:00:00,HENDERSON,NV,Cylinder,Approximately 10 minutes,It appeared to sit in the sky and it looked like it had solar panels on it no sound moved slowly disappeared then reappeared,https://nuforc.org/webreports/reports/174/S174432.html
5,2023-02-09 01:38:00,Laughlin,NV,Triangle,30 seconds,Very briefly but slowly flew from AZ to Nellis direction,https://nuforc.org/webreports/reports/174/S174370.html
6,2023-02-08 20:30:00,Ely,NV,Disk,For a few minutes,"South of Ely, I saw something in front of the moon. I originally thought it could be a small lenticular cloud, but then it vanished.",https://nuforc.org/webreports/reports/174/S174563.html
7,2023-02-03 20:08:00,Henderson,NV,Triangle,It just happened I was st,Black triangle spotted throught thick dark clouds,https://nuforc.org/webreports/reports/174/S174291.html
8,2023-02-03 19:40:00,Between Goldfield and Tonopah,NV,Light,3 seconds,2 consecutive Holographic flashes appeared in thin air- obscuring the view of the mountain.,https://nuforc.org/webreports/reports/174/S174313.html
9,2023-01-13 16:47:00,North Las Vegas,NV,Unknown,About 15-20 minutes,I was looking out my window. When a black mass floated up into the sky directly in front of me.,https://nuforc.org/webreports/reports/173/S173913.html
10,2022-12-07 16:48:00,Reno,NV,Cigar,2 full minutes,"I went to my hotel room, looked outside and saw a cigar shaped object emitting bright orange light",https://nuforc.org/webreports/reports/173/S173319.html
11,2022-11-22 22:00:00,Las Vegas,NV,Teardrop,Seconds,Bright glowing green object,https://nuforc.org/webreports/reports/173/S173187.html
12,2022-11-21 23:49:00,Las Vegas,NV,Triangle,For a bout a year,Right over me me would play saying traingles right over me my senses would like amplify and I would black out sometimes,https://nuforc.org/webreports/reports/173/S173053.html
13,2022-11-21 09:13:00,Las Vegas,NV,Unknown,~10 seconds,"Saw what appeared to be a piece of blowing trash at ~400' altitude and about ~60mph, but then realized conditions were calm.",https://nuforc.org/webreports/reports/173/S173127.html
14,2022-11-14 15:10:00,,NV,Other,,saw a ufo while flying in a plane over nevada,https://nuforc.org/webreports/reports/173/S173028.html
15,2022-11-10 15:25:00,Reno,NV,Triangle,saw object on photo next,saw on photo later,https://nuforc.org/webreports/reports/173/S173881.html
16,2022-11-08 23:15:00,Henderson,NV,Star,90 minutes,Star like craft slowly moved across sky,https://nuforc.org/webreports/reports/173/S173299.html
17,2022-11-06 11:45:00,Las Vegas,NV,Changing,11 seconds,Straight down streak of white caught our left peripheral vision before it became white circle and gone.,https://nuforc.org/webreports/reports/172/S172829.html
18,2022-10-27 18:20:00,Las vegas,NV,Circle,About 5 minutes,Flight time of 5 minute visual with 37 sec video capture,https://nuforc.org/webreports/reports/172/S172577.html
19,2022-10-26 05:59:00,Henderson,NV,Oval,Until sunrise,Lights appearing southbound from Lake Mead Blvd,https://nuforc.org/webreports/reports/173/S173026.html
20,2022-10-22 00:30:00,Hawthorne,NV,Other,30 Seconds,I saw this weird formation of multiple cloud shaped flying objects going against the wind.,https://nuforc.org/webreports/reports/172/S172570.html
21,2022-10-20 13:26:00,Reno,NV,Circle,Approximately 2 hours,"Small bright lights appear in the sky, move around, and disappear",https://nuforc.org/webreports/reports/172/S172448.html
22,2022-10-20 05:25:00,Schurz,NV,Oval,Around three minutes,"Light opens in sky, rotates, then something shoots out to the mountain",https://nuforc.org/webreports/reports/172/S172617.html
23,2022-10-15 16:46:00,Reno,NV,Orb,5 minutes,Bright sphere accompanied by fuzzy orb,https://nuforc.org/webreports/reports/172/S172331.html
24,2022-09-24 18:30:00,Las Vegas,NV,Disk,5-6 seconds,"Saw a disk shape under the peak of a mountain, and then it was gone",https://nuforc.org/webreports/reports/172/S172019.html
25,2022-09-21 20:23:00,Las Vegas,NV,Other,Approx. 30 second,Looking in sky to spot satellites,https://nuforc.org/webreports/reports/172/S172056.html
26,2022-09-16 20:10:00,Lamoille Canyon,NV,Light,1 to 2 minutes,I have a video. It moved down and over then stopped then moved again and stopped then disappeared.,https://nuforc.org/webreports/reports/171/S171861.html
27,2022-09-15 21:40:00,North Las Vegas,NV,Light,3 minutes,Set of three bright white lights moving in formation,https://nuforc.org/webreports/reports/171/S171772.html
28,2022-09-14 20:11:00,Mt Charleston,NV,Light,30 seconds,"Brighter than any star, moving what looked like faster than any aircraft",https://nuforc.org/webreports/reports/171/S171800.html
29,2022-09-05 04:41:00,Gardnerville,NV,Cigar,45 seconds approx,"Cigar shaped, translucent, moving white lights. Moving west to east on a very northern horizon. Able to take 2 photos.",https://nuforc.org/webreports/reports/171/S171674.html
30,2022-08-30 02:11:00,Las Vegas,NV,Disk,2 mins,Took a picture with an iPhone pro max 13,https://nuforc.org/webreports/reports/171/S171488.html
31,2022-08-26 16:28:00,Las Vegas,NV,Other,2 min,"Doughnut shaped, silver UFO",https://nuforc.org/webreports/reports/171/S171421.html
32,2022-08-17 18:13:00,"Las Vegas, NV",NV,Changing,1:13 seconds,Colorful Shapeshifting UFO,https://nuforc.org/webreports/reports/171/S171420.html
33,2022-08-14 04:55:00,Laughlin,NV,,Twenty minutes,Bright white lead light,https://nuforc.org/webreports/reports/171/S171146.html
34,2022-07-13 20:00:00,Dayton,NV,Sphere,6 seconds,Bright light suddenly appears above commercial plane,https://nuforc.org/webreports/reports/170/S170582.html
35,2022-07-11 14:00:00,North Las Vegas,NV,Sphere,1,Multiple lights seen mid-day (near area 51),https://nuforc.org/webreports/reports/173/S173434.html
36,2022-07-07 11:00:00,Las Vegas,NV,Circle,5 minutes,"Two spheres scene out of an airplane window. Very bright light, casting light on to the mountain.",https://nuforc.org/webreports/reports/170/S170351.html
37,2022-07-04 21:10:00,Las Vegas,NV,Unknown,10 minutes,"Craft was flying through the night sky during a lot of fireworks, changing directions multiple times, going straight up and back down",https://nuforc.org/webreports/reports/170/S170240.html
38,2022-06-29 00:00:00,Carson City,NV,Other,10-15 seconds,"Blue Bioluminescent like object that appeared to be ""swimming"" across the sky.",https://nuforc.org/webreports/reports/174/S174899.html
39,2022-06-18 23:00:00,Mesquite,NV,Cone,3 minutes,Appeared suddenly seemingly out of nowhere. ((NUFORC Note: Spent rocket booster venting unneeded fuel?? PD)),https://nuforc.org/webreports/reports/168/S168797.html
40,2022-05-26 22:13:00,Reno,NV,Orb,Approximately 35-45 secs,"A pale light blue craft moving east, no navigation lights.",https://nuforc.org/webreports/reports/168/S168661.html
41,2022-05-23 02:36:00,Las Vegas,NV,Teardrop,15-20 seconds,Very large type of unexplainable thing that looked like a UFO,https://nuforc.org/webreports/reports/168/S168192.html
42,2022-05-17 20:50:00,Pahrump,NV,Cigar,5 min,Black cigar near area 51,https://nuforc.org/webreports/reports/168/S168308.html
43,2022-05-15 14:00:00,Sparks,NV,Oval,About 50 seconds,5 white oval shape objects in the sky above me.,https://nuforc.org/webreports/reports/168/S168372.html
44,2022-05-14 23:08:00,Reno,NV,,45 seconds,Attached video,https://nuforc.org/webreports/reports/168/S168384.html
45,2022-05-03 15:00:00,Las vegas,NV,Orb,2009 n 2022,Inciden,https://nuforc.org/webreports/reports/174/S174102.html
46,2022-04-09 20:55:00,Reno,NV,Light,5 minutes,2 bright lights hovered in place above the city.,https://nuforc.org/webreports/reports/167/S167429.html
47,2022-03-29 20:00:00,Las Vegas,NV,Rectangle,5 seconds,4 green lights suddenly appeared over New York New York during photo and disappeared as soon as I clicked the photo.,https://nuforc.org/webreports/reports/167/S167301.html
48,2022-03-19 15:00:00,Las Vegas,NV,Orb,2 seconds,Bright glowing orb shot straight up into the clouds from inside a dry water drainage channel in broad daylight,https://nuforc.org/webreports/reports/167/S167157.html
49,2022-03-13 13:14:00,Las Vegas,NV,Changing,33 minutes,"Observed an object/phenomena that morphed, pulsed with color, cloaked, maneuvered in advanced manner, rotated, wobbled",https://nuforc.org/webreports/reports/167/S167347.html
50,2022-03-01 19:00:00,Las Vegas,NV,Triangle,5 minutes,Large triangular shaped object over nellis air force base,https://nuforc.org/webreports/reports/167/S167261.html
51,2022-02-22 13:53:00,Las Vegas,NV,Circle,Seconds,Looking through pictures,https://nuforc.org/webreports/reports/166/S166887.html
52,2022-02-12 23:49:00,Las Vegas,NV,Light,,Coming out if T-Mobile arena after a concert and took a random picture of New York casino,https://nuforc.org/webreports/reports/166/S166692.html
53,2022-01-19 17:47:00,N Las Vegas,NV,Sphere,10 minutes,"Many different lights, multiplying for about a month",https://nuforc.org/webreports/reports/166/S166411.html
54,2022-01-04 04:36:00,Sparks,NV,Other,10 seconds,"Slower meteor-like object, but made turns",https://nuforc.org/webreports/reports/166/S166120.html
55,2021-12-03 16:15:00,Las Vegas,NV,Cylinder,~10 minutes,"Observed a silvery object for 10 minutes about 8 miles SSE of my home, just E of the (LAS) Airport",https://nuforc.org/webreports/reports/166/S166258.html
56,2021-12-03 16:14:00,Las Vegas,NV,,15 minutes,"Sighted an odd object in the sky, in the landing pattern of McCarran airport.",https://nuforc.org/webreports/reports/167/S167287.html
57,2021-12-03 16:14:00,Las Vegas,NV,Cylinder,15 minutes,Cylinder or tic tac sited,https://nuforc.org/webreports/reports/167/S167286.html
58,2021-11-28 13:30:00,Las Vegas,NV,Unknown,,Light in the sky followed by aircraft coming in from multiple directions.,https://nuforc.org/webreports/reports/165/S165587.html
59,2021-11-11 18:18:00,North Las Vegas,NV,Cigar,30 seconds,"Cigar shaped bright lite craft, dropping squrae pods multiple color.",https://nuforc.org/webreports/reports/165/S165226.html
60,2021-10-31 01:01:00,NASA space agency,NV,Changing,15 minutes,"Peter, ((deleted)) here. I thought I had your email.. ((NUFORC Note: Alleged footage of faked lunar landing. PD))",https://nuforc.org/webreports/reports/165/S165138.html
61,2021-08-13 22:00:00,Moapa valley,NV,Other,5-7 minutes,"Fleet of fast moving and zig zagging ""crafts""",https://nuforc.org/webreports/reports/172/S172966.html
62,2021-08-08 02:52:00,Las Vegas,NV,Rectangle,5 minutes,It was big and it moved fast I have a photo of it,https://nuforc.org/webreports/reports/175/S175406.html
63,2021-08-03 23:30:00,"Nevada Highway 375, 10 miles E of US Hwy 6",NV,Fireball,20 minutes,"Four objects of various colors flying in looping paths, one object flying right at us and scaring us away",https://nuforc.org/webreports/reports/174/S174158.html
64,2021-07-28 23:27:00,Sparks,NV,Light,7.2 SEC.,BLUE LIGHT SEEN OVER SPARK NV. 7/28/21,https://nuforc.org/webreports/reports/164/S164221.html
65,2021-07-27 13:35:00,Las Vegas,NV,Light,5 min,"Light seems at high altitude, hovering, then proceeding northbound.",https://nuforc.org/webreports/reports/164/S164182.html
66,2021-07-23 00:00:00,Singatse Peak,NV,Teardrop,3 hours,"Urgent: recorded on public fire camera, footage available 12 hours only.",https://nuforc.org/webreports/reports/164/S164132.html
67,2021-07-12 01:00:00,Reno,NV,Light,Ten minutes,3 bright lights not connected all in a row,https://nuforc.org/webreports/reports/167/S167394.html
68,2021-07-03 21:52:00,las vegas,NV,Light,about 3 minutes or so,my co workers and I were outside our balcony on a break when we saw flying green lights in the sky,https://nuforc.org/webreports/reports/167/S167046.html
69,2021-06-30 13:00:00,,NV,Cigar,2-3 minutes,"Metallic looking blimp. Moving across mountain top, object was close enough to easily see, it was making no noise.",https://nuforc.org/webreports/reports/170/S170173.html
70,2021-06-13 19:00:00,Sparks,NV,Sphere,10 seconds,Round white sphere moving VERY fast,https://nuforc.org/webreports/reports/163/S163688.html
71,2021-05-31 08:09:00,Green Valley-Henderson,NV,Rectangle,5 minutes,Three rotating black rectangles with extremely bright green lights at the long ends moving N-to-S in daylight,https://nuforc.org/webreports/reports/163/S163481.html
72,2021-05-29 20:22:00,Las Vegas,NV,Circle,,Sighting in Las Vegas,https://nuforc.org/webreports/reports/167/S167292.html
73,2021-05-26 21:17:00,Las Vegas,NV,Light,20 seconds,I saw a light that moved side to side and up and down then flashed bright with a baby blue color and a hazy blue aura around it.,https://nuforc.org/webreports/reports/163/S163539.html
74,2021-05-18 01:37:00,las vegas,NV,Orb,about 2 hours,Las Vegas UAP moving orb sightings with military planes flying nearby.,https://nuforc.org/webreports/reports/175/S175670.html
75,2021-05-06 21:15:00,Pahrump,NV,Unknown,10 minutes,Straight lines of illuminated objects,https://nuforc.org/webreports/reports/163/S163027.html
76,2021-05-05 21:25:00,Reno,NV,Light,30 seconds,40-50 lights in line across the Reno sky.,https://nuforc.org/webreports/reports/162/S162970.html
