,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,4/22/23 23:01,St George,NB,Canada,Orb,15 seconds,I seen this green orb or glowing sphere materialize in green night sky at about 2000ft,5/19/23,
1,10/31/22 00:30,Riverview,NB,Canada,Rectangle,Couple hours,Theres a rectangle shape craft very high up multiple color flashing lights,12/22/22,
2,10/9/22 10:20,hampton,NB,Canada,Changing,1 min,"Flight left to right , elongated white object which reduced to a white point as it moved eastward.",12/22/22,Yes
3,5/10/22 17:45,Harvey,NB,Canada,Cylinder,1 minute,I was driving home and looked up in the sky as I drove through Harvey.,10/8/22,
4,11/21/20 21:00,Fredericton,NB,Canada,Formation,10-15 minutes,Red lights over Fredericton. Changed from Octagon to Zigzag formation over 10-15 minutes.,12/23/20,
5,5/9/20,Baie-ste-anne (Canada),NB,Canada,Circle,5-6 seconds,"I saw one object moving from above my house, at 3:55 am, the circle moved forward weaving very slowly from left to right about a foot e",6/25/20,
6,4/26/20 13:00,Blackville (Canada),NB,Canada,Oval,5 minutes,I was flying my Phantom pro drone around 600 ft up when I saw a black flat half a oval shaped object fly over it but it was about 3000f,6/25/20,
7,4/23/20 23:00,Moncton (Canada),NB,Canada,Formation,,Bright light turns into many small lights which turn into triangle formation.,6/25/20,
8,4/19/20 18:00,Grand Falls (Canada),NB,Canada,Orb,10 minutes,25 flying objects became brighter at some point like going out of atmosphere. Lasted 10min and no noise,6/25/20,
9,4/14/20 20:00,Bathurst (Canada),NB,Canada,Light,00:04,Two objects flying south bound at very high speeds. One could have been a satellite but the other was much faster and veered south west,5/15/20,
10,3/26/20 21:00,Oromocto (Canada),NB,Canada,Light,10 minutes,"Unidentified Social Distancing?!Just saw a succession of about 20 individual lights, appearing N ((""Starlink"" satellites??))",4/9/20,
11,3/21/20 23:30,Sackville (Canada),NB,Canada,Circle,1 hour,Bright Circular Object Observed for Over An Hour. ((NUFORC Note: Possibly Venus. PD)),5/21/20,
12,1/23/20 19:50,Memramcook (Canada),NB,Canada,Circle,1 hour,"Circle with red dots in Memramcook, NB",2/7/20,
13,12/8/19 06:00,Moncton,NB,Canada,Light,10 min.,Long stream of lights,12/19/19,
14,11/17/19 17:20,Moncton,NB,Canada,Sphere,3 mins,"Matt black sphere suspended and not moving over bridge, multiple witnesses",12/1/19,
15,11/4/19 17:45,Springfield (Canada),NB,Canada,Orb,3 minutes,Glowing orb hovering low beside highway. Seemed to follow us from behind then disappear.,2/7/20,
16,8/4/19 21:45,Fredericton,NB,Canada,Light,,While looking into the early night sky facing S/W from our location a large bright object appeared having just passed by a bright cresc,8/23/19,
17,7/7/19 23:00,Bathurst (Canada),NB,Canada,Unknown,5 seconds,"Green fireball UFO spotted in Bathurst, NB, sky.",7/12/19,
18,6/30/19 19:00,Fredericton (Canada),NB,Canada,Cigar,20 seconds,"I saw two cigar shaped objects, silver in colour, flying at the exact same speed and hight. They were one behind the other in a line.",7/25/19,
19,5/25/19 12:34,Taymouth (Canada),NB,Canada,Light,1.5 minutes,Cluster of lights in a straight line. ((NUFORC Note: SpaceLink satellites. PD))((anonymous source)),6/7/19,
20,5/25/19 12:30,Saint John (Canada),NB,Canada,Light,3 minutes,"On May 25th, at 12:30am , near Sandy Point on the Kennebecasis river. I saw a long line of lights cross the top of the sky, around the",6/7/19,
21,4/22/19 02:00,Cap-Pele NB Bridgewater NS,NB,Canada,Triangle,on off 3 years,"First night most first few weeks Silent Triangle crafts some cloaked , orbs and lights and weird appearances on photos interchanging.",4/22/22,Yes
22,3/29/19 20:00,Moncton (Canada),NB,Canada,Cone,15+ minutes,Very Large Very Dark rectangle in the sky.,4/8/19,
23,3/19/19 23:00,New Brunswick (unspecified location) (Canada),NB,Canada,Disk,~15 minutes,Was more than 4-5 colors was going forward but up in down,3/21/19,
24,11/8/18 21:00,Salisbury (Canada),NB,Canada,Light,5 minutes,White lights in the sky. Nothing blinking.,11/9/18,
25,10/6/18 01:15,Grand Falls (Canada),NB,Canada,Light,35 seconds,"Driving home and a gigantic ball of bright white light in the sky, actually blinded us , it went out, then 5 seconds later appeared aga",10/12/18,
26,9/14/18 07:30,Renous (Canada),NB,Canada,Other,5 second,Silver object falling from the sky with strange sound all day.,9/27/18,
27,7/15/18 03:30,Keswick Ridge (Canada),NB,Canada,Unknown,2 minutes,"At 3:30 AM, I saw flashing on the wall as though there were a tractor or some heavy equipment running nearby.",7/19/18,
28,5/31/18,Maces Bay (Canada),NB,Canada,Unknown,Every night,"In April, my bf and I moved to maces bay, out by leprea we live right by the nuclear power plant we every night we go out side fo",6/21/18,
29,5/13/18 13:00,Chipman (Canada),NB,Canada,Circle,,It was a saucer like with a haze around it.,6/21/18,
30,2/12/18 21:00,Fredericton (Canada),NB,Canada,Sphere,20 minutes,"Large golden-orange lights, two sets of two, like headlights floating in the sky that appeared and disappeared",2/16/18,
31,1/10/18 19:20,Oakland (Canada),NB,Canada,Circle,5 minutes,Me my wife and children see a very bright light in the Southern sky that hovered for a couple minutes. Then all of the sudden it flew o,1/12/18,
32,12/20/17 00:06,Caithness (Canada),NB,Canada,Disk,1 hour,Flashes of lightning in December followed by a moving ball of light. It jolted around quickly and would disappear then reappear,12/21/17,
33,12/15/17 20:10,Riverview (Canada),NB,Canada,Triangle,1 minute,Triangular object over New Brunswick.,12/21/17,
34,11/25/17 15:30,Caraquet (Canada),NB,Canada,Other,2 minutes,"Strange lights in Caraquet, N. B. ((anonymous report)",12/14/17,
35,10/17/17 21:15,Hopewell Cape (Canada),NB,Canada,Fireball,3 seconds,Neon yellow fireball with neon yellow dripping off of it. Very unnatural color for a falling star or meteorite.,10/19/17,
36,10/5/17 11:40,Shediac (Canada),NB,Canada,Sphere,2 minutes,"Shediac, NB, at about 11:40 am at Parley Beach parking lot an airplane made a loud noise and turned sharply in the air. As my son",10/5/17,
37,7/23/17 23:06,St. Croix (Canada),NB,Canada,Other,5 minutes,"Very brilliant light, crescent shaped craft, speed overhead and out of sight rapidly.",7/27/17,
38,7/20/17 19:00,St. Andrews By The Sea (Canada),NB,Canada,Sphere,20 seconds,"Small, micro, silent, very light weight almost see through.",7/23/17,
39,7/18/17 02:20,Fredericton (Canada),NB,Canada,Unknown,1-3 minutes,Small car/shed sized object started green/blue color changed to greenish pink flying super low with weird movements then quickly left.t,7/23/17,
40,7/2/17 22:31,Doaktown,NB,Canada,Formation,40 seconds,Triangular formation of 3 blue/white lights flying above a firework show.,7/7/17,
41,6/30/17 23:40,Hillsborough (Canada),NB,Canada,Other,30,Not one of ours.,7/7/17,
42,2/12/17 02:03,Fredericton (Canada),NB,Canada,Changing,15 minutes,"Bright, multi coloured, shape changing object, very large, low in the sky, hovering then moving off quickly.",2/17/17,
43,2/5/17 21:10,Saint John (Canada),NB,Canada,Other,7 minutes,Dark green object shoots straight up from mountain.,2/10/17,
44,7/4/16 01:00,Upper Kintore (Canada),NB,Canada,Flash,20 minutes,Bright white lights.,11/17/17,
45,6/22/16 00:00,Bathurst (Canada),NB,Canada,Other,30 minutes,Unknown flying object spotted.,6/24/16,
46,5/1/16 23:00,Kingston (Canada),NB,Canada,Oval,,"I was driving home, I was on my street actually, 30 second way from my house 5-6 huge redish orange lights above the trees I pulled ove",6/21/18,
47,4/7/16 21:00,Fredericton (Canada),NB,Canada,Unknown,30 seconds,Low flying object with red and green lights - Making a lot of noise.,4/15/16,
48,3/21/16 05:00,South Branch (Canada),NB,Canada,Other,20 seconds,"Entity seen at 5:00 am. We were awakened by our 7 month old son crying, we heard this on the baby monitor.",3/24/16,
49,2/23/16 22:00,Dieppe (Canada),NB,Canada,Fireball,2 minutes,"Glowing orange star, or Mars look-alike, floating in sky.",3/4/16,
50,9/27/15 17:00,Fredericton (Canada),NB,Canada,Cylinder,10 seconds,"Large, bright, reflective object with no vapor trail following commercial aircraft, then disappearing",9/29/15,
51,7/11/15 21:10,Fredericton (Canada),NB,Canada,Light,30 seconds,"Shimmering, preternaturally flying disc seen in front of clouds in Fredericton, N.B..",7/17/15,
52,1/26/15 06:30,Moncton,NB,Canada,Triangle,5-10 minutes,Triangle shape with red flashing light,1/30/15,
53,12/29/14 19:00,Moncton (Canada),NB,Canada,Changing,20 minutes,Strange moving lights in sky..,1/7/15,
54,11/26/14 23:55,Fredericton (Canada),NB,Canada,Unknown,1,Blue flashing in the sky. ((NUFORC Note: Later reported by witness probably to have been explosions of transformers. PD)),12/5/14,
