,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-15 14:50:00,Salem,NH,Circle,Approximately 2 minutes,Unknown object moving across sky zooms away,https://nuforc.org/webreports/reports/175/S175325.html
1,2023-03-28 19:54:00,Merrimack,NH,Circle,Lasted around 2 minutes.,Extremely strange circular object with vivid flashing green lights.,https://nuforc.org/webreports/reports/175/S175148.html
2,2023-03-22 20:30:00,Franconia Notch,NH,Light,between 5-10 seconds,large amber lights,https://nuforc.org/webreports/reports/175/S175092.html
3,2023-03-22 20:10:00,Rumney,NH,Light,A few seconds,"Saw a bright orange light, disapear and reappear with a 2nd one, my husband sees them and the both disappear",https://nuforc.org/webreports/reports/175/S175082.html
4,2023-03-02 18:50:00,Newmarket,NH,Unknown,~20 min. Clouds moved in,Observed 2 unusual stationary objects in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174848.html
5,2023-02-26 04:45:00,Raymond,NH,Triangle,Saw lit for ten seconds,Solid lit triangle heading north northwest,https://nuforc.org/webreports/reports/174/S174720.html
6,2023-02-11 21:00:00,Kingston.,NH,Rectangle,At least 5 minutes,A large rectangular object in sky hovering with lights that were,https://nuforc.org/webreports/reports/174/S174579.html
7,2023-02-09 09:00:00,Exeter,NH,Other,10 seconds,I was driving towards Epping on 101. At approx. 9am I saw a semi-solid white roundish balloon shaped object in the skyline.,https://nuforc.org/webreports/reports/174/S174427.html
8,2023-01-28 18:30:00,Groton,NH,Circle,30 minutes,"A bright light above our home, and then we see two what we think are shooting stars leave from it",https://nuforc.org/webreports/reports/174/S174175.html
9,2023-01-25 16:30:00,New Durham,NH,Other,A minute or so,Jet pack UFO?,https://nuforc.org/webreports/reports/174/S174119.html
10,2023-01-18 18:55:00,Wakefield,NH,Unknown,15 seconds,"3 really bright lights appeared, then disappeared seconds later. A really dim, fast moving light also appeared",https://nuforc.org/webreports/reports/174/S174021.html
11,2023-01-18 18:50:00,Conway,NH,Light,4 minutes,Bright amber lights,https://nuforc.org/webreports/reports/174/S174014.html
12,2022-12-15 17:00:00,Conway,NH,Disk,1 minute,"While driving I witnessed a large, saucer shaped craft with a domed top (like a stereotypical flying saucer)",https://nuforc.org/webreports/reports/173/S173425.html
13,2022-12-15 17:00:00,Keene,NH,,,Node 27 had a magnetometer spike,https://nuforc.org/webreports/reports/175/S175380.html
14,2022-12-12 20:40:00,woodsville,NH,Light,5 sec.,helicopter accompanied by two small lights,https://nuforc.org/webreports/reports/173/S173373.html
