,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-15 04:00:00,Ramsey,NJ,Sphere,1 hour,"Orb object moving in zig zag fashion ..up down, right left and diagonal",https://nuforc.org/webreports/reports/175/S175791.html
1,2023-05-14 22:15:00,jackson township,NJ,Light,60 seconds,"This was similar to starlink, but multiple rows",https://nuforc.org/webreports/reports/175/S175777.html
2,2023-05-14 22:09:00,Mt Royal,NJ,Other,One minute!,I saw lights vertical and then became horizontal and was able to get three pictures of and then it vanished !,https://nuforc.org/webreports/reports/175/S175798.html
3,2023-04-23 04:14:00,Woodcliff lake,NJ,Disk,9 seconds,A shadow above the clouds disappears,https://nuforc.org/webreports/reports/175/S175471.html
4,2023-04-13 00:00:00,Mount Ephraim,NJ,Triangle,45 seconds,10x10x10 magnificent triangle craft aprox 25 feet in the air flew slowly over us and past us at a somewhat slow pace.,https://nuforc.org/webreports/reports/175/S175361.html
5,2023-03-21 21:09:00,Barnegat,NJ,Disk,1 minute,"2 Crafts seen, then 1 right near my car",https://nuforc.org/webreports/reports/175/S175077.html
6,2023-03-05 20:47:00,Villas,NJ,Diamond,Few minutes long,Low flying aircraft,https://nuforc.org/webreports/reports/174/S174894.html
7,2023-02-28 19:45:00,Vineland,NJ,Star,10 seconds,2 stars orbiting each other before breaking apart and flying out of sight,https://nuforc.org/webreports/reports/174/S174772.html
8,2023-02-16 05:00:00,Toms River,NJ,Star,10 minutes,"Star that moved, then changed directions",https://nuforc.org/webreports/reports/174/S174605.html
9,2023-02-14 19:30:00,Haddon Heights,NJ,Changing,Hours,This is the 3rd night in a row a changing ball has been sipping back n forth at incredible speed and it almost seems to be showing off,https://nuforc.org/webreports/reports/174/S174613.html
10,2023-02-08 18:25:00,Cliffside park,NJ,Star,5 to 10 minutes,Glowing and disappearing Starlike light.,https://nuforc.org/webreports/reports/174/S174357.html
11,2023-02-02 18:45:00,Garfield,NJ,Disk,5 second,Watched a hyper white disk launch into hyper speed so fast it left a light trail behind it before it vanished in a partly cloudy sky,https://nuforc.org/webreports/reports/174/S174288.html
12,2023-02-02 18:10:00,Oxford,NJ,Circle,6 seconds,I saw a bright round object travelling quickly over my head,https://nuforc.org/webreports/reports/174/S174258.html
13,2023-01-29 20:24:00,National Park,NJ,Light,2-5 minutes,"The object was moving fast but not too fast, too fast to be and airplane and not to slow to be mistaken as a drone",https://nuforc.org/webreports/reports/174/S174189.html
14,2023-01-29 19:00:00,Newark,NJ,Orb,2 minutes,Glowing orb approached aircraft spotted from Porter Airlines flight from Toronto-Newark,https://nuforc.org/webreports/reports/174/S174231.html
15,2023-01-18 19:32:00,mantua,NJ,Circle,3 min video,video taped orange objects visibly moving around then vanished on video,https://nuforc.org/webreports/reports/174/S174004.html
16,2023-01-17 12:27:00,Barnegat,NJ,Circle,3 minutes and 40 seconds,Out my window I saw Little round Light,https://nuforc.org/webreports/reports/173/S173998.html
17,2023-01-13 17:03:00,Toms River,NJ,Chevron,Taken during photo,"I was looking at sky from car, I opened window stuck phone out to take sunset. In the photo appears two objects.",https://nuforc.org/webreports/reports/173/S173912.html
18,2023-01-10 21:42:00,Kingwood,NJ,Light,3 minutes,Two bright white objects,https://nuforc.org/webreports/reports/173/S173822.html
19,2023-01-09 17:25:00,Bridgewater,NJ,Circle,10-15 seconds,Flying ball of extreme bright pulsating white light,https://nuforc.org/webreports/reports/173/S173826.html
20,2023-01-05 18:40:00,Wall Township,NJ,Unknown,approximately 2 minutes,There were four lights moving in unison with no sound at all.,https://nuforc.org/webreports/reports/173/S173752.html
21,2022-12-27 21:33:00,Colts Neck / Freehold,NJ,Oval,10 minutes,2 Oval lights moving side by side behind clouds in Colts Neck NJ,https://nuforc.org/webreports/reports/173/S173643.html
22,2022-12-27 03:00:00,Ventnor city,NJ,Changing,TAKEN,Mother & Son taken along with 7 other kids with there Parents!,https://nuforc.org/webreports/reports/173/S173594.html
23,2022-12-25 03:09:00,Ventnor city,NJ,Other,,Please help our towns!,https://nuforc.org/webreports/reports/173/S173562.html
24,2022-12-20 01:04:00,New Gretna,NJ,Orb,20 minutes,"Silver sphere with super bright lights on bottom, zigzagging and ""teleporting"" at impossible speed and angles for 20 minutes",https://nuforc.org/webreports/reports/173/S173488.html
25,2022-12-10 08:42:00,Fort Lee,NJ,Light,A mknute ir two,Several moving objects in the sky,https://nuforc.org/webreports/reports/173/S173369.html
26,2022-12-08 03:09:00,Ventnor city,NJ,Egg,TAKEN,Mother & Son taken along with 7 other kids with there Parents!,https://nuforc.org/webreports/reports/173/S173527.html
27,2022-12-02 03:15:00,Swedesboro,NJ,Cylinder,40 seconds,Object appeared out of nowhere,https://nuforc.org/webreports/reports/174/S174488.html
28,2022-11-26 22:35:00,Milford,NJ,Sphere,less than 10 seconds,White glowing sphere fall from sky,https://nuforc.org/webreports/reports/173/S173641.html
29,2022-11-26 14:17:00,Mount Holly,NJ,Cone,3 seconds,"Driving up the bypass I witnessed a metallic almost glassy cone shaped object. It was upright and vertical, and was rotating.",https://nuforc.org/webreports/reports/173/S173193.html
30,2022-11-23 22:48:00,Sea Isle,NJ,Other,10 seconds,"Clear sky, floating orange glow clearly not standard aircraft",https://nuforc.org/webreports/reports/173/S173177.html
31,2022-11-22 17:08:00,Lopatcong,NJ,Circle,Approx 15 minutes,circled moving left to right then back to left in relation to each other.,https://nuforc.org/webreports/reports/173/S173166.html
32,2022-11-13 18:45:00,"Turnersville, NJ",NJ,Circle,30 seconds to a minute,"Noticed 2 very bright lights that were not there a second ago, and then they shot up into the air/space rapidly.",https://nuforc.org/webreports/reports/173/S173114.html
33,2022-11-12 16:00:00,Garfield,NJ,Other,A second,Object seen in sky.. ((NUFORC Note: Lens flare. PD)),https://nuforc.org/webreports/reports/172/S172990.html
34,2022-11-07 03:18:00,Wayne,NJ,Unknown,Observed fir 15 minutes,"Red and blue flashing lights, with loud noise that sounded like a lawn mower",https://nuforc.org/webreports/reports/172/S172855.html
35,2022-10-27 06:30:00,,NJ,Orb,About 2-3 minutes,"While on my back porch with my brother, we noticed a bright orb high over the trees surrounding the property.",https://nuforc.org/webreports/reports/172/S172585.html
36,2022-10-18 06:40:00,Sicklerville,NJ,Sphere,at least 7 minutes,Bright white round object hovering low in the sky at a distance,https://nuforc.org/webreports/reports/173/S173612.html
37,2022-10-16 18:30:00,Paramus,NJ,Oval,On and off for an hour,Captured video of ZIG ZAGGING blinking stars moving sporadically,https://nuforc.org/webreports/reports/172/S172510.html
38,2022-10-15 06:15:00,East Windsor,NJ,Cone,,Riding my bicycle looked up this dark grayish/silver craft bright redish orange heat,https://nuforc.org/webreports/reports/174/S174266.html
39,2022-10-14 22:21:00,Jersey City,NJ,Circle,5 minutes,Orange lights. Few moving in 2s together few were scattered,https://nuforc.org/webreports/reports/172/S172350.html
40,2022-10-14 06:17:00,Bedminster,NJ,Cone,Seconds,Light,https://nuforc.org/webreports/reports/172/S172371.html
41,2022-10-02 19:43:00,Browns mills,NJ,Triangle,1 min,Flying in sky like a row of lights than turning in mid air like a rotation than flipping upwards and zooming up,https://nuforc.org/webreports/reports/172/S172254.html
42,2022-09-30 13:52:00,Willingboro,NJ,Orb,On going,I see them often,https://nuforc.org/webreports/reports/173/S173598.html
43,2022-09-25 19:50:00,Camden,NJ,Formation,A couple minutes or more,"My husband & I saw an unusual light formation as we drove over the BF Bridge. We could not stop, I took video from the passenger seat",https://nuforc.org/webreports/reports/172/S172077.html
44,2022-09-24 20:28:00,Little Egg Harbor,NJ,Circle,Maybe an hour or less,"After seeing Space X in the sky, we then saw something in the sky. Thought it was a drone, star, cost guard but it wasnt like that.",https://nuforc.org/webreports/reports/171/S171974.html
45,2022-09-24 20:00:00,Wildwood,NJ,Sphere,20-30 seconds,Please Distant item went across the night clear night sky over the Atlantic. A white foggy cone or park shape trail South to north.,https://nuforc.org/webreports/reports/171/S171981.html
46,2022-09-24 19:42:00,west milford,NJ,Unknown,30 seconds,bright ball of light gliding across sky leaving a glowing trail- sky totally clear ((NUFORC: Space X launch from Cape Canaveral. PD)),https://nuforc.org/webreports/reports/172/S172035.html
47,2022-09-24 19:41:00,Summit,NJ,Cone,3 mins,While driving saw fast moving triangular shaped with lights in back,https://nuforc.org/webreports/reports/172/S172027.html
48,2022-09-24 19:40:00,Hamilton,NJ,Light,A few minutes,See from the front of my house,https://nuforc.org/webreports/reports/171/S171998.html
49,2022-09-24 19:40:00,Ocean city,NJ,Light,10 minutes,Bright light moving forward with light beam shining behind it.,https://nuforc.org/webreports/reports/171/S171984.html
50,2022-09-24 19:40:00,Kendall Park,NJ,Cone,33 seconds,southern sky lit up - cone of light observed for 33 seconds,https://nuforc.org/webreports/reports/172/S172017.html
51,2022-09-24 19:40:00,Swedesboro,NJ,Fireball,4 mins,Bright white light slowly moved across the sky with a bright white trail and eventually fizzed out,https://nuforc.org/webreports/reports/172/S172034.html
52,2022-09-24 19:40:00,Neptune City,NJ,Unknown,5 minutes,Bright light with a hazy glow travels north until hazy trail suddenly dispersed,https://nuforc.org/webreports/reports/172/S172026.html
53,2022-09-24 19:40:00,Tinton Falls,NJ,Light,1.5 minutes,Bright v-shape light coming from behind a quick-moving craft,https://nuforc.org/webreports/reports/172/S172024.html
54,2022-09-24 19:38:00,Mullica hill,NJ,Light,5 minutes,Light object streaking across the sky then disappearing at the end,https://nuforc.org/webreports/reports/172/S172029.html
55,2022-09-24 19:30:00,Woodbridge ...sayreville,NJ,Formation,3 minns,Large arrowhead plume seen over major central NJ bridges /river,https://nuforc.org/webreports/reports/172/S172006.html
56,2022-09-20 05:46:00,West Milford,NJ,Light,2 mins,"Bright white light, heading from northwest to southeast. Swerving flight path",https://nuforc.org/webreports/reports/171/S171899.html
57,2022-09-17 00:15:00,Cliffside Park,NJ,Light,Approx 5 minutes,"Bright light extending from dark cloud formation over river, moving very slowly and deliberately",https://nuforc.org/webreports/reports/171/S171839.html
58,2022-09-16 00:05:00,Irvington/Newark border,NJ,Circle,30-60 seconds,Seen hovering on a residential street before passing slowly diagonally over houses,https://nuforc.org/webreports/reports/171/S171777.html
59,2022-09-15 17:15:00,Morris Plains,NJ,Circle,15,Filmed a craft that disappeared and reappeared,https://nuforc.org/webreports/reports/171/S171786.html
60,2022-09-13 20:05:00,Paulsboro,NJ,Disk,2 minutes,A craft that turns invisible,https://nuforc.org/webreports/reports/171/S171745.html
61,2022-09-10 06:50:00,Pedricktown,NJ,Changing,3 minutes,I spotted an object that looked out of the normal. I grabbed my phone and started shooting only to see the object change to something e,https://nuforc.org/webreports/reports/175/S175017.html
62,2022-09-10 06:25:00,Logan Township,NJ,Changing,1 minute,I looked up toward South West and I though I saw a plane but there was no sound. I grabbed my phone and started shooting.,https://nuforc.org/webreports/reports/172/S172947.html
63,2022-09-09 22:10:00,Ocean City,NJ,Changing,Observed for 10 minutes,Observed an object alternating Red and Green light,https://nuforc.org/webreports/reports/171/S171704.html
64,2022-08-24 14:22:00,Atlantic City,NJ,Unknown,A few seconds?,"When I attempted to enlarge the photo of the jet, I noticed the UFO Anomaly above the jet at about 11 oclock.",https://nuforc.org/webreports/reports/171/S171635.html
65,2022-08-23 20:20:00,West Milford,NJ,Light,20 seconds,Distant bright light flying in erratic pattern traveling from west to east at sunset.,https://nuforc.org/webreports/reports/171/S171351.html
66,2022-08-19 21:56:00,Point pleasant,NJ,Changing,5 times -8 hours,I work security at the beach and every time I have been there I see things all over The sky,https://nuforc.org/webreports/reports/171/S171362.html
67,2022-08-19 21:05:00,Point pleasant,NJ,Changing,I saw it for three hours,Ive seen hundreds of objects five straight times Ive sent you guys at least 20 videos now and I have not heard one word From u,https://nuforc.org/webreports/reports/171/S171459.html
68,2022-08-13 16:25:00,Wenonah,NJ,Sphere,20 min,White shiny sphere hovering then traveling very slowly from N to S then 90 degree turn east. Possibly two tone black/wht.,https://nuforc.org/webreports/reports/171/S171092.html
69,2022-08-08 20:24:00,Little Egg Harbor Twp,NJ,Orb,3 minutes and 1 minute,Saw three glowing orbs,https://nuforc.org/webreports/reports/171/S171134.html
70,2022-08-01 22:30:00,Atlantic City,NJ,Formation,4 hours +,Myself and my girlfriend observed 50 + objects deployed from a larger stationary object,https://nuforc.org/webreports/reports/170/S170863.html
71,2022-07-30 23:45:00,Flemington,NJ,Diamond,over 1 hour,Hovering object in the southeast sky about 30 degrees above the horizon,https://nuforc.org/webreports/reports/170/S170867.html
72,2022-07-30 19:28:00,Newark,NJ,Orb,10 minutes,25-30 white orbs coming from behind a cloud over Newark and slowly vanishing,https://nuforc.org/webreports/reports/170/S170814.html
73,2022-07-28 01:10:00,Villas,NJ,Circle,30 seconds,Seen 2 orbs that looked strange. I have videos.,https://nuforc.org/webreports/reports/170/S170840.html
74,2022-07-23 21:37:00,Point pleasant,NJ,Changing,5 hours still there,All four times I have worked at this beach I have 30 videos,https://nuforc.org/webreports/reports/170/S170655.html
75,2022-07-22 22:00:00,Somers point,NJ,Fireball,3 min,3 glowing balls,https://nuforc.org/webreports/reports/170/S170605.html
76,2022-07-21 23:30:00,Whitng,NJ,Circle,About 8 minutes,Circle type craft moving at incredible speeds,https://nuforc.org/webreports/reports/170/S170586.html
77,2022-07-18 02:37:00,Bass River Township,NJ,Unknown,15 minutes,"I was indoors so did not see a craft this time, just an ""entity"" that may be related to my other recent sightings of spherical craft.",https://nuforc.org/webreports/reports/170/S170519.html
78,2022-07-16 16:51:00,Matawan,NJ,Unknown,30 seconds - minute,At 4:51 pm I saw 3 black objects moving from south to north,https://nuforc.org/webreports/reports/170/S170486.html
79,2022-07-13 22:00:00,Ewing,NJ,Light,2 minutes,Looking up saw light flying across sky and over my house,https://nuforc.org/webreports/reports/170/S170408.html
80,2022-07-13 03:45:00,West Deptford,NJ,Light,30 minutes,"Stationary source of incredibly bright white light, flashing blue to white, puffs of white light shot out of sides.",https://nuforc.org/webreports/reports/170/S170497.html
81,2022-07-10 04:45:00,Rio grande,NJ,Unknown,45 minutes,Hovering at about 2500 ft then ascended and disappeared,https://nuforc.org/webreports/reports/170/S170280.html
82,2022-07-04 21:20:00,Perth amboy,NJ,Oval,20min,Saw a strange light and it was hovering and it was changing color from red to blue I have a video and my son has one to,https://nuforc.org/webreports/reports/170/S170268.html
83,2022-07-04 11:00:00,Pamona,NJ,Unknown,5 seconds,Flew across highway in 5 seconds then went down below trees,https://nuforc.org/webreports/reports/170/S170221.html
84,2022-07-04 04:30:00,Bass River Township,NJ,Sphere,5 minutes,"Silver sphere, with VERY BRIGHT pair of articulated light sources on the bottom, accelerated laterally and VANISHED, then reappeared",https://nuforc.org/webreports/reports/170/S170520.html
85,2022-07-02 21:36:00,West Deptford,NJ,Circle,Almost an hour. Ongoing.,Various large lights observed over an hour.,https://nuforc.org/webreports/reports/170/S170209.html
86,2022-06-28 17:30:00,Lyndhurst,NJ,Sphere,15,Very bright light suspended above low clouds,https://nuforc.org/webreports/reports/170/S170137.html
87,2022-06-19 22:45:00,Woodbridge/parkway,NJ,Sphere,Few seconds,Very fast moving ball of light,https://nuforc.org/webreports/reports/168/S168775.html
88,2022-06-18 22:50:00,Wildwood,NJ,Light,Only a few seconds,I saw two small lights in the sky that moved super fast and did not move in a straight line.,https://nuforc.org/webreports/reports/168/S168823.html
89,2022-06-17 19:03:00,Avon By The Sea,NJ,Cigar,30 seconds,Cigar shape object turns to smoke then turns to smaller dot,https://nuforc.org/webreports/reports/168/S168688.html
90,2022-06-05 17:45:00,Beach Haven,NJ,Oval,20 minutes,Spotted tiny pill shaped object that was at commercial flight altitude while sitting at beach.,https://nuforc.org/webreports/reports/170/S170665.html
91,2022-06-04 20:59:00,Point pleasant,NJ,Changing,Five hours,I am a security guard at a beach and I saw blinking things in the sky they formed the triangles and squares they changed colors,https://nuforc.org/webreports/reports/170/S170510.html
92,2022-05-31 22:34:00,Lake Hopatcong,NJ,Light,.5,Red light gets sucked into white light,https://nuforc.org/webreports/reports/168/S168520.html
93,2022-05-31 22:24:00,Lake Hopatcong,NJ,Light,10:24:47- 10:24:48,Red light gets sucked into white crack opening in sky,https://nuforc.org/webreports/reports/168/S168496.html
94,2022-05-30 00:58:00,Toms River,NJ,Fireball,Two or three minutes,"Walking a trail we looked up in the Northeast sky and saw a fireball slowly moving west, making no noise.",https://nuforc.org/webreports/reports/168/S168047.html
95,2022-05-29 15:13:00,Hackensack,NJ,Changing,8 seconds,"Father took video of jet fighter flying low over house, after watching video I spotted two white objects flying in the sky",https://nuforc.org/webreports/reports/168/S168591.html
