,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/3/23 23:00,,NM,USA,Orb,15 mins,The object was an orb with light white.,5/19/23,Yes
1,5/3/23 01:45,Albuquerque,NM,USA,Light,20 Minutes,2 lights which appear to be celestial anomalies of the Cassiopeia constellation perform repetitive behaviors (possibly ongoing),5/19/23,
2,4/27/23 02:51,Albuquerque,NM,USA,Fireball,:57 seconds recorded,See video,5/19/23,Yes
3,4/21/23 14:20,Stanley,NM,USA,Other,20 seconds,Multiple small pieces of reflective material moving fluidly like a flock of birds high in the sky,5/19/23,
4,4/17/23 20:35,Ruidoso Downs,NM,USA,Light,saw for 30 seconds,Running Lights,5/19/23,
5,4/9/23 16:18,,NM,USA,Triangle,2 mins,An object that sounds like a prop airplane,5/19/23,
6,3/8/23 18:48,Arenas valley,NM,USA,Star,,Star lake object bright moving changing directions fast,5/19/23,Yes
7,3/4/23 19:42,Tijeras,NM,USA,Orb,.5 hour,We spotted the two orbs spinning with multicolored lights,4/9/23,Yes
8,3/2/23 19:21,Edgewood/ Sandia Park,NM,USA,Light,2-3 seconds,Dull red light traveling at a incredibly fast speed,3/6/23,
9,2/18/23 19:54,Capulin,NM,USA,Other,,Appeared only in this photo and not in any other immediately before or after,3/6/23,Yes
10,2/2/23 19:15,Artesia,NM,USA,Formation,30 secons,"Me, my wife and to adult age sons witnessed six lights appear in intervals I. Two line formations",3/6/23,
11,1/27/23 07:38,"Albuquerque, west of.",NM,USA,Circle,Brief,This was not an aircraft.,4/9/23,Yes
12,1/18/23 04:00,,NM,USA,Unknown,30 seconds,A Strange Light,3/6/23,
13,1/9/23 03:55,Tohatchi,NM,USA,Orb,15 mins,Big bright spherical orbs moving in many directions and stationary like flying in maneuvers.,3/6/23,Yes
14,1/1/23 16:45,Clovis,NM,USA,Cigar,15 mins before dark,Cigar shape bobbed in & out of clouds in place.,3/6/23,
15,12/21/22 17:09,Albuquerque,NM,USA,Light,30 seconds,Bright Light that then slowly fades and disappears during Daylight,3/6/23,
16,12/15/22 15:36,Rio Rancho,NM,USA,Unknown,2 minutes,5 objects in formation during daylight,3/6/23,Yes
