,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 10:45:00,Troy,NY,Oval,30s,"A large oval object, possibly dimly lit blimp, larger than 100ft in length",https://nuforc.org/webreports/reports/175/S175779.html
1,2023-05-12 23:01:00,Buffalo,NY,Orb,2 minutes,"Large red orb caught on camera , not blinking, no sound moving extremely fast",https://nuforc.org/webreports/reports/175/S175747.html
2,2023-05-12 11:01:00,Buffalo,NY,Other,45-60 seconds,"45-60 second FAST traveling object, round but transitioning to - lengthy , bright red object",https://nuforc.org/webreports/reports/175/S175750.html
3,2023-05-11 22:37:00,Coxsackie,NY,Circle,15 minutes,"Bright light, stationary for 15 minutescould see details of craft with binoculars",https://nuforc.org/webreports/reports/175/S175739.html
4,2023-05-07 13:58:00,New York,NY,Flash,Aortic 5-10 minutes,"Orb looking object at high altitude, with bright flashing white light.",https://nuforc.org/webreports/reports/175/S175805.html
5,2023-05-06 21:55:00,Hamburg,NY,Orb,1-2 minutes,4 aligned orbs or stars top one would fade and a new one would appear on the bottom of the line,https://nuforc.org/webreports/reports/175/S175706.html
6,2023-05-06 21:15:00,Centerport,NY,Orb,3 min. from first sightin,"2 orbs hovering, apart but aligned with each other, then vanished, separately.",https://nuforc.org/webreports/reports/175/S175724.html
7,2023-05-02 22:06:00,Yapank,NY,Diamond,Saw this strange light,Saw light in sky that looked out of place,https://nuforc.org/webreports/reports/175/S175721.html
8,2023-04-29 03:00:00,Tonawanda,NY,Changing,1hr,Spotted 2 anomaly around 3 am below the cloud overcast (raining in our area). UFO/UAP seemed to change colors and shapes.,https://nuforc.org/webreports/reports/175/S175576.html
9,2023-04-28 20:56:00,Saugerties (Malden),NY,Disk,30 minutes,I took off when the craft looked like it was turning around!,https://nuforc.org/webreports/reports/175/S175539.html
10,2023-04-19 22:00:00,New York,NY,Circle,Three hours,Looked out window facing Hudson River,https://nuforc.org/webreports/reports/175/S175417.html
11,2023-04-18 21:10:00,Cairo,NY,Diamond,58 minutes,"Not a craft and not an orb. Diamond shape, stayed in one spot, starburst like with red, white and blue colors.",https://nuforc.org/webreports/reports/175/S175424.html
12,2023-04-10 21:07:00,Glen Cove,NY,Unknown,"1+ hours, idk ending",Stationary bright light hovering in the same location for unknown duration. Witnessed over an hour of it before we left.,https://nuforc.org/webreports/reports/175/S175385.html
13,2023-04-09 23:34:00,Brooklyn,NY,Unknown,Unclear,Something floating above empire state building,https://nuforc.org/webreports/reports/175/S175358.html
14,2023-03-26 19:45:00,Norwich,NY,Light,3 minutes approximately,"A fast moving point of light that changed direction very quickly, also going around in a circle.",https://nuforc.org/webreports/reports/175/S175137.html
15,2023-03-17 22:00:00,,NY,Cylinder,2-3 minutes,"During a flight, I saw a number of red long lights in a cylinder formation.",https://nuforc.org/webreports/reports/175/S175067.html
16,2023-03-16 08:15:00,Herrings,NY,Orb,Seconds,This is the second time I've been sitting in my living room and see this light cross across my treeline and go straight down.,https://nuforc.org/webreports/reports/175/S175037.html
17,2023-03-15 19:25:00,Lake Placid,NY,Other,2 min,3 lights in a straight line formation.,https://nuforc.org/webreports/reports/175/S175019.html
18,2023-03-15 15:00:00,Bronx,NY,Orb,30 seconds,Saw metallic ball 150 feet above head moving ..no sound..silver,https://nuforc.org/webreports/reports/175/S175672.html
19,2023-03-08 05:23:00,Queens,NY,Unknown,6 minutes,I noticed several crafts arising from the treeline.,https://nuforc.org/webreports/reports/174/S174961.html
20,2023-03-06 03:15:00,Lancaster,NY,Oval,5 minutes,Went to 2nd story bedroom window and looked out - difficulty sleeping,https://nuforc.org/webreports/reports/174/S174973.html
21,2023-03-05 00:30:00,Brooklyn,NY,Light,Atleast 10 mins,"Light object sky, In Brooklyn towards Manhattan",https://nuforc.org/webreports/reports/174/S174881.html
22,2023-03-01 20:15:00,Rochester,NY,Light,20 minutes,Two lights that appeared to be from one object high and stationary in sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174816.html
23,2023-03-01 19:15:00,Lima,NY,Light,20 minutes so far,It is two lights in the western sky that are not star like. Not moving. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174802.html
24,2023-02-24 20:30:00,North Salem,NY,Circle,Still happening,Bright white rings of lights moving erratically in the sky over the mountains in the front & back of house,https://nuforc.org/webreports/reports/174/S174709.html
25,2023-02-22 19:00:00,Ogdensburg,NY,Cylinder,2-3 min,Looked like a dotted line in the night sky,https://nuforc.org/webreports/reports/174/S174689.html
26,2023-02-14 18:35:00,Gardiner,NY,Orb,ten minutes or so,"A string of evenly spaced lights, like Japanese lanterns, traveling in a stream across the northern sky, west to east.",https://nuforc.org/webreports/reports/174/S174568.html
27,2023-02-14 17:40:00,Saugerties/Woodstock,NY,Unknown,One or two minutes,Something in the sky appeared to be falling straight downward.,https://nuforc.org/webreports/reports/174/S174573.html
28,2023-02-13 20:08:00,Beacon,NY,Unknown,A couple minutes,I dont know what that was but Im scared.,https://nuforc.org/webreports/reports/174/S174528.html
29,2023-02-12 03:25:00,Lyon Mountain,NY,Unknown,unknown,Aircraft over flying Northern NY reported UFO.,https://nuforc.org/webreports/reports/174/S174454.html
30,2023-02-06 06:58:00,Poughkeepsie,NY,Circle,15 seconds,Zig zagged across face of moon,https://nuforc.org/webreports/reports/174/S174329.html
31,2023-02-01 18:31:00,West Camp,NY,Diamond,5-10 mins,The two red lights stayed on and the other two white lights were flashing in an unusual sequence.,https://nuforc.org/webreports/reports/174/S174240.html
32,2023-02-01 12:23:00,Red Hook,NY,Sphere,5 - 10 seconds,A metallic sphere that was reflective and possibly had glass/window was visible and then without moving disappeared.,https://nuforc.org/webreports/reports/174/S174246.html
33,2023-01-29 22:24:00,Northport,NY,Chevron,,"2 UFO at low level, tree tops",https://nuforc.org/webreports/reports/174/S174199.html
34,2023-01-29 15:00:00,Albany,NY,Oval,Half hour,I have had many sightings throughout my life,https://nuforc.org/webreports/reports/174/S174222.html
35,2023-01-26 14:18:00,Bridgehampton,NY,Light,20 seconds,Saw a triangle of bright white lights heading NW of montauk highway.,https://nuforc.org/webreports/reports/174/S174136.html
36,2023-01-25 22:13:00,Sloan,NY,Star,All night long,In the skies at night we were star gazing when we noticed that the stars were moving and changing color. They were lower to the ground,https://nuforc.org/webreports/reports/174/S174197.html
37,2023-01-24 20:36:00,Pleasant valley,NY,Diamond,5 minutes,Silver reflecting cylinder or diamond shape object floating,https://nuforc.org/webreports/reports/174/S174101.html
38,2023-01-23 21:17:00,New York,NY,Light,30 minutes,Random bright blue light,https://nuforc.org/webreports/reports/174/S174096.html
39,2023-01-20 21:37:00,Staten Island,NY,Light,approx 30 seconds,2 formations of orange objects seen crossing sky at night,https://nuforc.org/webreports/reports/174/S174264.html
40,2023-01-09 17:27:00,Calverton,NY,Light,10 seconds,Started as a very faint light that began to move at almost lighting speed that eventually turned into a massive ball of fire,https://nuforc.org/webreports/reports/173/S173818.html
41,2023-01-08 04:00:00,New York,NY,Disk,10 seconds,UFO in Manhattan,https://nuforc.org/webreports/reports/173/S173787.html
42,2023-01-06 05:25:00,Bayville,NY,Light,20 min,Blinking/flashing/shimmering lights in the sky,https://nuforc.org/webreports/reports/173/S173781.html
43,2023-01-04 21:40:00,Between Maine & Binghamton,NY,Oval,2-3 minutes,Saw bright oval/shaped craft,https://nuforc.org/webreports/reports/173/S173737.html
44,2023-01-02 01:00:00,Albany,NY,Cigar,3-5 minutes,Object came down from the sky,https://nuforc.org/webreports/reports/174/S174125.html
45,2023-01-01 18:40:00,Wantagh,NY,Circle,5 minutes,It was a bright light would blink stay light then move a weird way almost looked like a drone but it definitely was not a drone,https://nuforc.org/webreports/reports/173/S173706.html
46,2022-12-31 01:19:00,Flushing,NY,Triangle,Less than 1 second,"3 large lights, none flashing, flying less than 2k feet above the ground, and completely silent",https://nuforc.org/webreports/reports/173/S173651.html
47,2022-12-21 19:28:00,Albany,NY,Triangle,Approximately 15 minutes,"Triangle hovering, then moving slowly, no sound.",https://nuforc.org/webreports/reports/173/S173523.html
48,2022-12-17 02:29:00,Flushing,NY,Unknown,3 hours,I live near La'guardia Airport and I notice lights flashing and just hovering suspending in the sky not moving.,https://nuforc.org/webreports/reports/173/S173477.html
49,2022-12-14 02:46:00,Calverton,NY,Egg,20 seconds,Captured during long exposure photo session.,https://nuforc.org/webreports/reports/173/S173447.html
50,2022-12-09 20:20:00,Staten Island,NY,Other,,A big long air craft that wasnt a plane for sure,https://nuforc.org/webreports/reports/173/S173356.html
51,2022-12-08 17:15:00,Ava,NY,Light,15 seconds,5 horizontal lights dimming out then back in after shifting direction. Lights reappear in a loner line of them before igniting?,https://nuforc.org/webreports/reports/173/S173338.html
52,2022-11-28 06:30:00,Niagara Falls,NY,Disk,About 10 secs,Saw a disk fly over a red light while I was waiting for green. Other cars saw it because we did not all move when green.,https://nuforc.org/webreports/reports/173/S173422.html
53,2022-11-23 20:00:00,Yonkers,NY,Circle,5 minutes,Numerous objects north to southwest,https://nuforc.org/webreports/reports/173/S173181.html
54,2022-11-20 16:53:00,Honeoye Falls,NY,Disk,Approx 3 minutes,I saw this in the sky and it caught my attention enough so to take pictures. This was slow moving bright at first but slowly faded away,https://nuforc.org/webreports/reports/174/S174211.html
55,2022-11-13 20:03:00,Warwick,NY,Formation,A few min,Something red in sky.,https://nuforc.org/webreports/reports/172/S172994.html
56,2022-11-12 20:22:00,Brooklyn,NY,Light,3 minutes in and out,Bright orange light over NYC- not moving,https://nuforc.org/webreports/reports/172/S172935.html
57,2022-11-11 22:05:00,Coram,NY,Other,Seen for 60 sec,Three limb ufo,https://nuforc.org/webreports/reports/172/S172951.html
58,2022-11-10 13:12:00,Harpursville,NY,Circle,21secs.,"my son was comming down the ladder to look back up to see if roof flashing was straight,and I was looking up while holding ladder",https://nuforc.org/webreports/reports/172/S172892.html
59,2022-11-04 21:46:00,Syracuse,NY,Oval,10 seconds,"Very fast moving aircraft, silent and low flying, approximately 50-75 feet above ground",https://nuforc.org/webreports/reports/172/S172802.html
