,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/18/23 19:40,Kippens,NF,Canada,Circle,5 minutes,"Looked out window and saw the sun catching on a bright ball in the sky, it was round and fast. Moving horizontally.",5/19/23,Yes
1,9/17/22 23:58,Stephenville,NF,Canada,Cylinder,Not sure,3 Crafts Over Home,10/8/22,Yes
2,8/3/22 22:00,Bryants Cove,NF,Canada,Fireball,10 to 15 seconds,"Saw a blue/green flaming orb crash down into a hill, that we refer to as the ridge. 10x the size of a flare, but was orb shaped.",9/9/22,
3,7/11/21 19:15,"Happy Valley Goose Bay, Labrador (120 kms away at cabin)",NF,Canada,Changing,7:15 PM-8:25 PM Stealtcam,various pictures taken with stealth cam showing one object breaking into two objects sending light beams to the ground then going back,9/9/22,Yes
4,2/15/20 06:05,Elliston (Canada),NF,Canada,Circle,150 seconds,I have two short videos of two different times that it happened and one that my mother and father seen I missed seeing that one tho. I,6/25/20,
5,7/17/18 18:50,Bay St. George,NF,Canada,Circle,,((HOAX??)) A ship that needed help. ((anonymous report)),8/10/18,
6,4/24/18 23:00,St. Johns (Canada),NF,Canada,Triangle,1 hour,"2 Triangular craft seen in Newfoundland with 3 lights centred on the bottom, lasting an hour, then leaving.",7/25/19,
7,10/23/17 19:00,La Manche (Canada),NF,Canada,Fireball,seconds,Straking fireball and green flash light up the sky. ((NUFORC Note: Possible meteor?? PD)),11/3/17,
8,8/23/17 17:15,Glenwood (Canada),NF,Canada,Oval,45 minutes,While driving on the transcanada hiway in Newfoundland Canada I was taking random pictures of the sun during eclipse day when i noticed,9/5/17,
9,8/8/17 13:30,St. John's (Canada),NF,Canada,Disk,1 second,Classic UFO shape. ((NUFORC Note: Blurry object at the top of the photo looks to us to be a bird in flight. PD)),11/3/17,
10,4/21/17 02:30,North River (Canada),NF,Canada,Light,10 seconds,A dim star that followed the path of the laser down to 40000 ft then lit up in a vibrant white glowing light ((anonymous report)),7/23/17,
11,1/7/17 21:50,Conception Bay South (Canada),NF,Canada,Fireball,5 minutes,Cluster of moving stars and orange 'fireballs',1/12/17,
12,9/7/14 13:00,Natuashish (Canada),NF,Canada,Sphere,10 minutes,"They saw round shape in the sky. They took a picture, I have a copy of the pic. Should I email the pic? It's on daytime.",9/10/14,
