,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-16 21:20:00,Lawndale,NC,Cube,4-6 Seconds,Cube Shape seen during lightning flash,https://nuforc.org/webreports/reports/175/S175810.html
1,2023-05-10 21:12:00,Hendersonville,NC,Disk,30 seconds to 1 minute,Night sky lit up. Looked like a Ferris wheel shaped spinning object above the trees in the distance. Went down and disappeared,https://nuforc.org/webreports/reports/175/S175734.html
2,2023-05-04 21:45:00,Hickory,NC,Cigar,5 minutes,west heading east looked like a pencil shape with solid lights maybe 6 feet apart object seemed a mile away and mile up no sound,https://nuforc.org/webreports/reports/175/S175627.html
3,2023-05-01 21:50:00,Norlina,NC,Circle,5 mins,Circle flashing object in sky,https://nuforc.org/webreports/reports/175/S175565.html
4,2023-04-29 19:30:00,Charlotte,NC,Sphere,5 MINUTES,Observed spherical dark colored object moving in a NNE direction very slowly,https://nuforc.org/webreports/reports/175/S175590.html
5,2023-04-26 22:30:00,Reidsville,NC,Star,No more than two minutes.,"An extremely large and bright, burning light hovering slowly in the sky that was gone shortly after.",https://nuforc.org/webreports/reports/175/S175525.html
6,2023-04-13 21:46:00,Surf City,NC,Triangle,20 seconds,Saw three red flashing lights in a triangle shape that stayed in one spot for 15 seconds.,https://nuforc.org/webreports/reports/175/S175352.html
7,2023-04-04 21:00:00,Sherrills Ford,NC,Unknown,10 minutes,Waiting to watch the ISS fly by we spotted an object traveling west with two blinking green lights...it stopped hovered and flew off,https://nuforc.org/webreports/reports/175/S175211.html
8,2023-04-01 20:20:00,Raleigh,NC,Star,Its been occurring daily,A star that moves it appears daily but doesnt appear some nights also duplicates then just disappears,https://nuforc.org/webreports/reports/175/S175286.html
9,2023-03-24 21:00:00,Gasto,NC,Orb,10 seconds,"Single, fast moving bright green light/orb, low and silent.",https://nuforc.org/webreports/reports/175/S175122.html
10,2023-03-20 10:15:00,Mooresville,NC,Oval,Less than 2 seconds,3 ovals flying very fast,https://nuforc.org/webreports/reports/175/S175110.html
11,2023-03-16 06:37:00,Gastonia,NC,Fireball,1 min,Orange/Red fireball seen in sky,https://nuforc.org/webreports/reports/175/S175018.html
12,2023-03-14 20:45:00,Leland,NC,Circle,3 minutes,I Saw a Large orange light. Seemed to hover. Then moved Slightly and disappeared.,https://nuforc.org/webreports/reports/175/S175002.html
13,2023-03-07 20:55:00,Murphy,NC,Circle,10 Minutes,A small circular object with flashing lights staying put in the air.,https://nuforc.org/webreports/reports/174/S174923.html
14,2023-03-05 19:00:00,Mooresville,NC,Orb,10 seconds,Turquoise colored light traveling from south to north performing high speed maneuvers and directional changes.,https://nuforc.org/webreports/reports/174/S174900.html
15,2023-03-04 16:43:00,Raleigh,NC,Light,35 mins,Pi shaped object or light in the afternoon sky,https://nuforc.org/webreports/reports/174/S174879.html
16,2023-02-28 20:15:00,Pearces,NC,Circle,15 minutes,Entire circle was white and very bright with one orb smaller than the other. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174764.html
17,2023-02-22 19:32:00,denver/ moorsville,NC,Circle,7:30-7:40,3 bright lights traveling at a very high altitude at a extremely high speeds,https://nuforc.org/webreports/reports/174/S174692.html
18,2023-02-18 20:20:00,Zebulon,NC,Changing,5 min,Looked like a constellation at first then turned and slowly quietly flew over our car looking more like a spacecraft,https://nuforc.org/webreports/reports/174/S174672.html
19,2023-02-17 16:30:00,Valdese,NC,Sphere,15 minutes,A large green sphere near Valdese NC,https://nuforc.org/webreports/reports/174/S174628.html
20,2023-02-16 20:44:00,Statesville,NC,Orb,Maybe 2-3 mibe,I looked up and saw a strange orb,https://nuforc.org/webreports/reports/174/S174644.html
21,2023-02-14 18:37:00,Granite Falls,NC,Circle,2 mins,We were coming home from Walmart and saw this object moving at a high rate of speed. Lower than where a helicopter or plane would be.,https://nuforc.org/webreports/reports/174/S174567.html
22,2023-02-14 12:45:00,Greenville,NC,Cylinder,5 seconds,Ive seen the object 3 times near the same location,https://nuforc.org/webreports/reports/174/S174560.html
23,2023-02-06 19:28:00,MOORESVILLE,NC,Orb,4-5 minutes,"Looking at night sky from front porch, saw orb in two photos taking in succession over a 2-3 minute period. Orb moved up and eastward",https://nuforc.org/webreports/reports/174/S174981.html
24,2023-01-28 23:00:00,Harrisburg,NC,Circle,More than a hour,Seem to jump around several times,https://nuforc.org/webreports/reports/174/S174177.html
25,2023-01-26 22:30:00,Holly Springs,NC,Light,At least 10 mins,"Three orange-red rings glowing, almost colliding with aircraft",https://nuforc.org/webreports/reports/174/S174364.html
26,2023-01-24 15:15:00,Elizabeth City,NC,Formation,About 1 min,My family and I were outside playing when my wife noticed the objects flying in formation she tried to record but couldn't so I did,https://nuforc.org/webreports/reports/174/S174103.html
27,2023-01-23 20:30:00,Archdale,NC,Triangle,Constant,"Green and reddish pink lights, triangular",https://nuforc.org/webreports/reports/174/S174094.html
28,2023-01-19 18:30:00,Durham,NC,Circle,30+ minutes,Witnessed 30 or more orange circular objects heading 268 degrees across skyline in no formation or same altitude but the same direction,https://nuforc.org/webreports/reports/174/S174028.html
29,2023-01-16 14:30:00,Charlotte- Huntersville,NC,Disk,10 minutes in view,"Moving S. to N. at view alt. 2000ft, 45ft. ""disc like"" craft w/ green & refractive triangular lights, w/ 250ft laser of white light.",https://nuforc.org/webreports/reports/174/S174491.html
30,2023-01-13 00:14:00,Raleigh,NC,Oval,14 minutes,I saw something hovering in the air with light all around and there was a blue light,https://nuforc.org/webreports/reports/173/S173890.html
31,2023-01-12 05:12:00,Dobson,NC,Triangle,a few seconds,"Heard odd sound, saw triangular craft, three red lights, flying low as it passed overhead.",https://nuforc.org/webreports/reports/174/S174082.html
32,2023-01-12 00:30:00,Winston-Salem,NC,Cigar,1-2 minutes,"My sister and I heard low humming that shook the house at around 12:30 AM, my sister viewed the cigar shaped craft go over some trees.",https://nuforc.org/webreports/reports/173/S173942.html
33,2023-01-06 15:20:00,Great Smokies National Park,NC,Cylinder,Seconds,"Massive, moving behind ridgeline",https://nuforc.org/webreports/reports/173/S173790.html
34,2023-01-05 07:30:00,Longview,NC,Cigar,3 minutes,"Pill shaped object, looked like a blinking star.",https://nuforc.org/webreports/reports/173/S173749.html
35,2023-01-03 23:38:00,Charlotte,NC,Cylinder,Ufo sighting,I was walking alone just going for my usual midnight walk,https://nuforc.org/webreports/reports/173/S173772.html
36,2023-01-01 16:56:00,Duck,NC,Unknown,30 minutes,Multiple streaks changing direction with at times showing a dark craft.,https://nuforc.org/webreports/reports/173/S173676.html
37,2022-12-29 20:47:00,Siler City,NC,Triangle,12 minutes,3 red lights flying in unison triangle,https://nuforc.org/webreports/reports/173/S173899.html
38,2022-12-26 05:00:00,terrell,NC,Circle,10 minutes,"semi circular motions almost in the shape of a W, extremely bright, abruptly lights turned off/on mid air in 2 minutes, odd behavior",https://nuforc.org/webreports/reports/173/S173573.html
39,2022-12-18 21:05:00,Conover,NC,Cross,4 minutes,An unidentified drone-shaped craft with 4 flashing white LEDs was seen hovering over my house.,https://nuforc.org/webreports/reports/173/S173478.html
40,2022-12-16 17:53:00,Belhaven,NC,Cone,,Lighting in sky with orb of light around it and then disappeared after ~3-4 minutes (SpaceX),https://nuforc.org/webreports/reports/173/S173435.html
41,2022-12-16 17:38:00,,NC,Cylinder,5 mins,The craft hovered over i95,https://nuforc.org/webreports/reports/173/S173515.html
42,2022-12-16 16:00:00,Franklin,NC,Circle,5 minutes,Stationary craft with no contrails with other aircraft with contrails in distance,https://nuforc.org/webreports/reports/173/S173438.html
43,2022-12-07 22:00:00,Newport,NC,Circle,5 seconds,I saw what I thought was a star,https://nuforc.org/webreports/reports/173/S173343.html
44,2022-12-06 02:30:00,Concord,NC,Fireball,5 minutes,Fireball with a 3 blazing tail,https://nuforc.org/webreports/reports/173/S173761.html
45,2022-11-29 20:20:00,Carolina Beach,NC,Rectangle,20 seconds,Something just slowly flew over the homes around 8:20pm with 8 inch red lights running along the bottom of it. No sound.,https://nuforc.org/webreports/reports/173/S173228.html
46,2022-11-28 04:00:00,Sanford,NC,Changing,A couple of hours,Unidentified object changing form and color dancing in the sky,https://nuforc.org/webreports/reports/173/S173211.html
47,2022-11-19 19:37:00,Winston Salem,NC,Circle,3-5 minutes,"Unidentified large aircraft flying over my backyard in plan view, very close so details were visible to the eyes.",https://nuforc.org/webreports/reports/175/S175141.html
48,2022-11-19 19:36:00,Winston Salem,NC,Circle,"About 1 min, took pic.","Circle shaped, lights (different colors) around, dark gray color, very large size, humming sounds as slow passing. Another person w",https://nuforc.org/webreports/reports/173/S173103.html
49,2022-11-17 17:36:00,Raleigh,NC,Disk,15 plus seconds,"I was outside during working a catering event and decided to take a picture of the sky,not knowing what I took until hours later.",https://nuforc.org/webreports/reports/173/S173751.html
50,2022-11-16 17:30:00,Wilmington,NC,Cigar,<20 seconds,Observed a very slow moving unmarked cigar tube shaped craft moving in the air at very low altitude in straight East to West direction,https://nuforc.org/webreports/reports/173/S173091.html
51,2022-11-15 19:52:00,Snow Camp,NC,Circle,3 minutes,Craft was bright white moving across sky then turned orange/reddish and flew up out of sight,https://nuforc.org/webreports/reports/173/S173137.html
52,2022-11-07 17:30:00,Lillington,NC,Circle,The past 20 years,Ive seen these on my land for years,https://nuforc.org/webreports/reports/174/S174320.html
53,2022-11-07 05:38:00,Calabash,NC,Light,Approx. 2 min.,A bright light in the East moving slowly from North to South and leaving a large cloud in its wake.,https://nuforc.org/webreports/reports/172/S172853.html
54,2022-11-07 05:37:00,Cape Hatteras,NC,Circle,10 minutes,5-10 minute long round object with large trailing white light,https://nuforc.org/webreports/reports/172/S172967.html
55,2022-11-06 18:45:00,Haw river,NC,Circle,30 min to an hour,Green circles flying in a circle,https://nuforc.org/webreports/reports/172/S172823.html
56,2022-11-04 21:00:00,Rutherfordton,NC,Other,"Nighttime, before 10pm es","Saw the alien clearly as it passed by moon, then saw a pair of mans legs sticking out behind the alien",https://nuforc.org/webreports/reports/172/S172830.html
57,2022-11-03 13:00:00,Murphy,NC,Other,25 seconds,Craft above tree line shot off at >400 kn,https://nuforc.org/webreports/reports/173/S173433.html
58,2022-10-30 02:13:00,Benson,NC,Cylinder,one hour,swaying object in sky,https://nuforc.org/webreports/reports/172/S172719.html
59,2022-10-28 19:49:00,Rutherfordton,NC,Disk,10 seconds,Floating white disk of light,https://nuforc.org/webreports/reports/172/S172662.html
60,2022-10-27 19:08:00,Apex,NC,Circle,several minutes,"Large floating and moving slowly above the tree line, lights arranged in an hexagon or circle, seemed solid but was dark out.",https://nuforc.org/webreports/reports/172/S172601.html
61,2022-10-20 21:30:00,Aberdeen,NC,Triangle,2 minutes,Three triangle shaped aircraft flying at low altitude silently.,https://nuforc.org/webreports/reports/173/S173665.html
62,2022-10-20 19:45:00,Marion,NC,Fireball,5 to 7 minutes,2 objects that looked like fire ball or very strong light moving west to east,https://nuforc.org/webreports/reports/172/S172447.html
63,2022-10-18 20:50:00,Waxhaw,NC,Circle,40 seconds,I sit on my Front Porch every evening..,https://nuforc.org/webreports/reports/172/S172416.html
64,2022-10-18 20:15:00,Chocowinity,NC,Light,25 Minutes,Saw a big bright light that was zigzagging all over the place that ended up splitting into two and combining back into one.,https://nuforc.org/webreports/reports/172/S172515.html
65,2022-10-15 20:35:00,King,NC,Formation,Only a few seconds.,I pulled up to the intersection at 8:35pm or so and spotted something in the sky for a few seconds then it disappeared.,https://nuforc.org/webreports/reports/172/S172337.html
66,2022-10-15 19:45:00,Asheville,NC,Light,Maybe 15 seconds,A sign Gale moving light that would fade out and seem to reappear behind itself or maybe there were multiples.,https://nuforc.org/webreports/reports/172/S172351.html
67,2022-10-11 21:25:00,North topsail island,NC,Circle,"The majority, 30 min- 45",Most ufo sightings in one place at one time in my whole life been here for a few days every night the sky is crazy,https://nuforc.org/webreports/reports/172/S172309.html
68,2022-10-10 23:00:00,Charlotte,NC,Circle,Currently going on now,I start noticing them in January,https://nuforc.org/webreports/reports/172/S172333.html
69,2022-10-06 21:25:00,Jacksonville,NC,Circle,10 - 20 seconds,Me and my daughter were driving to petsmart. We saw a flying object that was very large,https://nuforc.org/webreports/reports/172/S172210.html
70,2022-10-04 22:00:00,Wilmington,NC,Light,1 min,Bright orange light,https://nuforc.org/webreports/reports/172/S172198.html
71,2022-09-26 22:58:00,Clyde,NC,Fireball,30 seconds,It was a bright green round glowing object falling very slowly then disappeared behind a ridge line.,https://nuforc.org/webreports/reports/172/S172071.html
72,2022-09-25 19:57:00,Shawboro,NC,Circle,1 min,Caught on security cameras on my RV,https://nuforc.org/webreports/reports/172/S172128.html
73,2022-09-23 16:10:00,Kernersville,NC,Cylinder,approx 2 minutes,We witnessed a large craft hovering in the distance.. pitched forward and stationary until it vanished,https://nuforc.org/webreports/reports/172/S172058.html
74,2022-09-21 21:33:00,Brevard,NC,Changing,Still continuing,"Moves in erratic, zig zag and extremely fast motions, appearing and reappearing at unnatural distances.",https://nuforc.org/webreports/reports/171/S171929.html
75,2022-09-20 22:22:00,Durham,NC,Unknown,,"I noticed an object in one of my pictures that looked like a human falling from the sky, but I wasnt quite sure what it was.",https://nuforc.org/webreports/reports/173/S173734.html
76,2022-09-20 20:00:00,Greenville,NC,Unknown,1.5 hours,Orange/White light changing from extremely bright to nothing,https://nuforc.org/webreports/reports/171/S171878.html
77,2022-09-19 21:00:00,Wilmington,NC,Cigar,6 seconds,"it was a flying stick with large windows about 6 with white light coming out of the windows, it was flying fast and went quickly.",https://nuforc.org/webreports/reports/171/S171894.html
78,2022-09-17 21:27:00,Charlotte,NC,Diamond,2 minutes,Sitting with my mom and sister on my deck in my backyard and saw a blinding diamond shaped light for roughly two minutes.,https://nuforc.org/webreports/reports/171/S171862.html
79,2022-09-16 20:30:00,Wrightsville Beach,NC,Changing,2 minutes,"*Update* 2 UFOs Spotted Fri 9/16/22 @8:30PM Over Wrightsville Beach, NC",https://nuforc.org/webreports/reports/171/S171903.html
80,2022-09-16 20:30:00,Wrightsville Beach,NC,Sphere,2 minutes,"Spotted 2 UFOs, one white one red & white, above Wrightsville Beach",https://nuforc.org/webreports/reports/171/S171831.html
81,2022-09-12 09:25:00,Mount Airy,NC,Disk,Around 30 seconds,Strange object flying in a field.,https://nuforc.org/webreports/reports/171/S171761.html
82,2022-09-11 05:20:00,North Topsail Beach,NC,Cylinder,20 seconds,Large and easily seen in vertical position covered on white lights like dots,https://nuforc.org/webreports/reports/171/S171696.html
83,2022-09-10 15:00:00,"near village of Warrensville,",NC,Rectangle,approx. one minute,"appears similar to box kite, except metal, but open on one end, the leading end - see sketch attached",https://nuforc.org/webreports/reports/175/S175490.html
84,2022-09-07 23:00:00,andrews,NC,Changing,we watched for 30 minutes,my sister and i both videoed at the same time,https://nuforc.org/webreports/reports/171/S171737.html
85,2022-09-05 12:51:00,??,NC,Cigar,5 minutes,"Was on jetblue going to Florida. Was at 30,000 feet in the air.",https://nuforc.org/webreports/reports/173/S173267.html
86,2022-09-04 22:25:00,Wilmington,NC,Circle,1 minute,Bright orange fire ball like light falling from sky then light disappears completely. Look left and see a silver disc moving slowly,https://nuforc.org/webreports/reports/171/S171577.html
87,2022-09-04 22:24:00,Louisburg,NC,Other,About one minute,Kind of a V shape with a dull orange glow. It was very large and slowly moving.,https://nuforc.org/webreports/reports/171/S171582.html
88,2022-09-03 23:22:00,East Bend,NC,Changing,3:40,Strange flashing lights forming different shapes,https://nuforc.org/webreports/reports/171/S171573.html
89,2022-09-01 01:30:00,Fayetteville,NC,Light,10-20 seconds,"I witnessed a point of light (assuming a star) at the moment turn into a ball of different colors, then descend.",https://nuforc.org/webreports/reports/171/S171538.html
90,2022-08-30 23:30:00,Flight from Charlotte to Wilmington NC,NC,Circle,several minutes,IR flashed and unknown objest,https://nuforc.org/webreports/reports/171/S171501.html
91,2022-08-29 02:03:00,Pinehurst,NC,,15 mins,Saw multi color object above horizon.,https://nuforc.org/webreports/reports/171/S171478.html
92,2022-08-25 21:15:00,STATESVILLE,NC,Unknown,Approximately 3 minutes,Bright orangish to red lights or orbs moving left to right in the sky,https://nuforc.org/webreports/reports/171/S171398.html
93,2022-08-20 20:44:00,Walkertown,NC,Circle,1-2 min,They were formed in a square. 4 reddish orangish lights. By the time I was videoing three had vanished and the last one disappeared,https://nuforc.org/webreports/reports/171/S171326.html
94,2022-08-18 00:05:00,Ashville,NC,Unknown,15 seconds,"Loud electric ringing noise, shaking floor, sputtering engine noise.",https://nuforc.org/webreports/reports/171/S171200.html
95,2022-08-17 07:30:00,Wallace,NC,Diamond,10 seconds,It was very high up and diamond shaped.,https://nuforc.org/webreports/reports/171/S171357.html
