,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-03-01 19:46:00,Mapleton,ND,Unknown,25 minutes and ongoing.,I was moving snow for a couple hours when I noticed 2 lights to the west. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174810.html
1,2023-02-13 21:40:00,Watford city,ND,Circle,I watched for 5 minutes,Two orange beems of light that look like holograms. One dissappear and comes back. Two circle green lights that move all directions.,https://nuforc.org/webreports/reports/174/S174533.html
2,2023-02-12 21:00:00,Minot,ND,Circle,Few hours then it left,It looked like a big star. But it was moving.,https://nuforc.org/webreports/reports/174/S174521.html
3,2022-09-04 00:17:00,Sherwood,ND,Light,10 minutes,Found taking pictures of aurora borealis,https://nuforc.org/webreports/reports/172/S172139.html
4,2022-08-19 22:11:00,West Fargo,ND,Light,Approximately 20 seconds,A light that looked initially like a fluorescent glided from the west toward the east,https://nuforc.org/webreports/reports/171/S171317.html
5,2022-02-24 23:01:00,Bismarck,ND,Disk,I. On my camera at 11 + 6,Appears on a clip from blink camera,https://nuforc.org/webreports/reports/166/S166902.html
6,2021-10-31 00:09:00,Bismarck,ND,,15 minutes,"Top left corner of video, towards the end you see it leap after a second one appears or maybe just how the craft travels.",https://nuforc.org/webreports/reports/165/S165146.html
7,2021-10-18 21:38:00,Ardoch,ND,Circle,10 minutes,Bright light going into wooded area,https://nuforc.org/webreports/reports/172/S172148.html
8,2021-09-17 05:59:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/164/S164890.html
9,2021-08-18 16:37:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/164/S164606.html
10,2021-06-07 10:46:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/163/S163820.html
11,2021-05-01 18:20:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/163/S163299.html
12,2021-03-05 22:00:00,West Fargo,ND,Other,5 minutes,"I witnessed a flying object, flying relatively low & slow, with 4 perfectly squared lights marking the corners. The bottom center had a",https://nuforc.org/webreports/reports/162/S162269.html
13,2021-02-18 18:00:00,,ND,Circle,Mars (photo),First photos sent back from perseverance on mars skyline shows dark object in the sky towards the right of the photo. Only visible once,https://nuforc.org/webreports/reports/162/S162156.html
14,2021-01-15 12:04:00,Stanley,ND,Rectangle,10 minutes,"Large object, resembling a flat iron, sat motionless off the highway.",https://nuforc.org/webreports/reports/161/S161646.html
15,2020-12-07 23:23:00,Anamoose,ND,Disk,2 hours,"Large, spinning , colorful UFO.",https://nuforc.org/webreports/reports/161/S161064.html
16,2020-10-15 06:15:00,New Leipzig,ND,Sphere,3-5 minutes,At least 61 UFOs in a straight line traveling West to East at 5:45 AM unforgettable !!! ((Starlink satellites??)),https://nuforc.org/webreports/reports/159/S159976.html
17,2020-08-11 23:45:00,Valley City,ND,Orb,30-45 seconds,Lake Ashtabula. High altitude (or low orbit) light moving at extreme speeds in a zig-zag pattern.,https://nuforc.org/webreports/reports/158/S158822.html
18,2020-07-27 17:44:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/158/S158658.html
19,2020-07-22 05:20:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/157/S157990.html
20,2020-07-21 07:24:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/157/S157991.html
21,2020-07-15 23:30:00,Devil's Lake,ND,Formation,25 minutes,4 flashing lights organized in a rectangle followed distantly by a large helicopter,https://nuforc.org/webreports/reports/157/S157651.html
22,2020-07-12 00:00:00,Grand Forks,ND,Chevron,5-10 seconds,Large rounded V shaped craft moved silently from South to North.,https://nuforc.org/webreports/reports/158/S158472.html
23,2020-06-14 03:00:00,Valley City,ND,Triangle,7 seconds,Black triangular craft rising from ground with 3 lights that flashed just before the craft disappeared.,https://nuforc.org/webreports/reports/159/S159008.html
24,2020-06-01 00:30:00,Fargo,ND,Light,30 seconds,Bright Red light spotted over interstate.,https://nuforc.org/webreports/reports/156/S156826.html
25,2020-05-11 01:30:00,Arnegard,ND,Changing,1 hour,15-20 white/pulsing/objects form/fly in triangle and disappear.Red/Blue explosions when chasing each other in sky at impossible speeds,https://nuforc.org/webreports/reports/156/S156437.html
26,2020-04-22 03:20:00,Minot,ND,Formation,5 minutes,Fleet of unknown fast moving bright objects. ((Starlink satellites)),https://nuforc.org/webreports/reports/155/S155623.html
27,2020-03-15 04:25:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/154/S154691.html
28,2020-03-08 18:31:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/154/S154692.html
29,2020-03-08 04:47:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/154/S154499.html
30,2020-03-07 20:30:00,Fargo,ND,Orb,15 minutes,Multiple lights flying across the night sky. ((Spacelink satellites)),https://nuforc.org/webreports/reports/153/S153997.html
31,2020-03-07 05:38:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/154/S154501.html
32,2020-03-01 05:47:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/154/S154264.html
33,2020-02-24 01:00:00,Stanley,ND,Unknown,15 minutes,"Traveling west on hwy2, deep red light hovering 500ft above a house,3 miles east of stanley roughly half mile to south of hwy 2, observ",https://nuforc.org/webreports/reports/153/S153585.html
34,2020-02-22 05:22:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153789.html
35,2020-02-21 12:46:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153790.html
36,2020-02-17 05:31:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153791.html
37,2020-01-28 06:26:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153248.html
38,2020-01-24 05:33:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153042.html
39,2020-01-23 05:25:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/153/S153043.html
40,2019-12-23 11:41:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/152/S152266.html
41,2019-12-15 22:00:00,Limpopo,ND,Other,2 hours,White lights and a moving ball changing colour,https://nuforc.org/webreports/reports/151/S151668.html
42,2019-12-12 05:25:00,Valley City,ND,,,MADAR Node 93,https://nuforc.org/webreports/reports/152/S152006.html
43,2019-11-05 07:00:00,Stanley,ND,Light,25 minutes,I seen about 75 lights appear in the sky heading in an E direction over about 25 minute. ((NUFORC Note: Starlink satellites? PD)),https://nuforc.org/webreports/reports/151/S151304.html
