,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,4/15/23 00:18,Greenwood,NS,Canada,Light,10 seconds roughly,"a somewhat softly triangular shaped light, the color of an old streetlight (yellowish-orange)",5/19/23,
1,12/6/22 03:00,Pictou County,NS,Canada,Orb,Never left all night,"This object first appeared to be a bright star. As I looked at it more, I saw blue, red and green lights around the bottom with a flash",12/22/22,
2,10/20/22 22:04,Sydney mines,NS,Canada,Triangle,20 mins each object,All shapes and sizes of craft,12/22/22,
3,8/30/22 22:53,Dartmouth,NS,Canada,Circle,At least 5 minutes,"Not sure what it is. Flashes green, red, blue, and white. Had to use zoom on my phone so video is grainy.",10/8/22,
4,8/11/22 23:15,C.B.R.M. (Canada),NS,Canada,Light,7minute,UFO's pass each other on their own highway in the stars,8/28/03,
5,7/31/22 21:25,"Lingan, Cape Breton Island",NS,Canada,Cylinder,1-2 minutes,We were waiting for fireworks to start across the harbour when we noticed it...,9/9/22,
6,4/9/22 22:26,Annapolis,NS,Canada,Other,An hour,Changing form and moving all directions then disappeared more vid if needed other than what I submitted,4/22/22,
7,5/15/21 05:00,Amherst (Canada),NS,Canada,Disk,45 seconds,Silent very fast moving disc shape before daylight lot up the disc as I seen clearly and what looked like two smaller ones exiting it,5/20/21,
8,1/9/21 16:00,Sydney,NS,Canada,Other,20 minutes,Seen in sky floating upwards on January 9 at 4pm Atlantic time. Was the shape of a sheet with something in it floating upwards for 20m,1/19/21,
9,10/13/20 20:40,Glace Bay (Canada),NS,Canada,Oval,5 minutes,I and my wife witnessed a orange glowing light in the south west sky at aprox 70deg. It was sitting in the sky an was rotating in a cir,12/23/20,
10,9/8/20 20:00,Halifax (Canada),NS,Canada,Formation,hours,three bright red lights in a row hovering over the city of halifax on the night of September 7th and then again on the 8th. Both betwee,11/5/20,
11,8/15/20 22:00,Hants County (Canada),NS,Canada,Orb,A minute,White starlike light seen by two,8/27/20,
12,5/8/20 08:00,Pleasant Balley (Canada),NS,Canada,Unknown,Unknown,"I took a picture of a road sign and caught a white object in the sky. I didnt see it at the time the photo was taken. Later on, lookin",6/25/20,
13,4/25/20 21:39,Cole Harbour (Canada),NS,Canada,Formation,21:40,Strange Light Formation spotted on back deck. ((Spacelink satellites?)),6/25/20,
14,10/16/19 11:00,Digby (Canada),NS,Canada,Circle,All night,,12/1/19,
15,8/26/19 02:02,Forest Glade,NS,Canada,Light,So far 1 hour,"Singular light, blinking.like a regular bright star bit with more light than any. It jerks around in random ways. ((anonymous report))",9/6/19,
16,6/30/19,River Denys (Canada),NS,Canada,Oval,30 seconds,it was pure white I have never seen a white one before,2/25/20,
17,2/23/19 19:45,Little Lorraine (Canada),NS,Canada,Light,10 seconds,"Bright light, appears then streaks through sky",2/27/19,
18,9/13/18 11:25,Petite Rivier,NS,Canada,Flash,10 seconds,"Running down rural road at night, green strobe light appeared behind. Looking back there was a green strobing light that streaked abov",9/27/18,
19,7/5/18 21:05,New Minas (Canada),NS,Canada,Cigar,20 seconds,"I saw a cigar shaped craft silver in color 3,00 feet high for 10-15 sec it made no sound or trail. ((anonymous report))",7/13/18,
20,4/30/18 21:00,Sydney (Canada),NS,Canada,Triangle,20 mintes,Triangular blinking lights always at the same time but offsetting and same distance apart very large flew right over city.,7/25/19,
21,12/20/17 17:45,Smiths Cove (Canada),NS,Canada,Circle,3-4 seconds,Ball of light outlined in a firey red soars across the sky. ((anonymous report)),12/21/17,
