,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-07 23:07:00,North Ridgeville,OH,Oval,6/22 thru 5/23,Every night behind Hardwood Dr,https://nuforc.org/webreports/reports/175/S175709.html
1,2023-05-04 21:25:00,Newark,OH,Orb,2 minutes,Walking outside and looked up.,https://nuforc.org/webreports/reports/175/S175635.html
2,2023-04-25 04:38:00,Mt. Vermon,OH,Orb,It was a few seconds to f,I was driving forward up the hill and I saw something very bright just fall to the ground,https://nuforc.org/webreports/reports/175/S175500.html
3,2023-04-25 04:32:00,Columbus,OH,Light,,Green lighting and moving fast it flew buy pretty quick u saw it then it was gone,https://nuforc.org/webreports/reports/175/S175497.html
4,2023-04-20 23:17:00,Dublin,OH,Cylinder,5 minutes,Bright orange aircraft,https://nuforc.org/webreports/reports/175/S175488.html
5,2023-04-13 23:00:00,Miamisburg,OH,Orb,1 minute,"Twins, streaking the sky at the Same speed running somewhat parallel to each other",https://nuforc.org/webreports/reports/175/S175350.html
6,2023-04-10 20:09:00,Lima,OH,Cylinder,3 minutes,"Driving, spotted object coming down from sky before making turn. Believe it may have hit the ground",https://nuforc.org/webreports/reports/175/S175386.html
7,2023-04-09 23:00:00,Chesapeake,OH,Changing,8 minutes,Watched hovering among tree tops multiple lights moving horizontally and vertically as if they were searching for something,https://nuforc.org/webreports/reports/175/S175400.html
8,2023-04-09 23:00:00,Wooster,OH,Other,20 minutes or so,"Flashing green red and blue , spinning cone like craft ,hovering",https://nuforc.org/webreports/reports/175/S175397.html
9,2023-04-06 22:54:00,Lakemore,OH,Circle,2 minutes and 39 seconds,Something in circular or conical shape giving of a blinking light while attempting to be unseen or cloaked by a cloud.,https://nuforc.org/webreports/reports/175/S175271.html
10,2023-03-31 06:35:00,Athens,OH,Disk,About 2 minutes,I seen an odd flying object and I stopped and got a video,https://nuforc.org/webreports/reports/175/S175177.html
11,2023-03-30 23:34:00,elyria,OH,Sphere,3 min,helicopter circling close to an low object that was silent with a very bright flashing red and blue object,https://nuforc.org/webreports/reports/175/S175351.html
