,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 23:47:00,Chander,OK,Sphere,27 seconds,Large round object moving east to west across the sky,https://nuforc.org/webreports/reports/175/S175788.html
1,2023-05-12 23:10:00,Owasso,OK,Triangle,15 seconds or less,"Triangular shaped craft, lit at the points, erratic movements, fast!",https://nuforc.org/webreports/reports/175/S175755.html
2,2023-05-12 21:53:00,Inola,OK,Triangle,10 min hovering. 25s vid,Moving up and down below cloud level. No sound. Moved in unison. Hovered around 10min. Then headed north. Wasnt moving fast.,https://nuforc.org/webreports/reports/175/S175746.html
3,2023-04-30 02:30:00,Jones,OK,Orb,20 minutes,Saw bright white orbs appearing and disappearing in the sky to our north east.,https://nuforc.org/webreports/reports/175/S175588.html
4,2023-03-19 13:00:00,Stillwater,OK,Triangle,Over several months - 10,Different numbers nightly . Grew from 1-7 .. then the ship covered the house . This has been going on for months . I go out side pm,https://nuforc.org/webreports/reports/175/S175052.html
5,2023-03-04 23:49:00,Enid,OK,Formation,,It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph,https://nuforc.org/webreports/reports/174/S174880.html
6,2023-03-01 20:16:00,Broken Arrow,OK,Unknown,10,It looked like an aircraft that wasn't moving for 10 minutes in the distance.,https://nuforc.org/webreports/reports/174/S174821.html
7,2023-02-18 19:31:00,mooreland,OK,Circle,2 hours,It looked to be a star but it was too bright to be a star and it started moving.,https://nuforc.org/webreports/reports/174/S174653.html
8,2023-02-11 19:53:00,Antlers,OK,Circle,One hour,"Moving up, down and left to right. Very bright. Disappeared completely after an hour of noticing it.",https://nuforc.org/webreports/reports/174/S174571.html
9,2023-02-11 19:02:00,Jenks,OK,Orb,30 seconds,Saw a green glowing orb going very fast down 33rd west ave then took a sudden right turn heading east and vanished.,https://nuforc.org/webreports/reports/174/S174422.html
10,2023-01-22 18:30:00,Nowata,OK,Light,30mins,"Amber light steady held position, no flashing, no movement but hanging in the sky the entire duration",https://nuforc.org/webreports/reports/174/S174069.html
11,2023-01-20 08:00:00,Oklahoma City,OK,Sphere,about 30 seconds,"I was working traffic control in Security, when I noticed a black sphere floating by. It was the size of a SUV, maybe two.",https://nuforc.org/webreports/reports/173/S173727.html
12,2022-12-24 19:27:00,Tishomingo,OK,Light,1 or 2 minutes,I saw about 8 orange-ish lights not moving in the sky.,https://nuforc.org/webreports/reports/173/S173698.html
13,2022-12-24 03:30:00,Stillwater,OK,Formation,5 mins,Seven balls of light seen a couple hundred feet above the roof moving like a snake..,https://nuforc.org/webreports/reports/173/S173626.html
14,2022-12-17 18:45:00,Oklahoma City,OK,Cigar,About a minute,"While getting ready to take off from PWA, I looked to the NW (wearing NVGs) and saw an elongated oval shaped object",https://nuforc.org/webreports/reports/173/S173513.html
15,2022-11-30 19:09:00,Choctaw,OK,Triangle,Few minutes,3 lights hovering above road. Didnt move or make a sound. Drove directly under it and could see that it was a small craft.,https://nuforc.org/webreports/reports/173/S173236.html
16,2022-11-12 22:30:00,Oklahoma City,OK,Triangle,Roughly 10 seconds,Triangular shape with 5 lights moving South steadily.,https://nuforc.org/webreports/reports/172/S172968.html
17,2022-11-06 22:54:00,Muskogee,OK,Triangle,every night,been watching nightly and got high beem green lazor that seems to reflect kindof a glow around it when fixed on corners(lights)&middle,https://nuforc.org/webreports/reports/172/S172818.html
18,2022-11-02 23:23:00,Norman,OK,Light,5 minutes,"Extremely fast moving blinking white light with whitish trail behind, not a plane, falling star or satellite.",https://nuforc.org/webreports/reports/172/S172791.html
19,2022-10-26 07:45:00,Tulsa,OK,Circle,2 minutes,"In horizon there was a circular object no lights just hovering, and then just disappear.",https://nuforc.org/webreports/reports/172/S172627.html
20,2022-10-21 22:29:00,Oklahoma City,OK,Unknown,10 minutes,"At least three flashing lights on a single craft (shape not seen), relatively large, unlike any other aircraft I see regularly.",https://nuforc.org/webreports/reports/172/S172414.html
21,2022-10-19 21:35:00,Bartlesville,OK,Orb,happened really fast,"circle, chrome metallic look, thruster and fire trail.",https://nuforc.org/webreports/reports/173/S173027.html
22,2022-10-15 21:15:00,poteau,OK,Circle,10 seconds,atleast 50 circle flying in the skying a massive group moving how a school of fish would it had a reflective surface,https://nuforc.org/webreports/reports/172/S172348.html
23,2022-10-14 04:00:00,Oklahoma City,OK,Light,An hour,Hovering light/blue slow blinks,https://nuforc.org/webreports/reports/172/S172372.html
24,2022-10-03 12:30:00,Vinita,OK,Circle,30 seconds,Several round white objects flying together.,https://nuforc.org/webreports/reports/172/S172154.html
25,2022-10-03 00:30:00,,OK,Sphere,5 to 7 seconds,"Flying drone, hit something, lost all control of dronehen light gets brighter as flying away and fades out, then get control of drone",https://nuforc.org/webreports/reports/172/S172342.html
26,2022-09-29 01:37:00,Tulsa,OK,Cylinder,Night,With night security cameras,https://nuforc.org/webreports/reports/172/S172089.html
27,2022-09-16 06:10:00,Coweta,OK,Circle,1 or 2 minutes,"Very fast moving bright circular craft that made no sound coming out of the west, flew overhead and faded to a dull hew then vanished",https://nuforc.org/webreports/reports/171/S171774.html
28,2022-09-11 19:50:00,Oilton,OK,Changing,Approximately 15 seconds,The object seemed to change shape and was a single light,https://nuforc.org/webreports/reports/171/S171679.html
29,2022-09-11 18:20:00,Tuttle,OK,Triangle,1 min.,Very large metal shinning the reflection of sun triangle UFO.,https://nuforc.org/webreports/reports/171/S171742.html
30,2022-09-09 19:34:00,Edmond,OK,Other,5 to 7 minutes,"Very bright white, much slower that a jet",https://nuforc.org/webreports/reports/171/S171665.html
31,2022-08-31 23:32:00,Oklahoma City,OK,Light,30 seconds,A light approximately mid-cloud level went across the sky within 15-30 seconds,https://nuforc.org/webreports/reports/171/S171651.html
32,2022-08-31 06:00:00,Ardmore,OK,Circle,20 minutes,Was on the porch and saw it. Started filming it and it changed shape and color,https://nuforc.org/webreports/reports/171/S171500.html
33,2022-08-30 07:45:00,South Tulsa / Lake Bixhoma Park,OK,Unknown,2 minutes,Playing Baseball at Indian Springs ball park. Noticed a metallic shining object moving from west to east at about 7 or so miles out.,https://nuforc.org/webreports/reports/171/S171493.html
34,2022-08-28 21:45:00,Mustang,OK,Unknown,,Ball of light with intense flight pattern,https://nuforc.org/webreports/reports/171/S171502.html
35,2022-08-26 01:00:00,Choctaw,OK,Light,A couple minutes,Short and sweet. They came out of Ursa Major appeared as two parallel lights - side by side one brighter than the other,https://nuforc.org/webreports/reports/172/S172258.html
36,2022-08-18 22:30:00,Choctaw,OK,Light,Until 130 am august 19th,Saw lights coming out of Ursa Major area of the northern quadrant of the sky but at the tree line,https://nuforc.org/webreports/reports/172/S172259.html
37,2022-08-16 02:00:00,Outside of Spiro Oklahoma in the community of fort coffee,OK,Diamond,10 minutes if,Honestly I don't know im just tired of holding this in and feeling like a crazy person but im not and it was real I know that,https://nuforc.org/webreports/reports/175/S175004.html
38,2022-07-22 22:53:00,Sapulpa,OK,Disk,I have 1minet video,"Stepped outside just caught it mid passing probably 2,000 ft away headed north in area code 74066 at 10:50 p.m. I do have video",https://nuforc.org/webreports/reports/170/S170570.html
39,2022-07-22 11:00:00,Moore,OK,,10 minutes,Long cigar solid shaped craft with light beam,https://nuforc.org/webreports/reports/170/S170881.html
40,2022-07-15 10:30:00,Checotah,OK,Circle,50 minutes,All the stars moved so fast that we got scared then the usaf followed them,https://nuforc.org/webreports/reports/170/S170480.html
41,2022-07-03 22:01:00,Oklahoma City,OK,Cone,,"It was almost triangle but it was not and it had yellow lights going down four sides, I have a picture",https://nuforc.org/webreports/reports/172/S172311.html
42,2022-06-29 03:35:00,Broken Arrow,OK,Circle,1 hour,Very capable craft and strange movement in the sky,https://nuforc.org/webreports/reports/170/S170126.html
43,2022-06-24 23:33:00,inola,OK,Orb,2 seconds,Very light blue almost white orb appeared put of nowhere zipped straight down then up out of sight in the form of a checkmark,https://nuforc.org/webreports/reports/170/S170347.html
44,2022-06-19 05:15:00,Chelsea,OK,Sphere,30 seconds,Extremely bright spherical object crossed southern sky.,https://nuforc.org/webreports/reports/168/S168804.html
45,2022-06-19 01:15:00,Omaha,OK,Other,110 seconds,Bright flying object with a smoke ring behind it.,https://nuforc.org/webreports/reports/168/S168818.html
46,2022-06-10 19:40:00,Broken Arrow,OK,,,MADAR Node 194,https://nuforc.org/webreports/reports/168/S168696.html
47,2022-06-05 08:49:00,Oklahoma City,OK,Light,5 seconds,Thought its reflection or something but I played it slowly multiple times and enlarged the video - it may be something else.,https://nuforc.org/webreports/reports/168/S168511.html
48,2022-06-03 16:28:00,Kansas,OK,Disk,A few minutes.,I was grilling on the porch and noticed a round looking cloud and tok a video. Didn't notice the objects until later,https://nuforc.org/webreports/reports/168/S168640.html
49,2022-05-27 01:00:00,Stillwater,OK,Triangle,10 seconds,Large silent triangle moving across the sky,https://nuforc.org/webreports/reports/168/S168104.html
50,2022-05-20 21:14:00,Verigris,OK,Orb,10 seconds,"Fast moving round, sphere with multi-colored lights, blurry edges less than 500 ft up",https://nuforc.org/webreports/reports/168/S168189.html
51,2022-05-20 21:00:00,yukon,OK,,3 minutes,flew in a weird odd patern not normal to aircraft,https://nuforc.org/webreports/reports/168/S168225.html
52,2022-05-03 05:04:00,Midwest City,OK,,,MADAR Node 172,https://nuforc.org/webreports/reports/167/S167856.html
53,2022-04-30 22:40:00,Quapaw,OK,Disk,1 minute,Motorized disco ball moving with ZERO sound across sky.,https://nuforc.org/webreports/reports/167/S167707.html
54,2022-04-27 18:45:00,Moore,OK,Cigar,5 minutes,Slow moving cigar shaped object,https://nuforc.org/webreports/reports/167/S167641.html
55,2022-04-12 20:58:00,Prague,OK,Disk,15 Seconds,A Disk Shaped Craft with Rotating Lights/Alternating Brightness,https://nuforc.org/webreports/reports/167/S167454.html
56,2022-04-05 19:53:00,Whitefield,OK,Fireball,Roughly 20 minutes,"We watched this from Stigler, Oklahoma to Whitefield, Oklahoma the end of the video was at 7:58pm",https://nuforc.org/webreports/reports/167/S167403.html
57,2022-04-04 02:01:00,Big Cedar,OK,Circle,2 minutes,Medium craft about 1000 ft above mountain top,https://nuforc.org/webreports/reports/167/S167367.html
58,2022-02-21 05:27:00,Midwest City,OK,,,MADAR Node 172,https://nuforc.org/webreports/reports/166/S166953.html
59,2022-02-16 12:02:00,Broken Arrow,OK,,,MADAR Node 194,https://nuforc.org/webreports/reports/166/S166873.html
60,2022-02-14 12:00:00,Jenks,OK,Egg,1 minute,A white circular object moving slowly from east to west. I have a video,https://nuforc.org/webreports/reports/166/S166734.html
61,2022-01-31 18:55:00,Noble,OK,Disk,5 minutes,We were outside and we saw a bright light so we recorded it and checked flight radars and it didnt show up,https://nuforc.org/webreports/reports/166/S166504.html
62,2022-01-31 18:50:00,Owasso,OK,Light,5 minutes,Moving point of light (a satellite?) surrounded by a spiral shaped haze in an otherwise crystal clear night,https://nuforc.org/webreports/reports/166/S166518.html
63,2022-01-18 13:09:00,Broken Arrow,OK,,,MADAR Node 194,https://nuforc.org/webreports/reports/166/S166754.html
64,2021-12-28 20:45:00,Tulsa,OK,Oval,45 seconds,"Orange oval, like a blowtorch the way it glowed. Lower than a plane, smaller than a helicopter. Slow moving.",https://nuforc.org/webreports/reports/166/S166210.html
65,2021-12-19 13:30:00,Tulsa,OK,Changing,10 minutes,"Up to 8 counted spheres that spin, they glowed.",https://nuforc.org/webreports/reports/165/S165920.html
66,2021-12-11 23:00:00,Sallisaw,OK,Circle,10 seconds,circle with blinking lights.,https://nuforc.org/webreports/reports/165/S165839.html
67,2021-12-09 18:30:00,Stillwater,OK,Sphere,10 minutes,I walked outside of my front door to take trash out and immediately noticed an extremely bright light in the sky.,https://nuforc.org/webreports/reports/165/S165808.html
68,2021-10-30 16:30:00,Tahlequah,OK,Cigar,2 minutes,I was in my car geting ready to help a friend change a tire while waiting in car I notice s white cigar shape object going across the s,https://nuforc.org/webreports/reports/165/S165151.html
69,2021-10-29 20:10:00,Owasso,OK,Oval,4-5 seconds,Very dim but long range meteor-like object,https://nuforc.org/webreports/reports/165/S165145.html
70,2021-10-20 20:10:00,Norman,OK,Other,5 minutes,please see above sorry,https://nuforc.org/webreports/reports/165/S165007.html
71,2021-10-15 21:42:00,Oklahoma,OK,Cigar,48min,It look like a train in the sky a big one it came from the direction of the a,https://nuforc.org/webreports/reports/168/S168285.html
72,2021-10-09 05:26:00,Midwest City,OK,,,MADAR Node 172,https://nuforc.org/webreports/reports/165/S165104.html
73,2021-10-08 21:35:00,Union City,OK,Fireball,4-5 minutes,"1 bright reddish/orange glimmering light west of Union City, OK",https://nuforc.org/webreports/reports/165/S165198.html
74,2021-09-21 22:05:00,SWOKC/Moore,OK,Sphere,5 seconds,Small sphere flew in curved pattern under small plane...accelerated until it faded out.,https://nuforc.org/webreports/reports/164/S164710.html
75,2021-09-20 18:13:00,Oklahoma City (northwest part),OK,Changing,15 minutes,Ufo over nw okc!,https://nuforc.org/webreports/reports/164/S164782.html
76,2021-09-15 05:56:00,Midwest City,OK,,,MADAR Node 172,https://nuforc.org/webreports/reports/164/S164885.html
77,2021-08-14 02:35:00,Ada,OK,Circle,5 min,2 witnesses in ada oklahoma see circular ufo,https://nuforc.org/webreports/reports/164/S164363.html
78,2021-08-03 23:30:00,Paoli,OK,Triangle,5 minutes,"Triangle lighted object that sat motionless and silent for a several minutes over rural, central Oklahoma",https://nuforc.org/webreports/reports/164/S164235.html
79,2021-07-10 03:30:00,Kenton,OK,Triangle,40 seconds,"Equilateral triangle with a dim stationary light in each corner with the center being translucent, as stars were seen in the center",https://nuforc.org/webreports/reports/164/S164046.html
80,2021-07-10 00:59:00,Oklahoma city,OK,Other,5 to 10 seconds,It flew right in front of me and disappeared,https://nuforc.org/webreports/reports/167/S167699.html
81,2021-05-28 22:10:00,Perry,OK,Light,3 minutes,Orange Ribbon of light in the night sky.,https://nuforc.org/webreports/reports/163/S163377.html
82,2021-05-21 00:00:00,Bartlesville,OK,,,"On May 21st 2021,I observerd a black ufo hovering in the sky. I snapped some pictures and upon arriving home ,and reviewing the phot",https://nuforc.org/webreports/reports/163/S163480.html
83,2021-05-07 21:20:00,Grove,OK,Light,20 minutes,"It was like watching a hundred lights marching off to war, single file",https://nuforc.org/webreports/reports/163/S163021.html
84,2021-05-02 04:00:00,Claremore,OK,Triangle,3 seconds,"Large triangular object with soft points, light blue edges and black towards the center. It was moving incredibly fast. It was moderate",https://nuforc.org/webreports/reports/162/S162926.html
85,2021-04-17 03:00:00,Porter,OK,Unknown,5 seconds,Two bright white objects fly across sky,https://nuforc.org/webreports/reports/162/S162738.html
86,2021-04-10 21:45:00,Edmond,OK,Cylinder,10 minutes,12 yellow fireballs that made patterns with a cylindrical object below the lights not visible with the naked eye.,https://nuforc.org/webreports/reports/162/S162745.html
87,2021-04-10 21:30:00,Edmond,OK,Cylinder,4 minutes,"12 Fireballs and one cylinder shaped craft above Edmond, OK on Saturday, April 10, 2021 between 9:30 pm and 10:00 pm",https://nuforc.org/webreports/reports/162/S162933.html
88,2021-04-07 21:02:00,Nicoma Park,OK,Formation,45 seconds,UFO seen in Oklahoma. ((Starlink satellites??)),https://nuforc.org/webreports/reports/162/S162572.html
89,2021-04-07 09:10:00,Tulsa,OK,Other,1 minute,I was outside on my porch when I saw a string of 50 lights or so crossing over the sky from the northeast. ((Starlink satellites??)),https://nuforc.org/webreports/reports/162/S162574.html
90,2021-03-24 20:36:00,Muskogee,OK,Light,20 minutes,Orange Lights in Muskogee Sky,https://nuforc.org/webreports/reports/162/S162473.html
91,2021-02-24 20:15:00,Maysville,OK,Oval,4 seconds,"Strange, unidentifiable light",https://nuforc.org/webreports/reports/162/S162223.html
92,2021-02-24 08:10:00,Pryor,OK,Light,10 seconds,Was walking dog saw a bright white light in The sky no much higher than a tower moving in a downward angle at a slow but steady speed t,https://nuforc.org/webreports/reports/162/S162217.html
93,2021-01-22 22:00:00,Heavener,OK,Light,1 minute,"Light object in the sky near Heavener, Oklahoma",https://nuforc.org/webreports/reports/161/S161733.html
94,2021-01-17 22:15:00,Ramona,OK,Light,15 minutes,Three brightly colored lights took up position on the horizon.,https://nuforc.org/webreports/reports/161/S161676.html
