,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,4/18/23 09:07,Toronto,ON,Canada,Disk,,Flying above highway 401 during rush hour it was going east above the lights,5/19/23,
1,4/16/23 15:42,Toronto,ON,Canada,Circle,1min,"A luminous circular metal that can split into two light spheres, disappears and reappears with irregular flight paths.",5/19/23,Yes
2,4/15/23 22:04,Ottawa,ON,Canada,Circle,15 minutes,Saw a circular UFO at night with many colours like it had an exterior made of all TV screens playing moving geometric patterns,5/19/23,Yes
3,4/13/23 20:57,Toronto,ON,Canada,Star,1 hour,Stationary White Light not a star.,5/19/23,Yes
4,4/12/23 11:40,Brantford,ON,Canada,Light,15 second or so,"Either one or two objects seen, white lighted objects , angle formation. Moving fast and silent, low enough to see turbulence",5/19/23,
5,4/10/23 23:20,Waterloo,ON,Canada,Triangle,5-10 seconds,"Large, triangular or diamond shaped, no noise, no lights, red",5/19/23,
6,4/10/23 21:36,Wallaceburg,ON,Canada,Triangle,Repetitive tonight,I looked up into the sky seen lots of planes and stuff flying by then a shape that looked like a v formation almo like birds was bright,5/19/23,
7,3/6/23 22:04,Pickering,ON,Canada,Orb,A few seconds,"Caught on backyard surveillance camera, fast moving light from pinprick to very bright, descending in an arc.",4/9/23,
8,3/2/23 20:38,Uxbridge,ON,Canada,Other,10-30 seconds,"Bright orb, rapidly grew size/brightness, shot across sky. Followed by slow/hovering triangular ufo with cloaking ability.",4/9/23,
9,2/18/23 22:41,Bethany,ON,Canada,Light,10+ minutes,"Object in the sky, flickering spectrum of colours, maintaining general position but darting back and forth impossibly fast",3/6/23,
10,2/13/23 00:32,Port Rowan,ON,Canada,Circle,30 minutes,4 possible more travelling from south west,3/6/23,Yes
11,2/12/23 10:40,Toronto,ON,Canada,Oval,5-15 minutes,Black Oval Object,3/6/23,
12,2/11/23 20:30,Barrie,ON,Canada,Circle,3 hours,Saw weird stationary flashing light in sky. Was in same or similar location for like 2 hours,3/6/23,Yes
13,2/7/23 19:20,Powassan,ON,Canada,Circle,5-10 minited,"String of 50 or more lights ,Originally going straight then changed to a circle motion covered by a strange cloud that look like smoke",3/6/23,
14,2/6/23 10:25,Brantford,ON,Canada,Sphere,3-4 minutes,"While sitting on my balcony, spotted 5 silver sphere's, that looked like balloons.",3/6/23,
15,2/3/23 05:30,Ajax,ON,Canada,Disk,3 mins,See 3 disc shape objects at night,3/6/23,
16,1/10/23 19:58,Kawartha lakes,ON,Canada,Light,I saw it for 15 minutes,A light in the sky that was blue green and red,3/6/23,
17,1/8/23 17:54,North York,ON,Canada,Light,52 seconds,It had an orange yellow light in the center and it was definitely not an airplane. It was traveling straight across.,3/6/23,
18,12/28/22 23:30,Hamilton,ON,Canada,Triangle,30 minutes,Taking out the garbage to the dumpster and saw three bright lights moving in formation in the shape of a triangle,3/6/23,
19,12/21/22 07:55,Essex,ON,Canada,Changing,20 minutes,Driving seeing what looks like comets only motionless. Took video. One was straight up and down. Disappear reappears.,12/22/22,
20,11/23/22 22:55,Thamesford,ON,Canada,Light,Several minutes,Round light - gradually growers brighter and bigger,12/22/22,
21,11/19/22 23:49,Thamesford,ON,Canada,Changing,,Saucer life bright ball in sky with blue lights,12/22/22,
22,11/7/22 19:39,Belleville,ON,Canada,Orb,Approximately 45 seconds,"Orange glowing orb sighted over Belleville, Ontario",12/22/22,
23,11/6/22 17:11,Kingston,ON,Canada,Light,,Took a picture of a very interesting looking cloud that resembles a tornado in the sky with a line up of unexplained lights above it.,12/22/22,Yes
24,11/1/22 22:30,Wasaga Beach,ON,Canada,Unknown,5 minutes,Pictures of weird flying object,12/22/22,Yes
25,10/29/22 22:00,Orangeville,ON,Canada,Circle,Alll night most nighta,I have hundreds of photos and hdr photos using Astro cam,12/22/22,
26,10/15/22 16:04,kingston,ON,Canada,Sphere,45 seconds +/-,spherical object flying above sporadic clouds from northwest to southeast in daylight,12/22/22,
