,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,5/19/23 01:49,Harrisburg East of I5,OR,USA,Light,Approx. 3-4 min.,9 lights in straight line,5/19/23,
1,5/16/23 22:30,Albany,OR,USA,Circle,5-10 minutes,Pulsing orb of rapidly changing lights.,5/19/23,Yes
2,5/14/23 21:40,Cannon Beach,OR,USA,Disk,5 minutes or more,Disks appeared as clouds,5/19/23,
3,5/14/23 21:35,Portland,OR,USA,Light,About one minute,"Bright white light, moving steadily, no detectable sound, small white light.",5/19/23,
4,5/14/23 21:30,Klamath Falls,OR,USA,Light,3-4 min,Light appear in our atmosphere and travel our axis,5/19/23,
5,5/14/23 00:21,Monmouth,OR,USA,Sphere,3mins,Slow silver metallic ball moving NE,5/19/23,
6,5/13/23 20:00,Klamath falls,OR,USA,Light,90-120 sec,Unusual light in the sky,5/19/23,
7,5/10/23 22:16,Mill city,OR,USA,Orb,2 minutes,2 super bright lights,5/19/23,Yes
8,5/10/23 02:50,Albany,OR,USA,Light,Ongoing,2 lights darting around,5/19/23,
9,4/27/23 20:30,Portland,OR,USA,Light,20 minutes maybe,Portland lights,5/19/23,
10,4/15/23 21:00,Newberg,OR,USA,Rectangle,About five minutes.,Sighted a large rectangular craft hovering above our property on a clear moonless night and viewed it for about five minutes.,5/19/23,
11,4/15/23 02:23,Cottage grove,OR,USA,Formation,3 minutes,Two unknown lights behaving strangely,5/19/23,
12,4/2/23 23:35,Eugene,OR,USA,Cylinder,6 days,"I am scared,terrified",5/19/23,
13,3/22/23 21:45,Portland,OR,USA,Rectangle,2-4 minutes,Witnessed a rectangular ufo come closer to me but eventually came to a stop (a hover) just above some trees and take off again.,4/9/23,
14,3/22/23 05:24,Roseburg,OR,USA,Circle,2-4 minutes,Very large bright light in sky below cloud cover. Stock still for 2 minutes then vanished with no exiting trajectory. Just vanished.,4/9/23,
15,3/16/23 20:00,Medford,OR,USA,Orb,2:24 minutes,"Quite, slow, low moving BRIGHT ORB object",4/9/23,
16,3/1/23 19:25,Roseburg,OR,USA,Light,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,3/6/23,Yes
17,2/26/23 16:22,"Roseburg, green district",OR,USA,Unknown,5mins +/-,Saw three but only one was visible by time I got phone for picture,3/6/23,Yes
18,2/17/23 07:26,Sheridan,OR,USA,Disk,Around 2 minutes,"Early morning sunrise, south side of Hwy 18.",3/6/23,Yes
19,2/12/23 19:42,Vida,OR,USA,Light,30 seconds,String of flying purple lights,3/6/23,
20,2/12/23 03:30,Portland,OR,USA,Orb,3-5 seconds,1 light orb moving horizontal then disappearing and another hovering 4 feet above an overhead highway sign,3/6/23,
21,2/10/23 15:00,Portland,OR,USA,Circle,About 10 minutes,Round white object,3/6/23,
22,2/9/23 17:30,Applegate,OR,USA,Cigar,20 mins,"A fleet appeared flying northeast in the sky equidistance apart, some looping back. We have 5-6 mins of video",3/6/23,
23,2/9/23 01:00,Albany,OR,USA,Circle,5 minutes,Ball of expanding light hovering,3/6/23,Yes
24,2/2/23 18:17,North Bend,OR,USA,Disk,fifteen minutes,The same type of discoid craft that I saw and reported earlier but was orientated virtually perpendicular to the surface of the earth,3/6/23,Yes
25,2/1/23 19:43,it was over north Wood Village between airport and walmart,OR,USA,Orb,maybe 60 seconds,Unknown orange spheres filmed over Wood Village Oregon,3/6/23,Yes
26,2/1/23 19:35,Troutdale,OR,USA,Unknown,Several minutes,Fast moving object,3/6/23,
27,1/29/23 21:30,Vernonia,OR,USA,Light,2 vids = 30 secs & 3 pics,Light flew over and hit the uturn after 45 secs.,4/9/23,Yes
28,1/29/23 19:08,North Bend,OR,USA,Changing,2 hours,The object hovered in place changing from a teardrop shape to triangle to flying saucer shape. It tilted at an angle of 45 degrees,3/6/23,Yes
29,1/24/23 18:49,Klamath Falls,OR,USA,Light,Really bright light,Saw a bright light that move very slowly.,3/6/23,
30,1/14/23 18:00,Portland,OR,USA,Light,90 seconds,I saw an orange reddish light just above the West hills in Portland,3/6/23,
31,1/11/23 02:33,Newberg,OR,USA,Triangle,Roughly 13 minutes,This craft was MASSIVE,3/6/23,
32,1/11/23 01:30,gresham,OR,USA,Cylinder,3 seconds,"Black silhouetted object, no lights, no noise, barely discernible because the object blended into the night sky so well",3/6/23,
33,1/10/23 07:15,Salem,OR,USA,Cigar,15 minutes,Large fat cigar shaped 2 miles south of Salem hovering with 2 large lights light head lights thought it was a bus size drone,3/6/23,
34,1/1/23 05:05,Pendleton,OR,USA,Light,10 min,Orange light hovering and maybe very slowly floating to the North.,3/6/23,Yes
35,1/1/23 00:03,Warm Springs,OR,USA,Disk,Seconds,Security Camera Footage,3/6/23,
36,12/31/22 07:00,Bend,OR,USA,Changing,Around 20 minutes,"I went out to walk my dog around 7 oclock in the morning on New Years Eve, but I spotted a strange glowing circle in the sky.",3/6/23,
37,12/28/22 20:21,,OR,USA,Changing,20 seconds,First flashing Red to Green lights while zig sagging then changed to bright white light and flew west at speed unnatural & disappeared,3/6/23,
38,12/18/22 18:00,Springfield,OR,USA,Triangle,120 seconds,One side of craft had 2 rows of lights on,12/22/22,Yes
39,12/17/22 18:14,Springfield,OR,USA,Light,20-30 seconds,I saw a bright linear light slowly move from the horizon up towards the sky in a diagonal direction and then disappear.,3/6/23,
40,12/10/22 15:04,Springfield,OR,USA,Light,Unknown,My wife noticed 6 lights after taking a photo of me installing a roof over out chicken run.,3/6/23,Yes
41,12/10/22 05:15,Creswell,OR,USA,Light,5-10 seconds,Green laser-like light,12/22/22,
42,12/9/22 21:44,Springfield,OR,USA,Light,10 minutes,"Blue, pulsating light, below 7,000ft cloud ceiling on a rainy night.",12/22/22,Yes
43,12/9/22 21:30,Lakeview,OR,USA,Rectangle,2 min,OR,12/22/22,
44,12/8/22 17:45,Eugene,OR,USA,Triangle,Lasted for about 10 secon,Saw triangle object with light beam,12/22/22,
45,12/7/22 17:30,West Salem,OR,USA,Oval,30 seconds,"Diving , witnessed a very large craft, oval shaped , black, silent, hovering over a neighborhood in the outskirts of West Salem Oregon.",12/22/22,Yes
46,12/6/22 19:34,SE Portland,OR,USA,Light,2 minutes,Saw a reddish glowing object coming towards me all of a sudden it split into two the new sphere then went in the opposite direction at,12/22/22,
47,12/6/22 19:34,Portland,OR,USA,,,MADAR site 66 had spikes in both magnetometer and change in compass heading.,5/19/23,
48,12/2/22 22:31,Portland,OR,USA,Light,Ongoing,Observed a circling light in the clouds,12/22/22,
49,11/25/22 19:15,Sherwood Tigard,OR,USA,Light,Twice 3-5min,Fast glowing lights just above clouds,12/22/22,
50,11/19/22 21:21,Gold Hill,OR,USA,Unknown,5 minutes,"Large black very slow moving, just vanished into a fireball looking hole",3/6/23,Yes
51,11/19/22 18:05,Eugene,OR,USA,Changing,15 to 20 minutes total,"t had red, white lights went back and forth. Hovering and quick, then zig zag motions.",12/22/22,
52,11/10/22 22:03,Medford,OR,USA,Changing,Over two hours,"I noticed it was hovering in the same place and when I got home we seen it from a pair of binoculars, it's a sphere of lights",12/22/22,
53,11/10/22 21:00,Keizer,OR,USA,Changing,Ongoing,Light making a random circular path in 2-D then changing into a 3-D globe that changed colors and was stationary. Later saw 2 more.,12/22/22,Yes
54,11/10/22 16:38,Pendleton,OR,USA,Cigar,several minutes,"While driving west near sunset, I saw a stationary vertical object in the sky.",12/22/22,
55,11/9/22 20:15,"Arrival into Eugene, OR",OR,USA,Light,~30 minutes,Sighting of one to two extremely bright maneuvering lights at extreme distance and elevation.,3/6/23,
56,11/9/22 17:40,Albany,OR,USA,Light,1 minute,2 green flashing lights,12/22/22,
57,11/6/22 19:20,Brookings,OR,USA,Light,Seen 2 for about 10 secon,Thought was falling star seen through the clouds being chased by same coming from different direction then shot back up then entered wa,12/22/22,
58,10/31/22 02:49,McMinnville,OR,USA,Light,Approximately one minute,Bright light changing shape and pulsing a little on front deck as captured by Nest camera.,12/22/22,Yes
59,10/25/22 14:00,Portland,OR,USA,Triangle,15-20 min,A leaf was doing gymnastics that seemed to defy any reality I know.,12/22/22,
60,10/14/22 01:52,Coquille,OR,USA,Orb,5+ mins,"I was testing a camera app called hydra on my phone and shot three pictures, the first and third both had odd anomalies",12/22/22,Yes
61,10/11/22 20:00,Portland,OR,USA,Sphere,3 minutes,red lights on saucer,12/22/22,
62,9/26/22 22:50,Portland,OR,USA,Light,6 seconds,Large round very bright ball of light moving slow and very low. I watched it for about 6 seconds before it just vanished.,10/8/22,
63,9/25/22 21:52,Roseburg,OR,USA,Circle,5 minutes over my head,It hovered over my head about 100 ft,10/8/22,
64,9/25/22 19:18,Waldport,OR,USA,Triangle,I just took a picture,Took a picture while my husband was driving,3/6/23,Yes
65,9/23/22 23:59,Happy valley,OR,USA,Orb,5 hours,Multiple light changing orbs in the eastern sky that stay in the same position for more than 5 hours observation.,10/8/22,Yes
66,9/22/22 13:45,Monmouth,OR,USA,Orb,5 minutes,Silver sphere spotted heading towards Corvallis oregon on 99 south,10/8/22,
67,9/19/22 22:00,Lebanon,OR,USA,Light,15seconds,It flew into an invisible object.,10/8/22,
68,9/7/22 19:30,Pendleton,OR,USA,Light,60 seconds,"Bright light over a hill around twilight. Thought was star or venus but it moved straight up at a steady pace, almost like a distant r",10/8/22,
69,9/5/22 13:00,Near Portland,OR,USA,Oval,30 seconds,Saw a fast flying oval not far from where I was.,9/9/22,
70,9/2/22 20:57,Brookings,OR,USA,Light,4m,Not sure if it was one or two,9/9/22,
71,8/28/22 07:30,Pendleton,OR,USA,Diamond,3 min long,I was walking my dog on Willow Dr Pendleton Oregon.,10/8/22,
72,8/28/22 03:30,John Day,OR,USA,Changing,1 1/2 hour then tired,"Observed UFO for 1 1/2 hours above my house in early mornin. Radical movement, varied lights, no sound, no beams, no landing, no trail.",9/9/22,Yes
73,8/27/22 20:10,Klamath Falls,OR,USA,Circle,Unknown,Saw at a railroad crossing. Got out to take sunset pictures and a photo of the train after a drive through the country.,9/9/22,Yes
74,8/22/22 22:00,Oregon City,OR,USA,Teardrop,4 minutes,Moved up down and sideways the disappeared,9/9/22,
75,8/19/22 21:46,Tigard,OR,USA,Cigar,3 seconds,Train looking shape in sky for 3 seconds and disappeared,10/8/22,Yes
76,8/19/22 21:46,Black butte,OR,USA,Light,1-2 minutes,This doesnt look like the Starlink videos as it just disappeared well within the horizon.,10/8/22,
77,8/19/22 09:17,nearest city glide/peel/Roseburg,OR,USA,Cigar,Under 30 seconds.,we look up in the sky and see a glowing red and green object when we pointed cameras at it when we did it vanished,12/22/22,
78,8/14/22 20:18,Corvallis,OR,USA,Oval,2 minutes,White object moved slowly through sky with no smoke or noise.,9/9/22,Yes
79,8/11/22 22:08,Lebanon,OR,USA,Triangle,Four minutes,A stationary or slow moving object either dimly lit or illuminated by the moon.,9/9/22,Yes
80,8/5/22 19:56,Redmond,OR,USA,Chevron,One minute.,While flying my drone at approximately 200 feet I observed and object above it at about 2000 feet.,9/9/22,
81,8/3/22 05:00,Newberg,OR,USA,Orb,10 mins,Glowing hovering Oregon light,9/9/22,Yes
82,7/31/22 20:43,gressham,OR,USA,Unknown,less than a minute,A single soft red light that pulsed three times then disappeared,9/9/22,
83,7/30/22 00:30,Maupin,OR,USA,Oval,30 minutes,Unknown Object hovering beyond canyon,9/9/22,
84,7/26/22 01:27,Mulino,OR,USA,Circle,2-4 minutes,An object flashed goldish white 4 times and a flash behind it.,9/9/22,
85,7/22/22 23:10,Bly Oregon,OR,USA,Cigar,10 mins,4 US air force personnel seen cigar shaped object,9/9/22,
86,7/22/22 23:04,klamath falls,OR,USA,Cigar,30 seconds,"I went out back, looked up seen the train of lights, had my son record it.",9/9/22,Yes
87,7/22/22 22:35,Bend,OR,USA,Disk,A few minutes,It was bright and round ish,9/9/22,Yes
88,7/22/22 15:10,Prineville,OR,USA,Chevron,,Chevron shaped mirrored image fell from blue sky moved rapidly back into blue sky,9/9/22,
89,7/21/22 23:20,Terrebonne,OR,USA,,A few seconds,Bright flash of light and then a trail going down.,9/9/22,
90,7/21/22 14:28,Keizer,OR,USA,Light,Just a few minutes,Either a cluster of drones flying in sync or....,9/9/22,
91,7/11/22 23:34,OAKRIDGE,OR,USA,Light,4 sec,Object caught on security camera. Seems slower than meteor,9/9/22,
92,7/10/22 00:34,Eugene,OR,USA,Fireball,At least 10 mins,Glowing orb like fireball hovering in the sky.,12/22/22,Yes
93,7/2/22 22:29,Sandy,OR,USA,Light,1 min. 22 sec.,Seen 3 stationary large bright strobing lights in the sky behind clouds,9/9/22,
94,7/2/22 09:00,Sutherlin,OR,USA,,about 1 min,An alien in a weird space suit,9/9/22,
95,6/25/22 12:25,Forest Grove,OR,USA,Formation,5 minutes,7 objects,9/9/22,Yes
96,6/16/22 18:40,Gresham,OR,USA,Orb,15. Seconds,Visual sighting of 3. Orbs at high speeds.,3/6/23,
97,6/14/22 03:00,Christmas Valley,OR,USA,Circle,3 seconds,Object floating in sky just below the clouds then it zipped across the sky instantaneous leaving a trail of light across the sky.,9/9/22,
98,6/4/22 15:00,Portland,OR,USA,Changing,2 - 3 minutes,Shape shifting tictac object on a clear day,9/9/22,
99,6/1/22 21:30,McMinnville,OR,USA,Light,Continuous,"I've watched a large low star like (with rays), thing, low in the sky.",4/9/23,
100,5/21/22 11:30,Portland,OR,USA,Rectangle,5 minutes,Rectangle aircraft that kept yawing left and right,6/22/22,
101,5/16/22 21:35,Independence,OR,USA,Rectangle,10-15 min,"bar of lights, round orangeish disc ""talking"" to each other",6/22/22,Yes
102,5/15/22 22:00,Medford,OR,USA,Light,2 minutes,Approached from sw at vry fast speed and brightness. Speed variable and it made two turns..,6/22/22,
103,5/15/22 21:15,Portland,OR,USA,,,"MADAR Node 66, spikes in data.",9/9/22,
