,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 22:00:00,"Brodheadsville, PA",PA,Cigar,2 minutes,"150ft+ maybe bigger Transparent single ufo with lights disappears above heads, below and behind plane",https://nuforc.org/webreports/reports/175/S175796.html
1,2023-05-13 22:15:00,Lebanon,PA,Circle,30 minutes,Two white lights one vertical to the other approx 70 degrees from horizon,https://nuforc.org/webreports/reports/175/S175787.html
2,2023-05-08 12:30:00,Hazle Township,PA,Egg,3 minutes,Object was flying aside a commercial jet liner that was flying very low.,https://nuforc.org/webreports/reports/175/S175711.html
3,2023-05-01 21:17:00,Mount Carmel,PA,Formation,10 min,Red Objects Flying in formation.,https://nuforc.org/webreports/reports/175/S175648.html
4,2023-04-22 17:10:00,Uniontown,PA,Cylinder,20-30 seconds,Object viewed flying within wingspan of commercial aircraft,https://nuforc.org/webreports/reports/175/S175474.html
5,2023-04-21 21:20:00,Altoona,PA,Diamond,ap 2 minutes,"Heard what sounded similar to a turbo diesel engine but we knew that it wasn't that. We all began to investigate the sound,",https://nuforc.org/webreports/reports/175/S175451.html
6,2023-04-18 22:17:00,Lancaster,PA,Flash,10 mins,Multi flashing objects,https://nuforc.org/webreports/reports/175/S175295.html
7,2023-04-18 17:50:00,Mechanicsburg,PA,Sphere,less than 10 seconds,A silver sphere shaped object was noticed while looking out over an open field.,https://nuforc.org/webreports/reports/175/S175297.html
8,2023-04-13 20:48:00,Lancaster,PA,Circle,couple minutes,I was walking from the store to my house and saw a blinking circle that was white not red like in the video then a fast moving orb,https://nuforc.org/webreports/reports/175/S175515.html
9,2023-04-09 22:30:00,Morrisville,PA,Light,10 minutes,While looking out a window of the house a ball of orange light appeared in the trees past a neighbors house.,https://nuforc.org/webreports/reports/175/S175277.html
10,2023-04-06 08:40:00,Newtown Square,PA,Rectangle,10-20 minutes,"Long black tube shape, 30+ ft long, hovering and then moving away",https://nuforc.org/webreports/reports/175/S175246.html
11,2023-03-29 22:00:00,Shippensburg,PA,Orb,15 Min,I saw 3 bright green straight line beams not lighting lightning cant be straight followed by a orb arcing around in the sky 10min later,https://nuforc.org/webreports/reports/175/S175163.html
12,2023-03-18 23:30:00,Harrisburg,PA,Circle,15 seconds,Extremely bright circular object with a spotlight that disappeared into a cloud,https://nuforc.org/webreports/reports/175/S175038.html
13,2023-03-11 20:00:00,Pottstown,PA,Triangle,3 seconds,Silent flash of light in triangle,https://nuforc.org/webreports/reports/174/S174974.html
14,2023-03-09 20:55:00,Hermitage,PA,Chevron,3-5 minutes,Hovering V shaped craft,https://nuforc.org/webreports/reports/174/S174958.html
15,2023-03-05 21:24:00,Morrisville,PA,Triangle,3 to 5 mins,2 bright white lights yellowish flashing,https://nuforc.org/webreports/reports/174/S174906.html
16,2023-03-04 19:30:00,White deer township,PA,Light,14+ min,Saw two bright lights fairly high up appearing stationary at first with light being on for 30+ seconds,https://nuforc.org/webreports/reports/174/S174871.html
17,2023-03-01 19:53:00,Saylorsburg,PA,Unknown,15 minutes,Saw 2 lights in the sky while getting dropped off at home. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174818.html
18,2023-03-01 19:20:00,Butler,PA,Circle,Approx 20 seconds,"Saw two orange lights, one larger than the other, very close together, still, not moving. NUFORC Note: Jupiter and Venus",https://nuforc.org/webreports/reports/174/S174799.html
19,2023-03-01 19:19:00,Munhall,PA,Other,3 + minutes,Two crafts then one dissappeared. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174815.html
20,2023-03-01 19:15:00,Hazleton,PA,Oval,15-20 minutes??,"Oval shaped object, and tiny red light",https://nuforc.org/webreports/reports/174/S174841.html
21,2023-03-01 19:07:00,Farrell,PA,Changing,7:10pm,Light greenish blue-red then all white then another light up directly in front of it,https://nuforc.org/webreports/reports/174/S174795.html
22,2023-03-01 18:49:00,Butler,PA,Unknown,15 minutes,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174794.html
