,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,6/8/20,Summerside (Canada),PE,Canada,Cigar,,https://m.facebook.com/story.php?story_fbid=998991064255606&id=100024341647489,6/25/20,
1,8/15/15 22:06,Montague (Canada),PE,Canada,Light,2 minutes,"Bright white light traveling rapidly across the sky, then disappeared, in Prince Edward Island, Canada",8/27/15,
2,1/11/13 18:00,Richmond (Canada),PE,Canada,Light,STILL IN PROGRESS,"Light changes from white to green to red, zigzag pattern but not much distance covered. ((NUFORC Note: Sighting of Sirius?? PD))",2/4/13,
3,9/10/11 23:40,Rustico area (Canada),PE,Canada,Other,2 to 3 minutes,3 orange and yellow tinged objects in a clear evening sky over Prince Edward Island Canada,10/10/11,
4,8/29/10 00:30,Twin Shores (Canada),PE,Canada,Fireball,2 minutes,"Twin Shores Prince Edward Island, bright orange orb-like UFO reported in the sky",8/30/10,
5,8/23/09 22:30,Summerside (Canada),PE,Canada,Circle,1 min,"White object flying in zigzag pattern over Summerside, PEI, Canada",8/27/09,
6,1/23/08 23:05,Borden Carleton (Canada),PE,Canada,Diamond,10 minutes,"The object was well lit up, on the clear night, was moving very slow, also the object didn't make any noise!",2/14/08,
7,12/10/07 18:15,Bloomfield (Canada),PE,Canada,Circle,5 seconds,"Seen large ball of light, orange in color, not moving, approximately 15 degrees above the horizon, much too big to be a flare",3/4/08,
8,8/15/05 23:00,Borden/Carlton (Canada),PE,Canada,Fireball,1 min,I have posted before on here about the two to three objects ive seen over borden/carlton and have just recieved a phone call from my fa,10/11/05,
9,7/18/05 13:30,Cavendish (Canada),PE,Canada,Disk,unknown,I am a skeptic author but this was too strange.,10/11/05,
10,7/17/05 23:00,"Borden/Carlton (PEI, Canada)",PE,Canada,Fireball,3h over 3 diferent tdate,Over a period of 3 weeks i noticed a strange glowing object in the sky it was abnormally low and i knew it was not a star. It was not t,9/2/05,
11,3/19/04 20:30,Summerside (Canada),PE,Canada,Light,10-15,Speeding Ball of Light,3/23/04,
12,2/2/04 19:30,Charlottetown (Canada),PE,Canada,Fireball,seconds,fireball over charlottetown,2/12/04,
13,11/27/03 22:25,Summerside (Canada),PE,Canada,Oval,15 SEC,Reddish Oval Observed,12/9/03,
14,2/21/03 22:00,Wellington (Canada),PE,Canada,Changing,25 minuter,bright lights moved very fast hovered up and down side to side lost our power pets went nuts and skidoos shut off,2/25/03,
15,2/20/03 22:15,Wellington Cap-Egmont (Canada),PE,Canada,Light,1 hour 10:15pm-11:15pm,Me and my father have seen a odd light on top of the Northumberland Strait almost every night from 10:00pm to 11:00pm for at lease the,2/25/03,
16,9/9/99 20:45,Charlottetown (Canada),PE,Canada,Disk,15 minutes,Suspended white light with blue and red blinking lights low in sky on very clear night,1/10/09,
17,8/2/99 22:30,Brackley Beach (Canada),PE,Canada,Oval,7min,"My boyfriend and I were driving down a beachside road, when overhead we saw an oval shaped object appear for about two minutes. Before",12/2/00,
18,7/16/99 20:50,Charlottetown (Canada),PE,Canada,Disk,,Silent aircraft hoovers near hospital,8/28/03,
19,6/19/98 21:00,Charlottetown (Canada),PE,Canada,Triangle,15 min,Hovering craft over water,3/2/04,
20,8/10/90 22:00,Cavendish (Canada),PE,Canada,Light,5-7 minutes,one light became three and moved down to the ocean,12/7/06,
21,7/15/75 21:00,Summerside (Canada),PE,Canada,Rectangle,5 minutes,"A silent, floating, rectangular object the size of a football field, skimming the tops of buildings.",12/12/09,
22,8/22/62 20:00,Charlottetown (Canada),PE,Canada,Light,3 minutes,Speeding light from horizon stopping and turning 90 degrees at high speed and then hovering overhead.,8/7/07,
23,9/15/36 19:00,Albany (Canada),PE,Canada,Rectangle,2O MINUTES,I WAS PLAYING AT MY FRIEND'S HOME AFTER SUPPER AND HER MOTHER WORRIEDLY REMINDED ME IT WAS LATER THAN SHE REALIZED. HER OLDER DAUGHTER,3/19/09,
