,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,11/26/03 21:41,Gatineau (Canada),PQ,Canada,Light,3 Seconds,Bright greenish / white light that flew in a strange sequence at the speed of a falling star.,12/9/03,
1,11/22/03 19:30,New Carlisle (Canada),PQ,Canada,Cylinder,,"As we were driving home we saw this bright cylinder, traveling at a very high,then it exploded and crashed in the water.",11/26/03,
2,11/1/03 19:30,Chandler Gaspe (Canada),PQ,Canada,Orb,,green lights in the sky over Gaspe Canada,12/9/03,
3,10/17/03 20:15,Montreal (Canada),PQ,Canada,Light,approx: 70 minutes,HBCCUFO CANADIAN REPORT: The 4 lights at equal distance from one another.,10/31/03,
4,10/14/03 13:15,Chicoutimi (Canada),PQ,Canada,Cylinder,2 sec,I've see a big cylidner maybe 30-40 feet long in the sky in low altitude don't know what it is but it was really fast .like a flying c,10/15/03,
5,10/13/03 22:20,Laval (Canada),PQ,Canada,Triangle,approx: 3 minutes,HBCCUFO CANADIAN REPORT: The lights changed into the shape of a large triangular craft.,10/17/03,
6,9/28/03 18:00,Gaspé (Canada),PQ,Canada,Fireball,2 minutes,Bright orange fireball with long orange tail seen passing from east to west.,10/7/03,
7,9/25/03 00:00,Montreal (Canada),PQ,Canada,Changing,5 min,Fluctuating light in the sky,9/28/03,
8,7/15/03 20:25,Montreal (Canada),PQ,Canada,Light,40 secondes,"A brilliant shape lengthened cross the sky disappear, reappear and redisappear. No trails No sound",8/1/03,
9,7/9/03 14:15,Richmond (Canada),PQ,Canada,Cigar,2 min,"Daylight sighting of a white, cigar shaped object.",7/16/03,
10,7/7/03 22:30,Verdun (Canada),PQ,Canada,Other,5 to 6 seconds,"HBCCUFO CANADIAN REPORT: I received a telephone call on the UFO Hotline this morning from a gentleman who resides in Verdun, Quebec.",7/16/03,
11,6/9/03,Vaudreuil-Dorion (Canada),PQ,Canada,Unknown,aprox 10 sec,object over Vaudreuil - Quebec,6/10/03,
12,5/22/03 15:55,Montreal (Montreal) (Canada),PQ,Canada,Other,,HBCCUFO CANADIAN REPORT: Large half ring over the skies of downtown Montreal,5/27/03,
13,5/19/03 02:25,Quebec (Canada),PQ,Canada,,,same day BAKU UFO...on my homepage you can see the PERU UFO from militär....www.douglas-spalthoff.de click on VIDEO wait little bit tha,7/16/03,
14,5/15/03 23:54,Montreal (Canada),PQ,Canada,Other,5 seconds,"Crescent -shaped, silent, moving in a straight line, white, fuzzy edges, fast-moving.",9/4/03,
15,5/15/03 23:50,d.d.o (Canada),PQ,Canada,Triangle,10 sec,three white lights during the luner eclipse...,5/27/03,
16,5/15/03 23:45,Dollard des Ormeaux (Canada),PQ,Canada,Rectangle,45 seconds,something passed over West end of Montreal,5/27/03,
17,5/4/03 00:30,Aylmer (Canada),PQ,Canada,Light,30 seconds,Two yellowish star like ligths moving together side by side... then vanishing upwards at an incredible speed.,5/9/03,
18,1/23/03 18:45,St.Regis (Canada),PQ,Canada,Sphere,3 seconds,A glowing greenish ball of light falls out of the night sky.,1/26/03,
19,1/5/03,Greenfield Park (Canada),PQ,Canada,Triangle,10s,lights in a v-like formation heading towards river,5/27/03,
20,12/27/02 23:30,Kirkland (Canada),PQ,Canada,Triangle,5 seconds,V-shaped light formation,2/5/03,
21,9/15/02 22:44,Quebec City (Canada),PQ,Canada,Formation,50 minutes,"Sustained observation of multiple objects, independent and in formation, in the Quebec City night sky",9/19/02,
22,9/15/02 20:00,Montreal (Canada),PQ,Canada,Triangle,15-20 mins,Triangular shaped crafts just south of Montreal,9/19/02,
23,9/7/02 22:30,Hull (Canada),PQ,Canada,Formation,30 seconds,"4 lights moving in losange(french word) formation at even speed, not blinking, and at least 1 km wide",9/13/02,
24,8/30/02 05:30,Ebensburg (Canada),PQ,Canada,Circle,5 minutes,"Circle of white lights with light in center seen low in sky near Ebensburg, PA early on August 30.",9/13/02,
25,8/27/02 18:45,St-Jean-sur-Richelieu (Canada),PQ,Canada,Sphere,10 seconds,Large bleue and green sparkling sphere about the size of a small car,9/6/02,
26,8/13/02 21:30,Ste-Brigitte de Laval (Canada),PQ,Canada,Sphere,45 seconds,Huge glowing white sphere,12/23/02,
27,8/11/02 22:30,Richelieu (Canada),PQ,Canada,Triangle,5 sec,Black triangle over Montreal,8/16/02,
28,8/10/02 21:20,Laval (Canada),PQ,Canada,Light,20 seconds,Two red lights suspend in the night.,8/16/02,
