,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2022-12-20 23:30:00,East Greenwich,RI,Light,3 seconds maybe even less,I was driving the interstate at night with my buddy headed to casino when a very bright flashing light appeared in the horizon,https://nuforc.org/webreports/reports/173/S173522.html
1,2022-10-15 14:33:00,Newport,RI,Cone,Not sure; less than 5 min,Cone shaped with tails appearing to be all white light. ((NUFORC Note: Contrail. PD)),https://nuforc.org/webreports/reports/172/S172338.html
2,2022-10-04 16:09:00,Little Compton,RI,Orb,3 seconds,Glowing Orb,https://nuforc.org/webreports/reports/172/S172176.html
3,2022-09-24 21:40:00,Warwick,RI,Unknown,45-60 seconds,A string of lights 4 in a line 1 off center moving in a snake like way up and down low in the sky.,https://nuforc.org/webreports/reports/171/S171958.html
4,2022-09-15 21:10:00,Woonsocket,RI,Circle,30 minutes,Semi circle of lights hovering,https://nuforc.org/webreports/reports/171/S171780.html
5,2022-09-15 21:10:00,Worcester,RI,,,"MADAR Node 122 at Worcester, MA 24 mi NE of Woonsocket, RI",https://nuforc.org/webreports/reports/175/S175138.html
6,2022-09-01 18:12:00,Tiverton,RI,Triangle,5 minutes,Ufo interacting with plane,https://nuforc.org/webreports/reports/172/S172236.html
7,2022-08-25 19:30:00,Tiverton,RI,Disk,2 minutes,U.A.P flew up to slowed down and passed an airplane with both exhaust like the plane,https://nuforc.org/webreports/reports/171/S171405.html
8,2022-08-19 20:27:00,Rhode Island,RI,Cigar,),2 orange streaks,https://nuforc.org/webreports/reports/171/S171319.html
9,2022-07-29 01:55:00,Woonsocket,RI,Disk,Unaware of duration,Around 1:50 am about 20 minutes after falling asleep I remember waking up but suffering paralysis and experiencing contact with ship,https://nuforc.org/webreports/reports/170/S170801.html
10,2022-07-28 22:00:00,Kansas City,RI,Light,2 minutes or less,"The top of a triangle of stars appeared to be moving, while staring at it the lower right star took off upwards and right.",https://nuforc.org/webreports/reports/171/S171015.html
11,2022-07-07 22:00:00,West Warwick,RI,Circle,10 seconds,Big glowing red ball moving erratically,https://nuforc.org/webreports/reports/170/S170362.html
12,2022-07-02 17:05:00,Jamestown,RI,,,MADAR site 43 is only 8 mi from North Kingston. Had a spike in the magnetometer reading.,https://nuforc.org/webreports/reports/173/S173712.html
13,2022-07-02 17:05:00,North Kingstown,RI,Diamond,No duration.,"Object was just hovering in mid air, unlike any vehicle or object on earth. Was not affected by wind.",https://nuforc.org/webreports/reports/170/S170962.html
14,2022-06-13 14:18:00,Bristol,RI,Changing,5 minutes,",""Interdimensional Metallic Cube """,https://nuforc.org/webreports/reports/173/S173317.html
15,2022-05-10 18:17:00,Middletown,RI,Cigar,5-10 Seconds,Bright Tic Tac Shaped UAP / UFO over Newport RI,https://nuforc.org/webreports/reports/167/S167846.html
16,2022-01-24 21:36:00,East Providence,RI,Light,5 or so seconds,caught on my ring camera. 30 seconds in ((NUFORC Note: Posssibly a flying insect?? PD)),https://nuforc.org/webreports/reports/166/S166402.html
17,2021-12-31 21:51:00,Newport Rhode Island,RI,Changing,3 minutes,Orange light changing to white moving slowly without a sound.,https://nuforc.org/webreports/reports/166/S166043.html
18,2021-11-09 05:25:00,Hope Valley,RI,Triangle,1 minute,3 lights in triangle formation,https://nuforc.org/webreports/reports/165/S165204.html
19,2021-11-04 18:35:00,South Kingstown,RI,Light,4 minutes,"Small yellowish blinking light, no sound, odd movement over my house",https://nuforc.org/webreports/reports/165/S165171.html
20,2021-11-02 12:00:00,Warren,RI,Other,3 minutes,The object was shiny silver tic-tac in shape with no tail or wings visiable.no noise was heard as it passed and object was seen around,https://nuforc.org/webreports/reports/165/S165789.html
