,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 23:59:00,Myrtle Beach,SC,Orb,7 seconds,6 orbs of light instantly appear over hotel lines,https://nuforc.org/webreports/reports/175/S175768.html
1,2023-05-04 01:42:00,Conway,SC,Orb,5 seconds,2 orbs flying around each other and fast speed,https://nuforc.org/webreports/reports/175/S175645.html
2,2023-04-30 20:30:00,Charleston,SC,Orb,5 -10 sec,moving slowly in a straight line,https://nuforc.org/webreports/reports/175/S175573.html
3,2023-04-20 21:05:00,Myrtle Beach,SC,Chevron,It's outside my trailer n,Its outside my trailer every night for weeks now,https://nuforc.org/webreports/reports/175/S175425.html
4,2023-04-18 21:00:00,Longs,SC,Light,On going (daily),Balls of light that fallow,https://nuforc.org/webreports/reports/175/S175293.html
5,2023-04-04 20:53:00,Anderson,SC,Rectangle,1 minute 5 seconds,Craft flew into the back yard,https://nuforc.org/webreports/reports/175/S175257.html
6,2023-03-25 06:08:00,COLUMBIA,SC,Circle,30 seconds,2 balls of light moving opposite directions,https://nuforc.org/webreports/reports/175/S175114.html
7,2023-03-23 20:01:00,Chesnee,SC,Cigar,Less than 1 minute,Just taking pictures of the moon and Jupiter,https://nuforc.org/webreports/reports/175/S175101.html
8,2023-03-04 20:03:00,Myrtle Beach,SC,Disk,seconds,"Two visible, slanted, lighted disks observed for mere seconds and seemed to disappear.",https://nuforc.org/webreports/reports/174/S174873.html
9,2023-03-04 15:04:00,Greenville S C,SC,Orb,minutes not sure,"Glare caught my eye, white orb turning grey filmed reviewed show the blue light going up to a bulb. I have frame by frame of a craft !",https://nuforc.org/webreports/reports/174/S174872.html
10,2023-03-02 00:45:00,Myrtle Beach,SC,Sphere,15 seconds,Bright orange sphere appeared for 15 seconds,https://nuforc.org/webreports/reports/174/S174865.html
11,2023-02-24 05:45:00,Inman,SC,Changing,30 seconds,It was big and had flashing white nights when it went over entire body felt weak and then next thing you know it took off fast,https://nuforc.org/webreports/reports/174/S174701.html
12,2023-02-12 16:20:00,Florence,SC,Cylinder,30 Seconds,A weird cylinder object with lights flew over me and away.,https://nuforc.org/webreports/reports/174/S174505.html
13,2023-02-05 15:23:00,GREENVILLE,SC,Orb,2-3 MINUTES,"YOU COULD ONLY SEE ORB WITH NAKED EYE, BUT OBJECT CAN BE SEEN ON VIDEO",https://nuforc.org/webreports/reports/174/S174902.html
14,2023-01-29 23:59:00,Myrtle Beach,SC,Orb,10+ minutes,Woke up to see a bright orange yellow light through the trees of my backyard.,https://nuforc.org/webreports/reports/174/S174237.html
15,2023-01-27 22:16:00,"Aiken,",SC,Triangle,5 minutes,Gazing up at the full moon. Clear night. 5 or 6 large long triangles with red lights at the ends. I thought they were satellites.,https://nuforc.org/webreports/reports/174/S174243.html
16,2023-01-27 19:57:00,Chesnee,SC,Light,Chesnee South Carolina,I shined flashlight at it then it starts moving torward us. Pretty scary,https://nuforc.org/webreports/reports/174/S174156.html
17,2023-01-16 17:16:00,Charleston,SC,Other,Standing on balcony,Taking sunset photos from ship balcony,https://nuforc.org/webreports/reports/174/S174184.html
18,2023-01-14 18:47:00,Myrtle Beach,SC,Sphere,Several hours,"See them all the time, but got good several good pics and videos this time.",https://nuforc.org/webreports/reports/173/S173956.html
19,2023-01-14 06:31:00,Greer,SC,Light,5 seconds,Spotted a green light appearing out of nowhere and quickly traveling a short distance before disappearing,https://nuforc.org/webreports/reports/173/S173905.html
20,2023-01-14 03:53:00,Camden,SC,Fireball,2 hrs,It looked like a fireball,https://nuforc.org/webreports/reports/173/S173938.html
21,2023-01-05 21:12:00,Spartanburg,SC,Changing,2 min,In the sky right above my house but this time u was driving and it followed,https://nuforc.org/webreports/reports/173/S173937.html
22,2023-01-01 07:01:00,North Myrtle Beach,SC,Cylinder,15 - 20 seconds,Seen just before sunrise on New Year's Day,https://nuforc.org/webreports/reports/173/S173906.html
