,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 21:30:00,Vonore,TN,Circle,Approximately 15 minutes,Bright objects moving from west to east and disappearing.,https://nuforc.org/webreports/reports/175/S175795.html
1,2023-05-03 04:00:00,Franklin,TN,Orb,Still going on,Second time I have witnessed near same area appears red to the naked eye hovering for at least an hour now,https://nuforc.org/webreports/reports/175/S175602.html
2,2023-04-20 00:00:00,TN Johnson City,TN,Unknown,40 seconds,craft went from right to left and stopped then floated and turned to the right and then flew off at about a 45 degree angle slow moving,https://nuforc.org/webreports/reports/175/S175429.html
3,2023-04-19 07:01:00,Humboldt,TN,Light,1-3 minutes,Saw several jets escorting another that had what looked like a large bright star floating next to it for several seconds then vanished,https://nuforc.org/webreports/reports/175/S175467.html
4,2023-04-16 12:00:00,Nashville,TN,Cigar,15 minutes,"April 16, 2023, around 12 p.m., a large object reflected or shined light toward me. It was stationary and at a very high altitude.",https://nuforc.org/webreports/reports/175/S175407.html
5,2023-03-28 23:30:00,Antioch,TN,Unknown,20- 30 seconds,I was at a a dark road when I noticed something flying really close making no sound,https://nuforc.org/webreports/reports/175/S175155.html
6,2023-03-08 19:00:00,Kingsport,TN,Unknown,Approximately 15 minutes,"Brilliant light hovering over Holston Ordnance Army Ammunition Plant, then moved northeast very slowly",https://nuforc.org/webreports/reports/174/S174959.html
7,2023-03-03 20:19:00,Dandridge,TN,Light,<10 seconds,Bright red light moving horizontally from W to E,https://nuforc.org/webreports/reports/174/S174862.html
8,2023-02-28 19:46:00,Murfreesboro,TN,Light,It's been sitting for 1hr,I noticed it an hour ago. I posted on Twittrer and Facebook. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174763.html
9,2023-02-28 19:17:00,Murfreesboro,TN,Circle,It's been sitting for 1hr,I seen them for 2+ hours. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174769.html
10,2023-02-27 18:00:00,Woodbury,TN,Other,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,https://nuforc.org/webreports/reports/174/S174743.html
11,2023-02-26 17:30:00,Memphis,TN,Light,2 clips 30 seconds or so,My wife was videoing the bird migration and she caught the object in her periferal vision. Then we looked at the clips and saw it.,https://nuforc.org/webreports/reports/174/S174728.html
12,2023-02-19 19:15:00,,TN,Orb,momentary,Moon behind diffuse clouds. Not moon.,https://nuforc.org/webreports/reports/174/S174662.html
13,2023-02-18 20:00:00,Greenback,TN,Rectangle,20 seconds,Three dots that made a triangle,https://nuforc.org/webreports/reports/174/S174642.html
14,2023-02-07 00:32:00,Walland,TN,Light,aprox. 5 min,Red ball of light stationary above the mountains with a police officer parked in the road seemingly observing it.,https://nuforc.org/webreports/reports/174/S174344.html
15,2023-02-06 19:15:00,Memphis,TN,Orb,Seconds,Green orb appears darts across sky and blinks out,https://nuforc.org/webreports/reports/174/S174343.html
16,2023-02-04 18:05:00,johnson city,TN,Other,maybe 20 seconds,I have a few photos,https://nuforc.org/webreports/reports/174/S174543.html
17,2023-02-03 09:34:00,Middleton,TN,Sphere,,Spheres in 2 of my pictures,https://nuforc.org/webreports/reports/174/S174302.html
18,2023-01-25 21:30:00,Myrtle Beach,TN,Triangle,30 min,Lights in the sky over Myrtle Beach,https://nuforc.org/webreports/reports/174/S174127.html
19,2023-01-14 19:25:00,Rock island and cookeville,TN,Cigar,3 hours,It scared us bc it watched us and followed us 45 miles to cookeville,https://nuforc.org/webreports/reports/174/S174249.html
20,2023-01-06 21:00:00,Greeneville,TN,Triangle,Approximately 60 seconds,UFO with two 3 lights in triangular shape,https://nuforc.org/webreports/reports/173/S173773.html
21,2022-12-28 22:30:00,Covington,TN,Circle,,It kind of looked like a rumba lke the vacuum but with lights all around it,https://nuforc.org/webreports/reports/174/S174268.html
22,2022-12-28 17:03:00,"Arrington, Tennessee",TN,Cigar,20 minutes,Cigar-shaped black object floating high in the sky without disappearing or significantly moving. Caught on film.,https://nuforc.org/webreports/reports/173/S173622.html
23,2022-12-25 23:35:00,Memphis,TN,Fireball,20 Seconds,I saw two fireballs flying in the sky from my window that lasted for 20 seconds.,https://nuforc.org/webreports/reports/173/S173754.html
24,2022-12-25 12:30:00,Franklin,TN,Cigar,about 30-45 seconds,Shiny silver cigar craft with a clear blue sky. Had 2 very small wings like a government drone but hovered and disappeared.,https://nuforc.org/webreports/reports/173/S173566.html
25,2022-12-22 06:05:00,Greeneville,TN,Fireball,Matter of seconds,Bright amorphous fireball,https://nuforc.org/webreports/reports/173/S173535.html
26,2022-12-18 13:19:00,Crossville,TN,Sphere,4 minutes,"I saw a white, spherical object moving at a steady pace while a plane was not too far behind it, going the same direction.",https://nuforc.org/webreports/reports/173/S173475.html
27,2022-12-18 01:00:00,Bradford,TN,Unknown,still on going,"Was watching meteors and looking at sky when my brother noticed something behind what looked like a small cloud, it had a red glare",https://nuforc.org/webreports/reports/173/S173461.html
28,2022-11-11 19:00:00,Fayetteville,TN,Light,30 minutes,"Spotted an erratically moving, high altitude light about the size and brightness of a dim star.",https://nuforc.org/webreports/reports/172/S172952.html
29,2022-11-09 19:30:00,Carthage,TN,Cylinder,Few min,"2 orange cylinder shaped few min I have pic hundred ft from ground, no noise slow at speedn it was glowing orange round",https://nuforc.org/webreports/reports/173/S173347.html
