,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 04:30:00,Chillicothe,TX,Sphere,30 seconds,Video from security camera,https://nuforc.org/webreports/reports/175/S175773.html
1,2023-05-13 01:00:00,Houston,TX,Other,10 minutes,"It looks like a vehicle flying in the sky, like an airplane, however it is not an airplane",https://nuforc.org/webreports/reports/175/S175752.html
2,2023-05-12 20:00:00,Boerne,TX,Circle,60 seconds,Observed object after possible passenger aircraft flew by,https://nuforc.org/webreports/reports/175/S175753.html
3,2023-05-09 21:00:00,Austin,TX,Rectangle,About less than 10 secs.,"Barely visible rectangle craft shoots through the sky as I am stargazing, movement catches my attention as it rocks strangely, cloaks.",https://nuforc.org/webreports/reports/175/S175802.html
4,2023-05-08 21:47:00,Plano,TX,Changing,3-4 hours nightly,We see small clouds of something that moves around on top of my house.,https://nuforc.org/webreports/reports/175/S175712.html
5,2023-05-07 01:42:00,McKinney,TX,Other,A couple of seconds,Lit up object resembling the same color as lightening after or near the end of a thunder storm but it moved sideways like a craft,https://nuforc.org/webreports/reports/175/S175696.html
6,2023-05-02 08:45:00,North Richland hills,TX,Triangle,4 minutes,Black hollow triangle with 3 red lights.,https://nuforc.org/webreports/reports/175/S175606.html
7,2023-04-30 16:50:00,Nevada,TX,Sphere,~8 seconds,"Sphère travelling at high rate of speed, less than 1000 ft alt, no sound, heading 200 degrees",https://nuforc.org/webreports/reports/175/S175569.html
8,2023-04-30 00:18:00,Alvin,TX,Circle,5 seconds,Light that stayed still and darted to the distance,https://nuforc.org/webreports/reports/175/S175595.html
9,2023-04-22 00:07:00,Austin,TX,Orb,5 seconds,Small line of orbs. If I held a ruler out it would have been about 1 inch long.,https://nuforc.org/webreports/reports/175/S175444.html
10,2023-04-21 21:25:00,Granbury,TX,Oval,1 minute,We were walking ABS suddenly saw those 3 things in the sky,https://nuforc.org/webreports/reports/175/S175443.html
11,2023-04-21 19:35:00,Niederwald,TX,Cylinder,24 minutes,"Bright white, with pink and blue lights encompassing the white object hovering with slight angle, very slowly moving away.",https://nuforc.org/webreports/reports/175/S175553.html
12,2023-04-18 23:44:00,Vernon,TX,Triangle,10-20 seconds,Object traveling south-west towards rural area of the county. dark-gray triangle shaped craft. Massive area,https://nuforc.org/webreports/reports/175/S175472.html
13,2023-04-18 03:00:00,Corpus Christi,TX,Rectangle,4-5 seconds,"Looked like a sail boat type shape with red lights, very big",https://nuforc.org/webreports/reports/175/S175299.html
14,2023-04-17 17:58:00,Tomball,TX,Disk,8 minutes,I was in the traffic line looked up saw this craft and another craft eject from the main one,https://nuforc.org/webreports/reports/175/S175699.html
15,2023-04-12 19:15:00,Hurst,TX,Orb,3 minutes,Various probes observed at Chisholm Trail Park,https://nuforc.org/webreports/reports/175/S175357.html
16,2023-04-11 23:13:00,Dallas,TX,Cross,1 min,I am just trying to access the dataset for a school project,https://nuforc.org/webreports/reports/175/S175313.html
17,2023-03-22 01:30:00,Wichita Falls,TX,Orb,Around 3 to 5 min.,"Daughter and I looking at stars before bed. Our location is a royal area, can see quite a few stars.",https://nuforc.org/webreports/reports/175/S175124.html
18,2023-03-18 21:00:00,Wolfforth,TX,Light,3 minutes,Blinking lights but not a plane,https://nuforc.org/webreports/reports/175/S175050.html
19,2023-03-11 00:05:00,McKinney,TX,Unknown,45-minutes,In the night sky adjacent to DFW Airport,https://nuforc.org/webreports/reports/174/S174969.html
20,2023-03-07 03:40:00,Waco,TX,Light,About 20 minutes,"One single slowly pulsing very bright light then multiple lights moving erratically (staying stationary, changing direction rapidly)",https://nuforc.org/webreports/reports/174/S174917.html
21,2023-03-05 14:40:00,The Colony,TX,Circle,6-8 seconds,Translucent circle orb appeared while flying a kite,https://nuforc.org/webreports/reports/175/S175028.html
22,2023-02-28 18:34:00,Irving,TX,Unknown,1 minute,"Upon reviewing the photos, I saw two bright lights in one of my photos. NUFORC Note: Jupiter and Venus",https://nuforc.org/webreports/reports/174/S174860.html
23,2023-02-28 17:55:00,Houston,TX,Sphere,60 seconds,A flying object I couldn't identify.,https://nuforc.org/webreports/reports/174/S174922.html
24,2023-02-27 19:35:00,Woodville,TX,Light,40 minutes,Two bright white lights with one noticable red light at bottom of each seem to be hovering in the sky.,https://nuforc.org/webreports/reports/174/S174738.html
25,2023-02-25 14:11:00,San Antonio,TX,Other,7years,Space-craft,https://nuforc.org/webreports/reports/175/S175450.html
26,2023-02-23 00:25:00,Elgin,TX,Light,5-7 minutes,Light in the sky that I thought was a star at first but knew it was out of place.,https://nuforc.org/webreports/reports/174/S174984.html
27,2023-02-21 00:57:00,Plano,TX,Triangle,30 second,"As I was looking at the stars, three triangular lights passed quickly. into the northern sky",https://nuforc.org/webreports/reports/175/S175542.html
28,2023-02-18 19:12:00,Spring,TX,Circle,12seconds,Red UFO,https://nuforc.org/webreports/reports/175/S175157.html
29,2023-02-15 23:10:00,Troup,TX,Orb,5 -10 minutes,Orb like object - circular movement pattern and changes in brightness,https://nuforc.org/webreports/reports/174/S174610.html
30,2023-02-10 21:00:00,Ozona,TX,Triangle,2 minutes,There were 3 bright white lights in a triangle formation that appeared over the canyon wall.,https://nuforc.org/webreports/reports/174/S174500.html
31,2023-02-05 22:00:00,McKinney,TX,Cigar,5+ Minutes,Observed a Illuminated Cigar Shaped UAP,https://nuforc.org/webreports/reports/174/S174477.html
32,2023-02-03 02:00:00,Horizon City,TX,Circle,30 min (while awake),White balloon in El Paso,https://nuforc.org/webreports/reports/174/S174319.html
33,2023-02-03 00:22:00,Mercedes,TX,Fireball,Les than a second,"Saw a small blue light falling from the sky, seemed to be burning during entry",https://nuforc.org/webreports/reports/174/S174267.html
34,2023-01-26 08:36:00,Nixon,TX,Light,5 minutes,Suspected Plasma Ball Event,https://nuforc.org/webreports/reports/174/S174298.html
35,2023-01-25 17:34:00,Waco,TX,Circle,5 minutes,I was driving to temple children's hospital to pick up my girlfriend and I couldnt help but notice the light in the sky,https://nuforc.org/webreports/reports/174/S174135.html
36,2023-01-19 23:33:00,Lubbock,TX,Other,5 seconds,V shape formation with 5 lights traveling low and fairly slow,https://nuforc.org/webreports/reports/174/S174025.html
37,2023-01-18 23:50:00,Killeen,TX,Chevron,7 minutes,"Visually observed Delta shape over the foothills adjacent to Stillhouse Lake, Texas - just south of Killeen / Harker Heights",https://nuforc.org/webreports/reports/174/S174013.html
38,2023-01-14 19:30:00,"Ranch S/W of Tilden, TX",TX,Light,"15 min, then departed","Looking SE from Coordinate location, viewed lights moving in circles and darting from one location to another.",https://nuforc.org/webreports/reports/173/S173968.html
39,2023-01-10 18:45:00,Spicewood,TX,Fireball,15 seconds,Sitting in the second level of my home at around 6:45 p.m. saw a really bright light that resembled a ball of fire with a tail,https://nuforc.org/webreports/reports/173/S173849.html
40,2023-01-06 17:12:00,Austin,TX,Cylinder,10 minutes,Craft with 2 small contrails below it craft was stationary,https://nuforc.org/webreports/reports/173/S173933.html
41,2023-01-04 21:15:00,Forney,TX,Chevron,Half Hour,Chevron shape hovering in place,https://nuforc.org/webreports/reports/173/S173978.html
42,2023-01-01 09:48:00,Marfa,TX,Other,Several minutes observed,Random white structure in the sky- not moving at all,https://nuforc.org/webreports/reports/173/S173674.html
43,2023-01-01 02:06:00,Plano,TX,Light,20sec,My friend and I were sitting in her car saw this bright orange glowing thing very quick and steady fly over us.,https://nuforc.org/webreports/reports/173/S173707.html
44,2023-01-01 00:30:00,Houston,TX,Rectangle,Three minutes,Four objects flying over neighborhood,https://nuforc.org/webreports/reports/173/S173688.html
45,2023-01-01 00:03:00,Roma,TX,Fireball,5 mins,"A series of fireballs in different sequence, that lasted over a series of minutes",https://nuforc.org/webreports/reports/173/S173671.html
46,2022-12-31 22:55:00,Liberty Hill,TX,Circle,Approximately two seconds,"Late evening, New Years eve 2022, observed small object flying quickly, very low and almost directly over.",https://nuforc.org/webreports/reports/174/S174058.html
47,2022-12-31 22:00:00,Porter,TX,Fireball,20 seconds,Orange ball of light floats across the night sky,https://nuforc.org/webreports/reports/173/S173699.html
48,2022-12-31 20:30:00,Brazoria,TX,Circle,20 minutes,2 rapid moving sudden halt and combine,https://nuforc.org/webreports/reports/173/S173732.html
49,2022-12-30 10:00:00,Kilgore,TX,Changing,30 Minutes,Looked like a floating weather balloon that suddenly developed a vapor trail and flew away after about 30 minutes of observation.,https://nuforc.org/webreports/reports/174/S174274.html
50,2022-12-25 02:00:00,Kingwood,TX,Light,30 minutes,4 cylindrical glowing towers of light seen stationary in a cloudy sky,https://nuforc.org/webreports/reports/173/S173696.html
51,2022-12-24 20:41:00,Fort Worth,TX,Sphere,5 min or so,Saw something in sky blue/ white spinning rotating. Looked like plasma,https://nuforc.org/webreports/reports/175/S175522.html
52,2022-12-24 00:00:00,Spring,TX,Unknown,3 hours,Four witnesses observed unidentified stationary lights in the night sky from a window in their home,https://nuforc.org/webreports/reports/173/S173542.html
53,2022-12-23 21:47:00,San Antonio,TX,Light,5 minutes,Large light that dropped several smaller red lights out of it.,https://nuforc.org/webreports/reports/173/S173544.html
54,2022-12-23 02:24:00,Spring,TX,Unknown,20 mins,I stepped outside to smoke a cigarette and saw 3 vertical red lights,https://nuforc.org/webreports/reports/173/S173543.html
55,2022-12-14 20:30:00,Flower mound,TX,Disk,7+ hours,Saw fast moving disk in sky as well an entities in the craft,https://nuforc.org/webreports/reports/173/S173424.html
56,2022-12-14 20:21:00,San Angelo,TX,Light,5-10 seconds,Huge glow hovering over town & then disappeared like the speed of light off to the west,https://nuforc.org/webreports/reports/173/S173567.html
57,2022-12-10 04:00:00,Liberty Hill,TX,Light,split second,TX 2 paralell streaks of light orange in color lit up the ground around me,https://nuforc.org/webreports/reports/173/S173358.html
58,2022-12-06 01:30:00,San Antonio,TX,Light,,Well I was outside taking night pictures and in the corner of my eye Ive seen a green or yellow light pass by over my neighbors house,https://nuforc.org/webreports/reports/173/S173324.html
59,2022-12-02 22:18:00,Georgetown,TX,Circle,Only a few seconds,The video was recorded facing parallel to the highway,https://nuforc.org/webreports/reports/173/S173253.html
60,2022-12-01 14:10:00,El paso,TX,Oval,Ten minutes,It appeared out of nowhere & slowly moved across the sky,https://nuforc.org/webreports/reports/173/S173272.html
61,2022-12-01 06:00:00,Voss,TX,Orb,15 to 20 minutes,3 Lights / Orbs on Highway 503 South at tree top level. 2 Red and 1 white that turned to green moving in sequence.,https://nuforc.org/webreports/reports/174/S174742.html
62,2022-12-01 03:59:00,Mansfield,TX,Changing,60 seconds,Looked like a drone but moved way too fast then had a cylinder of color changing lights that looked like they were dropping down,https://nuforc.org/webreports/reports/173/S173279.html
63,2022-11-29 21:26:00,Austin,TX,Fireball,5 seconds,Saw a bright object falling to the ground silently and quickly. It appeared to have green lights and an orange tracer following.,https://nuforc.org/webreports/reports/173/S173227.html
64,2022-11-27 15:30:00,La Grange,TX,Cylinder,5 minutes Driving,Watched for about 5 minutes.,https://nuforc.org/webreports/reports/173/S173250.html
65,2022-11-20 18:50:00,San Antonio,TX,Light,3-5 seconds,Light passed over car on access road and disappeared,https://nuforc.org/webreports/reports/173/S173010.html
66,2022-11-13 19:50:00,San antonio,TX,Light,Lights in the clouds,Lights in the clouds,https://nuforc.org/webreports/reports/172/S172997.html
67,2022-11-13 18:30:00,Montgomery,TX,Oval,10 seconds,Oval or egg shaped either glowing or smooth bright white.,https://nuforc.org/webreports/reports/172/S172995.html
68,2022-11-13 18:03:00,colleyville,TX,Fireball,5 min,"Sun just setting, VERY bright orange/red lights, moving across the flight path of DFW Airport. Est. speed, 200-400 mph. no sound.",https://nuforc.org/webreports/reports/173/S173715.html
69,2022-11-12 18:45:00,Austin,TX,Light,10mins,"Bright light, other bright lights were shooting out of the main light and then slowed and floated and disappeared.",https://nuforc.org/webreports/reports/172/S172938.html
70,2022-11-11 22:45:00,Beeville,TX,Light,20 seconds,One red light turned into three red lights.,https://nuforc.org/webreports/reports/173/S173080.html
71,2022-11-07 17:45:00,Austin,TX,Disk,In photo,I didnt actually see the UFO. There were some beautiful cloud formations and decided to take a couple of photos of the clouds. When I,https://nuforc.org/webreports/reports/172/S172857.html
72,2022-11-05 05:15:00,Rocksprings,TX,Star,2.5hours,"3 Flickering objects that appeared to be stars, flickering orange/blue, dimmer/brighter, moving erratically",https://nuforc.org/webreports/reports/172/S172977.html
73,2022-11-04 20:20:00,San Antonio,TX,Changing,More than 2 weeks,There have been flashing lights and objects flying around.,https://nuforc.org/webreports/reports/172/S172808.html
74,2022-11-01 17:18:00,San Antonio,TX,Unknown,30 seconds,White object,https://nuforc.org/webreports/reports/172/S172759.html
75,2022-10-31 22:45:00,New Braunfels,TX,Chevron,7 seconds,Dim gray object flew silently while spreading out into multiple pieces then disappeared,https://nuforc.org/webreports/reports/172/S172677.html
76,2022-10-30 07:40:00,Lampasas County,TX,Oval,1minute tops,It was an oval shape with 1 wing. It was moving in an odd way that made me think it is not a satellite.,https://nuforc.org/webreports/reports/172/S172716.html
77,2022-10-29 19:40:00,Austin,TX,Oval,15 minutes,Lights moving above the clouds at greatest speeds,https://nuforc.org/webreports/reports/172/S172724.html
78,2022-10-28 21:54:00,Amarillo,TX,Circle,15-30 minutes,Strange light phenomenon spotted moving in a complete circle above my apartment complex.,https://nuforc.org/webreports/reports/172/S172654.html
79,2022-10-25 05:50:00,Georgetown,TX,Light,Maybe a minute,Bright light high in atmosphere shot across the sky on a straight trajectory faster than anything I've ever seen,https://nuforc.org/webreports/reports/172/S172652.html
80,2022-10-22 21:36:00,Houston,TX,Oval,15 seconds,"A brown beetle shaped craft flew over Harris County Texas under cloud cover on the first night of Jupiter's shining, October 22, 2022.",https://nuforc.org/webreports/reports/172/S172749.html
81,2022-10-22 19:30:00,Arlington,TX,Unknown,15 seconds,Green and white lights in the sky in a dark neighborhood.,https://nuforc.org/webreports/reports/173/S173064.html
82,2022-10-20 21:12:00,Lavon,TX,Light,2-3 seconds,Light white flaring light zipped in an arc under a helicopter,https://nuforc.org/webreports/reports/172/S172467.html
83,2022-10-20 19:23:00,Katy,TX,Other,2 minutes,A 3D CD object,https://nuforc.org/webreports/reports/172/S172462.html
84,2022-10-20 06:00:00,Georgetown,TX,Light,3 minutes,Bright light with no normal signaling lights or anything moved across the sky. Second sighting,https://nuforc.org/webreports/reports/172/S172649.html
85,2022-10-18 22:45:00,Rosenberg,TX,Chevron,Approx 25 minutes,A whitish Boomarang with a shimmering cloak,https://nuforc.org/webreports/reports/172/S172511.html
86,2022-10-17 06:15:00,Georgetown,TX,Light,3 minutes,"A stationary light. Bright like a star, moved and followed an airplane then took off",https://nuforc.org/webreports/reports/172/S172650.html
87,2022-10-15 21:18:00,Irving,TX,Changing,,I originally thought it was a Satellite but the later I thought maybe it is possibly a UFO,https://nuforc.org/webreports/reports/173/S173457.html
