,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-18 13:27:00,Hurricane,UT,Cigar,10 minutes,Saw what looked like a long cigar shaped object and another tiny flashing light zipping around it.,https://nuforc.org/webreports/reports/175/S175836.html
1,2023-04-26 12:00:00,Echo canyon,UT,Cylinder,4 seconds,Shiny tick tack shaped object appeared out of nowhere and flew into a very small cloud and never came out.,https://nuforc.org/webreports/reports/175/S175514.html
2,2023-04-21 21:50:00,Provo,UT,Triangle,2-3 Minutes,A triangular object viewed from my backyard during a cloudy night.,https://nuforc.org/webreports/reports/175/S175459.html
3,2023-04-18 23:07:00,Paradise,UT,Orb,Approx. 5+ minutes,Sighted a strange hovering light above hills a near/on ground west of Paradise,https://nuforc.org/webreports/reports/175/S175291.html
4,2023-04-09 21:30:00,Altamont,UT,Light,Approximately 4 seconds,Fast moving light with erratic movement,https://nuforc.org/webreports/reports/175/S175676.html
5,2023-04-07 00:30:00,Clinton,UT,Triangle,5 minutes,Saw two slow moving black triangles high up in the sky.,https://nuforc.org/webreports/reports/175/S175317.html
6,2023-02-15 10:34:00,Syracuse,UT,Diamond,,"We were leaving a jobsite and my friend spotted this wierd craft just crusing slowly close by us, i grabbed my camera got video n photo",https://nuforc.org/webreports/reports/174/S174583.html
7,2023-02-12 20:00:00,Saratoga springs,UT,Circle,2 minutes,Circular object with three flashing lights heading south,https://nuforc.org/webreports/reports/174/S174480.html
8,2023-02-12 19:00:00,West Jordan,UT,Light,1 minute,Lights over Salt Lake City,https://nuforc.org/webreports/reports/174/S174467.html
9,2023-02-10 18:11:00,My Pleasant,UT,Cigar,At least 45 min,2 Large cigars/saucers over the mountain,https://nuforc.org/webreports/reports/174/S174621.html
10,2023-02-07 13:43:00,Logan,UT,Diamond,3-4 Seconds,Witnessed a large object fly through low clouds in a small canyon.,https://nuforc.org/webreports/reports/174/S174353.html
11,2022-12-28 07:00:00,Grand County,UT,Light,2 minutes,3 white lights the moved slowly.,https://nuforc.org/webreports/reports/173/S173692.html
12,2022-12-26 19:54:00,Layton,UT,Sphere,30 mibn and ongoing,ufo over layton utah,https://nuforc.org/webreports/reports/173/S173588.html
13,2022-12-24 14:46:00,Teasdale,UT,Disk,During photo,I did not notice the object until I got home and saw the photo.,https://nuforc.org/webreports/reports/173/S173816.html
14,2022-12-09 13:15:00,Payson,UT,Light,Less than a minute.,"A bright silver light appearing out of nowhere, then completely disappearing.",https://nuforc.org/webreports/reports/173/S173353.html
15,2022-11-01 21:28:00,Holladay,UT,Cone,2 seconds,I saw 2 lights appear in the sky that moved to that moved into a cloud and then the lights disappeared,https://nuforc.org/webreports/reports/172/S172741.html
16,2022-10-22 01:30:00,St George,UT,Light,Over 30 minutes. Months,3 sets of 2. Another showed up followed by streaking light.,https://nuforc.org/webreports/reports/172/S172562.html
17,2022-10-01 23:00:00,Delta,UT,Formation,Maybe 3 seconds,5 objects in a tight vee formation flying very fast East to West,https://nuforc.org/webreports/reports/172/S172137.html
18,2022-10-01 04:30:00,Bountiful,UT,Light,45 seconds,deep above maybe outer space,https://nuforc.org/webreports/reports/172/S172206.html
19,2022-09-30 20:48:00,West valley city,UT,Disk,"2 mins, 855pm 1 min, 9.",Caught on ring camera,https://nuforc.org/webreports/reports/172/S172124.html
20,2022-09-23 23:45:00,Peoa,UT,Circle,"20 minutes, still occurin","Multiple ufo in a line, possible a larger ship also",https://nuforc.org/webreports/reports/172/S172052.html
21,2022-09-20 20:30:00,Virgin,UT,Light,30 minutes,Three objects moving in the sky at the same time into different directions and able to go back to their previous location faster than h,https://nuforc.org/webreports/reports/172/S172800.html
22,2022-09-17 13:40:00,Provo,UT,Sphere,5 minutes,"Witnessed a spherical object hovering motionless 2000' in the air. After several minutes it made a rapid, controlled descent.",https://nuforc.org/webreports/reports/171/S171841.html
23,2022-09-10 21:13:00,Centerville,UT,Disk,10 Minutes,Saw 23 illuminated disks slowly flying overhead above my home in Centerville.,https://nuforc.org/webreports/reports/173/S173863.html
24,2022-09-06 19:10:00,PRICE,UT,Rectangle,about two minutes,"UFO Sighting by two 5th graders - large square shape, erratic movements, in evening sky above Price Utah",https://nuforc.org/webreports/reports/171/S171637.html
