,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-08 21:00:00,Colchester,VT,Sphere,1+ hours,"Color changing, appears to be spinning UFO over Lake Champlain",https://nuforc.org/webreports/reports/175/S175267.html
1,2023-03-22 20:25:00,Barnet,VT,Flash,Flash,"Orange flashes of light, various positions",https://nuforc.org/webreports/reports/175/S175084.html
2,2023-03-20 06:00:00,East Middlebury,VT,Orb,1.5 hours,2 or 3 sorta blue orbs floating in the sky.,https://nuforc.org/webreports/reports/175/S175060.html
3,2023-03-07 02:20:00,Thetford,VT,Orb,Within a Minute,"Bright Orb appeared, split into 2, one shot off extremely fast, the stationary one faded away.",https://nuforc.org/webreports/reports/174/S174910.html
4,2023-02-15 19:45:00,Brookfield,VT,Unknown,15 to 20 min.,We see satelites quit a bit. This was a row of about 50 of them equally spaced & going about the speed of a satellite.,https://nuforc.org/webreports/reports/174/S174588.html
5,2023-01-11 22:37:00,Colchester,VT,Oval,Several hours,These oval crafts surrounded by white lights hovering and moving around in the sky I have been observing for the past twelve years. In,https://nuforc.org/webreports/reports/173/S173867.html
6,2022-10-23 14:30:00,Essex Junction,VT,Other,1.04 Seconds,Was flying my FPV drone and this object passes in front of me.,https://nuforc.org/webreports/reports/172/S172607.html
7,2022-09-22 03:00:00,Shaftsbury,VT,Unknown,at least 10 minutes,large aircraft blinking red and green lights alternately,https://nuforc.org/webreports/reports/172/S172043.html
8,2022-09-03 22:30:00,lincoln,VT,Circle,15-20 minutes,a large glowing reddish orange circle/sphere,https://nuforc.org/webreports/reports/171/S171660.html
9,2022-09-03 21:45:00,Cambridge,VT,Other,45 seconds,Fire red pulsating ball,https://nuforc.org/webreports/reports/171/S171570.html
10,2022-08-23 21:35:00,North Ferrisburgh,VT,Light,Approximately 45 seconds,Large and bright orange flashing light moving strangely,https://nuforc.org/webreports/reports/171/S171370.html
11,2022-08-19 22:00:00,Alburgh,VT,Cigar,5-10 minutes,Disc/Cigar shaped craft floats/hovers over tree line,https://nuforc.org/webreports/reports/171/S171430.html
12,2022-08-19 22:00:00,Charlotte,VT,Cigar,About 10 seconds,A double row of white lights that appeared about 6 inches long and 1/2 inch apart (if I held a ruler up) and moving slowly.,https://nuforc.org/webreports/reports/171/S171236.html
