,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-13 22:05:00,,VA,Orb,Approximately 2 hours,Gradual moving cluster of orbs of light moving in constant pattern over course of 2 (two) hours. Confirmed with local law enforcement,https://nuforc.org/webreports/reports/175/S175764.html
1,2023-05-06 08:46:00,Fairfax,VA,Cigar,4 seconds,"Object initially appeared dark and spherical, but quickly turned, revealing that it was dull gray and cigar-like",https://nuforc.org/webreports/reports/175/S175679.html
2,2023-05-05 20:00:00,Gladstone,VA,Cylinder,30 minutes,Witnessed two cylindrical orbs hovering for 30 minutes over the James River in Gladstone Virginia.,https://nuforc.org/webreports/reports/175/S175683.html
3,2023-05-02 12:15:00,buffalo junction,VA,Oval,1 minute,silver oval shaped object flying approx 300' above highway 58 and it disappeared,https://nuforc.org/webreports/reports/175/S175556.html
4,2023-04-18 01:30:00,Purcellville,VA,Orb,20 mins,A white orb zigzagging and changing speed rapidly in the night sky.,https://nuforc.org/webreports/reports/175/S175418.html
5,2023-04-17 21:50:00,Virginia Beach,VA,Chevron,1 minutes or so,"Extremely large chevron with rounded nose, at least 3 bright lights underside flying 7 miles from Oceana NAS",https://nuforc.org/webreports/reports/175/S175302.html
6,2023-04-15 14:53:00,Manassas Park,VA,Disk,,Seen in gap in clouds,https://nuforc.org/webreports/reports/175/S175328.html
7,2023-04-15 12:00:00,Newport News,VA,Sphere,Approximately 1 minute,Dog sensed it/barked into the sky. Grey sphere. 3-4 miles high. Zig zagged and paused between movement. Met with 2nd and took off.,https://nuforc.org/webreports/reports/175/S175330.html
8,2023-04-13 00:45:00,Christiansburg,VA,Sphere,About 2 hours,At first I thought it was an airplane but noticed it was hovering in the same area,https://nuforc.org/webreports/reports/175/S175292.html
9,2023-04-07 21:55:00,Bedford,VA,Cube,2 min,Fast moving orbs of changing light appearing and disappearing in front of cars,https://nuforc.org/webreports/reports/175/S175236.html
10,2023-04-05 22:40:00,Mclean,VA,Triangle,5:00 minutes,I was out with friends when we see these 2 triangles just suddenly appear.,https://nuforc.org/webreports/reports/175/S175414.html
11,2023-03-31 19:59:00,Virginia Beach,VA,Fireball,3 minutes,"Looked like a rocket launch coming up from behind a house, traveled above and past us out of sight.",https://nuforc.org/webreports/reports/175/S175179.html
12,2023-03-26 23:01:00,Fredericksburg,VA,Other,10 seconds,Translucent/Cloaked craft passed overhead in backyard.,https://nuforc.org/webreports/reports/175/S175127.html
13,2023-03-22 20:30:00,Midlothian,VA,Circle,25 minutes and counting,Our family has seen an object with bright lights for over 30 minutes,https://nuforc.org/webreports/reports/175/S175083.html
14,2023-03-21 17:18:00,Alton,VA,Changing,1-2 minutes,While operating a drone I observed unidentifiable aerial objects,https://nuforc.org/webreports/reports/175/S175088.html
15,2023-03-15 20:35:00,Williamsburg,VA,Light,At least an hour,Bright light changed when picture taken.,https://nuforc.org/webreports/reports/175/S175026.html
16,2023-03-08 18:07:00,Dillwyn,VA,Flash,approximately 30 seconds,"Light ""flash"" for about 30 seconds, seen by 2 state employees who confirmed the sighting to each other",https://nuforc.org/webreports/reports/174/S174944.html
17,2023-03-05 16:40:00,Richmond,VA,Changing,10 min,Very high altitude - slow moving - no contrail - very bright,https://nuforc.org/webreports/reports/174/S174888.html
18,2023-03-05 13:20:00,Willis,VA,Sphere,3 minutes,I saw a whitish sphere overhead that look like it was not moving until it moved up and turned red and disappeared.,https://nuforc.org/webreports/reports/174/S174887.html
19,2023-03-03 18:31:00,Winchester,VA,Disk,One frame on SPYPOINT gam,Game cam Idk if it is real looks like a flat saucer shape above light. No traffic on the driveway at the time,https://nuforc.org/webreports/reports/174/S174986.html
20,2023-03-02 23:28:00,Farmville,VA,Unknown,10 minutes,Looked where we had seen previously and noted one object with colored lights somewhat higher than our previous sighting,https://nuforc.org/webreports/reports/174/S174850.html
21,2023-03-01 00:04:00,"Farmville,",VA,Unknown,ongoing for 30+ minutes,Went out to walk dog and saw a cluster of colored lights moving irradically (zig-zaging) and then noticed additional similar clusters.,https://nuforc.org/webreports/reports/174/S174775.html
22,2023-03-01 00:03:00,Farmville,VA,Other,Now present,"Multiple lights in array on craft, too far to discern shape. Lights red, white and blue. Erratic movements, not straight paths",https://nuforc.org/webreports/reports/174/S174774.html
23,2023-02-28 19:08:00,Fredericksburg,VA,Light,Filing at 1922: ongoing,Observed 2x stationary low UFO over a field/highway in front of my house. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174757.html
24,2023-02-19 18:35:00,Linden,VA,Light,30 seconds,A bright BRIGHT light at twilight that suddenly appeared and disappeared over the tree line about the distance of a blimp in the sky,https://nuforc.org/webreports/reports/174/S174661.html
25,2023-02-11 17:15:00,Lexington,VA,Cigar,4 minutes,"A white cylinder, rounded on both ends, about 5 or 6 times longer than wide. No wings, no contrail, no sound.",https://nuforc.org/webreports/reports/174/S174450.html
26,2023-02-10 07:10:00,Alexandria,VA,Oval,3 minutes maybe,Saw two flying objects flying in circles and erratic movements then they disappeared.,https://nuforc.org/webreports/reports/174/S174384.html
27,2023-01-30 21:15:00,Richmond,VA,Circle,Five minutes,Unexplained movement of one object and 40 or so more objects.,https://nuforc.org/webreports/reports/174/S174255.html
28,2023-01-28 16:00:00,Fries,VA,Egg,3 minutes in sight,Weird egg in the sky,https://nuforc.org/webreports/reports/174/S174223.html
29,2023-01-20 05:00:00,Hayes,VA,Star,Less than 30 seconds,I believe the craft sensed that I noticed it since I look at the same spot all the time and it seemed aware of me.,https://nuforc.org/webreports/reports/174/S174029.html
30,2023-01-10 21:13:00,Hamilton,VA,Changing,A minute,A flashing orb that projected different shapes and disappeared,https://nuforc.org/webreports/reports/173/S173864.html
31,2023-01-09 17:35:00,Chesterfield,VA,Cylinder,5 seconds,Thought it was small meteor or back of a missile (Ive never seen one). But it was extraordinary fast with no sound. Parallel to tree.,https://nuforc.org/webreports/reports/173/S173821.html
32,2023-01-01 12:00:00,Roanoke,VA,Unknown,1 minute,Red bell moving in jerky almost as u would move a laser pointer.,https://nuforc.org/webreports/reports/173/S173977.html
33,2023-01-01 00:45:00,North Chesterfield,VA,Formation,1 minute,Two lights moving together in formation at fast speed,https://nuforc.org/webreports/reports/173/S173660.html
34,2022-12-30 16:45:00,Bristow,VA,Fireball,Approx 5 minutes,It has a white end trail then just burst into black smoke and kept going,https://nuforc.org/webreports/reports/173/S173653.html
35,2022-12-28 19:00:00,Fulks run,VA,Diamond,Few hours,Just me,https://nuforc.org/webreports/reports/173/S173638.html
36,2022-12-26 18:03:00,Nags head,VA,Other,30 seconds,"Spiraling, multicolored, octogan aircraft moving rapidly, disappearing from sight and returning very fast through the sky",https://nuforc.org/webreports/reports/173/S173902.html
37,2022-12-13 20:43:00,Richmond,VA,Oval,1 or 2 seconds,Blue orb seen for 1-2 seconds at approximately 100 feet in altitude flying from east to west over the southern end of RIC.,https://nuforc.org/webreports/reports/173/S173403.html
