,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-16 23:59:00,Castle Rock,WA,Cross,Maybe 5 seconds,"Cross-shaped, white object with blurry or foggy appearance (possibly pulsating) moving at low altitude but high rate of speed",https://nuforc.org/webreports/reports/175/S175819.html
1,2023-05-11 22:11:00,Renton,WA,Orb,I filmed two minutes,I was in the front yard with the dog and saw a bright light that was too close to be a planet.,https://nuforc.org/webreports/reports/175/S175756.html
2,2023-05-10 20:00:00,Oak Harbor,WA,Light,4 hours,"Very bright light, and much (100x) larger than any star, approx 30 degrees off the horizon and stationary",https://nuforc.org/webreports/reports/175/S175738.html
3,2023-05-01 22:00:00,Newport,WA,Fireball,20 seconds,I seen a big white ball of light followed by a trail of lights,https://nuforc.org/webreports/reports/175/S175561.html
4,2023-04-28 05:00:00,Woodland,WA,Light,2.5 minutes,Ball of light that flew overhead across the sky at a steady speed,https://nuforc.org/webreports/reports/175/S175546.html
5,2023-04-27 11:50:00,Lacey,WA,Circle,,I was on the free way and seen something out side my side window and it was a circle shape flying and than disappeared,https://nuforc.org/webreports/reports/175/S175532.html
6,2023-04-25 21:10:00,Kent,WA,Unknown,2 seconds,"Bright green light flying in a straight line from east to west, at least 120mph.",https://nuforc.org/webreports/reports/175/S175509.html
7,2023-04-22 19:00:00,Spokane Valley,WA,Cylinder,15+ min,Rocket-shaped object floating in place above Spokane Valley,https://nuforc.org/webreports/reports/175/S175457.html
8,2023-04-16 21:00:00,Castle Rock,WA,Light,3-5 mins,Orange fleet of lights in the sky.,https://nuforc.org/webreports/reports/175/S175301.html
9,2023-04-15 04:45:00,Tukwila,WA,Star,2 seconds,Small greenish light .,https://nuforc.org/webreports/reports/175/S175404.html
10,2023-04-12 21:36:00,Spokane,WA,Light,At least 45 minutes,Group of shimmering lights jiggling in sky,https://nuforc.org/webreports/reports/175/S175368.html
11,2023-04-12 21:17:00,Seattle,WA,Unknown,26 seconds (on video),Fast moving object with tail traveling west over Seattle,https://nuforc.org/webreports/reports/175/S175306.html
12,2023-03-29 21:10:00,Kirkland,WA,Chevron,1 minute,"Looking toward the moon, I saw a craft that was very bright and had no position lights moving both vertically & horizontally",https://nuforc.org/webreports/reports/175/S175165.html
13,2023-03-22 09:42:00,Nespelem,WA,Triangle,1 minutes,Three aircraft flying low only 100ft or so in the air air,https://nuforc.org/webreports/reports/175/S175090.html
14,2023-03-22 03:11:00,Spokane,WA,Orb,1 second twice.,clear night sky,https://nuforc.org/webreports/reports/175/S175079.html
15,2023-03-18 21:00:00,Bellevue,WA,Changing,1minute,Low-flying piloted aircraft,https://nuforc.org/webreports/reports/175/S175059.html
16,2023-03-15 21:26:00,Bellevue,WA,Circle,Still visible,"Glowing circle, stationary",https://nuforc.org/webreports/reports/175/S175015.html
17,2023-03-14 06:45:00,Friday Harbor,WA,Light,Observed for 30 seconds,Small Golden Speck of Light Floating Above San Juan Islands,https://nuforc.org/webreports/reports/174/S174997.html
18,2023-03-11 20:00:00,Chehalis,WA,Unknown,1 second,Quick UAP,https://nuforc.org/webreports/reports/174/S174977.html
19,2023-03-09 23:07:00,Port Orchard,WA,Orb,~1 minute 30 seconds,"6 orbs of light, closely packed, about 100 ft from the ground and slowly floating away.",https://nuforc.org/webreports/reports/174/S174955.html
