,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-04 05:00:00,Logan,WV,Light,1-2 seconds,"Bright white circle left light streak, faster than any jet",https://nuforc.org/webreports/reports/175/S175684.html
1,2023-03-26 15:45:00,Barboursville,WV,Changing,3 minutes,Pie pan shaped ufo,https://nuforc.org/webreports/reports/175/S175164.html
2,2023-03-07 21:30:00,Elkfork road,WV,Triangle,1 minute,"We were sitting watching stars when a massive triangular craft with 3 white lights on the bottom, flying very low, no noise flew over.",https://nuforc.org/webreports/reports/174/S174928.html
3,2023-03-01 03:30:00,Morgantown,WV,Sphere,30 Seconds,Reddish orange sphere hovering above neighbor's residence.,https://nuforc.org/webreports/reports/175/S175502.html
4,2023-02-23 19:10:00,Genoa,WV,Sphere,3-5 minutes,"Looks like a very bright star, but moves (mostly back and forth slowly). It moved down ~2 degrees in 10 min. Cloud cover it sometimes",https://nuforc.org/webreports/reports/174/S174699.html
5,2023-02-10 19:39:00,Williamson,WV,Disk,Around 10-12 minutes,I was working in my tool shed and was coming back in and saw the craft with my wife and my cousin. It then went further down with speed,https://nuforc.org/webreports/reports/174/S174409.html
6,2023-01-24 18:39:00,Ballard,WV,Circle,About 15-20mins,Took a brief video of ball of colorful lights spinning and moving fast around the sky above a mountain in the eastern sky. It was glowi,https://nuforc.org/webreports/reports/174/S174123.html
7,2023-01-01 18:00:00,Middlebourne,WV,Sphere,5 minutes,My fiance and I along with a friend were driving home when 3 crafts appeared right beside us on the road.,https://nuforc.org/webreports/reports/174/S174930.html
8,2022-12-27 23:30:00,Berkeley Springs,WV,Triangle,3 seconds,triangle over hospital at night,https://nuforc.org/webreports/reports/173/S173604.html
9,2022-12-27 23:25:00,Berkeley Springs,WV,Triangle,6-7 seconds,Low level silent triangle shaped exhibiting seemingly impossible acceleration,https://nuforc.org/webreports/reports/174/S174120.html
10,2022-12-08 20:02:00,Moundsville,WV,Circle,Approximately 1 hour,Saw unidentified floating lighted objected,https://nuforc.org/webreports/reports/173/S173887.html
11,2022-11-20 22:52:00,Mt. Hope,WV,Other,1 hour plus,"Distant sighting, unfortunately I may not have enough useful info to be helpful",https://nuforc.org/webreports/reports/173/S173087.html
12,2022-11-15 00:37:00,Elkview,WV,Other,Approximately 15 minutes,"Bright light straight across small rd, no houses or other lights",https://nuforc.org/webreports/reports/173/S173351.html
13,2022-11-09 22:40:00,Weirton,WV,Cylinder,10 minutes,I have pictures,https://nuforc.org/webreports/reports/172/S172905.html
14,2022-11-07 02:45:00,Morgantown,WV,Disk,Under mind control,Hearing voices for the past 8 months to a year and I have come to conclusion it's from Alien activity.,https://nuforc.org/webreports/reports/172/S172856.html
15,2022-10-20 16:00:00,Falling Waters,WV,Cylinder,15 seconds,"Unknown object, like skinny blimp or tube",https://nuforc.org/webreports/reports/172/S172475.html
16,2022-10-06 08:12:00,Bluefield,WV,Light,1-2 minutes,Star and Portal,https://nuforc.org/webreports/reports/172/S172290.html
17,2022-09-29 18:45:00,west hamlin,WV,Circle,30-45 minutes,several ufo/uap seen in the south western sky from my location by 3 whitnesses. white circle shape flying objects that disappeared.,https://nuforc.org/webreports/reports/172/S172112.html
18,2022-09-20 22:48:00,Rural/Not Applicable,WV,Changing,1 minute 34 seconds,Smoking a cigarette and walking the dog in the yard late in the evening when I looked up and saw the object. Shot a video on an iPhone.,https://nuforc.org/webreports/reports/171/S171950.html
19,2022-09-03 17:00:00,Hedgesville,WV,Circle,Every night all night,"Seen at day and night 5 bball sized orange spheres that spyed on us without lights on. Metallic softball sized spheres, large entity",https://nuforc.org/webreports/reports/171/S171640.html
20,2022-09-02 21:00:00,Hedgesville,WV,Changing,10 minutes approximately,"Driving n see a orange ball flying 5 times fast as plane beside me in a field as if racing or chasing me, I pulled over and stopped.",https://nuforc.org/webreports/reports/171/S171543.html
21,2022-09-02 20:40:00,Fairmont,WV,Sphere,Roughly 3-4 seconds,Orange sphere in the sky,https://nuforc.org/webreports/reports/171/S171746.html
22,2022-08-07 22:30:00,Morgantown,WV,Fireball,2+ hours,UFO bounces and zips infront of house for over 2 hours,https://nuforc.org/webreports/reports/170/S170984.html
23,2022-07-31 21:11:00,Keyser,WV,Orb,2 minutes,Saw an orb that interacted with me.,https://nuforc.org/webreports/reports/171/S171567.html
24,2022-07-23 02:00:00,Morgantown,WV,Star,About an hour and a half.,"Moving star. Not a satellite. Saw it in the sky southwest of my location, but it moved to dead center of the sky where I was at.",https://nuforc.org/webreports/reports/170/S170618.html
25,2022-06-25 22:35:00,Renick,WV,Light,3 min,Extremely bright Orange lights by the windmills,https://nuforc.org/webreports/reports/170/S170091.html
26,2022-06-19 17:47:00,Weirton,WV,,,"MADAR site 192, 28 mi east of McKees Rocks had magnetometer spikes, plus compass change.",https://nuforc.org/webreports/reports/173/S173701.html
27,2022-05-30 19:45:00,CHARLESTON,WV,Oval,4 minutes,Multi colored orbs.,https://nuforc.org/webreports/reports/167/S167988.html
28,2022-05-29 00:00:00,Middlebourne,WV,Orb,Videod orb for 4 to 5 mi,I was in the back of my vehicle when I just happened to look ahead and out of the ground came a pulsating light. 2 others confirmed,https://nuforc.org/webreports/reports/170/S170283.html
29,2022-05-12 00:01:00,Gordonsville,WV,Unknown,15 minutes,AC reported numerous slow moving lights west to east above flight level 390,https://nuforc.org/webreports/reports/167/S167829.html
30,2022-04-21 22:00:00,,WV,Cylinder,Long lots of white lights,I saw this object flying over me it was long in shape lots of white lights then it was gone,https://nuforc.org/webreports/reports/167/S167580.html
31,2022-04-21 21:52:00,,WV,,,"4 aircraft reported, many pilots discussed on frequency. ((NUFORC Note: Report from /faa employee. Starlink satellites?? PD))",https://nuforc.org/webreports/reports/167/S167563.html
32,2022-04-18 20:55:00,Parkersburg,WV,Triangle,Approximately 5 minutes,Triangular light formation seen hovering above water tower on my drove home,https://nuforc.org/webreports/reports/172/S172840.html
33,2022-04-10 01:57:00,clarksburg,WV,Cigar,20h hours,2 craft meet on ridge and disappear,https://nuforc.org/webreports/reports/167/S167447.html
34,2022-04-10 01:57:00,Weirton,WV,,,MADAR Node 192 Interesting spikes at time of Clarksburg sighting,https://nuforc.org/webreports/reports/170/S170991.html
35,2022-04-01 15:53:00,Weirton,WV,,,MADAR Node 192,https://nuforc.org/webreports/reports/167/S167521.html
36,2022-03-16 06:20:00,Weirton,WV,,,MADAR Node 192,https://nuforc.org/webreports/reports/167/S167242.html
37,2022-03-11 23:04:00,Weirton,WV,,,MADAR Node 192,https://nuforc.org/webreports/reports/167/S167190.html
38,2022-03-01 01:27:00,Kearneysville,WV,Triangle,8 to 12 seconds,"Only the edges of the craft were visible the center/body of the craft seemed to project a live image of the sky above it, it was silent",https://nuforc.org/webreports/reports/166/S166941.html
39,2022-02-21 19:00:00,Morgantown,WV,Fireball,2 minutes,"My wife & I saw 3 orange/yellow objects that looked like fire pop up from horizon, move across the sky and disappear into the clouds",https://nuforc.org/webreports/reports/166/S166800.html
40,2022-02-15 21:15:00,Charleston,WV,Rectangle,4 seconds,Green square in sky moving at high speed.,https://nuforc.org/webreports/reports/166/S166719.html
41,2021-12-24 17:48:00,MacArthur,WV,Circle,1-2 minutes,I did not see the ufo until I was viewing pictures of the sunset on the evening of Christmas Eve.,https://nuforc.org/webreports/reports/166/S166568.html
42,2021-12-12 19:00:00,Jumping Branch,WV,,5-10 minutes,Large object moving extremely slow.No sound.Red/yellow/white lights alternating in a pattern. Triangular/ovoid. Zero explanation,https://nuforc.org/webreports/reports/165/S165872.html
43,2021-12-12 18:00:00,Bridgeport,WV,Light,~20 seconds,I saw two bright white lights traveling on the exact same path that disappeared as a plane approached them.,https://nuforc.org/webreports/reports/165/S165831.html
44,2021-12-04 18:30:00,Morgantown,WV,Light,,String of lights,https://nuforc.org/webreports/reports/165/S165698.html
45,2021-11-05 18:00:00,Terra Alta,WV,Cigar,1 minute,"At approximately eighteen hundred hours, I was outside with my dog when I sighted a cigar shaped object hovering in the sky over my nei",https://nuforc.org/webreports/reports/165/S165175.html
46,2021-09-27 19:30:00,Princeton,WV,Other,10 minutes,orange streaks in Princeton WV,https://nuforc.org/webreports/reports/164/S164722.html
47,2021-09-03 23:45:00,Mount Hope,WV,Light,30-60 seconds,Light Moving Rapidly and Ascending,https://nuforc.org/webreports/reports/164/S164587.html
48,2021-08-07 21:45:00,Parkersburg,WV,Light,3 seconds,"While looking in the sky in the southern direction at either Jupiter or Saturn (orange star) from my position 39.292850 -81.542600, I s",https://nuforc.org/webreports/reports/164/S164260.html
49,2021-07-08 22:00:00,Moorefield,WV,Light,25 minutes,"Multiple non flashing lights (some were solid blue, some were red and others were kind of white) flying in all different direction all",https://nuforc.org/webreports/reports/163/S163935.html
50,2021-06-27 21:30:00,Upper Tract,WV,Light,1 min,"At approximately 21:30 we witnessed the brightest planet type light I have ever seen traveling east to west. From my point of view, th",https://nuforc.org/webreports/reports/163/S163830.html
51,2021-06-19 23:30:00,Beckley,WV,Light,2 minutes,Lighted object flies directly at United 1520 and makes sharp maneuver.,https://nuforc.org/webreports/reports/163/S163736.html
52,2021-05-28 00:20:00,Charleston,WV,Flash,1 Second,Blue Flash making quick maneuvers in the sky,https://nuforc.org/webreports/reports/163/S163396.html
53,2021-05-08 21:30:00,Lewisburg,WV,Formation,20 minutes,string of lights roughly in line numbering more than 50 heading from roughly west then turning to the south,https://nuforc.org/webreports/reports/163/S163059.html
54,2021-05-08 21:25:00,Bluefield,WV,Rectangle,1 minutes,"I saw a row of 5 lights, round, each one the same size appear in the sky and slowly 1 by 1 faded away at the same point in the sky.",https://nuforc.org/webreports/reports/163/S163078.html
55,2021-04-30 00:00:00,Oak Hill,WV,Circle,10 minutes,"A little after midnight at a resort in WV. Was outside in a hot tub relaxing. Had 3 beers 1 had a drink koozie around it, the one I was",https://nuforc.org/webreports/reports/162/S162941.html
56,2021-01-29 18:00:00,Williamstown,WV,Oval,1 minute,Two orange orb lights with no sound,https://nuforc.org/webreports/reports/161/S161836.html
57,2021-01-27 15:20:00,montcalm,WV,Sphere,10 minutes,spherical objects with lights moving in a calculated way,https://nuforc.org/webreports/reports/161/S161776.html
58,2021-01-15 19:00:00,Charleston,WV,Cigar,15 minutes,Myself abd a friend were just cleaning up our tools and material after fishing up working on my roof when we both noticed this HUGE cig,https://nuforc.org/webreports/reports/161/S161637.html
59,2020-12-10 03:20:00,McConnell,WV,Disk,3 seconds,Seen from old rt 10 on 3 mile curve. One disc like structure at high speed was witnessed to drop straight down behind tree line locate,https://nuforc.org/webreports/reports/161/S161140.html
60,2020-11-26 01:34:00,Webster Springs,WV,Disk,15 minutes,Unexplained craft rising from the side of the mountain.,https://nuforc.org/webreports/reports/160/S160810.html
61,2020-11-11 01:30:00,Moundsville,WV,Unknown,30 seconds,The night of the above date my father and I were spending the night at Moundsville St Penn in West Virginia. I have been there before o,https://nuforc.org/webreports/reports/164/S164330.html
62,2020-11-08 14:00:00,Huntington,WV,Changing,2 minutes,2 round objects in the sky.,https://nuforc.org/webreports/reports/160/S160496.html
63,2020-11-05 11:03:00,Montrose,WV,Other,Ongoing,For well over a month now I have been seeing these orange or bright LED orbs where I live. My neighbor up the road has seen and managed,https://nuforc.org/webreports/reports/160/S160434.html
64,2020-10-17 23:00:00,Mount Hope,WV,Light,2 minutes,Object at Low Altitude Zigzagging,https://nuforc.org/webreports/reports/160/S160049.html
65,2020-10-08 12:00:00,Davy,WV,,1 hour,Intergalactic ufo have a truly wide range of shape patterns lights size n distance never discount a shaky looking star of a,https://nuforc.org/webreports/reports/160/S160467.html
66,2020-10-08 01:00:00,Charleston,WV,Light,2 seconds,Around 1am driving around kanawha city my girlfriend and I saw a white light with a green hue around it streaking down toward the groun,https://nuforc.org/webreports/reports/159/S159811.html
67,2020-09-24 22:15:00,Weston,WV,Fireball,1 minute,Fireball like object seen in sky from Weston WV.,https://nuforc.org/webreports/reports/159/S159535.html
68,2020-09-20 23:40:00,Valley grove,WV,Other,30 seconds,UFO mother ship stalking me and one of its smaller ships coming close,https://nuforc.org/webreports/reports/159/S159510.html
69,2020-09-05 21:20:00,Fayetteville,WV,Sphere,10 minutes,Crafts with Falling sparks,https://nuforc.org/webreports/reports/159/S159174.html
70,2020-09-04 13:00:00,Mannington,WV,Light,1 minutes,Light travels fast then stops,https://nuforc.org/webreports/reports/159/S159196.html
71,2020-09-04 01:00:00,Williamstown,WV,Teardrop,Seconds,Looked up and caught a glimpse of a light moving faster than any plane Ive ever seen. 2?? 3?? Times as fast. Covered the horizon dista,https://nuforc.org/webreports/reports/159/S159138.html
72,2020-08-30 22:30:00,Curtin,WV,Light,>30 minutes,My husband and I were leaving from a storage shed that out friend is renting and we are storing some items in. As I was backing out int,https://nuforc.org/webreports/reports/159/S159047.html
73,2020-08-16 20:30:00,REEDY,WV,Other,10 minutes,Friend called me ask me to go outside and look for a craft that was just hovering in the air it was there almost 10 minutes and never m,https://nuforc.org/webreports/reports/158/S158639.html
74,2020-08-10 23:30:00,Bunker Hill,WV,Triangle,3-5 minutes,"witnessed a bright craft that appeared to be orange or amber in color. At first I thought it was a light or a star, but it started dart",https://nuforc.org/webreports/reports/158/S158443.html
75,2020-08-02 21:45:00,Berkeley Springs,WV,Triangle,1.5-2.5 minutes,There were two objects. A triangle shaped on heading east and dot of light heading west. When they heard each other the dot made a 90 d,https://nuforc.org/webreports/reports/158/S158177.html
76,2020-07-29 02:45:00,Charlestown/ Harpers Ferry,WV,Changing,60 minutes,Unknown lights over Jefferson county wv,https://nuforc.org/webreports/reports/158/S158027.html
