,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-09 11:00:00,Peshtigo,WI,Changing,20 minutes,"Very bright, did not appear to move, changed shape",https://nuforc.org/webreports/reports/175/S175720.html
1,2023-04-28 20:55:00,Milwaukee,WI,Circle,30 seconds,"A light approximately twice the magnitude of Venus appeared due South, unmoving and held position until vanishing 30s later.",https://nuforc.org/webreports/reports/175/S175587.html
2,2023-04-23 23:28:00,Waukesha,WI,Circle,Approximately 5 minutes,Dropped out from clouds,https://nuforc.org/webreports/reports/175/S175486.html
3,2023-03-29 19:45:00,Madison,WI,Light,2 minutes,Northeast part of sky left of Virgo constellation,https://nuforc.org/webreports/reports/175/S175161.html
4,2023-03-26 03:35:00,La Crosse,WI,Other,6 or seven seconds probab,Thought it was a shooting star then four more came through the clouds,https://nuforc.org/webreports/reports/175/S175120.html
5,2023-03-01 18:45:00,Delavan,WI,Light,45 minutes on going,2 close bright lights very close staionary. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174808.html
6,2023-03-01 18:42:00,Bristol,WI,Light,At least 15 minutes,2 white lights in skyJust sat there hovering,https://nuforc.org/webreports/reports/174/S174903.html
7,2023-02-20 17:00:00,Hartford,WI,Disk,2 minutes,Witness saw two ufos hovering and then leave and then saw one more and then leave.,https://nuforc.org/webreports/reports/174/S174681.html
8,2023-02-17 08:48:00,"On the way to Wapaca, Wisconsin",WI,Unknown,time taking the videos,"Clear sky, suddenly while driving an object was falling from the sky.",https://nuforc.org/webreports/reports/174/S174630.html
9,2023-02-13 19:00:00,Antigo,WI,Unknown,,"Was driving, caught my eye in the sky as I was on a dark road, ignored it and kept going until it never disappeared so I pulled over",https://nuforc.org/webreports/reports/174/S174519.html
10,2023-02-12 03:15:00,Fort Atkinson,WI,Light,30 minutes,A number of white lights low above the horizon.,https://nuforc.org/webreports/reports/174/S174589.html
11,2023-02-11 19:00:00,Madison,WI,Other,10 minutes,"Like a shooting star that kept repeating on the exact same course, with moments of darkness between.",https://nuforc.org/webreports/reports/174/S174443.html
12,2023-02-02 18:25:00,Dane,WI,Egg,30 seconds,White Egg shape being followed by aircraft,https://nuforc.org/webreports/reports/174/S174260.html
13,2023-02-01 10:26:00,Sun Prairie,WI,Circle,786,We were walking in the forest and we looked up and saw a ton of moving lights,https://nuforc.org/webreports/reports/174/S174251.html
14,2023-01-08 17:21:00,Madison,WI,Chevron,10 minutes,Took my dog outside and instantly noticed lights in the sky.,https://nuforc.org/webreports/reports/173/S173801.html
15,2022-12-12 18:45:00,Belgium,WI,Light,Approximately 4 minutes,Seven bluish white lights zigzagging in the sky at unexplainable speeds and directions. Beams going down to earth.,https://nuforc.org/webreports/reports/173/S173392.html
16,2022-12-03 00:05:00,Kaukauna Wi 54130,WI,Oval,5 Minutes,A huge fastball of light that looked like a tik tak,https://nuforc.org/webreports/reports/173/S173241.html
17,2022-11-28 22:15:00,sun prairie,WI,Triangle,,Triangular Spaceship Object,https://nuforc.org/webreports/reports/173/S173224.html
18,2022-11-24 18:30:00,Wausau,WI,Unknown,6 min,It was blinking lights unsure about the shape it was too high,https://nuforc.org/webreports/reports/173/S173170.html
19,2022-11-24 04:23:00,New Lisbon,WI,Circle,1 photo on trail camera,I have pics on trail cameras from different areas on my property,https://nuforc.org/webreports/reports/173/S173326.html
20,2022-11-21 19:10:00,Oregon,WI,Circle,2 Minutes,Drone sightings?,https://nuforc.org/webreports/reports/173/S173148.html
21,2022-11-20 22:00:00,Oregon,WI,Circle,All night,See videos,https://nuforc.org/webreports/reports/173/S173131.html
22,2022-11-18 19:14:00,Mount Horeb,WI,Other,3-5 seconds,"almost satellite/telescope shaped but was either very large or very close. flew soundlessly and smoothly, rotated as it went",https://nuforc.org/webreports/reports/173/S173079.html
23,2022-10-26 23:51:00,Oshkosh,WI,Orb,1 sec,Orb or UAP moving fast,https://nuforc.org/webreports/reports/172/S172621.html
24,2022-10-23 20:01:00,Waterford,WI,Light,6 seconds,I saw a rectangular circle like white light with a blue like hue to it above me. It went from being this square/circle like shape,https://nuforc.org/webreports/reports/172/S172390.html
25,2022-10-18 12:53:00,Sheboygan,WI,Triangle,Very brief,Accidentally photographed a UFO when I was taking pictures of the waves,https://nuforc.org/webreports/reports/173/S173004.html
26,2022-10-15 08:06:00,Mequon,WI,Light,2 min,2 red light flying in straight line no blinking,https://nuforc.org/webreports/reports/172/S172352.html
27,2022-10-10 01:00:00,milwaukee,WI,Disk,5 minut,real,https://nuforc.org/webreports/reports/172/S172276.html
28,2022-10-07 20:15:00,Merrill,WI,Changing,10 minutes,"Low steady, ambersih, lights flying in a very slow straight line. At a point, they would make a hard turn up and away.",https://nuforc.org/webreports/reports/172/S172534.html
29,2022-10-07 20:15:00,Egg harbor,WI,Orb,Unknown,Took a picture of the moon and to the left noticed a blue sphere and a black tail,https://nuforc.org/webreports/reports/173/S173259.html
