,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-14 21:40:00,Thermopolis,WY,Light,2 minutes,"It was a long ladder, leg, two parallel lines of lights connected by other lines of light moving south east high in the sky.",https://nuforc.org/webreports/reports/175/S175780.html
1,2023-05-06 20:00:00,Rock Springs,WY,Sphere,3 minuets,Floating orb on western horizon next to sun,https://nuforc.org/webreports/reports/175/S175686.html
2,2023-04-28 02:15:00,Cheyenne,WY,Egg,Still going on,Three hovering objects,https://nuforc.org/webreports/reports/175/S175596.html
3,2023-03-04 03:04:00,North Rock Springs,WY,Light,1 hour+,My fiance and Isaw moving yellow lights engaging in high speed maneuvers,https://nuforc.org/webreports/reports/174/S174864.html
4,2023-02-12 19:08:00,Wheatland,WY,Formation,10 min,WY,https://nuforc.org/webreports/reports/174/S174485.html
5,2022-11-02 01:30:00,Douglas/Bill,WY,Light,1 second,1 second of bright green light 50 mile radius minimum,https://nuforc.org/webreports/reports/172/S172767.html
6,2022-09-24 03:20:00,Cheyenne,WY,Orb,10+ minutes,"At approximately 0327 MDT the pilot of a Delta B767 flying at 37,000ft reported seeing 3-4 white lights circling above his aircraft.",https://nuforc.org/webreports/reports/172/S172047.html
7,2022-09-05 06:12:00,Casper,WY,Cigar,2min.,"White, glowing cigar shaped object",https://nuforc.org/webreports/reports/171/S171591.html
8,2022-08-22 21:27:00,"Friend Park. West of Laramie Mountain, Wyoming",WY,Formation,20 seconds,"String of bright lights going from West to East. Seemed to end in the same spot. Observed the same lights, night before",https://nuforc.org/webreports/reports/171/S171352.html
9,2022-08-19 21:15:00,Jeffrey City,WY,Cigar,2-3 minutes,I saw a cigar shaped object slowly moving west to east about 10° above horizon.,https://nuforc.org/webreports/reports/171/S171393.html
10,2022-07-29 03:51:00,Wheatland,WY,Circle,2 minutes,Took exit to stretch legs looked up and saw movement got cell phone and took video.,https://nuforc.org/webreports/reports/171/S171552.html
11,2022-07-23 22:30:00,Medicine bow,WY,Cylinder,1-4 minutes,.5-2 miles above ground,https://nuforc.org/webreports/reports/170/S170698.html
12,2022-07-16 12:57:00,Laramie,WY,Sphere,Sense sunset the 15th,Saw a bright object at sunset above clouds that looked balloon shaped with binoculars.,https://nuforc.org/webreports/reports/170/S170465.html
13,2022-07-15 20:00:00,"laramie, wyoming",WY,Cone,30 minutes,Looked up in the dimming night sky--sun was still setting--orange to the west---above I saw a very bright -very large STRAIGHT object,https://nuforc.org/webreports/reports/170/S170470.html
