,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-17 15:30:00,Santa Barbara,CA,Other,2 min 23 sec,"1 Rotation ~ 1 sec, Wobbling. Square but thinner in one dimension. Slowly moving North, than south. Video available.",https://nuforc.org/webreports/reports/175/S175812.html
1,2023-05-16 22:45:00,Claremont,CA,Light,15 minutes,Hovering and darting blinking lights at about 1 Hz cycle rate.,https://nuforc.org/webreports/reports/175/S175811.html
2,2023-05-14 22:20:00,College city,CA,Formation,Cant explain w 25 charac,Clear night. About 10:20 pm..walking/we turn around and see about 20 lights or so in line..right when I put flashlight up/ faded away,https://nuforc.org/webreports/reports/175/S175785.html
3,2023-05-08 19:49:00,West hills,CA,Changing,5 minutes,"3 black objects in a vertical line, spinning and changing shape an high altitude.",https://nuforc.org/webreports/reports/175/S175751.html
4,2023-05-07 01:00:00,La Mirada,CA,Fireball,3 minutes,Fireball descends and flickers away into night sky,https://nuforc.org/webreports/reports/175/S175748.html
5,2023-05-06 18:24:00,Chula Vista,CA,Unknown,30 minutes,Shinning object higher than keys I have a video,https://nuforc.org/webreports/reports/175/S175685.html
6,2023-05-05 23:00:00,Pacifica,CA,Orb,3 min,Glowing light,https://nuforc.org/webreports/reports/175/S175692.html
7,2023-05-05 16:45:00,San Bernardino,CA,Rectangle,45 Seconds,Large Bus Like Dark Gray Rectangular UFO,https://nuforc.org/webreports/reports/175/S175698.html
8,2023-05-03 17:27:00,San Diego,CA,Rectangle,2-4 minutes,"Saw a distant, rotating, wobbling, dark plank (flat rectangle or oval, etc.)",https://nuforc.org/webreports/reports/175/S175671.html
9,2023-04-25 13:00:00,Danville,CA,Formation,Ongoing @ 0245,This may sound crazy but I believe we're witnessing an to the minute invasion,https://nuforc.org/webreports/reports/175/S175499.html
10,2023-04-24 14:32:00,San Diego,CA,Orb,about 30 seconds,"I say an orb that said ""ill kill you!""",https://nuforc.org/webreports/reports/175/S175504.html
11,2023-04-24 14:32:00,San Jose,CA,Unknown,A few minutes,I saw something white that looked like it was small and bulbous. It looked bigger than a human.,https://nuforc.org/webreports/reports/175/S175491.html
12,2023-04-23 14:30:00,Goleta/Santa Barbara,CA,Triangle,3 hours,Multiple sightings of a triangle with still lights flying by low and a fast rate of speed and a boomerang type of craft with no lights,https://nuforc.org/webreports/reports/175/S175473.html
13,2023-04-22 22:00:00,Upland,CA,Triangle,5-10 second observation,"3 circles, in a triangle formation",https://nuforc.org/webreports/reports/175/S175469.html
14,2023-04-20 22:17:00,San Geronimo,CA,Circle,15 Minutes,I already filled this out just. Now I'm just sending you a short video clip of the sighting,https://nuforc.org/webreports/reports/175/S175441.html
15,2023-04-20 22:16:00,San Geronimo,CA,Circle,fifteen minutes,A circular flashy object that changed colors,https://nuforc.org/webreports/reports/175/S175439.html
16,2023-04-19 19:42:00,San Clemente,CA,Cigar,15 seconds,Thing moving across the water unnaturally,https://nuforc.org/webreports/reports/175/S175428.html
17,2023-04-19 04:00:00,Encino,CA,Changing,57 seconds,"Witnessed surreal UFO in Encino, CA. Massive object spinning with vibrant lights. Video evidence available for further investigation.",https://nuforc.org/webreports/reports/175/S175432.html
18,2023-04-15 14:30:00,Tulare,CA,Orb,10-15 minutes,More than at lighted orbs fading from dull to bright white.,https://nuforc.org/webreports/reports/175/S175327.html
19,2023-04-15 12:45:00,Livermore/Sky over East Bay Area,CA,Changing,Minute or two.,"2 flying objects, merging into one. Heading toward Pacific Ocean.",https://nuforc.org/webreports/reports/175/S175307.html
20,2023-04-15 00:14:00,Ventura,CA,Orb,2min,a bright orange comet with tail exploded then turned into white orb,https://nuforc.org/webreports/reports/175/S175335.html
21,2023-04-14 23:50:00,ventura,CA,Fireball,5 minutes,object breaking sound barrier after breaking apart,https://nuforc.org/webreports/reports/175/S175526.html
22,2023-04-14 23:50:00,Los Angeles,CA,Star,5min,There was a star like image moving away from earth. A bright and long Orange/Red flame,https://nuforc.org/webreports/reports/175/S175333.html
23,2023-04-14 23:50:00,Stockton,CA,Circle,roughly 5 minutes,Orange ball of light that disappeared/reappeared multiple times,https://nuforc.org/webreports/reports/175/S175334.html
24,2023-04-14 02:30:00,Tulare,CA,Orb,10 to 15 minutes,Multiple lights fading off to bright to off,https://nuforc.org/webreports/reports/175/S175347.html
25,2023-04-11 20:45:00,San Francisco,CA,Disk,Less than 1 min.,"2 very dark, silent, unlit objects moving together, one behind the other. Low in the sky, difficult to confirm shape in dark sky.",https://nuforc.org/webreports/reports/175/S175372.html
26,2023-04-10 08:40:00,Azusa,CA,Rectangle,10 seconds,"Sighting was at Azusa pacific university, Saw a large rectangular structure in the sky moving medium pace. Lights in the front and back",https://nuforc.org/webreports/reports/175/S175388.html
27,2023-04-09 17:50:00,San Mateo,CA,Circle,Approximately 10 minutes,White reflective object tracking north northwest very slowly at very high altitude around sunset.,https://nuforc.org/webreports/reports/175/S175281.html
28,2023-04-07 02:35:00,,CA,Orb,10 minutes,"3 orbs of light, similar to stars or planets. They would glow bright and then fade. They were stationary and then would reposition.",https://nuforc.org/webreports/reports/175/S175220.html
29,2023-04-06 18:20:00,Ventura,CA,Formation,1 minute,Sparkling golden objects twirling in spiral formation,https://nuforc.org/webreports/reports/175/S175227.html
30,2023-04-06 17:30:00,Just east of Catalina Island,CA,Other,3 Seconds,"Small orb with satellite like appendages, skinny barbs",https://nuforc.org/webreports/reports/175/S175226.html
31,2023-04-02 21:20:00,Madera,CA,Light,~ 3-5 minutes,"At approximately 2120 hours on 4/2/23, I and another individual witnessed a barrage on unknown aerial phenomena in the sky over Madera.",https://nuforc.org/webreports/reports/175/S175209.html
32,2023-03-31 20:30:00,Brea,CA,Oval,5 minutes,8pm sun was still out large opaque oval in tree about 7 ft in height just up along the tree,https://nuforc.org/webreports/reports/175/S175640.html
33,2023-03-26 14:08:00,San Dimas,CA,Rectangle,approximately 4-5 minutes,"As bright as evening Venus near waxing crescent moon, high in afternoon sky.",https://nuforc.org/webreports/reports/175/S175458.html
