,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-03-15 16:10:00,Meridian,ID,Circle,20 seconds,I saw three white dots in the sky dance around each other before parting ways outside my window,https://nuforc.org/webreports/reports/175/S175108.html
1,2023-03-01 19:38:00,Garden City,ID,Circle,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174819.html
2,2023-02-13 03:13:00,Meridian,ID,Cylinder,Approximately 3 minutes,I saw a shimmering object stationary in the sky at a fairly low altitude. Way too large to be a drone. And the light was very brilliant,https://nuforc.org/webreports/reports/174/S174529.html
3,2023-02-12 20:50:00,Hagerman,ID,Formation,About 20 seconds,Looked like a chain of lights in sky then each one went out in order from back to front reminded me of flares,https://nuforc.org/webreports/reports/174/S174469.html
4,2023-02-11 00:03:00,Troy,ID,Other,25-30 minutes,"Red, green & white flashing lights too far away to determine shape",https://nuforc.org/webreports/reports/174/S174415.html
5,2023-02-08 21:03:00,Ashton,ID,Other,1 hr and still happeing,"Strange white lights on main part, green laser pointer like lights scanning the ground.. now other planes have came in",https://nuforc.org/webreports/reports/174/S174360.html
6,2023-02-02 17:00:00,Middleton,ID,Circle,2-3 min,Object in sky was white round like with black markings that resembled blocks or ladder,https://nuforc.org/webreports/reports/174/S174285.html
7,2022-12-09 17:28:00,Moscow,ID,Light,Total - 3 minutes,I observed the light when walking and as I watched it it made very precise vertical and horizontal moves,https://nuforc.org/webreports/reports/173/S173359.html
8,2022-11-17 11:24:00,Hayden,ID,Unknown,,"This sound woke me up, and I hurried outside and eventually took my boots off to quickly videotape this.",https://nuforc.org/webreports/reports/173/S173073.html
9,2022-11-12 21:40:00,Coeur d' Alene,ID,Triangle,30 Seconds,Dark Triangle with Large Round White Circles at Corners,https://nuforc.org/webreports/reports/172/S172976.html
10,2022-11-07 18:45:00,BOISE,ID,Triangle,3 min,Dark triangle with white lights on the corners.,https://nuforc.org/webreports/reports/174/S174920.html
11,2022-11-07 18:45:00,BOISE,ID,Triangle,3 min,My back yard,https://nuforc.org/webreports/reports/174/S174937.html
12,2022-10-20 04:30:00,Star,ID,Triangle,1min,1 aircraft NE to SW. No sound. Approx 1k AGL.,https://nuforc.org/webreports/reports/172/S172712.html
13,2022-10-18 05:14:00,Hayden,ID,Circle,Less than 5 minutes,"Saw three bright lights hovering over an open field. Thought they were aircraft at first, but didn't move. Eventually faded/disappeared",https://nuforc.org/webreports/reports/172/S172433.html
14,2022-10-17 01:11:00,Boise,ID,Light,Maybe 1 or 2 seconds,What seemed like only a couple hundred feet above my house a bright neon green light the size of a minivan appeared and quickly darted,https://nuforc.org/webreports/reports/172/S172496.html
15,2022-09-23 05:38:00,Lewiston,ID,Circle,Spanning across weeks,I saw one circular object that seemed to reflect light around the same time every morning for a few weeks.,https://nuforc.org/webreports/reports/173/S173076.html
16,2022-09-17 03:00:00,Hauser Lake,ID,Triangle,30 seconds,I had an interaction with a black triangle,https://nuforc.org/webreports/reports/172/S172711.html
17,2022-09-06 22:00:00,Glenns ferry,ID,Light,Approximately 5-8 minutes,"Several lights, that lit up one at a time, flew up, dimmed out..NOT STARLINK",https://nuforc.org/webreports/reports/171/S171611.html
18,2022-09-04 13:46:00,Nampa,ID,Rectangle,2 - 3 seconds at most,"Never saw actual object, heard pops, saw damaged windshield later, reviewed dashcam and discovered sighting of the object and damage.",https://nuforc.org/webreports/reports/172/S172556.html
19,2022-08-31 20:30:00,Idaho Falls,ID,Light,Only a few seconds,The best description of shape might be that of a gaming controller but it was mostly green light.,https://nuforc.org/webreports/reports/171/S171514.html
20,2022-08-23 23:57:00,Idaho Falls,ID,Light,2-3 seconds,Two soft white lights moving at high velocity in perfect parallel with visible starlight between.,https://nuforc.org/webreports/reports/171/S171413.html
21,2022-08-19 23:44:00,Sweet,ID,Chevron,About a minute and turned,It was a bright light that had different colors in went straight for about a minute then I got out of the car to take a picture,https://nuforc.org/webreports/reports/171/S171256.html
22,2022-08-19 22:45:00,Nampa,ID,Unknown,20sec-NWsky-7to8k ft. up,"Ribbon of light-several mls wide-several mls long-moving in wave motion, visible/invisible/visible again possibly due to high clouds.",https://nuforc.org/webreports/reports/171/S171457.html
23,2022-08-19 22:43:00,Nampa,ID,Cigar,10,Too many people saw it wonder what it was,https://nuforc.org/webreports/reports/171/S171255.html
24,2022-08-17 20:58:00,Coeur dalane,ID,Unknown,5 minutes,Looked like two crafts fighting in the air,https://nuforc.org/webreports/reports/172/S172066.html
25,2022-08-13 03:20:00,Nampa,ID,Light,30 minutes of observing,Saw a big explosion in sky within seconds the 1st ufo appeared was flying in strange pattern and hovering. 2nd was seen 20 min later,https://nuforc.org/webreports/reports/171/S171100.html
26,2022-08-06 19:27:00,Caldwell,ID,Light,10 minutes,7 lights and peering above Caldwell Idaho disappeared after 10 minutes,https://nuforc.org/webreports/reports/170/S170956.html
27,2022-08-05 00:30:00,Pocatello,ID,Sphere,1-2 seconds,Bright green sphere seen before flying into clouds.,https://nuforc.org/webreports/reports/170/S170981.html
28,2022-07-30 21:25:00,Dalton Gardens,ID,Orb,1 minute,Satellite type of light moving horizontally west to east disappearing,https://nuforc.org/webreports/reports/170/S170829.html
29,2022-07-24 22:00:00,Boise,ID,Formation,All night,Polar express ( quick nickname between friends),https://nuforc.org/webreports/reports/170/S170674.html
30,2022-07-23 22:00:00,Pocatello,ID,Light,10-15 minutes,"Pinkish, square lights very high up. In a straight line approx 20 miles long silent moving south to north duration 10-15 min",https://nuforc.org/webreports/reports/170/S170633.html
31,2022-07-19 00:54:00,Emmett,ID,Unknown,10 seconds,Green light turned red headed up hill,https://nuforc.org/webreports/reports/170/S170514.html
32,2022-07-16 23:27:00,Kuna,ID,Triangle,2-3 minutes,Saw a slow moving large object that was silent.,https://nuforc.org/webreports/reports/170/S170491.html
33,2022-06-28 12:30:00,Potlatch,ID,Sphere,A few seconds,"Flying drone in broad daylight in a rural area, I saw a spherical shaped object appear",https://nuforc.org/webreports/reports/170/S170223.html
34,2022-06-03 07:48:00,Idaho Falls,ID,Light,2 seconds,Driving son to school in morning and there was a bright green flash of light in sky above mountain to the East of me.,https://nuforc.org/webreports/reports/172/S172779.html
35,2022-06-01 20:00:00,Fort Hall,ID,Light,1 to 2 minutes,"Was playing with friends, my older bro got mad, and he ran and thats when the light in the sky happened.",https://nuforc.org/webreports/reports/173/S173443.html
36,2022-05-31 21:59:00,Boise,ID,Sphere,I watched for about 20 mi,I have 3 pictures I took,https://nuforc.org/webreports/reports/168/S168521.html
37,2022-05-12 13:56:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/168/S168118.html
38,2022-05-11 22:25:00,Nampa,ID,Light,10 minutes,Flashing aircraft flying,https://nuforc.org/webreports/reports/167/S167833.html
39,2022-05-09 22:25:00,Nampa,ID,Light,10 minutes,I saw 3 aircraft flying in different directions,https://nuforc.org/webreports/reports/167/S167769.html
40,2022-05-08 23:30:00,Hailey,ID,Sphere,Seconds,A bright round light,https://nuforc.org/webreports/reports/167/S167784.html
41,2022-04-24 21:37:00,Boise,ID,Rectangle,60 seconds each,3 very bright red/orange orbs with grey halos. Square metallic in center. Each flew 10 minutes apart. Hovered then high rate of speed.,https://nuforc.org/webreports/reports/167/S167642.html
42,2022-04-15 21:21:00,Boise,ID,Orb,40 seconds,Went out to observe the sky tonight for my college astronomy class and saw a bright orange orb west of my house pulsating. It was the,https://nuforc.org/webreports/reports/167/S167519.html
43,2022-04-14 07:50:00,Payette & New Plymouth,ID,Sphere,15-30 Seconds,"Spherical object, Black, high speed with short bright blast of light.",https://nuforc.org/webreports/reports/167/S167469.html
44,2022-04-05 22:27:00,Hayden,ID,Triangle,lasted about 30 seconds,Huge triangle shaped with one white light at each corner at about 25k feet above me fly by,https://nuforc.org/webreports/reports/167/S167387.html
45,2022-04-03 08:23:00,Nampa,ID,Circle,30 seconds,3 round silver objects formed a triangle,https://nuforc.org/webreports/reports/167/S167384.html
46,2022-03-11 21:12:00,,ID,Fireball,5-10 secs,Shooting star like,https://nuforc.org/webreports/reports/167/S167094.html
47,2022-03-08 20:28:00,Dalton Gardens,ID,Changing,10min,Not sure what I just seen,https://nuforc.org/webreports/reports/167/S167058.html
48,2022-03-05 00:13:00,Nampa,ID,Formation,2 HOURS,DOT CHANGING COLORS FROM RED TO GREEN TO BLUE,https://nuforc.org/webreports/reports/167/S167006.html
49,2022-02-16 19:00:00,Mountain Home AFB,ID,Orb,1 minute,5 orange orbs in a v shape hovering,https://nuforc.org/webreports/reports/166/S166854.html
50,2022-02-13 18:10:00,Idaho Falls,ID,Disk,30 minutes. I have pics,We seen 5 to 6 flying. They were orange in color and were not move real fast but disappeared quickly. I have pictures.,https://nuforc.org/webreports/reports/166/S166890.html
51,2022-01-15 04:10:00,Ketchum,ID,Circle,10 minutes,circular object going straight up in sky w/ chem trail below and red lights below the object going slow 10 min then disappeared,https://nuforc.org/webreports/reports/165/S165945.html
52,2022-01-08 21:15:00,Chubbuck,ID,Changing,Still,"Three lights alternating from red, yellow and blue",https://nuforc.org/webreports/reports/166/S166061.html
53,2022-01-08 02:24:00,Hagerman,ID,Orb,5 minutes,Bright orb descended from the sky and hovered over the road before disappearing,https://nuforc.org/webreports/reports/166/S166052.html
54,2022-01-04 02:00:00,Bosie,ID,Fireball,15-30 seconds,11 silver/Yellow balls of Flames Headed Up,https://nuforc.org/webreports/reports/166/S166375.html
55,2021-12-19 04:24:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/166/S166342.html
56,2021-11-25 20:47:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/166/S166269.html
57,2021-11-24 14:53:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/166/S166270.html
58,2021-11-20 17:30:00,Nampa,ID,Circle,,Smoke trails and hovering objects,https://nuforc.org/webreports/reports/165/S165532.html
59,2021-11-20 17:19:00,Nampa,ID,Changing,3-4 minutes,Small craft with smoke trails and extraordinary maneuvers,https://nuforc.org/webreports/reports/170/S170413.html
60,2021-11-06 09:16:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/165/S165953.html
61,2021-11-03 04:14:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/165/S165954.html
62,2021-10-29 07:57:00,Boise,ID,,,MADAR Node 111,https://nuforc.org/webreports/reports/165/S165983.html
63,2021-10-15 11:04:00,Idaho national forest,ID,Other,5 minutes,"This summer while doing research on bigfoots, I ram across 3 different alenis thru out the summer. I've been going to the same place",https://nuforc.org/webreports/reports/166/S166108.html
64,2021-10-03 05:10:00,May,ID,Oval,8-10 seconds,UFO in May Idaho illuminates the sky with contrails of lights. ((NUFORC Note: Wife's report. PD)),https://nuforc.org/webreports/reports/164/S164825.html
65,2021-10-03 05:10:00,May,ID,Oval,8-10 seconds,Glowing UFO lights up the sky in May Idaho. ((NUFORC Note: Husband's report. PD)),https://nuforc.org/webreports/reports/164/S164824.html
66,2021-09-19 19:15:00,McCall,ID,Other,2 MINUTES,"McCall Idaho 6-8 white dots observed and photo evidence (2 photos) of green ""A"" type object in two locations on lake.",https://nuforc.org/webreports/reports/164/S164768.html
67,2021-09-16 19:45:00,Pocatello,ID,Light,25 minutes,Glowing light swoops down lands atop mountain emits bright lights then chased off by 6 silent helicopters with green lights,https://nuforc.org/webreports/reports/164/S164678.html
