,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-17 23:20:00,Sharpsville,IN,Oval,1 hour,Oval like object over town no brightness,https://nuforc.org/webreports/reports/175/S175821.html
1,2023-05-15 22:41:00,SHARPSVILLE,IN,Orb,1 hour,Bright moving orb,https://nuforc.org/webreports/reports/175/S175801.html
2,2023-05-12 22:41:00,Sharpsville,IN,Orb,1 hour,Bright light moving in sky,https://nuforc.org/webreports/reports/175/S175800.html
3,2023-05-09 22:48:00,Sharpsville,IN,Cylinder,1 hour,"Rainbow circle that rotates, getting really bright and zooming in and out",https://nuforc.org/webreports/reports/175/S175719.html
4,2023-05-06 17:51:00,Franklin,IN,Changing,2mins,Its started like a ship looking then changed into a round craft,https://nuforc.org/webreports/reports/175/S175714.html
5,2023-04-27 22:59:00,Losantville,IN,Triangle,Lengthy,Large craft with multiple circular lights.,https://nuforc.org/webreports/reports/175/S175545.html
6,2023-04-25 05:15:00,Seymour,IN,Unknown,Approximately 5 seconda,5 horizontal lights side by side on single object traveling west to east at moderate speed,https://nuforc.org/webreports/reports/175/S175528.html
7,2023-04-11 23:40:00,Muncie,IN,Orb,20-30 minutes.,"I am being spaceship stalked, abducted, trafficked, kidnapped, madamed, pimped, raped, assaulted by alien terrorist criminal network.",https://nuforc.org/webreports/reports/175/S175375.html
8,2023-04-11 20:55:00,Elberfeld,IN,Light,15 to 30 seconds,3 stars orions belt. Inside left of orions belt stars bright light very fast 4 times same star and stop.,https://nuforc.org/webreports/reports/175/S175382.html
9,2023-03-29 07:26:00,Boonville,IN,Circle,1 hour,I saw a plane and something was sitting beside it then the object burst through air and disappeared,https://nuforc.org/webreports/reports/175/S175154.html
10,2023-03-14 23:35:00,Madison,IN,Disk,It was about 7 minutes.,"I saw a disk (unknown material) with lights, the top was spinning one direction and the bottom was spinning the opposite direction.",https://nuforc.org/webreports/reports/175/S175008.html
11,2023-03-08 21:00:00,Delphi,IN,Formation,2 minutes,5 bright orange lights in a straight line. Disappeared and reappeared farther to the west.,https://nuforc.org/webreports/reports/174/S174945.html
12,2023-02-25 20:05:00,Mt Summit,IN,Light,5 seconds,Bright solid white light,https://nuforc.org/webreports/reports/174/S174962.html
13,2023-02-15 10:46:00,Indianapolis,IN,Disk,20-30 Seconds,I walked out of the school and was watching a plane and noticed something smaller fly past it heading the opposite direction.,https://nuforc.org/webreports/reports/174/S174582.html
14,2023-02-13 11:15:00,Martinsville,IN,Other,about 5 - 6 hours,Look like small bits of plastic wrap heading in one direction & some float around some speed fast and all just disappear into thin air!,https://nuforc.org/webreports/reports/174/S174517.html
15,2023-01-31 19:15:00,Sulphur Springs,IN,Circle,10 seconds,Fast spherical orange light,https://nuforc.org/webreports/reports/174/S174230.html
16,2023-01-27 22:00:00,Mishawaka,IN,Sphere,5 minutes,Saw at least 50 spheres flying in aircraft formation overhead. I was awe struck by how many balls of light flying from east to west.,https://nuforc.org/webreports/reports/174/S174179.html
17,2022-12-14 19:40:00,Greenwood,IN,Triangle,3 minutes,"Three circular lights lined up in a triangular shape, then rotated clockwise",https://nuforc.org/webreports/reports/173/S173393.html
18,2022-12-01 06:20:00,CHARLESTOWN,IN,Orb,2 to 3 minutes,Bright object was seen arriving and silently hovering over neighbor's home before moving behind our house and lighting up a window.,https://nuforc.org/webreports/reports/173/S173293.html
19,2022-11-23 20:00:00,Fishers,IN,Light,10 minutes,"LIne of round lights moving south to north in single file (white light with reddish tint) -- definitely ""flying""",https://nuforc.org/webreports/reports/173/S173183.html
20,2022-11-22 20:32:00,Sunman,IN,Light,2 seconds,"2 seconds light, 5000-ish ft high, traveling east to west. Could not hear engine or nothing, absolute silence.",https://nuforc.org/webreports/reports/173/S173156.html
21,2022-11-14 15:11:00,Gary,IN,Diamond,2 seconds,It came straight down from the sky.,https://nuforc.org/webreports/reports/173/S173019.html
22,2022-11-13 18:02:00,Fort Wayne,IN,Other,In a photo I took of city,Took a photo of city skyline and noticed it after I took the photos.,https://nuforc.org/webreports/reports/173/S173005.html
23,2022-11-12 18:33:00,Merrillville,IN,Light,unknown,Lights moving in curcle,https://nuforc.org/webreports/reports/172/S172940.html
24,2022-11-10 22:36:00,Newburg,IN,Circle,Over an hour now,Bright lights 5 to 6 feet off the ground,https://nuforc.org/webreports/reports/172/S172925.html
25,2022-11-09 19:28:00,Franklin,IN,Rectangle,20 minutes,Looked like fire in the sky. Objects moving too slow to meteor or comment. Kept disappearing and reappearing every 5 or so minutes.,https://nuforc.org/webreports/reports/172/S172886.html
26,2022-11-04 15:00:00,Linton,IN,Circle,1-2 minutes,Very shiny silver looking circle,https://nuforc.org/webreports/reports/173/S173151.html
27,2022-11-01 19:10:00,daleville,IN,Unknown,2 minutes,Erratically strobed by unknown aerial vehicle,https://nuforc.org/webreports/reports/172/S172793.html
28,2022-10-31 03:00:00,Saint joe,IN,Circle,Still got,I was digging and I found an reptilian creature in the place I was digging there was a big tank out in the middle of the woods,https://nuforc.org/webreports/reports/172/S172667.html
29,2022-10-25 15:59:00,Porter county,IN,Changing,Every where i go,((NFORC Note: HOAX?? PD))Every where I go,https://nuforc.org/webreports/reports/172/S172553.html
30,2022-10-16 02:17:00,Evansville,IN,Light,Maybe 30 seconds?,Loud noise hovering over my home with blinking lights,https://nuforc.org/webreports/reports/172/S172343.html
31,2022-10-11 00:35:00,Napoleon,IN,Cross,7 seconds,"Blue light hovering, then darted left and right in rapid movements",https://nuforc.org/webreports/reports/172/S172288.html
32,2022-10-04 19:30:00,Rochester,IN,Circle,Maybe 90 seconds,We both noticed the light and then it shrunk in size until it disappeared.,https://nuforc.org/webreports/reports/172/S172172.html
33,2022-10-04 07:45:00,Fort Wayne,IN,Disk,5 minutes,Got video,https://nuforc.org/webreports/reports/172/S172191.html
34,2022-10-01 22:20:00,Granger,IN,Fireball,2-3 min,Possible UFO aircraft appeared suddenly and kept moving up the sky.,https://nuforc.org/webreports/reports/172/S172143.html
35,2022-09-25 21:15:00,Dugger,IN,Light,,"I saw a straight line of lights, they started moving counter clockwise slowly rotating and slowly started disappearing",https://nuforc.org/webreports/reports/171/S171967.html
36,2022-09-14 07:08:00,Corydon,IN,,,"MADAR site 29 shows slight variation in magnetometer, with variation of at least 3 degrees in onboard compass.",https://nuforc.org/webreports/reports/173/S173722.html
37,2022-09-14 07:08:00,Corydon,IN,Triangle,45 minutes to an hour,We were rounding a 90% turn on a small country road and they were waiting as we came out of the sharp turn,https://nuforc.org/webreports/reports/171/S171795.html
38,2022-09-09 20:15:00,Evansville,IN,Triangle,Around 2 minutes,2 objects came from east to west.,https://nuforc.org/webreports/reports/172/S172044.html
39,2022-09-01 20:55:00,Evansville,IN,Orb,5 minutes,I look out north and see a strange light formation,https://nuforc.org/webreports/reports/171/S171533.html
40,2022-09-01 18:22:00,Bluffton,IN,Sphere,About 5 minutes,Ball of light inside of a box,https://nuforc.org/webreports/reports/171/S171556.html
41,2022-08-24 23:34:00,Crawfordsville,IN,Cross,5 minutes,"Was taking night time pictures of the illuminated sky over Crawfordsville, Indiana upon reviewing pictures notice multiple UFO's",https://nuforc.org/webreports/reports/172/S172449.html
42,2022-08-22 20:50:00,Evansville,IN,Sphere,5 minutes,Very large orange sphere that sucked in on itself and then released energy and was gone,https://nuforc.org/webreports/reports/171/S171340.html
43,2022-08-19 05:50:00,Indianapolis,IN,Light,"Unsure, a couple seconds",I saw a strange light that seemed to stretch in length before disappearing,https://nuforc.org/webreports/reports/171/S171223.html
44,2022-08-13 21:01:00,Marion,IN,Changing,30min to jr,Add on to last report,https://nuforc.org/webreports/reports/171/S171212.html
45,2022-08-08 01:15:00,Bloomington,IN,Circle,60 seconds,2 black circles flying through the clouds,https://nuforc.org/webreports/reports/170/S170986.html
46,2022-08-06 20:30:00,Indianapolis,IN,Circle,2 minutes,Circular black object with two protrusions floating just under the cloud line,https://nuforc.org/webreports/reports/170/S170952.html
47,2022-08-06 19:30:00,Franklin,IN,Circle,10 minutes approximately,Observed doughnut shaped craft moving over my yard with excellent visibility conditions.,https://nuforc.org/webreports/reports/171/S171842.html
48,2022-08-06 17:00:00,Bloomington,IN,,30 seconds,Black tic-tac shaped ufo. Moved with insane speed,https://nuforc.org/webreports/reports/170/S170961.html
49,2022-08-06 03:48:00,Lanesville,IN,Unknown,1 second,"A large, white object flew across the sky. It had to be low to the ground for the size of the light. At indescribable speed.",https://nuforc.org/webreports/reports/170/S170973.html
50,2022-08-06 02:23:00,Michigan City,IN,Unknown,longer than an hour,"I honestly cant explain what i saw, it moved but never out of sight or even very far, i honestly dont know.",https://nuforc.org/webreports/reports/170/S170954.html
51,2022-07-26 21:38:00,LaPorte,IN,Oval,3 hours,"It was approximately 18 in away, 4 inches off the ground, gold and purple dense but translucent, barely a whirring sound",https://nuforc.org/webreports/reports/170/S170732.html
52,2022-07-22 22:00:00,Ossian,IN,Circle,4 minutes,"Flying saucer/UFO, Light blue neon lights, Very clear view, seemed to be 1 living ET in spacecraft, after about 4 Minutes, it was gone.",https://nuforc.org/webreports/reports/170/S170626.html
53,2022-07-11 22:37:00,Evansville,IN,Unknown,My video is 9 sec,There was like a drone then what I can describe as a man operated drone,https://nuforc.org/webreports/reports/173/S173144.html
54,2022-07-10 12:57:00,Alexandria,IN,Cylinder,Approximately 20 seconds,"No wings, cylinder streaking across clear sky, comes to complete stop, then streaks 120 degrees straight up and out of sight.",https://nuforc.org/webreports/reports/170/S170307.html
55,2022-07-10 12:57:00,Swayzee,IN,,,"MADAR site 22, 19 mi NW of Alexandria had a slight increase in the magnetometer reading. Also compass variation.",https://nuforc.org/webreports/reports/173/S173720.html
56,2022-07-09 16:29:00,Spencerville,IN,,,MADAR site 81 had a spike in the magnetometer reading.,https://nuforc.org/webreports/reports/173/S173719.html
