,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-04-08 22:52:00,Excelsior springs,MO,Star,7-8 seconds,Thought it was a shooting star then Inotice it remained at the same elevation as it moved towards me at a very high speed as it,https://nuforc.org/webreports/reports/175/S175274.html
1,2023-04-08 21:25:00,Ballwin,MO,Fireball,3-5 seconds,"Continuous fireball almost like a Roman candle, resembled a comet but definitely wasnt a shooting star.",https://nuforc.org/webreports/reports/175/S175279.html
2,2023-04-07 08:40:00,St louis,MO,Unknown,5 minutes,Saw 3 objects in aky lined up very bringth then dimmed and moved eventually,https://nuforc.org/webreports/reports/175/S175259.html
3,2023-04-07 08:40:00,St. Louis,MO,Unknown,5 minutes,Saw 3 objects in aky lined up very bringth then dimmed and moved eventually,https://nuforc.org/webreports/reports/175/S175239.html
4,2023-04-02 14:30:00,Warsaw,MO,Formation,5 seconds,"After seeing a helicopter & A10, a formation of about ten winged, but vertical, objects glided silently through the air over my cove",https://nuforc.org/webreports/reports/175/S175389.html
5,2023-03-28 23:45:00,Boonville,MO,Triangle,10 minutes,Triangle of lights that get bright and fade out and form other patterns,https://nuforc.org/webreports/reports/175/S175150.html
6,2023-03-10 19:40:00,Scott city,MO,Circle,2 minutes,"Circle of lights, we saw it as we were driving down the interstate. Could be more witnesses, but not sure, also that is the reason for",https://nuforc.org/webreports/reports/174/S174993.html
7,2023-03-08 19:45:00,Warsaw,MO,Triangle,1 minute,"I saw a triangle of lights hovering quietly about 250 feet above Hwy 65 in Warsaw, Mo, with a sequenced series of flashes.",https://nuforc.org/webreports/reports/174/S174956.html
8,2023-03-05 02:35:00,Blue springs,MO,Light,Three seconds.,Seen several lights flying together in the night sky.,https://nuforc.org/webreports/reports/174/S174876.html
9,2023-02-28 19:27:00,Kansas City,MO,Delta,Last 40 min,They seem to be hovering like they are waiting on something. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174762.html
10,2023-02-28 19:10:00,Kirksville,MO,Light,We left after 2 min so ?,Two bright lights in the dark sky not moving. Hovering close together. Faint green and red lights intermittently.,https://nuforc.org/webreports/reports/174/S174776.html
11,2023-02-26 04:10:00,Troy,MO,Orb,8 seconds,2 white orbs of light connected with a beam,https://nuforc.org/webreports/reports/174/S174953.html
12,2023-02-18 01:39:00,St. Louis,MO,Orb,1 second - 4 seconds,Bright white flash circular/ball like figure appears and disappears.,https://nuforc.org/webreports/reports/174/S174631.html
13,2023-02-12 19:40:00,Sedalia,MO,Light,,Red glow,https://nuforc.org/webreports/reports/174/S174607.html
14,2023-02-10 17:33:00,Grain Valley,MO,Orb,Two or three minutes,I saw the sun reflecting off something in the sky so I pulled out my phone to record it.,https://nuforc.org/webreports/reports/175/S175111.html
15,2023-02-03 17:00:00,Farmington,MO,Sphere,Ongoing as I typr,Noticed a bright white object in the eastern sky. It was above the moon yet has seemingly drifted slowly to the right,https://nuforc.org/webreports/reports/174/S174281.html
16,2023-01-20 18:30:00,Collins,MO,Rectangle,Lights object no noise sk,Closest I've ever seen unbelievable,https://nuforc.org/webreports/reports/174/S174043.html
17,2023-01-13 20:15:00,Bridgeton,MO,Circle,About four to five minute,"Two pair. Shorter space between two, more space between next pair.",https://nuforc.org/webreports/reports/174/S174059.html
18,2023-01-12 19:30:00,CHESTERFIELD,MO,Unknown,a couple seconds,A massive black object with no lights flying ultra low over our home.,https://nuforc.org/webreports/reports/173/S173898.html
19,2023-01-09 04:05:00,Joplin,MO,Light,15+ minutes,White light moving left and right slowly cycling bright to dim,https://nuforc.org/webreports/reports/173/S173806.html
20,2022-11-23 22:15:00,Between Centerview and alone Jack,MO,Light,About 30 mins,"Saw lights flashing through the sky over the highway in all directions. Formed circle and rotated, kept getting large then small",https://nuforc.org/webreports/reports/173/S173176.html
21,2022-11-19 02:40:00,St Louis,MO,Triangle,1 minute,Triangle Shaped Reflective Cloak,https://nuforc.org/webreports/reports/173/S173116.html
22,2022-11-07 22:20:00,Everton,MO,Light,Approximately 30 minutes,"As I was driving to Springfield from Everton. Heading down FF highway, I saw Two big lit up objects",https://nuforc.org/webreports/reports/172/S172864.html
23,2022-11-07 19:00:00,Warrensburg,MO,Diamond,2 encounters 10 - 15 mins,a black diamond shape with 4 lights at each corner being followed by a military jet. The diamond object made no noise unlike the jet.,https://nuforc.org/webreports/reports/172/S172843.html
24,2022-11-07 03:30:00,Just east of Kansas city at FL330,MO,Changing,More than 20 minutes,Three craft seen circling at what appeared to be very high altitude from multiple airline crews who discussed it over Guard Frequency,https://nuforc.org/webreports/reports/172/S172911.html
25,2022-11-07 02:00:00,Kansas City,MO,Circle,Under 30 seconds,Saw 8 Circular objects gliding at fast speed like a wing or bird formation then later at 2:40AM saw the same circular objec,https://nuforc.org/webreports/reports/172/S172846.html
26,2022-10-27 23:59:00,osage beach,MO,Cylinder,maybe 10 seconds,A bright light that nice unnaturally,https://nuforc.org/webreports/reports/172/S172584.html
27,2022-10-27 20:05:00,Dixon,MO,Light,7 seconds,Looking at the big dipper a light was traveling very slow then it got super bright and zoomed across the big dipper heading north,https://nuforc.org/webreports/reports/172/S172470.html
