,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-12 21:15:00,Lincoln,NE,Light,5-7minutes,Following severe weather storms I was looking at the clouds and saw approx. 6 or 7 different lights in the sky behaving strangely.,https://nuforc.org/webreports/reports/175/S175745.html
1,2023-05-04 20:12:00,Panama,NE,Other,~45min,Bright stationary object prior to dusk that was a hollow ring through telescope.,https://nuforc.org/webreports/reports/175/S175632.html
2,2023-05-02 01:59:00,Grand Island,NE,Chevron,15 - 30 seconds,"Seemed to be cloaked-no lights, no sound, simply movement in sky, it glided by heading SE.",https://nuforc.org/webreports/reports/175/S175601.html
3,2023-04-25 12:00:00,Omaha,NE,Cylinder,1 minute,I saw a black pill like object moving across the sky from the south going north while looking to the west.,https://nuforc.org/webreports/reports/175/S175519.html
4,2023-02-13 02:45:00,Hastings,NE,Other,Observed for approx. 1 ho,Very large half circle over lapping the moon. Object was brighter than the moon. White with a thin bright green outline.,https://nuforc.org/webreports/reports/174/S174493.html
5,2023-02-11 04:00:00,Lincoln,NE,Sphere,Half hour at a time,"Up to 3 lights in the sky, every morning at 4am, 3 locations, 200 miles apart. Fade in, fade out. Sometimes overlaying each other.",https://nuforc.org/webreports/reports/174/S174394.html
6,2023-01-31 19:49:00,Gothenburg,NE,Fireball,3 seconds,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears",https://nuforc.org/webreports/reports/174/S174232.html
7,2022-11-12 23:36:00,Springfield,NE,Circle,5-10 minutes,Saw solid white lights with blinking light's hovering,https://nuforc.org/webreports/reports/172/S172992.html
8,2022-10-21 23:30:00,Norfolk,NE,Sphere,1.5 hours,"Bright light hovering south and west of Norfolk, Nebraska. It then withdrew, but maintained roughly the same position in the sky.",https://nuforc.org/webreports/reports/175/S175554.html
9,2022-10-04 20:30:00,Northplatte,NE,Other,30 seconds,"Caught my eye just above me, picture wouldn't pick it up so I took a video still blurry but it was very loud and seemed fast",https://nuforc.org/webreports/reports/172/S172173.html
10,2022-09-20 23:06:00,Lincoln,NE,Changing,From 11pm to 5am,"Watched 20 or more bright star like objects shapeshift, zig zag while looked at was night fishing. Saw them all night and many since",https://nuforc.org/webreports/reports/173/S173095.html
11,2022-08-21 17:55:00,Gibbon,NE,Cigar,Thirty seconds both times,Cigar-ish object traveled first SE to SW then returned and went SW to SE five minutes later.,https://nuforc.org/webreports/reports/171/S171303.html
12,2022-08-20 22:30:00,Elkhorn,NE,Triangle,2 minutes,Massive/close row of non blinking lights gliding slowly and disappearing into Big Dipper this wasnt the satellites weve seen those,https://nuforc.org/webreports/reports/171/S171320.html
13,2022-08-11 22:05:00,Wayne,NE,Diamond,30 seconds,We saw a bright diamond shape fly across the sky.,https://nuforc.org/webreports/reports/171/S171115.html
14,2022-07-22 22:54:00,Lindsay,NE,Rectangle,Approximately 2-3 minutes,I saw a rectangular craft with strobing lights fly silently from south to north of my location. Was not starlink satellites!,https://nuforc.org/webreports/reports/170/S170670.html
15,2022-07-20 04:23:00,Not sure,NE,Light,Not sure 39 mins or more,My uncle sent me video footage from his phone from the truck stop he was at as well as a picture from his phone,https://nuforc.org/webreports/reports/170/S170820.html
16,2022-06-30 23:08:00,Elkhorn,NE,Other,~30 minutes,"A lighted, fast moving object that appeared to have small wings and a circular center moving in random motions.",https://nuforc.org/webreports/reports/170/S170168.html
17,2022-06-24 23:00:00,Beatrice,NE,Star,4 seconds,Video shows an object rotating at considerably fast speeds and seemingly stretchs as it moves at the 3 second mark.,https://nuforc.org/webreports/reports/170/S170051.html
18,2022-05-13 04:03:00,Omaha,NE,,,MADAR Node 132,https://nuforc.org/webreports/reports/168/S168116.html
19,2022-04-12 20:32:00,Elkhorn/Omaha,NE,Unknown,20 seconds,"at home during storm, was taking video of lightning when object came into view and disappeared behind clouds",https://nuforc.org/webreports/reports/168/S168135.html
20,2022-03-09 19:20:00,Omaha,NE,,,MADAR Node 132,https://nuforc.org/webreports/reports/167/S167195.html
21,2022-03-02 18:18:00,lexington,NE,Cylinder,2 minutes,While waiting for a locksmith I observed an object in the sky above town. I took photographs of the object,https://nuforc.org/webreports/reports/166/S166947.html
22,2022-01-28 15:00:00,Lincoln,NE,Triangle,1 to 2 minutes,"The craft flew over, without sound, made a turn and disappeared into the clouds.",https://nuforc.org/webreports/reports/166/S166608.html
23,2021-11-04 19:00:00,St. Paul,NE,Triangle,2 hours,At dusk large triangle shaped object holding steady in night sky. Bright light at the point.,https://nuforc.org/webreports/reports/165/S165173.html
24,2021-09-07 19:45:00,Papillion,NE,Cylinder,2 min,There were lights moving weird on the horizon. When my brother and I get home we see a tik tak shaped object hovering over our house.,https://nuforc.org/webreports/reports/166/S166119.html
25,2021-08-05 22:32:00,Bellevue,NE,Light,25,UFO near Offutt AFB in NE.,https://nuforc.org/webreports/reports/164/S164431.html
26,2021-06-13 23:00:00,Bellevue,NE,Sphere,About 1 minutes and 30 se,It was a white and green sphere almost like a giant ball. I think it was 8 feet tall and 8 feet wide but im not sure. It was outside a,https://nuforc.org/webreports/reports/163/S163691.html
27,2021-05-31 18:22:00,Bennington,NE,Light,30 min,"We saw about 7 light dots in the sky straight above us. Looked at the starling tracker and it wasn't that. They weren't in a line, bu",https://nuforc.org/webreports/reports/163/S163558.html
28,2021-05-31 18:00:00,La Vista NE,NE,Other,3 to 4 minutes,Silver orb in the sky while we looked towards the East.,https://nuforc.org/webreports/reports/168/S168795.html
29,2021-05-22 22:15:00,York,NE,Light,3-8 minutes,We were getting things ready for the lake the next day when our neighbors hollered at us to come check this out. We went over there and,https://nuforc.org/webreports/reports/163/S163443.html
30,2021-04-15 00:45:00,Omaha,NE,Oval,15 minutes,We saw 3 glowing oval objects in the sky last night.,https://nuforc.org/webreports/reports/162/S162720.html
31,2021-03-05 22:00:00,Ogallala,NE,Triangle,15 minutes,"Three, bright green triangles in night sky over Nebraska. Abduction of my friend Mary Joe.",https://nuforc.org/webreports/reports/162/S162270.html
32,2021-02-17 06:45:00,Arnold,NE,Disk,15 minutes,70 saucer sat above my neighbors house.,https://nuforc.org/webreports/reports/162/S162114.html
33,2021-02-16 03:32:00,Bridgeport,NE,Orb,60 minutes plus,Brightest landing lights Ive ever seen.,https://nuforc.org/webreports/reports/162/S162068.html
34,2021-02-16 02:08:00,Arthur,NE,Light,Ongoing,Intense white light remains stationary on the western horizon.,https://nuforc.org/webreports/reports/162/S162069.html
35,2021-02-15 06:30:00,Hyannis,NE,Sphere,10 min,"Metallic ball, mounted to several legs, took off from the highway.",https://nuforc.org/webreports/reports/162/S162060.html
36,2021-02-14 03:00:00,Alliance,NE,Sphere,20 minutes,Intense light forced me off the road. ((NUFORC Note: Anonymous report. PD)),https://nuforc.org/webreports/reports/162/S162038.html
