,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-03 23:00:00,,NM,Orb,15 mins,The object was an orb with light white.,https://nuforc.org/webreports/reports/175/S175647.html
1,2023-05-03 01:45:00,Albuquerque,NM,Light,20 Minutes,2 lights which appear to be celestial anomalies of the Cassiopeia constellation perform repetitive behaviors (possibly ongoing),https://nuforc.org/webreports/reports/175/S175762.html
2,2023-04-27 02:51:00,Albuquerque,NM,Fireball,:57 seconds recorded,See video,https://nuforc.org/webreports/reports/175/S175534.html
3,2023-04-21 14:20:00,Stanley,NM,Other,20 seconds,Multiple small pieces of reflective material moving fluidly like a flock of birds high in the sky,https://nuforc.org/webreports/reports/175/S175442.html
4,2023-04-17 20:35:00,Ruidoso Downs,NM,Light,saw for 30 seconds,Running Lights,https://nuforc.org/webreports/reports/175/S175285.html
5,2023-04-09 16:18:00,,NM,Triangle,2 mins,An object that sounds like a prop airplane,https://nuforc.org/webreports/reports/175/S175284.html
6,2023-03-08 18:48:00,Arenas valley,NM,Star,,Star lake object bright moving changing directions fast,https://nuforc.org/webreports/reports/175/S175413.html
7,2023-03-04 19:42:00,Tijeras,NM,Orb,.5 hour,We spotted the two orbs spinning with multicolored lights,https://nuforc.org/webreports/reports/175/S175047.html
8,2023-03-02 19:21:00,Edgewood/ Sandia Park,NM,Light,2-3 seconds,Dull red light traveling at a incredibly fast speed,https://nuforc.org/webreports/reports/174/S174849.html
9,2023-02-18 19:54:00,Capulin,NM,Other,,Appeared only in this photo and not in any other immediately before or after,https://nuforc.org/webreports/reports/174/S174853.html
10,2023-02-02 19:15:00,Artesia,NM,Formation,30 secons,"Me, my wife and to adult age sons witnessed six lights appear in intervals I. Two line formations",https://nuforc.org/webreports/reports/174/S174307.html
11,2023-01-27 07:38:00,"Albuquerque, west of.",NM,Circle,Brief,This was not an aircraft.,https://nuforc.org/webreports/reports/175/S175072.html
12,2023-01-18 04:00:00,,NM,Unknown,30 seconds,A Strange Light,https://nuforc.org/webreports/reports/173/S173997.html
13,2023-01-09 03:55:00,Tohatchi,NM,Orb,15 mins,Big bright spherical orbs moving in many directions and stationary like flying in maneuvers.,https://nuforc.org/webreports/reports/173/S173983.html
14,2023-01-01 16:45:00,Clovis,NM,Cigar,15 mins before dark,Cigar shape bobbed in & out of clouds in place.,https://nuforc.org/webreports/reports/173/S173705.html
15,2022-12-21 17:09:00,Albuquerque,NM,Light,30 seconds,Bright Light that then slowly fades and disappears during Daylight,https://nuforc.org/webreports/reports/173/S173539.html
16,2022-12-15 15:36:00,Rio Rancho,NM,Unknown,2 minutes,5 objects in formation during daylight,https://nuforc.org/webreports/reports/173/S173755.html
17,2022-12-10 07:07:00,Albuquerque,NM,Fireball,2 min,"Taking sunset pictures, noticed a weird fireball",https://nuforc.org/webreports/reports/173/S173349.html
18,2022-11-26 12:43:00,,NM,Disk,couple of seconds,Flash of Light with Grey Disk,https://nuforc.org/webreports/reports/175/S175055.html
19,2022-11-23 23:01:00,Albuquerque,NM,Oval,approximately 10 minutes,appeared to be hovering about the houses in my neighborhood moving very slowly.,https://nuforc.org/webreports/reports/173/S173190.html
20,2022-11-20 20:15:00,Los Alamos,NM,Light,2 seconds,Unexplainable FAST Aircraft,https://nuforc.org/webreports/reports/173/S173090.html
21,2022-11-16 20:34:00,Abiquiu,NM,Light,Hours,Lights hovering parallel to the ground along a fence and off the cliff,https://nuforc.org/webreports/reports/173/S173040.html
22,2022-11-09 17:30:00,Albuquerque,NM,Oval,4 minutes,"Taking sunset pictures, noticed a weird ""cloud""",https://nuforc.org/webreports/reports/173/S173350.html
23,2022-11-03 18:32:00,Rio Rancho,NM,Oval,5mins,"Saw an oval shape w/ bright lights floating approx 40,000feet in the air. It faded away in an unnatural way. Got some pictures",https://nuforc.org/webreports/reports/173/S173481.html
24,2022-10-28 01:00:00,Las Cruces,NM,Circle,2 minutes,UFO Las Cruces NM,https://nuforc.org/webreports/reports/172/S172592.html
25,2022-10-26 23:27:00,Las Cruces,NM,Sphere,10 minutes or so,3 bright spheres in triangle formation that were radiating like small suns with yellowish color ( not exactly white),https://nuforc.org/webreports/reports/173/S173775.html
26,2022-10-23 21:39:00,Abiqui,NM,Circle,1 hour,I have been seeing these crafts daily it almost feels like they are following me,https://nuforc.org/webreports/reports/172/S172642.html
27,2022-10-21 13:12:00,Taos,NM,Egg,10 - 15 min,Objects appears to just pop in sight. They move slowly eastward and seem to tilt so that the sun reflects back and forth.,https://nuforc.org/webreports/reports/172/S172426.html
28,2022-10-20 19:20:00,-,NM,Triangle,5 sec,Two light at each end that made up a triangle. A shooting light. A light moving away from me.,https://nuforc.org/webreports/reports/172/S172446.html
