,Date / Time,City,State,Shape,Duration,Summary,Link to Event
0,2023-05-19 01:49:00,Harrisburg East of I5,OR,Light,Approx. 3-4 min.,9 lights in straight line,https://nuforc.org/webreports/reports/175/S175833.html
1,2023-05-16 22:30:00,Albany,OR,Circle,5-10 minutes,Pulsing orb of rapidly changing lights.,https://nuforc.org/webreports/reports/175/S175817.html
2,2023-05-14 21:40:00,Cannon Beach,OR,Disk,5 minutes or more,Disks appeared as clouds,https://nuforc.org/webreports/reports/175/S175799.html
3,2023-05-14 21:35:00,Portland,OR,Light,About one minute,"Bright white light, moving steadily, no detectable sound, small white light.",https://nuforc.org/webreports/reports/175/S175790.html
4,2023-05-14 21:30:00,Klamath Falls,OR,Light,3-4 min,Light appear in our atmosphere and travel our axis,https://nuforc.org/webreports/reports/175/S175784.html
5,2023-05-14 00:21:00,Monmouth,OR,Sphere,3mins,Slow silver metallic ball moving NE,https://nuforc.org/webreports/reports/175/S175766.html
6,2023-05-13 20:00:00,Klamath falls,OR,Light,90-120 sec,Unusual light in the sky,https://nuforc.org/webreports/reports/175/S175782.html
7,2023-05-10 22:16:00,Mill city,OR,Orb,2 minutes,2 super bright lights,https://nuforc.org/webreports/reports/175/S175733.html
8,2023-05-10 02:50:00,Albany,OR,Light,Ongoing,2 lights darting around,https://nuforc.org/webreports/reports/175/S175725.html
9,2023-04-27 20:30:00,Portland,OR,Light,20 minutes maybe,Portland lights,https://nuforc.org/webreports/reports/175/S175523.html
10,2023-04-15 21:00:00,Newberg,OR,Rectangle,About five minutes.,Sighted a large rectangular craft hovering above our property on a clear moonless night and viewed it for about five minutes.,https://nuforc.org/webreports/reports/175/S175778.html
11,2023-04-15 02:23:00,Cottage grove,OR,Formation,3 minutes,Two unknown lights behaving strangely,https://nuforc.org/webreports/reports/175/S175332.html
12,2023-04-02 23:35:00,Eugene,OR,Cylinder,6 days,"I am scared,terrified",https://nuforc.org/webreports/reports/175/S175256.html
13,2023-03-22 21:45:00,Portland,OR,Rectangle,2-4 minutes,Witnessed a rectangular ufo come closer to me but eventually came to a stop (a hover) just above some trees and take off again.,https://nuforc.org/webreports/reports/175/S175089.html
14,2023-03-22 05:24:00,Roseburg,OR,Circle,2-4 minutes,Very large bright light in sky below cloud cover. Stock still for 2 minutes then vanished with no exiting trajectory. Just vanished.,https://nuforc.org/webreports/reports/175/S175081.html
15,2023-03-16 20:00:00,Medford,OR,Orb,2:24 minutes,"Quite, slow, low moving BRIGHT ORB object",https://nuforc.org/webreports/reports/175/S175085.html
16,2023-03-01 19:25:00,Roseburg,OR,Light,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,https://nuforc.org/webreports/reports/174/S174832.html
17,2023-02-26 16:22:00,"Roseburg, green district",OR,Unknown,5mins +/-,Saw three but only one was visible by time I got phone for picture,https://nuforc.org/webreports/reports/174/S174758.html
18,2023-02-17 07:26:00,Sheridan,OR,Disk,Around 2 minutes,"Early morning sunrise, south side of Hwy 18.",https://nuforc.org/webreports/reports/174/S174626.html
19,2023-02-12 19:42:00,Vida,OR,Light,30 seconds,String of flying purple lights,https://nuforc.org/webreports/reports/174/S174474.html
20,2023-02-12 03:30:00,Portland,OR,Orb,3-5 seconds,1 light orb moving horizontal then disappearing and another hovering 4 feet above an overhead highway sign,https://nuforc.org/webreports/reports/174/S174486.html
21,2023-02-10 15:00:00,Portland,OR,Circle,About 10 minutes,Round white object,https://nuforc.org/webreports/reports/174/S174411.html
22,2023-02-09 17:30:00,Applegate,OR,Cigar,20 mins,"A fleet appeared flying northeast in the sky equidistance apart, some looping back. We have 5-6 mins of video",https://nuforc.org/webreports/reports/174/S174375.html
23,2023-02-09 01:00:00,Albany,OR,Circle,5 minutes,Ball of expanding light hovering,https://nuforc.org/webreports/reports/174/S174377.html
24,2023-02-02 18:17:00,North Bend,OR,Disk,fifteen minutes,The same type of discoid craft that I saw and reported earlier but was orientated virtually perpendicular to the surface of the earth,https://nuforc.org/webreports/reports/174/S174287.html
25,2023-02-01 19:43:00,it was over north Wood Village between airport and walmart,OR,Orb,maybe 60 seconds,Unknown orange spheres filmed over Wood Village Oregon,https://nuforc.org/webreports/reports/174/S174276.html
